"","cnty_fips","display_name","Demo-Total_Population","HCDI-BPM-Medication_Use","HCDI-Cholesterol_Screening","HCDI-CLM-Nonadherence","HCDI-CRU-Eligibility_Rate","HCDI-CRU-Participation_Among_Eligible","HCDI-HP-Hospitals","HCDI-HP-Hospitals-Services-CA","HCDI-HP-Hospitals-Services-CIC","HCDI-HP-Hospitals-Services-ED","HCDI-HP-Hospitals-Services-NS","HCDI-HP-Pharmacies_and_Drug_Stores","HCDI-Insurance-Health_Insurance_Status","HCDI-PS-CDP","HCDI-PS-Neurologists","HCDI-PS-Neurosurgeons","HCDI-PS-PCP","Prev-Coronary_Heart_Disease","Prev-High_Blood_Pressure","Prev-Stroke","RF-Diagnosed_Diabetes","RF-High_Cholesterol","RF-Obesity","RF-Physical_Inactivity","RF-Smoking","SEED-PE-Air_Quality","SEED-PE-Park_Access","SEED-SE-Broadband","SEED-SE-Computer","SEED-SE-Education-LessThanCollege","SEED-SE-Education-LessThanHighSchool","SEED-SE-Food_Stamp_SNAP_recipients","SEED-SE-Income_Inequality","SEED-SE-Median_Home","SEED-SE-Median_Household_Income","SEED-SE-Poverty","SEED-SE-Severe_Housing_Cost_Burden","SEED-SE-Unemployment_Rate","SEED-UR-Urban-Rural"
"1","02013","""Aleutians East, (AK)""",3389,67,79.4,-1,-1,-1,0,0,0,0,0,0,23.3,-1,-1,-1,-1,5.9,34.1,3.1,9.9,31.2,27.2,21.5,18.5,-1,66,42.1,11.5,83.4,13.4,2.6,0.383,137000,79000,15.1,9.6,2.3,4
"2","02016","""Aleutians West, (AK)""",5708,63.2,80.2,-1,-1,-1,0,0,0,0,0,0,17.7,-1,-1,-1,2.8,4.6,30.3,2.3,9.3,30.3,25.4,20,16.7,-1,86,21,8.2,83,8.2,1.4,0.329,317000,92000,8.1,5.6,3.6,4
"3","02020","""Anchorage, (AK)""",292090,64,80.4,15.3,16.7,26.1,4,1,1,1,1,5.8,11.1,14.4,24,24,0.8,4.9,28.8,2.5,8.3,29.4,29.8,17.9,15.7,6.4,83,8,3.3,63.4,6,9.7,0.42,320000,85000,8.3,12.8,5.8,3
"4","02050","""Bethel, (AK)""",18263,64.1,74.2,27.8,12.2,-1,1,0,0,0,0,0,16.8,-1,-1,-1,0.9,8.1,36.2,5.1,8.8,28.7,23.8,22,34,-1,76,26.6,10.2,88.7,16.5,37.7,0.458,89000,52000,25.3,11.4,13.1,4
"5","02060","""Bristol Bay, (AK)""",739,68.6,82.1,-1,-1,-1,0,0,0,0,0,0,15.1,-1,-1,-1,-1,7.5,33.6,3.7,9.2,32.3,24.6,20.9,17.8,-1,30,19,7,74.2,6.2,6.5,0.377,222000,87000,10.7,5.8,5.6,4
"6","02068","""Denali, (AK)""",2502,66.6,81.2,-1,-1,-1,0,0,0,0,0,0,11.5,-1,-1,-1,-1,5.7,30.9,2.7,6.7,30.9,20.6,16.7,17.4,-1,59,14.9,4.4,60.9,2.3,3.5,0.388,234000,80000,6.4,7.2,10.1,4
"7","02070","""Dillingham, (AK)""",4934,66.2,78,-1,-1,-1,0,0,0,0,0,0,15.5,-1,-1,-1,0.4,7.7,35.1,4.5,8.6,29.3,23.5,22.6,28.4,-1,37,27.1,8.6,80.6,13.5,20.5,0.406,156000,72000,18.7,9.1,8.2,4
"8","02090","""Fairbanks North Star, (AK)""",98455,62.2,78.8,15.7,13,46.9,2,1,1,1,0,6.3,11.3,48.4,32.3,96.8,1.1,4.7,28,2.3,8,27.5,28.4,20.4,15.7,13.9,36,12.9,3.4,67.7,5.5,6.5,0.412,240000,77000,7.2,11.7,5,3
"9","02100","""Haines, (AK)""",2547,73.8,85.3,16.2,15.2,-1,0,0,0,0,0,0,12.6,-1,-1,-1,0.4,8.2,36.7,3.8,7.8,34.5,25.5,16.8,17.1,-1,90,13.6,2.8,72.3,2,4.3,0.401,264000,105000,9.6,8.5,11.3,4
"10","02105","""Hoonah-Angoon, (AK)""",2135,74.4,85,-1,20.5,-1,0,0,0,0,0,0,20,-1,-1,-1,-1,9.7,40.9,4.7,8.6,35.8,22.2,19.8,20.5,-1,97,39.1,19.5,80.4,6,14.4,0.443,222000,56000,12.7,6.4,9.3,4
