County,State,UrbanRural,CHD,HighBP,HighChol,Stroke,Diabetes,Obesity,PhysInactivity,Smoker,Age65Plus,CholScreen,CholMedNonAdhear,CholMedElegible,cruParticipate,bpmUse,MedHouseIncome,Poverty,Unemploy,SNAPrecipients,EdLessColl,MedHomeValue,HealthIns,AirQuality,Parks,Broadband,pcp,CardioPhys,Hospitals,,Pharmacies,pop
Abbeville,SC,0,9.2,45,39.5,4.8,11.4,31.8,24.6,19.9,21.6,85.3,16.6,13.9,40.6,80.2,47000,15.3,4.5,13.2,81.7,101000,13.7,9.9,22,25.9,140,9,1,,12.4,24582
Acadia,LA,1,8.9,41.8,39.5,4.4,10.4,41.7,31.3,23.8,15.4,85.2,17.2,21.3,6.9,77.7,45000,20.7,4.9,22.2,84.8,130000,10.1,8.7,12,22.1,73,3,2,,22.6,62371
Accomack,VA,0,10,44.7,36.5,5.3,10.9,34.6,27.4,19.9,23.5,88.3,14.6,13.9,20.4,82,44000,17.6,4.3,15,80.3,174000,15.1,7.3,8,27.2,28,12.75,1,,12,32560
Ada,ID,1,5.6,28.5,30,2.5,7.8,26.3,17.1,13.1,14.5,82.5,12,14.9,47.3,70,73000,7.7,3.3,6.5,59.9,299000,9.5,6.2,61,12,969,21.9,4,,7,469473
Adair,IA,0,8.2,37,36.6,3.7,9.1,32.4,21.5,16.8,22.4,86.3,10.7,11.7,54,80.8,55000,10.8,3.1,8.8,80.5,111000,5.1,7.3,3,23.4,16,12.75,1,,53.5,7048
Adair,OK,0,10.5,44.8,39.1,5.6,9.9,28,27.8,30,15.7,82.3,20,29.9,8.3,76.1,37000,22.3,3.7,28.5,89.2,93000,22.4,9.1,6,48.9,23,12.75,1,,0,22171
Adair,MO,0,6.7,27.8,29.8,3.1,7.2,30.8,19.3,18.3,14.7,78.9,11.3,19.5,36.9,75.7,49000,17.9,4.3,9.7,68.8,124000,15.4,7.8,16,21.9,45,1,1,,15.8,25468
Adair,KY,0,9.1,44.4,40.7,4.1,9.4,27.6,32.9,23.4,18.7,88.8,16.9,30.8,13.6,79.8,42000,22.1,5,14.6,81.6,105000,8.5,8.8,12,26,102,12.75,1,,31.8,19366
Adams,IA,0,8.5,38.6,37.3,3.8,8.2,27.3,21.8,17.6,23,86.5,11.5,11.2,35.7,81.3,56000,10.8,3,9.4,82.7,81000,6,7.2,1,20.4,12,12.75,1,,0,3633
Adams,ID,0,10,39.4,37.9,4.4,8.4,27.2,19,15.8,30.1,86.3,13.1,15.8,35.7,79,50000,13.7,6.6,6.5,81.2,229000,16.4,5.6,82,27.2,12,12.75,0,,0,4200
Adams,WA,0,7.1,28,30.2,3.5,9.3,30.7,23.5,17,11.1,76.9,16.4,16.9,35.7,68.1,56000,12.7,5.5,17.8,86.2,160000,13.1,8.7,32,19.8,26,12.75,2,,0,19702
Adams,NE,0,7.1,31.8,34.2,3.1,10,34.1,25.5,15.3,17.8,82.3,13.1,14.6,70.5,78.8,54000,10.2,2.4,9.3,74.4,138000,9.6,6.3,29,17.3,61,1,1,,22.5,31541
