fips,county,state,UrbanRural,CHD,HighBP,HighChol,Stroke,Diabetes,Obesity,PhysInactivity,Smoker,Age65Plus,CholScreen,CholMedNonAdhear,CholMedElegible,cruParticipate,bpmUse,MedHouseIncome,Poverty,Unemploy,SNAPrecipients,EdLessColl,MedHomeValue,HealthIns,AirQuality,Parks,Broadband,pcp,TotalPCP,PSP1k,CardioPhys,TotalCardio,Cardio100k,Hospitals,Hosp100k,HospCR,HospCIC,HospED,Pharmacies,Pharm100k,pop,UrbanRural_Large_Urban,UrbanRural_LargeFringe_Urban,UrbanRural_MediumSmall_Urban,UrbanRural_Rural
34001,Atlantic,NJ,MediumSmall_Urban,7.6,33.7,32.41,3.5,17.4,33.59,22.8,15.9,18.1,79.43,16.4,20.6,22.5,71.71,61000,13.8,9.5,13.3,71.2,217000,10.7,7.3,55,14.6,1.2,220541.6666666667,833.3333333333334,12,22054.166666666668,4.534290572454185,2,0.7557150954090308,1,1,1,15,5.66786321556773,264650,0,0,1,0
34003,Bergen,NJ,LargeFringe_Urban,5.5,33.7,32.41,2.5,17.4,33.59,21.9,10.2,17.3,79.43,15.9,15.5,27.4,71.71,107000,6.4,6,3.4,49.3,477000,8.4,9.9,50,8.8,0.8,1164093.75,1250,5.5,169322.72727272726,0.5905881721296072,5,0.536898338299643,5,3,5,17.9,1.9220960511127216,931275,0,1,0,0
34005,Burlington,NJ,LargeFringe_Urban,6.2,33.7,32.41,2.8,17.4,33.59,21.9,12.4,17,79.43,13.8,14.8,19,71.71,92000,6,5.3,4.6,61.5,260000,6,9.9,33,9.2,1.2,371917.5,833.3333333333334,10.6,42103.867924528306,2.3750787024900237,3,0.672192085610384,1,1,3,14.5,3.248928413783523,446301,0,1,0,0
34007,Camden,NJ,LargeFringe_Urban,6.2,33.7,32.41,3.1,17.4,33.59,21.9,14.9,15.7,79.43,15,16,16.5,71.71,72000,12.4,6.8,12.2,67.7,200000,8.2,10.1,56,13.5,1,506721,1000,8,63340.125,1.5787780652469507,4,0.7893890326234754,2,2,4,19.5,3.8482715340394416,506721,0,1,0,0
34009,Cape May,NJ,MediumSmall_Urban,8.6,33.7,32.41,3.6,17.4,33.59,22.8,13.4,26.6,79.43,13.7,19,35.2,71.71,76000,9.6,8.9,7.5,66.4,306000,9.2,7.8,85,13,1.7,54530,588.2352941176471,9.2,10076.195652173914,9.924380535269306,1,1.0787370147031856,1,0,1,22.1,23.840088024940403,92701,0,0,1,0
34011,Cumberland,NJ,MediumSmall_Urban,7.5,33.7,32.41,3.8,17.4,33.59,22.8,18.8,15.2,79.43,15.6,16.9,22,71.71,60000,13.1,7.7,16.5,83.4,166000,12.1,7.8,38,17.9,2.3,65254.34782608696,434.78260869565224,24.9,6027.510040160643,16.590598660758904,1,0.666289102841723,1,1,1,13.6,9.061531798647431,150085,0,0,1,0
34013,Essex,NJ,Large_Urban,6.1,33.7,32.41,3.3,17.4,33.59,21.1,14.3,13.7,79.43,20.5,15.1,22.3,71.71,66000,14.3,8,13.3,63.7,396000,12,8.9,73,17.5,1.2,665581.6666666667,833.3333333333335,8.5,93964.4705882353,1.064232037641261,8,1.0016301530741285,5,5,6,19.7,2.4665142519450405,798698,1,0,0,0
34015,Gloucester,NJ,LargeFringe_Urban,6,33.7,32.41,2.7,17.4,33.59,21.9,13.1,15.9,79.43,13.9,14.9,18.7,71.71,87000,7,6,5.9,66.2,224000,5.7,7.4,31,10.2,1.8,162080.55555555556,555.5555555555555,22.4,13024.33035714286,7.677937925242934,1,0.3427650859483453,1,0,1,12.6,4.3188400829491504,291745,0,1,0,0
34019,Hunterdon,NJ,LargeFringe_Urban,6.2,33.7,32.41,2.6,17.4,33.59,21.9,9.8,18.6,79.43,12.7,15,37.8,71.71,114000,4.1,4.6,1.9,46,419000,5.2,8.5,32,8.1,0.8,156328.75,1250,10.4,12025.28846153846,8.315808832348496,1,0.7995970031104322,1,1,1,14.7,11.754075945723356,125063,0,1,0,0
34021,Mercer,NJ,MediumSmall_Urban,5.8,33.7,32.41,2.8,17.4,33.59,22.8,11.8,15.3,79.43,15.8,14.5,20.8,71.71,88000,9.5,5.2,7.4,56.5,290000,9.6,8.6,53,15.1,1,368085,1000,8.4,43819.642857142855,2.282081584416643,4,1.0867055163888777,2,1,4,18.1,4.917342461659671,368085,0,0,1,0
34023,Middlesex,NJ,LargeFringe_Urban,5.8,33.7,32.41,2.5,17.4,33.59,21.9,10.9,15.1,79.43,16.2,18.9,22,71.71,96000,7.4,5.7,6,55.6,351000,9.1,8.3,52,11.9,1,825015,1000,7.9,104432.27848101265,0.9575583474239864,5,0.6060495869772065,3,1,5,17.5,2.121173554420223,825015,0,1,0,0
34025,Monmouth,NJ,LargeFringe_Urban,6.2,33.7,32.41,2.7,17.4,33.59,21.9,10.8,17.7,79.43,16,17.1,31.8,71.71,104000,5.9,5.5,4.5,52.7,435000,7.1,8.9,37,9.4,0.8,776026.25,1250,10.5,59125.80952380953,1.6913087669392628,5,0.8053851271139346,5,1,5,19.4,3.124894293202066,620821,0,1,0,0
34027,Morris,NJ,LargeFringe_Urban,5.7,33.7,32.41,2.4,17.4,33.59,21.9,9.4,17.1,79.43,14.7,15.5,30.2,71.71,114000,4.7,5,2.5,44.7,462000,5.7,6,46,7.3,1,492715,1000,7.5,65695.33333333333,1.5221781354332626,3,0.608871254173305,2,1,2,15.9,3.227017647118517,492715,0,1,0,0
34029,Ocean,NJ,LargeFringe_Urban,7.8,33.7,32.41,3.4,17.4,33.59,21.9,14,22.6,79.43,14.5,19.8,28.4,71.71,78000,10.5,6,7.7,68.6,287000,7.2,6.6,43,16,2.4,250840.83333333337,416.6666666666667,18.4,32718.369565217396,3.0563870183283557,4,0.6644319605061643,4,0,3,13.6,2.2590686657209584,602018,0,1,0,0
34031,Passaic,NJ,LargeFringe_Urban,6.4,33.7,32.41,3.1,17.4,33.59,21.9,13.1,14.6,79.43,18.6,17.5,25.4,71.71,64000,16.9,8.4,18,70.5,352000,14.2,7.4,93,13.7,1.7,295742.9411764706,588.2352941176471,12.2,41210.08196721312,2.42659066001277,2,0.39780174754307696,1,1,1,23.5,4.6741705336311545,502763,0,1,0,0
34033,Salem,NJ,LargeFringe_Urban,7.7,33.7,32.41,3.7,17.4,33.59,21.9,16.9,18.6,79.43,13.7,18.1,18.3,71.71,66000,12.2,7.3,11.8,78.3,186000,8.5,9.4,40,16.8,2.8,22412.14285714286,357.14285714285717,62.4,1005.6730769230768,99.4358925327469,2,3.187047837588042,1,1,1,12.3,19.60034420116646,62754,0,1,0,0
34035,Somerset,NJ,LargeFringe_Urban,5.5,33.7,32.41,2.4,17.4,33.59,21.9,9.2,15.8,79.43,15.1,13.7,25.2,71.71,116000,4.8,5.1,2.8,44.4,437000,6.6,9.3,33,6.6,0.8,412688.75,1250,8.4,39303.69047619047,2.5442903398747845,1,0.30289170712795055,1,0,1,14.5,4.391929753355282,330151,0,1,0,0
34037,Sussex,NJ,LargeFringe_Urban,6.5,33.7,32.41,2.7,17.4,33.59,21.9,12.9,17.4,79.43,15,16.2,25.1,71.71,93000,5.4,5.9,2.6,63.4,272000,5.7,8.3,52,9.1,2.1,67140.95238095238,476.1904761904762,17.6,8011.136363636363,12.482623620528244,1,0.7092399784391047,1,0,1,11.8,8.369031745581436,140996,0,1,0,0
34039,Union,NJ,Large_Urban,5.8,33.7,32.41,2.9,17.4,33.59,21.1,12.1,14.5,79.43,18.1,12.7,21.3,71.71,83000,9.2,6.7,7.1,62.9,379000,12.6,10.3,75,13.3,1.5,370138.6666666667,666.6666666666667,13.6,40824.117647058825,2.4495324274866355,3,0.5403380354749932,3,3,3,17.8,3.206005677151626,555208,1,0,0,0
34041,Warren,NJ,MediumSmall_Urban,6.7,33.7,32.41,2.9,17.4,33.59,22.8,13.3,18.1,79.43,14.2,23.5,28.1,71.71,80000,7.3,5.5,6.1,65.5,266000,7.6,9.3,48,11.8,1.6,66081.25,625,105.3,1004.0835707502374,99.59330369809894,2,1.8916107065165988,2,0,2,14.6,13.808758157571171,105730,0,0,1,0
34017,Hudson,NJ,Large_Urban,4.8,33.7,32.41,2.4,17.4,33.59,21.1,12.3,12,79.43,21.7,18.9,10.6,71.71,77000,13.1,6.8,13.1,56,401000,13.5,9.6,75,12.4,1.8,373290.5555555555,555.5555555555555,20.4,32937.401960784315,3.0360621678376836,6,0.8929594611287305,1,1,3,25.7,3.8248430251680623,671923,1,0,0,0
02013,Aleutians East,AK,Rural,5.9,34.1,31.2,3.1,9.9,27.2,21.5,18.5,11.2,79.4,14.6,18.4,35.7,67,79000,15.1,2.3,2.6,83.4,137000,23.3,7.5,66,42.1,22,154.04545454545453,45.454545454545446,12.75,265.80392156862746,376.2171732074358,0,0,0,0,0,0,0,3389,0,0,0,1
02060,Bristol Bay,AK,Rural,7.5,33.6,32.3,3.7,9.2,24.6,20.9,17.8,11.6,82.1,14.6,18.4,35.7,68.6,87000,10.7,5.6,6.5,74.2,222000,15.1,7.5,30,19,22,33.59090909090909,45.45454545454545,12.75,57.96078431372549,1725.3044654939108,0,0,0,0,0,0,0,739,0,0,0,1
02068,Denali,AK,Rural,5.7,30.9,30.9,2.7,6.7,20.6,16.7,17.4,10.5,81.2,14.6,18.4,35.7,66.6,80000,6.4,10.1,3.5,60.9,234000,11.5,7.5,59,14.9,22,113.72727272727272,45.45454545454545,12.75,196.23529411764707,509.5923261390887,0,0,0,0,0,0,0,2502,0,0,0,1
02164,Lake and Peninsula,AK,Rural,7.7,37.5,31.7,4.3,9.1,23.1,21.9,25.1,10.6,78.6,14.6,18.4,35.7,67.9,54000,17.6,8.9,14.3,76.9,121000,19.1,7.5,58,31.4,22,52.54545454545455,45.45454545454545,12.75,90.66666666666669,1102.9411764705883,0,0,0,0,0,0,0,1156,0,0,0,1
