fips,county,state,UrbanRural,CHD,HighBP,HighChol,Stroke,Diabetes,Obesity,PhysInactivity,Smoker,Age65Plus,CholScreen,CholMedNonAdhear,CholMedElegible,cruParticipate,bpmUse,MedHouseIncome,Poverty,Unemploy,SNAPrecipients,EdLessColl,MedHomeValue,HealthIns,AirQuality,Parks,Broadband,pcp,TotalPCP,PSP1k,CardioPhys,TotalCardio,Cardio100k,Hospitals,Hosp100k,HospCR,HospCIC,HospED,Pharmacies,Pharm100k,pop,PopAllGenders,PopMen,PopWomen,AIAN,AIANmen,AIANwomen,ANHPI,ANHPImen,ANHPIwomen,Black,BlackMen,BlackWomen,Hispanic,HispanicMen,HispanicWomen,TwoPlusWomen,TwoPlus,TwoPlusMen,OtherRace,OtherRaceMen,OtherRaceWomen,White,WhiteMen,WhiteWomen,UrbanRural_Large_Urban,UrbanRural_LargeFringe_Urban,UrbanRural_MediumSmall_Urban,UrbanRural_Rural,state_AK,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_VT,state_WA,state_WI,state_WV,state_WY
34001,Atlantic,NJ,MediumSmall_Urban,7.6,33.7,32.41,3.5,17.4,33.59,22.8,15.9,18.1,79.43,16.4,20.6,22.5,71.71,61000,13.8,9.5,13.3,71.2,217000,10.7,7.3,55,14.6,1.2,220541.6666666667,833.3333333333334,12,22054.166666666668,4.534290572454185,2,0.7557150954090308,1,1,1,15,5.66786321556773,264650,208390,99387,109003,872,498,374,16216,7733,8483,29354,13401,15953,33955,16974,16981,5154,9089,3935,14099,7396,6703,124841,59664,65177,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34003,Bergen,NJ,LargeFringe_Urban,5.5,33.7,32.41,2.5,17.4,33.59,21.9,10.2,17.3,79.43,15.9,15.5,27.4,71.71,107000,6.4,6,3.4,49.3,477000,8.4,9.9,50,8.8,0.8,1164093.75,1250,5.5,169322.72727272726,0.5905881721296072,5,0.536898338299643,5,3,5,17.9,1.9220960511127216,931275,733791,351387,382404,1456,658,798,122846,57724,65122,43477,20071,23406,141011,68310,72701,15723,30558,14835,22521,11187,11334,419176,202160,217016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34005,Burlington,NJ,LargeFringe_Urban,6.2,33.7,32.41,2.8,17.4,33.59,21.9,12.4,17,79.43,13.8,14.8,19,71.71,92000,6,5.3,4.6,61.5,260000,6,9.9,33,9.2,1.2,371917.5,833.3333333333334,10.6,42103.867924528306,2.3750787024900237,3,0.672192085610384,1,1,3,14.5,3.248928413783523,446301,353260,172387,180873,587,371,216,18085,8395,9690,58871,29078,29793,26049,13888,12161,6355,12849,6494,7304,3552,3752,242340,117321,125019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34007,Camden,NJ,LargeFringe_Urban,6.2,33.7,32.41,3.1,17.4,33.59,21.9,14.9,15.7,79.43,15,16,16.5,71.71,72000,12.4,6.8,12.2,67.7,200000,8.2,10.1,56,13.5,1,506721,1000,8,63340.125,1.5787780652469507,4,0.7893890326234754,2,2,4,19.5,3.8482715340394416,506721,391315,185539,205776,580,327,253,22901,10763,12138,72833,32266,40567,57640,28136,29504,7009,13311,6302,27382,14330,13052,232841,111632,121209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34009,Cape May,NJ,MediumSmall_Urban,8.6,33.7,32.41,3.6,17.4,33.59,22.8,13.4,26.6,79.43,13.7,19,35.2,71.71,76000,9.6,8.9,7.5,66.4,306000,9.2,7.8,85,13,1.7,54530,588.2352941176471,9.2,10076.195652173914,9.924380535269306,1,1.0787370147031856,1,0,1,22.1,23.840088024940403,92701,76446,36897,39549,35,19,16,430,131,299,3080,1617,1463,4543,2422,2121,700,1511,811,1220,581,639,67152,32087,35065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34011,Cumberland,NJ,MediumSmall_Urban,7.5,33.7,32.41,3.8,17.4,33.59,22.8,18.8,15.2,79.43,15.6,16.9,22,71.71,60000,13.1,7.7,16.5,83.4,166000,12.1,7.8,38,17.9,2.3,65254.34782608696,434.78260869565224,24.9,6027.510040160643,16.590598660758904,1,0.666289102841723,1,1,1,13.6,9.061531798647433,150085,114047,58285,55762,1011,460,551,1594,734,860,22452,12609,9843,30608,16111,14497,2643,5569,2926,7953,4920,3033,57118,27677,29441,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34013,Essex,NJ,Large_Urban,6.1,33.7,32.41,3.3,17.4,33.59,21.1,14.3,13.7,79.43,20.5,15.1,22.3,71.71,66000,14.3,8,13.3,63.7,396000,12,8.9,73,17.5,1.2,665581.6666666667,833.3333333333335,8.5,93964.4705882353,1.064232037641261,8,1.0016301530741283,5,5,6,19.7,2.4665142519450405,798698,608670,287420,321250,1651,838,813,34897,16271,18626,238092,106513,131579,131859,66259,65600,14420,27934,13514,47994,24135,23859,194182,93845,100337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34015,Gloucester,NJ,LargeFringe_Urban,6,33.7,32.41,2.7,17.4,33.59,21.9,13.1,15.9,79.43,13.9,14.9,18.7,71.71,87000,7,6,5.9,66.2,224000,5.7,7.4,31,10.2,1.8,162080.55555555556,555.5555555555555,22.4,13024.330357142859,7.677937925242934,1,0.3427650859483453,1,0,1,12.6,4.3188400829491504,291745,227913,109229,118684,306,179,127,6783,3167,3616,23359,10616,12743,12453,6231,6222,2606,4833,2227,4456,2149,2307,182097,87694,94403,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34019,Hunterdon,NJ,LargeFringe_Urban,6.2,33.7,32.41,2.6,17.4,33.59,21.9,9.8,18.6,79.43,12.7,15,37.8,71.71,114000,4.1,4.6,1.9,46,419000,5.2,8.5,32,8.1,0.8,156328.75,1250,10.4,12025.288461538461,8.315808832348496,1,0.7995970031104322,1,1,1,14.7,11.754075945723356,125063,100908,49748,51160,121,74,47,4082,1924,2158,2890,1882,1008,5978,3061,2917,1202,2222,1020,981,706,275,86944,42490,44454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34021,Mercer,NJ,MediumSmall_Urban,5.8,33.7,32.41,2.8,17.4,33.59,22.8,11.8,15.3,79.43,15.8,14.5,20.8,71.71,88000,9.5,5.2,7.4,56.5,290000,9.6,8.6,53,15.1,1,368085,1000,8.4,43819.642857142855,2.282081584416643,4,1.0867055163888777,2,1,4,18.1,4.917342461659671,368085,289586,139769,149817,656,354,302,32643,15997,16646,57308,26355,30953,45181,23903,21278,4780,8777,3997,10049,5482,4567,152143,72761,79382,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
