"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",67,"56 - 75 (625)"
02016,"""Aleutians West, (AK)""",63.2,"56 - 75 (625)"
02020,"""Anchorage, (AK)""",64,"56 - 75 (625)"
02050,"""Bethel, (AK)""",64.1,"56 - 75 (625)"
02060,"""Bristol Bay, (AK)""",68.6,"56 - 75 (625)"
02068,"""Denali, (AK)""",66.6,"56 - 75 (625)"
02070,"""Dillingham, (AK)""",66.2,"56 - 75 (625)"
02090,"""Fairbanks North Star, (AK)""",62.2,"56 - 75 (625)"
02100,"""Haines, (AK)""",73.8,"56 - 75 (625)"
02105,"""Hoonah-Angoon, (AK)""",74.4,"56 - 75 (625)"
02110,"""Juneau, (AK)""",66,"56 - 75 (625)"
02122,"""Kenai Peninsula, (AK)""",71.4,"56 - 75 (625)"
02130,"""Ketchikan Gateway, (AK)""",69,"56 - 75 (625)"
02150,"""Kodiak Island, (AK)""",65.4,"56 - 75 (625)"
02164,"""Lake and Peninsula, (AK)""",67.9,"56 - 75 (625)"
02170,"""Matanuska-Susitna, (AK)""",66.5,"56 - 75 (625)"
02180,"""Nome, (AK)""",63.2,"56 - 75 (625)"
02185,"""North Slope, (AK)""",62.8,"56 - 75 (625)"
02188,"""Northwest Arctic, (AK)""",63.6,"56 - 75 (625)"
02195,"""Petersburg, (AK)""",71.8,"56 - 75 (625)"
02198,"""Prince of Wales-Hyder, (AK)""",71,"56 - 75 (625)"
02220,"""Sitka, (AK)""",68.9,"56 - 75 (625)"
02230,"""Skagway, (AK)""",67,"56 - 75 (625)"
02240,"""Southeast Fairbanks, (AK)""",69.5,"56 - 75 (625)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",61.9,"56 - 75 (625)"
02275,"""Wrangell, (AK)""",75,"75 - 77 (636)"
02282,"""Yakutat, (AK)""",71.4,"56 - 75 (625)"
02290,"""Yukon-Koyukuk, (AK)""",70.6,"56 - 75 (625)"
06001,"""Alameda, (CA)""",70.2,"56 - 75 (625)"
06005,"""Amador, (CA)""",74.9,"75 - 77 (636)"
06007,"""Butte, (CA)""",70.5,"56 - 75 (625)"
06009,"""Calaveras, (CA)""",76.2,"75 - 77 (636)"
06011,"""Colusa, (CA)""",68.6,"56 - 75 (625)"
06013,"""Contra Costa, (CA)""",70.1,"56 - 75 (625)"
06015,"""Del Norte, (CA)""",71.2,"56 - 75 (625)"
06017,"""El Dorado, (CA)""",73.9,"56 - 75 (625)"
06021,"""Glenn, (CA)""",70.2,"56 - 75 (625)"
06023,"""Humboldt, (CA)""",71,"56 - 75 (625)"
06031,"""Kings, (CA)""",65.2,"56 - 75 (625)"
06033,"""Lake, (CA)""",75.1,"75 - 77 (636)"
06035,"""Lassen, (CA)""",65.9,"56 - 75 (625)"
06041,"""Marin, (CA)""",75,"75 - 77 (636)"
06043,"""Mariposa, (CA)""",77.1,"75 - 77 (636)"
06045,"""Mendocino, (CA)""",73.2,"56 - 75 (625)"
06047,"""Merced, (CA)""",66.6,"56 - 75 (625)"
06049,"""Modoc, (CA)""",76.1,"75 - 77 (636)"
06053,"""Monterey, (CA)""",68,"56 - 75 (625)"
06055,"""Napa, (CA)""",71.2,"56 - 75 (625)"
06057,"""Nevada, (CA)""",76.2,"75 - 77 (636)"
06061,"""Placer, (CA)""",73.5,"56 - 75 (625)"
06063,"""Plumas, (CA)""",76.7,"75 - 77 (636)"
06067,"""Sacramento, (CA)""",69.5,"56 - 75 (625)"
06069,"""San Benito, (CA)""",67.6,"56 - 75 (625)"
06075,"""San Francisco, (CA)""",69.7,"56 - 75 (625)"
06077,"""San Joaquin, (CA)""",66.8,"56 - 75 (625)"
06079,"""San Luis Obispo, (CA)""",72.6,"56 - 75 (625)"
06081,"""San Mateo, (CA)""",69.5,"56 - 75 (625)"
06083,"""Santa Barbara, (CA)""",68.4,"56 - 75 (625)"
06085,"""Santa Clara, (CA)""",68.5,"56 - 75 (625)"
06087,"""Santa Cruz, (CA)""",69.9,"56 - 75 (625)"
06089,"""Shasta, (CA)""",73.1,"56 - 75 (625)"
06091,"""Sierra, (CA)""",78.2,"77 - 79 (650)"
06093,"""Siskiyou, (CA)""",76.5,"75 - 77 (636)"
06095,"""Solano, (CA)""",71,"56 - 75 (625)"
06097,"""Sonoma, (CA)""",72,"56 - 75 (625)"
06099,"""Stanislaus, (CA)""",66.6,"56 - 75 (625)"
06101,"""Sutter, (CA)""",70.3,"56 - 75 (625)"
06103,"""Tehama, (CA)""",72.8,"56 - 75 (625)"
06105,"""Trinity, (CA)""",77.7,"77 - 79 (650)"
06109,"""Tuolumne, (CA)""",75.1,"75 - 77 (636)"
06113,"""Yolo, (CA)""",68.2,"56 - 75 (625)"
06115,"""Yuba, (CA)""",68.4,"56 - 75 (625)"
15001,"""Hawaii, (HI)""",74.7,"56 - 75 (625)"
15003,"""Honolulu, (HI)""",73.7,"56 - 75 (625)"
15005,"""Kalawao, (HI)""",80.6,"80 - 86 (615)"
15007,"""Kauai, (HI)""",76.1,"75 - 77 (636)"
15009,"""Maui, (HI)""",73.2,"56 - 75 (625)"
41003,"""Benton, (OR)""",69.8,"56 - 75 (625)"
41005,"""Clackamas, (OR)""",70.3,"56 - 75 (625)"
41007,"""Clatsop, (OR)""",73.7,"56 - 75 (625)"
41009,"""Columbia, (OR)""",72.5,"56 - 75 (625)"
41011,"""Coos, (OR)""",76.2,"75 - 77 (636)"
41013,"""Crook, (OR)""",75.6,"75 - 77 (636)"
41015,"""Curry, (OR)""",79.4,"79 - 80 (594)"
41017,"""Deschutes, (OR)""",72.6,"56 - 75 (625)"
41019,"""Douglas, (OR)""",76.9,"75 - 77 (636)"
41021,"""Gilliam, (OR)""",77.3,"77 - 79 (650)"
