"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",15.3,"14 - 16 (620)"
02050,"""Bethel, (AK)""",27.8,"18 - 45 (612)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",15.7,"16 - 17 (609)"
02100,"""Haines, (AK)""",16.2,"16 - 17 (609)"
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",16.2,"16 - 17 (609)"
02122,"""Kenai Peninsula, (AK)""",14.6,"14 - 16 (620)"
02130,"""Ketchikan Gateway, (AK)""",16.6,"16 - 17 (609)"
02150,"""Kodiak Island, (AK)""",14.4,"14 - 16 (620)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",15.5,"14 - 16 (620)"
02180,"""Nome, (AK)""",26,"18 - 45 (612)"
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",40.5,"18 - 45 (612)"
02195,"""Petersburg, (AK)""",17.9,"18 - 45 (612)"
02198,"""Prince of Wales-Hyder, (AK)""",22.8,"18 - 45 (612)"
02220,"""Sitka, (AK)""",18.6,"18 - 45 (612)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",18.1,"18 - 45 (612)"
02261,"""Valdez-Cordova, (AK)""",15.4,"14 - 16 (620)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",16.1,"16 - 17 (609)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",26.8,"18 - 45 (612)"
06001,"""Alameda, (CA)""",12.9,"13 - 14 (649)"
06005,"""Amador, (CA)""",12.2,"8 - 13 (652)"
06007,"""Butte, (CA)""",17.2,"16 - 17 (609)"
06009,"""Calaveras, (CA)""",13.8,"13 - 14 (649)"
06011,"""Colusa, (CA)""",15.3,"14 - 16 (620)"
06013,"""Contra Costa, (CA)""",12.5,"8 - 13 (652)"
06015,"""Del Norte, (CA)""",13.7,"13 - 14 (649)"
06017,"""El Dorado, (CA)""",11.7,"8 - 13 (652)"
06021,"""Glenn, (CA)""",17.6,"18 - 45 (612)"
06023,"""Humboldt, (CA)""",14,"13 - 14 (649)"
06031,"""Kings, (CA)""",18.3,"18 - 45 (612)"
06033,"""Lake, (CA)""",17.3,"16 - 17 (609)"
06035,"""Lassen, (CA)""",15.9,"16 - 17 (609)"
06041,"""Marin, (CA)""",11.8,"8 - 13 (652)"
06043,"""Mariposa, (CA)""",16.6,"16 - 17 (609)"
06045,"""Mendocino, (CA)""",14.8,"14 - 16 (620)"
06047,"""Merced, (CA)""",18.7,"18 - 45 (612)"
06049,"""Modoc, (CA)""",16,"16 - 17 (609)"
06053,"""Monterey, (CA)""",18,"18 - 45 (612)"
06055,"""Napa, (CA)""",12.4,"8 - 13 (652)"
06057,"""Nevada, (CA)""",14.9,"14 - 16 (620)"
06061,"""Placer, (CA)""",11.4,"8 - 13 (652)"
06063,"""Plumas, (CA)""",16.6,"16 - 17 (609)"
06067,"""Sacramento, (CA)""",12.5,"8 - 13 (652)"
06069,"""San Benito, (CA)""",16.7,"16 - 17 (609)"
06075,"""San Francisco, (CA)""",13,"13 - 14 (649)"
06077,"""San Joaquin, (CA)""",14.5,"14 - 16 (620)"
06079,"""San Luis Obispo, (CA)""",14.4,"14 - 16 (620)"
06081,"""San Mateo, (CA)""",12.7,"13 - 14 (649)"
06083,"""Santa Barbara, (CA)""",16.2,"16 - 17 (609)"
06085,"""Santa Clara, (CA)""",13.3,"13 - 14 (649)"
06087,"""Santa Cruz, (CA)""",14.6,"14 - 16 (620)"
06089,"""Shasta, (CA)""",16.3,"16 - 17 (609)"
06091,"""Sierra, (CA)""",15.7,"16 - 17 (609)"
06093,"""Siskiyou, (CA)""",16.3,"16 - 17 (609)"
06095,"""Solano, (CA)""",12.3,"8 - 13 (652)"
06097,"""Sonoma, (CA)""",11.6,"8 - 13 (652)"
06099,"""Stanislaus, (CA)""",14.2,"14 - 16 (620)"
06101,"""Sutter, (CA)""",16.9,"16 - 17 (609)"
06103,"""Tehama, (CA)""",16.6,"16 - 17 (609)"
06105,"""Trinity, (CA)""",15.6,"16 - 17 (609)"
06109,"""Tuolumne, (CA)""",16.2,"16 - 17 (609)"
06113,"""Yolo, (CA)""",12.4,"8 - 13 (652)"
06115,"""Yuba, (CA)""",15.9,"16 - 17 (609)"
15001,"""Hawaii, (HI)""",14,"13 - 14 (649)"
15003,"""Honolulu, (HI)""",14,"13 - 14 (649)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",14,"13 - 14 (649)"
15009,"""Maui, (HI)""",14,"13 - 14 (649)"
41003,"""Benton, (OR)""",11.5,"8 - 13 (652)"
41005,"""Clackamas, (OR)""",11.6,"8 - 13 (652)"
41007,"""Clatsop, (OR)""",13.2,"13 - 14 (649)"
41009,"""Columbia, (OR)""",11,"8 - 13 (652)"
41011,"""Coos, (OR)""",15.1,"14 - 16 (620)"
41013,"""Crook, (OR)""",13.7,"13 - 14 (649)"
41015,"""Curry, (OR)""",14.8,"14 - 16 (620)"
41017,"""Deschutes, (OR)""",13.5,"13 - 14 (649)"
41019,"""Douglas, (OR)""",14.7,"14 - 16 (620)"
41021,"""Gilliam, (OR)""",16.1,"16 - 17 (609)"
41027,"""Hood River, (OR)""",12.5,"8 - 13 (652)"
41029,"""Jackson, (OR)""",13.7,"13 - 14 (649)"
41031,"""Jefferson, (OR)""",13.3,"13 - 14 (649)"
41033,"""Josephine, (OR)""",14.1,"14 - 16 (620)"
41035,"""Klamath, (OR)""",14.1,"14 - 16 (620)"
41037,"""Lake, (OR)""",16,"16 - 17 (609)"
41039,"""Lane, (OR)""",12.3,"8 - 13 (652)"
41041,"""Lincoln, (OR)""",12.4,"8 - 13 (652)"
41043,"""Linn, (OR)""",12.4,"8 - 13 (652)"
41047,"""Marion, (OR)""",12.1,"8 - 13 (652)"
41051,"""Multnomah, (OR)""",12.4,"8 - 13 (652)"
41053,"""Polk, (OR)""",11.6,"8 - 13 (652)"
41055,"""Sherman, (OR)""",12.6,"13 - 14 (649)"
41057,"""Tillamook, (OR)""",13.3,"13 - 14 (649)"
41065,"""Wasco, (OR)""",12.2,"8 - 13 (652)"
41067,"""Washington, (OR)""",11.4,"8 - 13 (652)"
41069,"""Wheeler, (OR)""",13.5,"13 - 14 (649)"
41071,"""Yamhill, (OR)""",11.8,"8 - 13 (652)"
53007,"""Chelan, (WA)""",13.6,"13 - 14 (649)"
53009,"""Clallam, (WA)""",13.1,"13 - 14 (649)"
53011,"""Clark, (WA)""",11.2,"8 - 13 (652)"
53015,"""Cowlitz, (WA)""",11.5,"8 - 13 (652)"
53027,"""Grays Harbor, (WA)""",15.9,"16 - 17 (609)"
53029,"""Island, (WA)""",11.5,"8 - 13 (652)"
53031,"""Jefferson, (WA)""",14.7,"14 - 16 (620)"
53033,"""King, (WA)""",12.9,"13 - 14 (649)"
53035,"""Kitsap, (WA)""",13.4,"13 - 14 (649)"
53037,"""Kittitas, (WA)""",13.6,"13 - 14 (649)"
53039,"""Klickitat, (WA)""",15.2,"14 - 16 (620)"
53041,"""Lewis, (WA)""",13.9,"13 - 14 (649)"
53045,"""Mason, (WA)""",13.5,"13 - 14 (649)"
53047,"""Okanogan, (WA)""",14.8,"14 - 16 (620)"
53049,"""Pacific, (WA)""",14.9,"14 - 16 (620)"
53053,"""Pierce, (WA)""",13.6,"13 - 14 (649)"
53055,"""San Juan, (WA)""",13.1,"13 - 14 (649)"
53057,"""Skagit, (WA)""",12.6,"13 - 14 (649)"
53059,"""Skamania, (WA)""",13.2,"13 - 14 (649)"
53061,"""Snohomish, (WA)""",11.6,"8 - 13 (652)"
53067,"""Thurston, (WA)""",11.9,"8 - 13 (652)"
53069,"""Wahkiakum, (WA)""",10.7,"8 - 13 (652)"
53073,"""Whatcom, (WA)""",13.4,"13 - 14 (649)"
53077,"""Yakima, (WA)""",15.3,"14 - 16 (620)"
04001,"""Apache, (AZ)""",37.8,"18 - 45 (612)"
04003,"""Cochise, (AZ)""",17,"16 - 17 (609)"
04005,"""Coconino, (AZ)""",19.4,"18 - 45 (612)"
04007,"""Gila, (AZ)""",17.3,"16 - 17 (609)"
04009,"""Graham, (AZ)""",17.5,"18 - 45 (612)"
04011,"""Greenlee, (AZ)""",16.1,"16 - 17 (609)"
04012,"""La Paz, (AZ)""",16.8,"16 - 17 (609)"
04013,"""Maricopa, (AZ)""",15,"14 - 16 (620)"
04015,"""Mohave, (AZ)""",14.6,"14 - 16 (620)"
04017,"""Navajo, (AZ)""",24.6,"18 - 45 (612)"
04019,"""Pima, (AZ)""",15.3,"14 - 16 (620)"
04021,"""Pinal, (AZ)""",15.1,"14 - 16 (620)"
04023,"""Santa Cruz, (AZ)""",18.3,"18 - 45 (612)"
04025,"""Yavapai, (AZ)""",13.8,"13 - 14 (649)"
04027,"""Yuma, (AZ)""",19.8,"18 - 45 (612)"
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",17,"16 - 17 (609)"
06025,"""Imperial, (CA)""",22.4,"18 - 45 (612)"
06027,"""Inyo, (CA)""",17.6,"18 - 45 (612)"
06029,"""Kern, (CA)""",17.2,"16 - 17 (609)"
