"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",16.7,"17 - 19 (617)"
02050,"""Bethel, (AK)""",12.2,"6 - 14 (625)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",13,"6 - 14 (625)"
02100,"""Haines, (AK)""",15.2,"14 - 17 (604)"
02105,"""Hoonah-Angoon, (AK)""",20.5,"19 - 23 (603)"
02110,"""Juneau, (AK)""",13.1,"6 - 14 (625)"
02122,"""Kenai Peninsula, (AK)""",15.8,"14 - 17 (604)"
02130,"""Ketchikan Gateway, (AK)""",21.2,"19 - 23 (603)"
02150,"""Kodiak Island, (AK)""",15.9,"14 - 17 (604)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",17.7,"17 - 19 (617)"
02180,"""Nome, (AK)""",17.5,"17 - 19 (617)"
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",16.7,"17 - 19 (617)"
02195,"""Petersburg, (AK)""",19.8,"19 - 23 (603)"
02198,"""Prince of Wales-Hyder, (AK)""",18.9,"17 - 19 (617)"
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",14.7,"14 - 17 (604)"
02261,"""Valdez-Cordova, (AK)""",16.7,"17 - 19 (617)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",29.9,"23 - 52 (602)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",13.4,"6 - 14 (625)"
06001,"""Alameda, (CA)""",10.6,"6 - 14 (625)"
06005,"""Amador, (CA)""",17.2,"17 - 19 (617)"
06007,"""Butte, (CA)""",14.4,"14 - 17 (604)"
06009,"""Calaveras, (CA)""",15.5,"14 - 17 (604)"
06011,"""Colusa, (CA)""",15,"14 - 17 (604)"
06013,"""Contra Costa, (CA)""",10.9,"6 - 14 (625)"
06015,"""Del Norte, (CA)""",13.2,"6 - 14 (625)"
06017,"""El Dorado, (CA)""",13.4,"6 - 14 (625)"
06021,"""Glenn, (CA)""",16.5,"14 - 17 (604)"
06023,"""Humboldt, (CA)""",17.4,"17 - 19 (617)"
06031,"""Kings, (CA)""",17.8,"17 - 19 (617)"
06033,"""Lake, (CA)""",21.4,"19 - 23 (603)"
06035,"""Lassen, (CA)""",13.9,"6 - 14 (625)"
06041,"""Marin, (CA)""",9.9,"6 - 14 (625)"
06043,"""Mariposa, (CA)""",17.6,"17 - 19 (617)"
06045,"""Mendocino, (CA)""",13.8,"6 - 14 (625)"
06047,"""Merced, (CA)""",17.2,"17 - 19 (617)"
06049,"""Modoc, (CA)""",15.9,"14 - 17 (604)"
06053,"""Monterey, (CA)""",10.6,"6 - 14 (625)"
06055,"""Napa, (CA)""",16.5,"14 - 17 (604)"
06057,"""Nevada, (CA)""",13.1,"6 - 14 (625)"
06061,"""Placer, (CA)""",12.7,"6 - 14 (625)"
06063,"""Plumas, (CA)""",13.8,"6 - 14 (625)"
06067,"""Sacramento, (CA)""",14.2,"6 - 14 (625)"
06069,"""San Benito, (CA)""",16.6,"14 - 17 (604)"
06075,"""San Francisco, (CA)""",10.6,"6 - 14 (625)"
06077,"""San Joaquin, (CA)""",15.1,"14 - 17 (604)"
06079,"""San Luis Obispo, (CA)""",10.4,"6 - 14 (625)"
06081,"""San Mateo, (CA)""",10.7,"6 - 14 (625)"
06083,"""Santa Barbara, (CA)""",11.2,"6 - 14 (625)"
06085,"""Santa Clara, (CA)""",10.8,"6 - 14 (625)"
06087,"""Santa Cruz, (CA)""",10.6,"6 - 14 (625)"
06089,"""Shasta, (CA)""",15.5,"14 - 17 (604)"
06091,"""Sierra, (CA)""",-1,
06093,"""Siskiyou, (CA)""",13.8,"6 - 14 (625)"
06095,"""Solano, (CA)""",10.6,"6 - 14 (625)"
06097,"""Sonoma, (CA)""",14.3,"14 - 17 (604)"
06099,"""Stanislaus, (CA)""",16.4,"14 - 17 (604)"
06101,"""Sutter, (CA)""",19.2,"19 - 23 (603)"
06103,"""Tehama, (CA)""",14.8,"14 - 17 (604)"
06105,"""Trinity, (CA)""",16.7,"17 - 19 (617)"
06109,"""Tuolumne, (CA)""",14.3,"14 - 17 (604)"
06113,"""Yolo, (CA)""",12,"6 - 14 (625)"
06115,"""Yuba, (CA)""",19.2,"19 - 23 (603)"
15001,"""Hawaii, (HI)""",10.8,"6 - 14 (625)"
15003,"""Honolulu, (HI)""",10.8,"6 - 14 (625)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",8.4,"6 - 14 (625)"
15009,"""Maui, (HI)""",9.5,"6 - 14 (625)"
41003,"""Benton, (OR)""",7.8,"6 - 14 (625)"
41005,"""Clackamas, (OR)""",16.3,"14 - 17 (604)"
41007,"""Clatsop, (OR)""",14.6,"14 - 17 (604)"
41009,"""Columbia, (OR)""",20.9,"19 - 23 (603)"
41011,"""Coos, (OR)""",17.4,"17 - 19 (617)"
41013,"""Crook, (OR)""",10.8,"6 - 14 (625)"
41015,"""Curry, (OR)""",11.5,"6 - 14 (625)"
41017,"""Deschutes, (OR)""",12.1,"6 - 14 (625)"
41019,"""Douglas, (OR)""",12.1,"6 - 14 (625)"
41021,"""Gilliam, (OR)""",17.9,"17 - 19 (617)"
41027,"""Hood River, (OR)""",10.9,"6 - 14 (625)"
41029,"""Jackson, (OR)""",15.6,"14 - 17 (604)"
41031,"""Jefferson, (OR)""",17.1,"17 - 19 (617)"
41033,"""Josephine, (OR)""",16.3,"14 - 17 (604)"
41035,"""Klamath, (OR)""",14.9,"14 - 17 (604)"
41037,"""Lake, (OR)""",16.7,"17 - 19 (617)"
41039,"""Lane, (OR)""",14.1,"6 - 14 (625)"
41041,"""Lincoln, (OR)""",12.7,"6 - 14 (625)"
41043,"""Linn, (OR)""",15.5,"14 - 17 (604)"
41047,"""Marion, (OR)""",14.5,"14 - 17 (604)"
41051,"""Multnomah, (OR)""",14.6,"14 - 17 (604)"
41053,"""Polk, (OR)""",18.3,"17 - 19 (617)"
41055,"""Sherman, (OR)""",19,"17 - 19 (617)"
41057,"""Tillamook, (OR)""",16.3,"14 - 17 (604)"
41065,"""Wasco, (OR)""",16.5,"14 - 17 (604)"
41067,"""Washington, (OR)""",16.4,"14 - 17 (604)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",18.5,"17 - 19 (617)"
53007,"""Chelan, (WA)""",12.5,"6 - 14 (625)"
53009,"""Clallam, (WA)""",16.7,"17 - 19 (617)"
53011,"""Clark, (WA)""",14.1,"6 - 14 (625)"
53015,"""Cowlitz, (WA)""",16.4,"14 - 17 (604)"
53027,"""Grays Harbor, (WA)""",16.5,"14 - 17 (604)"
53029,"""Island, (WA)""",14,"6 - 14 (625)"
53031,"""Jefferson, (WA)""",13.1,"6 - 14 (625)"
53033,"""King, (WA)""",13.4,"6 - 14 (625)"
53035,"""Kitsap, (WA)""",14.2,"6 - 14 (625)"
53037,"""Kittitas, (WA)""",14.5,"14 - 17 (604)"
53039,"""Klickitat, (WA)""",13.7,"6 - 14 (625)"
53041,"""Lewis, (WA)""",17.6,"17 - 19 (617)"
53045,"""Mason, (WA)""",15.3,"14 - 17 (604)"
53047,"""Okanogan, (WA)""",14,"6 - 14 (625)"
53049,"""Pacific, (WA)""",17.3,"17 - 19 (617)"
53053,"""Pierce, (WA)""",13.3,"6 - 14 (625)"
53055,"""San Juan, (WA)""",12.3,"6 - 14 (625)"
53057,"""Skagit, (WA)""",14,"6 - 14 (625)"
53059,"""Skamania, (WA)""",19.5,"19 - 23 (603)"
53061,"""Snohomish, (WA)""",15.5,"14 - 17 (604)"
53067,"""Thurston, (WA)""",15.7,"14 - 17 (604)"
53069,"""Wahkiakum, (WA)""",23,"23 - 52 (602)"
53073,"""Whatcom, (WA)""",13.7,"6 - 14 (625)"
53077,"""Yakima, (WA)""",14.3,"14 - 17 (604)"
04001,"""Apache, (AZ)""",14.8,"14 - 17 (604)"
04003,"""Cochise, (AZ)""",18.9,"17 - 19 (617)"
04005,"""Coconino, (AZ)""",10,"6 - 14 (625)"
04007,"""Gila, (AZ)""",21.1,"19 - 23 (603)"
04009,"""Graham, (AZ)""",18.5,"17 - 19 (617)"
04011,"""Greenlee, (AZ)""",19,"17 - 19 (617)"
04012,"""La Paz, (AZ)""",17.3,"17 - 19 (617)"
04013,"""Maricopa, (AZ)""",14.8,"14 - 17 (604)"
04015,"""Mohave, (AZ)""",19.5,"19 - 23 (603)"
04017,"""Navajo, (AZ)""",14.1,"6 - 14 (625)"
04019,"""Pima, (AZ)""",13.5,"6 - 14 (625)"
04021,"""Pinal, (AZ)""",18.3,"17 - 19 (617)"
04023,"""Santa Cruz, (AZ)""",12.8,"6 - 14 (625)"
04025,"""Yavapai, (AZ)""",13.8,"6 - 14 (625)"
04027,"""Yuma, (AZ)""",22.2,"19 - 23 (603)"
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",15.7,"14 - 17 (604)"
06025,"""Imperial, (CA)""",17.5,"17 - 19 (617)"
06027,"""Inyo, (CA)""",13.3,"6 - 14 (625)"
06029,"""Kern, (CA)""",19.7,"19 - 23 (603)"
06037,"""Los Angeles, (CA)""",15.1,"14 - 17 (604)"
