"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0 (2666)"
02016,"""Aleutians West, (AK)""",0,"0 (2666)"
02020,"""Anchorage, (AK)""",1,"1 (377)"
02050,"""Bethel, (AK)""",0,"0 (2666)"
02060,"""Bristol Bay, (AK)""",0,"0 (2666)"
02068,"""Denali, (AK)""",0,"0 (2666)"
02070,"""Dillingham, (AK)""",0,"0 (2666)"
02090,"""Fairbanks North Star, (AK)""",1,"1 (377)"
02100,"""Haines, (AK)""",0,"0 (2666)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 (2666)"
02110,"""Juneau, (AK)""",0,"0 (2666)"
02122,"""Kenai Peninsula, (AK)""",0,"0 (2666)"
02130,"""Ketchikan Gateway, (AK)""",0,"0 (2666)"
02150,"""Kodiak Island, (AK)""",0,"0 (2666)"
02164,"""Lake and Peninsula, (AK)""",0,"0 (2666)"
02170,"""Matanuska-Susitna, (AK)""",0,"0 (2666)"
02180,"""Nome, (AK)""",0,"0 (2666)"
02185,"""North Slope, (AK)""",0,"0 (2666)"
02188,"""Northwest Arctic, (AK)""",0,"0 (2666)"
02195,"""Petersburg, (AK)""",0,"0 (2666)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0 (2666)"
02220,"""Sitka, (AK)""",0,"0 (2666)"
02230,"""Skagway, (AK)""",0,"0 (2666)"
02240,"""Southeast Fairbanks, (AK)""",0,"0 (2666)"
02261,"""Valdez-Cordova, (AK)""",0,"0 (2666)"
02158,"""Kusilvak, (AK)""",0,"0 (2666)"
02275,"""Wrangell, (AK)""",0,"0 (2666)"
02282,"""Yakutat, (AK)""",0,"0 (2666)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 (2666)"
06001,"""Alameda, (CA)""",3,"2 - 3 (133)"
06005,"""Amador, (CA)""",0,"0 (2666)"
06007,"""Butte, (CA)""",2,"2 - 3 (133)"
06009,"""Calaveras, (CA)""",0,"0 (2666)"
06011,"""Colusa, (CA)""",0,"0 (2666)"
06013,"""Contra Costa, (CA)""",1,"1 (377)"
06015,"""Del Norte, (CA)""",0,"0 (2666)"
06017,"""El Dorado, (CA)""",0,"0 (2666)"
06021,"""Glenn, (CA)""",0,"0 (2666)"
06023,"""Humboldt, (CA)""",1,"1 (377)"
06031,"""Kings, (CA)""",0,"0 (2666)"
06033,"""Lake, (CA)""",0,"0 (2666)"
06035,"""Lassen, (CA)""",0,"0 (2666)"
06041,"""Marin, (CA)""",0,"0 (2666)"
06043,"""Mariposa, (CA)""",0,"0 (2666)"
06045,"""Mendocino, (CA)""",0,"0 (2666)"
06047,"""Merced, (CA)""",0,"0 (2666)"
06049,"""Modoc, (CA)""",0,"0 (2666)"
06053,"""Monterey, (CA)""",2,"2 - 3 (133)"
06055,"""Napa, (CA)""",1,"1 (377)"
06057,"""Nevada, (CA)""",0,"0 (2666)"
06061,"""Placer, (CA)""",0,"0 (2666)"
06063,"""Plumas, (CA)""",0,"0 (2666)"
06067,"""Sacramento, (CA)""",5,"4+ (48)"
06069,"""San Benito, (CA)""",0,"0 (2666)"
06075,"""San Francisco, (CA)""",2,"2 - 3 (133)"
06077,"""San Joaquin, (CA)""",1,"1 (377)"
06079,"""San Luis Obispo, (CA)""",1,"1 (377)"
06081,"""San Mateo, (CA)""",1,"1 (377)"
06083,"""Santa Barbara, (CA)""",1,"1 (377)"
06085,"""Santa Clara, (CA)""",4,"4+ (48)"
06087,"""Santa Cruz, (CA)""",0,"0 (2666)"
06089,"""Shasta, (CA)""",2,"2 - 3 (133)"
06091,"""Sierra, (CA)""",0,"0 (2666)"
06093,"""Siskiyou, (CA)""",0,"0 (2666)"
06095,"""Solano, (CA)""",1,"1 (377)"
06097,"""Sonoma, (CA)""",1,"1 (377)"
06099,"""Stanislaus, (CA)""",1,"1 (377)"
06101,"""Sutter, (CA)""",0,"0 (2666)"
06103,"""Tehama, (CA)""",0,"0 (2666)"
06105,"""Trinity, (CA)""",0,"0 (2666)"
06109,"""Tuolumne, (CA)""",1,"1 (377)"
06113,"""Yolo, (CA)""",0,"0 (2666)"
06115,"""Yuba, (CA)""",0,"0 (2666)"
15001,"""Hawaii, (HI)""",0,"0 (2666)"
15003,"""Honolulu, (HI)""",4,"4+ (48)"
15005,"""Kalawao, (HI)""",0,"0 (2666)"
15007,"""Kauai, (HI)""",0,"0 (2666)"
15009,"""Maui, (HI)""",0,"0 (2666)"
41003,"""Benton, (OR)""",1,"1 (377)"
41005,"""Clackamas, (OR)""",1,"1 (377)"
41007,"""Clatsop, (OR)""",0,"0 (2666)"
41009,"""Columbia, (OR)""",0,"0 (2666)"
41011,"""Coos, (OR)""",0,"0 (2666)"
41013,"""Crook, (OR)""",0,"0 (2666)"
41015,"""Curry, (OR)""",0,"0 (2666)"
41017,"""Deschutes, (OR)""",0,"0 (2666)"
41019,"""Douglas, (OR)""",1,"1 (377)"
41021,"""Gilliam, (OR)""",0,"0 (2666)"
41027,"""Hood River, (OR)""",0,"0 (2666)"
41029,"""Jackson, (OR)""",1,"1 (377)"
41031,"""Jefferson, (OR)""",0,"0 (2666)"
41033,"""Josephine, (OR)""",0,"0 (2666)"
41035,"""Klamath, (OR)""",0,"0 (2666)"
41037,"""Lake, (OR)""",0,"0 (2666)"
41039,"""Lane, (OR)""",0,"0 (2666)"
41041,"""Lincoln, (OR)""",0,"0 (2666)"
41043,"""Linn, (OR)""",0,"0 (2666)"
41047,"""Marion, (OR)""",2,"2 - 3 (133)"
41051,"""Multnomah, (OR)""",3,"2 - 3 (133)"
41053,"""Polk, (OR)""",0,"0 (2666)"
41055,"""Sherman, (OR)""",0,"0 (2666)"
41057,"""Tillamook, (OR)""",1,"1 (377)"
41065,"""Wasco, (OR)""",0,"0 (2666)"
41067,"""Washington, (OR)""",1,"1 (377)"
41069,"""Wheeler, (OR)""",0,"0 (2666)"
41071,"""Yamhill, (OR)""",0,"0 (2666)"
53007,"""Chelan, (WA)""",1,"1 (377)"
53009,"""Clallam, (WA)""",0,"0 (2666)"
53011,"""Clark, (WA)""",1,"1 (377)"
53015,"""Cowlitz, (WA)""",0,"0 (2666)"
53027,"""Grays Harbor, (WA)""",0,"0 (2666)"
53029,"""Island, (WA)""",0,"0 (2666)"
53031,"""Jefferson, (WA)""",0,"0 (2666)"
53033,"""King, (WA)""",5,"4+ (48)"
53035,"""Kitsap, (WA)""",0,"0 (2666)"
