"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0 - 0 (1162)"
02016,"""Aleutians West, (AK)""",0,"0 - 0 (1162)"
02020,"""Anchorage, (AK)""",5.8,"0 - 7 (134)"
02050,"""Bethel, (AK)""",0,"0 - 0 (1162)"
02060,"""Bristol Bay, (AK)""",0,"0 - 0 (1162)"
02068,"""Denali, (AK)""",0,"0 - 0 (1162)"
02070,"""Dillingham, (AK)""",0,"0 - 0 (1162)"
02090,"""Fairbanks North Star, (AK)""",6.3,"0 - 7 (134)"
02100,"""Haines, (AK)""",0,"0 - 0 (1162)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 - 0 (1162)"
02110,"""Juneau, (AK)""",0,"0 - 0 (1162)"
02122,"""Kenai Peninsula, (AK)""",6.8,"0 - 7 (134)"
02130,"""Ketchikan Gateway, (AK)""",0,"0 - 0 (1162)"
02150,"""Kodiak Island, (AK)""",0,"0 - 0 (1162)"
02164,"""Lake and Peninsula, (AK)""",0,"0 - 0 (1162)"
02170,"""Matanuska-Susitna, (AK)""",2.8,"0 - 7 (134)"
02180,"""Nome, (AK)""",0,"0 - 0 (1162)"
02185,"""North Slope, (AK)""",0,"0 - 0 (1162)"
02188,"""Northwest Arctic, (AK)""",0,"0 - 0 (1162)"
02195,"""Petersburg, (AK)""",0,"0 - 0 (1162)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0 - 0 (1162)"
02220,"""Sitka, (AK)""",0,"0 - 0 (1162)"
02230,"""Skagway, (AK)""",0,"0 - 0 (1162)"
02240,"""Southeast Fairbanks, (AK)""",0,"0 - 0 (1162)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",0,"0 - 0 (1162)"
02275,"""Wrangell, (AK)""",0,"0 - 0 (1162)"
02282,"""Yakutat, (AK)""",0,"0 - 0 (1162)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 - 0 (1162)"
06001,"""Alameda, (CA)""",7.6,"7 - 13 (648)"
06005,"""Amador, (CA)""",7.4,"7 - 13 (648)"
06007,"""Butte, (CA)""",11.9,"7 - 13 (648)"
06009,"""Calaveras, (CA)""",8.8,"7 - 13 (648)"
06011,"""Colusa, (CA)""",13.7,"13 - 19 (636)"
06013,"""Contra Costa, (CA)""",7.7,"7 - 13 (648)"
06015,"""Del Norte, (CA)""",0,"0 - 0 (1162)"
06017,"""El Dorado, (CA)""",10.5,"7 - 13 (648)"
06021,"""Glenn, (CA)""",13.8,"13 - 19 (636)"
06023,"""Humboldt, (CA)""",17.6,"13 - 19 (636)"
06031,"""Kings, (CA)""",8.5,"7 - 13 (648)"
06033,"""Lake, (CA)""",13.2,"13 - 19 (636)"
06035,"""Lassen, (CA)""",0,"0 - 0 (1162)"
06041,"""Marin, (CA)""",12.2,"7 - 13 (648)"
06043,"""Mariposa, (CA)""",0,"0 - 0 (1162)"
06045,"""Mendocino, (CA)""",10.9,"7 - 13 (648)"
06047,"""Merced, (CA)""",9.2,"7 - 13 (648)"
06049,"""Modoc, (CA)""",0,"0 - 0 (1162)"
06053,"""Monterey, (CA)""",8,"7 - 13 (648)"
06055,"""Napa, (CA)""",7.3,"0 - 7 (134)"
06057,"""Nevada, (CA)""",9.8,"7 - 13 (648)"
06061,"""Placer, (CA)""",8.9,"7 - 13 (648)"
06063,"""Plumas, (CA)""",25.3,"19 - 124 (642)"
06067,"""Sacramento, (CA)""",8.7,"7 - 13 (648)"
06069,"""San Benito, (CA)""",4.7,"0 - 7 (134)"
06075,"""San Francisco, (CA)""",13,"13 - 19 (636)"
06077,"""San Joaquin, (CA)""",7.2,"0 - 7 (134)"
06079,"""San Luis Obispo, (CA)""",11.7,"7 - 13 (648)"
06081,"""San Mateo, (CA)""",7.5,"7 - 13 (648)"
06083,"""Santa Barbara, (CA)""",8,"7 - 13 (648)"
06085,"""Santa Clara, (CA)""",8,"7 - 13 (648)"
06087,"""Santa Cruz, (CA)""",11.8,"7 - 13 (648)"
06089,"""Shasta, (CA)""",9.3,"7 - 13 (648)"
06091,"""Sierra, (CA)""",0,"0 - 0 (1162)"
06093,"""Siskiyou, (CA)""",6.8,"0 - 7 (134)"
06095,"""Solano, (CA)""",5.5,"0 - 7 (134)"
06097,"""Sonoma, (CA)""",9.2,"7 - 13 (648)"
06099,"""Stanislaus, (CA)""",10,"7 - 13 (648)"
06101,"""Sutter, (CA)""",14.1,"13 - 19 (636)"
06103,"""Tehama, (CA)""",9.1,"7 - 13 (648)"
06105,"""Trinity, (CA)""",18.6,"13 - 19 (636)"
06109,"""Tuolumne, (CA)""",10.8,"7 - 13 (648)"
06113,"""Yolo, (CA)""",7.9,"7 - 13 (648)"
06115,"""Yuba, (CA)""",9.8,"7 - 13 (648)"
15001,"""Hawaii, (HI)""",11,"7 - 13 (648)"
15003,"""Honolulu, (HI)""",8.9,"7 - 13 (648)"
15005,"""Kalawao, (HI)""",0,"0 - 0 (1162)"
15007,"""Kauai, (HI)""",19.1,"13 - 19 (636)"
15009,"""Maui, (HI)""",14.6,"13 - 19 (636)"
41003,"""Benton, (OR)""",6.3,"0 - 7 (134)"
41005,"""Clackamas, (OR)""",7.1,"0 - 7 (134)"
41007,"""Clatsop, (OR)""",12.2,"7 - 13 (648)"
41009,"""Columbia, (OR)""",7.6,"7 - 13 (648)"
41011,"""Coos, (OR)""",7.7,"7 - 13 (648)"
41013,"""Crook, (OR)""",0,"0 - 0 (1162)"
41015,"""Curry, (OR)""",0,"0 - 0 (1162)"
41017,"""Deschutes, (OR)""",7,"0 - 7 (134)"
41019,"""Douglas, (OR)""",9.9,"7 - 13 (648)"
41021,"""Gilliam, (OR)""",0,"0 - 0 (1162)"
41027,"""Hood River, (OR)""",0,"0 - 0 (1162)"
41029,"""Jackson, (OR)""",8.1,"7 - 13 (648)"
41031,"""Jefferson, (OR)""",0,"0 - 0 (1162)"
41033,"""Josephine, (OR)""",4.5,"0 - 7 (134)"
41035,"""Klamath, (OR)""",0,"0 - 0 (1162)"
41037,"""Lake, (OR)""",0,"0 - 0 (1162)"
41039,"""Lane, (OR)""",7.3,"0 - 7 (134)"
41041,"""Lincoln, (OR)""",15.9,"13 - 19 (636)"
41043,"""Linn, (OR)""",7.8,"7 - 13 (648)"
41047,"""Marion, (OR)""",8.1,"7 - 13 (648)"
41051,"""Multnomah, (OR)""",7,"0 - 7 (134)"
41053,"""Polk, (OR)""",4.6,"0 - 7 (134)"
41055,"""Sherman, (OR)""",0,"0 - 0 (1162)"
41057,"""Tillamook, (OR)""",0,"0 - 0 (1162)"
41065,"""Wasco, (OR)""",0,"0 - 0 (1162)"
41067,"""Washington, (OR)""",5.2,"0 - 7 (134)"
41069,"""Wheeler, (OR)""",0,"0 - 0 (1162)"
41071,"""Yamhill, (OR)""",6.5,"0 - 7 (134)"
53007,"""Chelan, (WA)""",6.3,"0 - 7 (134)"
53009,"""Clallam, (WA)""",9.1,"7 - 13 (648)"
53011,"""Clark, (WA)""",5.5,"0 - 7 (134)"
53015,"""Cowlitz, (WA)""",6.3,"0 - 7 (134)"
53027,"""Grays Harbor, (WA)""",15.8,"13 - 19 (636)"
