"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",14.4,"12 - 18 (246)"
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",48.4,"40 - 187 (242)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",-1,
02122,"""Kenai Peninsula, (AK)""",-1,
02130,"""Ketchikan Gateway, (AK)""",13.9,"12 - 18 (246)"
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",36.1,"26 - 40 (240)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",19.7,"18 - 26 (239)"
06005,"""Amador, (CA)""",39.8,"26 - 40 (240)"
06007,"""Butte, (CA)""",43.8,"40 - 187 (242)"
06009,"""Calaveras, (CA)""",-1,
06011,"""Colusa, (CA)""",21.5,"18 - 26 (239)"
06013,"""Contra Costa, (CA)""",18.9,"18 - 26 (239)"
06015,"""Del Norte, (CA)""",-1,
06017,"""El Dorado, (CA)""",32.1,"26 - 40 (240)"
06021,"""Glenn, (CA)""",-1,
06023,"""Humboldt, (CA)""",67.8,"40 - 187 (242)"
06031,"""Kings, (CA)""",51,"40 - 187 (242)"
06033,"""Lake, (CA)""",16.1,"12 - 18 (246)"
06035,"""Lassen, (CA)""",30.6,"26 - 40 (240)"
06041,"""Marin, (CA)""",8.3,"1 - 12 (245)"
06043,"""Mariposa, (CA)""",-1,
06045,"""Mendocino, (CA)""",43.4,"40 - 187 (242)"
06047,"""Merced, (CA)""",69.4,"40 - 187 (242)"
06049,"""Modoc, (CA)""",-1,
06053,"""Monterey, (CA)""",27.1,"26 - 40 (240)"
06055,"""Napa, (CA)""",13.8,"12 - 18 (246)"
06057,"""Nevada, (CA)""",16.6,"12 - 18 (246)"
06061,"""Placer, (CA)""",15.3,"12 - 18 (246)"
06063,"""Plumas, (CA)""",-1,
06067,"""Sacramento, (CA)""",18.7,"18 - 26 (239)"
06069,"""San Benito, (CA)""",-1,
06075,"""San Francisco, (CA)""",8.2,"1 - 12 (245)"
06077,"""San Joaquin, (CA)""",21.8,"18 - 26 (239)"
06079,"""San Luis Obispo, (CA)""",16.7,"12 - 18 (246)"
06081,"""San Mateo, (CA)""",10.2,"1 - 12 (245)"
06083,"""Santa Barbara, (CA)""",21.3,"18 - 26 (239)"
06085,"""Santa Clara, (CA)""",11.7,"12 - 18 (246)"
06087,"""Santa Cruz, (CA)""",39,"26 - 40 (240)"
06089,"""Shasta, (CA)""",22.5,"18 - 26 (239)"
06091,"""Sierra, (CA)""",-1,
06093,"""Siskiyou, (CA)""",-1,
06095,"""Solano, (CA)""",37.3,"26 - 40 (240)"
06097,"""Sonoma, (CA)""",17,"12 - 18 (246)"
06099,"""Stanislaus, (CA)""",27.5,"26 - 40 (240)"
06101,"""Sutter, (CA)""",16.2,"12 - 18 (246)"
06103,"""Tehama, (CA)""",65.1,"40 - 187 (242)"
06105,"""Trinity, (CA)""",-1,
06109,"""Tuolumne, (CA)""",18.2,"18 - 26 (239)"
06113,"""Yolo, (CA)""",44.1,"40 - 187 (242)"
06115,"""Yuba, (CA)""",26.2,"26 - 40 (240)"
15001,"""Hawaii, (HI)""",40.3,"40 - 187 (242)"
15003,"""Honolulu, (HI)""",19.9,"18 - 26 (239)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",72.3,"40 - 187 (242)"
15009,"""Maui, (HI)""",16.7,"12 - 18 (246)"
41003,"""Benton, (OR)""",23.3,"18 - 26 (239)"
41005,"""Clackamas, (OR)""",26.1,"26 - 40 (240)"
41007,"""Clatsop, (OR)""",-1,
41009,"""Columbia, (OR)""",-1,
41011,"""Coos, (OR)""",-1,
41013,"""Crook, (OR)""",-1,
41015,"""Curry, (OR)""",22.9,"18 - 26 (239)"
41017,"""Deschutes, (OR)""",19.8,"18 - 26 (239)"
41019,"""Douglas, (OR)""",27.7,"26 - 40 (240)"
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",23.4,"18 - 26 (239)"
41029,"""Jackson, (OR)""",13.8,"12 - 18 (246)"
41031,"""Jefferson, (OR)""",-1,
41033,"""Josephine, (OR)""",43.7,"40 - 187 (242)"
41035,"""Klamath, (OR)""",34.1,"26 - 40 (240)"
41037,"""Lake, (OR)""",-1,
41039,"""Lane, (OR)""",22.5,"18 - 26 (239)"
41041,"""Lincoln, (OR)""",-1,
41043,"""Linn, (OR)""",-1,
41047,"""Marion, (OR)""",43.5,"40 - 187 (242)"
41051,"""Multnomah, (OR)""",10.2,"1 - 12 (245)"
41053,"""Polk, (OR)""",-1,
41055,"""Sherman, (OR)""",-1,
41057,"""Tillamook, (OR)""",27,"26 - 40 (240)"
41065,"""Wasco, (OR)""",-1,
41067,"""Washington, (OR)""",18.8,"18 - 26 (239)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",53.6,"40 - 187 (242)"
53007,"""Chelan, (WA)""",12.9,"12 - 18 (246)"
53009,"""Clallam, (WA)""",25.8,"26 - 40 (240)"
53011,"""Clark, (WA)""",37.6,"26 - 40 (240)"
53015,"""Cowlitz, (WA)""",110.6,"40 - 187 (242)"
53027,"""Grays Harbor, (WA)""",75.1,"40 - 187 (242)"
53029,"""Island, (WA)""",42.6,"40 - 187 (242)"
53031,"""Jefferson, (WA)""",32.2,"26 - 40 (240)"
53033,"""King, (WA)""",13.7,"12 - 18 (246)"
53035,"""Kitsap, (WA)""",24.7,"18 - 26 (239)"
53037,"""Kittitas, (WA)""",-1,
53039,"""Klickitat, (WA)""",-1,
53041,"""Lewis, (WA)""",-1,
53045,"""Mason, (WA)""",-1,
53047,"""Okanogan, (WA)""",-1,
53049,"""Pacific, (WA)""",-1,
53053,"""Pierce, (WA)""",39.3,"26 - 40 (240)"
53055,"""San Juan, (WA)""",-1,
53057,"""Skagit, (WA)""",21.5,"18 - 26 (239)"
53059,"""Skamania, (WA)""",-1,
53061,"""Snohomish, (WA)""",35.7,"26 - 40 (240)"
53067,"""Thurston, (WA)""",32.3,"26 - 40 (240)"
53069,"""Wahkiakum, (WA)""",-1,
53073,"""Whatcom, (WA)""",22.9,"18 - 26 (239)"
53077,"""Yakima, (WA)""",19.3,"18 - 26 (239)"
04001,"""Apache, (AZ)""",71.9,"40 - 187 (242)"
04003,"""Cochise, (AZ)""",125.9,"40 - 187 (242)"
04005,"""Coconino, (AZ)""",23.9,"18 - 26 (239)"
04007,"""Gila, (AZ)""",27,"26 - 40 (240)"
04009,"""Graham, (AZ)""",-1,
04011,"""Greenlee, (AZ)""",-1,
04012,"""La Paz, (AZ)""",10.6,"1 - 12 (245)"
04013,"""Maricopa, (AZ)""",17.3,"12 - 18 (246)"
04015,"""Mohave, (AZ)""",23.6,"18 - 26 (239)"
04017,"""Navajo, (AZ)""",37,"26 - 40 (240)"
04019,"""Pima, (AZ)""",14.3,"12 - 18 (246)"
04021,"""Pinal, (AZ)""",154.3,"40 - 187 (242)"
04023,"""Santa Cruz, (AZ)""",-1,
04025,"""Yavapai, (AZ)""",13.1,"12 - 18 (246)"
04027,"""Yuma, (AZ)""",16.4,"12 - 18 (246)"
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",24.4,"18 - 26 (239)"
06025,"""Imperial, (CA)""",60.4,"40 - 187 (242)"
06027,"""Inyo, (CA)""",-1,
06029,"""Kern, (CA)""",56.3,"40 - 187 (242)"
06037,"""Los Angeles, (CA)""",15.1,"12 - 18 (246)"
06039,"""Madera, (CA)""",52.4,"40 - 187 (242)"
06051,"""Mono, (CA)""",-1,
06059,"""Orange, (CA)""",15.3,"12 - 18 (246)"
06065,"""Riverside, (CA)""",32.9,"26 - 40 (240)"
06071,"""San Bernardino, (CA)""",29.1,"26 - 40 (240)"
06073,"""San Diego, (CA)""",17,"12 - 18 (246)"
06107,"""Tulare, (CA)""",38.8,"26 - 40 (240)"
06111,"""Ventura, (CA)""",18.8,"18 - 26 (239)"
08007,"""Archuleta, (CO)""",7,"1 - 12 (245)"
08029,"""Delta, (CO)""",-1,
08033,"""Dolores, (CO)""",-1,
08045,"""Garfield, (CO)""",-1,
08051,"""Gunnison, (CO)""",-1,
08053,"""Hinsdale, (CO)""",-1,
08067,"""La Plata, (CO)""",18.7,"18 - 26 (239)"
08077,"""Mesa, (CO)""",38.6,"26 - 40 (240)"
08079,"""Mineral, (CO)""",-1,
08081,"""Moffat, (CO)""",13.3,"12 - 18 (246)"
08083,"""Montezuma, (CO)""",-1,
08085,"""Montrose, (CO)""",42.8,"40 - 187 (242)"
08091,"""Ouray, (CO)""",-1,
