"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",24,"23 - 35 (216)"
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",32.3,"23 - 35 (216)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",32,"23 - 35 (216)"
02122,"""Kenai Peninsula, (AK)""",58.7,"55 - 356 (213)"
02130,"""Ketchikan Gateway, (AK)""",-1,
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",108.3,"55 - 356 (213)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",20.9,"15 - 23 (210)"
06005,"""Amador, (CA)""",19.9,"15 - 23 (210)"
06007,"""Butte, (CA)""",43.8,"36 - 55 (211)"
06009,"""Calaveras, (CA)""",-1,
06011,"""Colusa, (CA)""",-1,
06013,"""Contra Costa, (CA)""",25.1,"23 - 35 (216)"
06015,"""Del Norte, (CA)""",-1,
06017,"""El Dorado, (CA)""",64.3,"55 - 356 (213)"
06021,"""Glenn, (CA)""",-1,
06023,"""Humboldt, (CA)""",45.2,"36 - 55 (211)"
06031,"""Kings, (CA)""",76.5,"55 - 356 (213)"
06033,"""Lake, (CA)""",64.4,"55 - 356 (213)"
06035,"""Lassen, (CA)""",-1,
06041,"""Marin, (CA)""",8.6,"1 - 15 (217)"
06043,"""Mariposa, (CA)""",-1,
06045,"""Mendocino, (CA)""",86.7,"55 - 356 (213)"
06047,"""Merced, (CA)""",92.6,"55 - 356 (213)"
06049,"""Modoc, (CA)""",-1,
06053,"""Monterey, (CA)""",36.2,"36 - 55 (211)"
06055,"""Napa, (CA)""",68.9,"55 - 356 (213)"
06057,"""Nevada, (CA)""",33.3,"23 - 35 (216)"
06061,"""Placer, (CA)""",14.2,"1 - 15 (217)"
06063,"""Plumas, (CA)""",-1,
06067,"""Sacramento, (CA)""",17.6,"15 - 23 (210)"
06069,"""San Benito, (CA)""",-1,
06075,"""San Francisco, (CA)""",4.6,"1 - 15 (217)"
06077,"""San Joaquin, (CA)""",47.6,"36 - 55 (211)"
06079,"""San Luis Obispo, (CA)""",25.7,"23 - 35 (216)"
06081,"""San Mateo, (CA)""",12.2,"1 - 15 (217)"
06083,"""Santa Barbara, (CA)""",22.3,"15 - 23 (210)"
06085,"""Santa Clara, (CA)""",11.3,"1 - 15 (217)"
06087,"""Santa Cruz, (CA)""",27.3,"23 - 35 (216)"
06089,"""Shasta, (CA)""",36,"36 - 55 (211)"
06091,"""Sierra, (CA)""",-1,
06093,"""Siskiyou, (CA)""",-1,
06095,"""Solano, (CA)""",89.5,"55 - 356 (213)"
06097,"""Sonoma, (CA)""",70.6,"55 - 356 (213)"
06099,"""Stanislaus, (CA)""",55.1,"55 - 356 (213)"
06101,"""Sutter, (CA)""",24.2,"23 - 35 (216)"
06103,"""Tehama, (CA)""",65.1,"55 - 356 (213)"
06105,"""Trinity, (CA)""",-1,
06109,"""Tuolumne, (CA)""",54.5,"36 - 55 (211)"
06113,"""Yolo, (CA)""",31.5,"23 - 35 (216)"
06115,"""Yuba, (CA)""",78.7,"55 - 356 (213)"
15001,"""Hawaii, (HI)""",100.8,"55 - 356 (213)"
15003,"""Honolulu, (HI)""",23.8,"23 - 35 (216)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",36.1,"36 - 55 (211)"
15009,"""Maui, (HI)""",55.8,"55 - 356 (213)"
41003,"""Benton, (OR)""",15.5,"15 - 23 (210)"
41005,"""Clackamas, (OR)""",17.4,"15 - 23 (210)"
41007,"""Clatsop, (OR)""",-1,
41009,"""Columbia, (OR)""",-1,
41011,"""Coos, (OR)""",64.5,"55 - 356 (213)"
41013,"""Crook, (OR)""",-1,
41015,"""Curry, (OR)""",-1,
41017,"""Deschutes, (OR)""",28.2,"23 - 35 (216)"
41019,"""Douglas, (OR)""",37,"36 - 55 (211)"
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",-1,
41029,"""Jackson, (OR)""",36.8,"36 - 55 (211)"
41031,"""Jefferson, (OR)""",-1,
41033,"""Josephine, (OR)""",-1,
41035,"""Klamath, (OR)""",68.2,"55 - 356 (213)"
41037,"""Lake, (OR)""",-1,
41039,"""Lane, (OR)""",22.5,"15 - 23 (210)"
41041,"""Lincoln, (OR)""",-1,
41043,"""Linn, (OR)""",129.7,"55 - 356 (213)"
41047,"""Marion, (OR)""",69.6,"55 - 356 (213)"
41051,"""Multnomah, (OR)""",9.3,"1 - 15 (217)"
41053,"""Polk, (OR)""",-1,
41055,"""Sherman, (OR)""",-1,
41057,"""Tillamook, (OR)""",-1,
41065,"""Wasco, (OR)""",13.3,"1 - 15 (217)"
41067,"""Washington, (OR)""",15,"1 - 15 (217)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",53.6,"36 - 55 (211)"
53007,"""Chelan, (WA)""",19.3,"15 - 23 (210)"
53009,"""Clallam, (WA)""",-1,
53011,"""Clark, (WA)""",24.4,"23 - 35 (216)"
53015,"""Cowlitz, (WA)""",36.9,"36 - 55 (211)"
53027,"""Grays Harbor, (WA)""",75.1,"55 - 356 (213)"
53029,"""Island, (WA)""",-1,
53031,"""Jefferson, (WA)""",-1,
53033,"""King, (WA)""",11,"1 - 15 (217)"
53035,"""Kitsap, (WA)""",30.2,"23 - 35 (216)"
53037,"""Kittitas, (WA)""",-1,
53039,"""Klickitat, (WA)""",22.4,"15 - 23 (210)"
53041,"""Lewis, (WA)""",-1,
53045,"""Mason, (WA)""",-1,
53047,"""Okanogan, (WA)""",42.2,"36 - 55 (211)"
53049,"""Pacific, (WA)""",-1,
53053,"""Pierce, (WA)""",24.5,"23 - 35 (216)"
53055,"""San Juan, (WA)""",-1,
53057,"""Skagit, (WA)""",64.6,"55 - 356 (213)"
53059,"""Skamania, (WA)""",-1,
53061,"""Snohomish, (WA)""",48.4,"36 - 55 (211)"
53067,"""Thurston, (WA)""",32.3,"23 - 35 (216)"
53069,"""Wahkiakum, (WA)""",-1,
53073,"""Whatcom, (WA)""",38.2,"36 - 55 (211)"
53077,"""Yakima, (WA)""",83.6,"55 - 356 (213)"
04001,"""Apache, (AZ)""",-1,
04003,"""Cochise, (AZ)""",-1,
04005,"""Coconino, (AZ)""",47.8,"36 - 55 (211)"
04007,"""Gila, (AZ)""",-1,
04009,"""Graham, (AZ)""",-1,
04011,"""Greenlee, (AZ)""",-1,
04012,"""La Paz, (AZ)""",-1,
04013,"""Maricopa, (AZ)""",15.1,"1 - 15 (217)"
04015,"""Mohave, (AZ)""",35.4,"23 - 35 (216)"
04017,"""Navajo, (AZ)""",55.5,"55 - 356 (213)"
04019,"""Pima, (AZ)""",15.2,"1 - 15 (217)"
04021,"""Pinal, (AZ)""",-1,
04023,"""Santa Cruz, (AZ)""",46.5,"36 - 55 (211)"
04025,"""Yavapai, (AZ)""",33.6,"23 - 35 (216)"
04027,"""Yuma, (AZ)""",53.4,"36 - 55 (211)"
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",35.7,"36 - 55 (211)"
06025,"""Imperial, (CA)""",181.2,"55 - 356 (213)"
06027,"""Inyo, (CA)""",-1,
06029,"""Kern, (CA)""",56.3,"55 - 356 (213)"
06037,"""Los Angeles, (CA)""",17.8,"15 - 23 (210)"
06039,"""Madera, (CA)""",52.4,"36 - 55 (211)"
06051,"""Mono, (CA)""",-1,
06059,"""Orange, (CA)""",16.4,"15 - 23 (210)"
06065,"""Riverside, (CA)""",51.5,"36 - 55 (211)"
06071,"""San Bernardino, (CA)""",31.1,"23 - 35 (216)"
06073,"""San Diego, (CA)""",17,"15 - 23 (210)"
06107,"""Tulare, (CA)""",66.6,"55 - 356 (213)"
06111,"""Ventura, (CA)""",27.3,"23 - 35 (216)"
08007,"""Archuleta, (CO)""",-1,
08029,"""Delta, (CO)""",-1,
08033,"""Dolores, (CO)""",-1,
08045,"""Garfield, (CO)""",-1,
08051,"""Gunnison, (CO)""",-1,
08053,"""Hinsdale, (CO)""",-1,
08067,"""La Plata, (CO)""",56.2,"55 - 356 (213)"
08077,"""Mesa, (CO)""",25.7,"23 - 35 (216)"
08079,"""Mineral, (CO)""",-1,
08081,"""Moffat, (CO)""",13.3,"1 - 15 (217)"
08083,"""Montezuma, (CO)""",-1,
08085,"""Montrose, (CO)""",42.8,"36 - 55 (211)"
08091,"""Ouray, (CO)""",-1,
08097,"""Pitkin, (CO)""",-1,
08103,"""Rio Blanco, (CO)""",-1,
08107,"""Routt, (CO)""",-1,
08111,"""San Juan, (CO)""",-1,
