"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",2.8,"3 - 4 (547)"
02020,"""Anchorage, (AK)""",0.8,"0 - 1 (723)"
02050,"""Bethel, (AK)""",0.9,"0 - 1 (723)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",0.4,"0 - 1 (723)"
02090,"""Fairbanks North Star, (AK)""",1.1,"0 - 1 (723)"
02100,"""Haines, (AK)""",0.4,"0 - 1 (723)"
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",0.8,"0 - 1 (723)"
02122,"""Kenai Peninsula, (AK)""",1.3,"0 - 1 (723)"
02130,"""Ketchikan Gateway, (AK)""",0.9,"0 - 1 (723)"
02150,"""Kodiak Island, (AK)""",0.8,"0 - 1 (723)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",2,"2 - 2 (577)"
02180,"""Nome, (AK)""",0.8,"0 - 1 (723)"
02185,"""North Slope, (AK)""",4.9,"4 - 28 (591)"
02188,"""Northwest Arctic, (AK)""",1.1,"0 - 1 (723)"
02195,"""Petersburg, (AK)""",0.5,"0 - 1 (723)"
02198,"""Prince of Wales-Hyder, (AK)""",0.7,"0 - 1 (723)"
02220,"""Sitka, (AK)""",0.4,"0 - 1 (723)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",1.4,"1 - 2 (560)"
02261,"""Valdez-Cordova, (AK)""",0.8,"0 - 1 (723)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",0.8,"0 - 1 (723)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",5.2,"4 - 28 (591)"
06001,"""Alameda, (CA)""",0.9,"0 - 1 (723)"
06005,"""Amador, (CA)""",1.7,"1 - 2 (560)"
06007,"""Butte, (CA)""",1.6,"1 - 2 (560)"
06009,"""Calaveras, (CA)""",2.2,"2 - 2 (577)"
06011,"""Colusa, (CA)""",3.6,"4 - 28 (591)"
06013,"""Contra Costa, (CA)""",1,"0 - 1 (723)"
06015,"""Del Norte, (CA)""",1.7,"1 - 2 (560)"
06017,"""El Dorado, (CA)""",1.3,"0 - 1 (723)"
06021,"""Glenn, (CA)""",7.1,"4 - 28 (591)"
06023,"""Humboldt, (CA)""",1.6,"1 - 2 (560)"
06031,"""Kings, (CA)""",2.8,"3 - 4 (547)"
06033,"""Lake, (CA)""",2.3,"2 - 2 (577)"
06035,"""Lassen, (CA)""",3.4,"3 - 4 (547)"
06041,"""Marin, (CA)""",0.7,"0 - 1 (723)"
06043,"""Mariposa, (CA)""",2.9,"3 - 4 (547)"
06045,"""Mendocino, (CA)""",1.1,"0 - 1 (723)"
06047,"""Merced, (CA)""",2.2,"2 - 2 (577)"
06049,"""Modoc, (CA)""",1.5,"1 - 2 (560)"
06053,"""Monterey, (CA)""",1.5,"1 - 2 (560)"
06055,"""Napa, (CA)""",1,"0 - 1 (723)"
06057,"""Nevada, (CA)""",1.3,"0 - 1 (723)"
06061,"""Placer, (CA)""",0.8,"0 - 1 (723)"
06063,"""Plumas, (CA)""",1.3,"0 - 1 (723)"
06067,"""Sacramento, (CA)""",1.1,"0 - 1 (723)"
06069,"""San Benito, (CA)""",3.5,"3 - 4 (547)"
06075,"""San Francisco, (CA)""",0.6,"0 - 1 (723)"
06077,"""San Joaquin, (CA)""",1.7,"1 - 2 (560)"
06079,"""San Luis Obispo, (CA)""",1.2,"0 - 1 (723)"
06081,"""San Mateo, (CA)""",0.9,"0 - 1 (723)"
06083,"""Santa Barbara, (CA)""",1.3,"0 - 1 (723)"
06085,"""Santa Clara, (CA)""",0.9,"0 - 1 (723)"
06087,"""Santa Cruz, (CA)""",1,"0 - 1 (723)"
06089,"""Shasta, (CA)""",1.4,"1 - 2 (560)"
06091,"""Sierra, (CA)""",3,"3 - 4 (547)"
06093,"""Siskiyou, (CA)""",1.4,"1 - 2 (560)"
06095,"""Solano, (CA)""",1.2,"0 - 1 (723)"
06097,"""Sonoma, (CA)""",1,"0 - 1 (723)"
