"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",34.1,"33 - 36 (641)"
02016,"""Aleutians West, (AK)""",30.3,"20 - 32 (624)"
02020,"""Anchorage, (AK)""",28.8,"20 - 32 (624)"
02050,"""Bethel, (AK)""",36.2,"36 - 38 (626)"
02060,"""Bristol Bay, (AK)""",33.6,"33 - 36 (641)"
02068,"""Denali, (AK)""",30.9,"20 - 32 (624)"
02070,"""Dillingham, (AK)""",35.1,"33 - 36 (641)"
02090,"""Fairbanks North Star, (AK)""",28,"20 - 32 (624)"
02100,"""Haines, (AK)""",36.7,"36 - 38 (626)"
02105,"""Hoonah-Angoon, (AK)""",40.9,"38 - 42 (609)"
02110,"""Juneau, (AK)""",29.7,"20 - 32 (624)"
02122,"""Kenai Peninsula, (AK)""",35.9,"36 - 38 (626)"
02130,"""Ketchikan Gateway, (AK)""",33.7,"33 - 36 (641)"
02150,"""Kodiak Island, (AK)""",28.9,"20 - 32 (624)"
02164,"""Lake and Peninsula, (AK)""",37.5,"36 - 38 (626)"
02170,"""Matanuska-Susitna, (AK)""",32.1,"20 - 32 (624)"
02180,"""Nome, (AK)""",33.8,"33 - 36 (641)"
02185,"""North Slope, (AK)""",32.3,"20 - 32 (624)"
02188,"""Northwest Arctic, (AK)""",34.9,"33 - 36 (641)"
02195,"""Petersburg, (AK)""",33.9,"33 - 36 (641)"
02198,"""Prince of Wales-Hyder, (AK)""",39.6,"38 - 42 (609)"
02220,"""Sitka, (AK)""",32.2,"20 - 32 (624)"
02230,"""Skagway, (AK)""",31,"20 - 32 (624)"
02240,"""Southeast Fairbanks, (AK)""",33.3,"33 - 36 (641)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",39.1,"38 - 42 (609)"
02275,"""Wrangell, (AK)""",39.4,"38 - 42 (609)"
02282,"""Yakutat, (AK)""",38.5,"38 - 42 (609)"
02290,"""Yukon-Koyukuk, (AK)""",38.9,"38 - 42 (609)"
06001,"""Alameda, (CA)""",25.7,"20 - 32 (624)"
06005,"""Amador, (CA)""",34.4,"33 - 36 (641)"
06007,"""Butte, (CA)""",29.3,"20 - 32 (624)"
06009,"""Calaveras, (CA)""",35.8,"36 - 38 (626)"
06011,"""Colusa, (CA)""",28,"20 - 32 (624)"
06013,"""Contra Costa, (CA)""",26.5,"20 - 32 (624)"
06015,"""Del Norte, (CA)""",32.8,"33 - 36 (641)"
06017,"""El Dorado, (CA)""",30.5,"20 - 32 (624)"
06021,"""Glenn, (CA)""",29.4,"20 - 32 (624)"
06023,"""Humboldt, (CA)""",30,"20 - 32 (624)"
06031,"""Kings, (CA)""",26.7,"20 - 32 (624)"
06033,"""Lake, (CA)""",35,"33 - 36 (641)"
06035,"""Lassen, (CA)""",29.1,"20 - 32 (624)"
06041,"""Marin, (CA)""",27.7,"20 - 32 (624)"
06043,"""Mariposa, (CA)""",35.4,"33 - 36 (641)"
06045,"""Mendocino, (CA)""",32.6,"33 - 36 (641)"
06047,"""Merced, (CA)""",27.4,"20 - 32 (624)"
06049,"""Modoc, (CA)""",36.9,"36 - 38 (626)"
06053,"""Monterey, (CA)""",25.9,"20 - 32 (624)"
06055,"""Napa, (CA)""",27.7,"20 - 32 (624)"
06057,"""Nevada, (CA)""",33.2,"33 - 36 (641)"
06061,"""Placer, (CA)""",28.1,"20 - 32 (624)"
06063,"""Plumas, (CA)""",35.9,"36 - 38 (626)"
06067,"""Sacramento, (CA)""",27.1,"20 - 32 (624)"
06069,"""San Benito, (CA)""",26.3,"20 - 32 (624)"
06075,"""San Francisco, (CA)""",24.2,"20 - 32 (624)"
06077,"""San Joaquin, (CA)""",28.3,"20 - 32 (624)"
06079,"""San Luis Obispo, (CA)""",27.7,"20 - 32 (624)"
06081,"""San Mateo, (CA)""",25,"20 - 32 (624)"
06083,"""Santa Barbara, (CA)""",24.7,"20 - 32 (624)"
06085,"""Santa Clara, (CA)""",23.1,"20 - 32 (624)"
06087,"""Santa Cruz, (CA)""",25.7,"20 - 32 (624)"
06089,"""Shasta, (CA)""",31.4,"20 - 32 (624)"
06091,"""Sierra, (CA)""",38.4,"38 - 42 (609)"
06093,"""Siskiyou, (CA)""",34.9,"33 - 36 (641)"
06095,"""Solano, (CA)""",27.8,"20 - 32 (624)"
06097,"""Sonoma, (CA)""",28,"20 - 32 (624)"
06099,"""Stanislaus, (CA)""",28.5,"20 - 32 (624)"
06101,"""Sutter, (CA)""",29.1,"20 - 32 (624)"
06103,"""Tehama, (CA)""",34.1,"33 - 36 (641)"
06105,"""Trinity, (CA)""",38.8,"38 - 42 (609)"
06109,"""Tuolumne, (CA)""",35.1,"33 - 36 (641)"
06113,"""Yolo, (CA)""",24,"20 - 32 (624)"
06115,"""Yuba, (CA)""",26.9,"20 - 32 (624)"
15001,"""Hawaii, (HI)""",30.9,"20 - 32 (624)"
15003,"""Honolulu, (HI)""",30.1,"20 - 32 (624)"
15005,"""Kalawao, (HI)""",40.8,"38 - 42 (609)"
15007,"""Kauai, (HI)""",29.7,"20 - 32 (624)"
15009,"""Maui, (HI)""",27.2,"20 - 32 (624)"
41003,"""Benton, (OR)""",24.5,"20 - 32 (624)"
41005,"""Clackamas, (OR)""",32.1,"20 - 32 (624)"
41007,"""Clatsop, (OR)""",33.5,"33 - 36 (641)"
41009,"""Columbia, (OR)""",32.8,"33 - 36 (641)"
41011,"""Coos, (OR)""",38.7,"38 - 42 (609)"
41013,"""Crook, (OR)""",37.2,"36 - 38 (626)"
41015,"""Curry, (OR)""",39.3,"38 - 42 (609)"
41017,"""Deschutes, (OR)""",30.4,"20 - 32 (624)"
41019,"""Douglas, (OR)""",35.7,"36 - 38 (626)"
41021,"""Gilliam, (OR)""",37.3,"36 - 38 (626)"
41027,"""Hood River, (OR)""",27.7,"20 - 32 (624)"
41029,"""Jackson, (OR)""",31.3,"20 - 32 (624)"
41031,"""Jefferson, (OR)""",32.7,"33 - 36 (641)"
41033,"""Josephine, (OR)""",36,"36 - 38 (626)"
41035,"""Klamath, (OR)""",34.6,"33 - 36 (641)"
41037,"""Lake, (OR)""",38.4,"38 - 42 (609)"
41039,"""Lane, (OR)""",29.3,"20 - 32 (624)"
41041,"""Lincoln, (OR)""",37.8,"36 - 38 (626)"
41043,"""Linn, (OR)""",32.7,"33 - 36 (641)"
41047,"""Marion, (OR)""",30,"20 - 32 (624)"
41051,"""Multnomah, (OR)""",26.2,"20 - 32 (624)"
41053,"""Polk, (OR)""",29.5,"20 - 32 (624)"
41055,"""Sherman, (OR)""",35.4,"33 - 36 (641)"
41057,"""Tillamook, (OR)""",35.2,"33 - 36 (641)"
41065,"""Wasco, (OR)""",31.7,"20 - 32 (624)"
41067,"""Washington, (OR)""",26.4,"20 - 32 (624)"
41069,"""Wheeler, (OR)""",42.4,"42 - 59 (620)"
41071,"""Yamhill, (OR)""",29,"20 - 32 (624)"
53007,"""Chelan, (WA)""",29.7,"20 - 32 (624)"
53009,"""Clallam, (WA)""",37.5,"36 - 38 (626)"
53011,"""Clark, (WA)""",30,"20 - 32 (624)"
53015,"""Cowlitz, (WA)""",35.4,"33 - 36 (641)"
53027,"""Grays Harbor, (WA)""",37.1,"36 - 38 (626)"
53029,"""Island, (WA)""",32.7,"33 - 36 (641)"
53031,"""Jefferson, (WA)""",38.1,"36 - 38 (626)"
53033,"""King, (WA)""",26,"20 - 32 (624)"
53035,"""Kitsap, (WA)""",30.7,"20 - 32 (624)"
53037,"""Kittitas, (WA)""",26.8,"20 - 32 (624)"
53039,"""Klickitat, (WA)""",34.2,"33 - 36 (641)"
53041,"""Lewis, (WA)""",33.5,"33 - 36 (641)"
53045,"""Mason, (WA)""",36.7,"36 - 38 (626)"
53047,"""Okanogan, (WA)""",35.3,"33 - 36 (641)"
53049,"""Pacific, (WA)""",40.2,"38 - 42 (609)"
53053,"""Pierce, (WA)""",33.1,"33 - 36 (641)"
53055,"""San Juan, (WA)""",34.6,"33 - 36 (641)"
53057,"""Skagit, (WA)""",28.9,"20 - 32 (624)"
53059,"""Skamania, (WA)""",35.7,"36 - 38 (626)"
53061,"""Snohomish, (WA)""",27.9,"20 - 32 (624)"
53067,"""Thurston, (WA)""",30.8,"20 - 32 (624)"
53069,"""Wahkiakum, (WA)""",40.4,"38 - 42 (609)"
53073,"""Whatcom, (WA)""",28.9,"20 - 32 (624)"
53077,"""Yakima, (WA)""",30.1,"20 - 32 (624)"
04001,"""Apache, (AZ)""",36.6,"36 - 38 (626)"
04003,"""Cochise, (AZ)""",35.8,"36 - 38 (626)"
04005,"""Coconino, (AZ)""",25.3,"20 - 32 (624)"
04007,"""Gila, (AZ)""",39.4,"38 - 42 (609)"
04009,"""Graham, (AZ)""",30.8,"20 - 32 (624)"
04011,"""Greenlee, (AZ)""",29.2,"20 - 32 (624)"
04012,"""La Paz, (AZ)""",42.3,"42 - 59 (620)"
04013,"""Maricopa, (AZ)""",29.6,"20 - 32 (624)"
