"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",3.1,"2 - 3 (721)"
02016,"""Aleutians West, (AK)""",2.3,"2 - 3 (721)"
02020,"""Anchorage, (AK)""",2.5,"2 - 3 (721)"
02050,"""Bethel, (AK)""",5.1,"5 - 8 (621)"
02060,"""Bristol Bay, (AK)""",3.7,"4 - 4 (638)"
02068,"""Denali, (AK)""",2.7,"2 - 3 (721)"
02070,"""Dillingham, (AK)""",4.5,"4 - 5 (537)"
02090,"""Fairbanks North Star, (AK)""",2.3,"2 - 3 (721)"
02100,"""Haines, (AK)""",3.8,"4 - 4 (638)"
02105,"""Hoonah-Angoon, (AK)""",4.7,"5 - 8 (621)"
02110,"""Juneau, (AK)""",2.6,"2 - 3 (721)"
02122,"""Kenai Peninsula, (AK)""",3.4,"3 - 4 (624)"
02130,"""Ketchikan Gateway, (AK)""",3.1,"2 - 3 (721)"
02150,"""Kodiak Island, (AK)""",2.5,"2 - 3 (721)"
02164,"""Lake and Peninsula, (AK)""",4.3,"4 - 5 (537)"
02170,"""Matanuska-Susitna, (AK)""",2.8,"2 - 3 (721)"
02180,"""Nome, (AK)""",4.3,"4 - 5 (537)"
02185,"""North Slope, (AK)""",3.2,"2 - 3 (721)"
02188,"""Northwest Arctic, (AK)""",4.5,"4 - 5 (537)"
02195,"""Petersburg, (AK)""",3.3,"3 - 4 (624)"
02198,"""Prince of Wales-Hyder, (AK)""",4.7,"5 - 8 (621)"
02220,"""Sitka, (AK)""",2.9,"2 - 3 (721)"
02230,"""Skagway, (AK)""",2.7,"2 - 3 (721)"
02240,"""Southeast Fairbanks, (AK)""",3.3,"3 - 4 (624)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",6,"5 - 8 (621)"
02275,"""Wrangell, (AK)""",4.3,"4 - 5 (537)"
02282,"""Yakutat, (AK)""",4.3,"4 - 5 (537)"
02290,"""Yukon-Koyukuk, (AK)""",5.5,"5 - 8 (621)"
06001,"""Alameda, (CA)""",2.4,"2 - 3 (721)"
06005,"""Amador, (CA)""",3.8,"4 - 4 (638)"
06007,"""Butte, (CA)""",3.3,"3 - 4 (624)"
06009,"""Calaveras, (CA)""",4.1,"4 - 5 (537)"
06011,"""Colusa, (CA)""",3.3,"3 - 4 (624)"
06013,"""Contra Costa, (CA)""",2.7,"2 - 3 (721)"
06015,"""Del Norte, (CA)""",4,"4 - 4 (638)"
06017,"""El Dorado, (CA)""",3.1,"2 - 3 (721)"
06021,"""Glenn, (CA)""",3.6,"3 - 4 (624)"
06023,"""Humboldt, (CA)""",3.5,"3 - 4 (624)"
06031,"""Kings, (CA)""",2.9,"2 - 3 (721)"
06033,"""Lake, (CA)""",4.3,"4 - 5 (537)"
06035,"""Lassen, (CA)""",3.4,"3 - 4 (624)"
06041,"""Marin, (CA)""",2.8,"2 - 3 (721)"
06043,"""Mariposa, (CA)""",4.2,"4 - 5 (537)"
06045,"""Mendocino, (CA)""",4,"4 - 4 (638)"
06047,"""Merced, (CA)""",3.2,"2 - 3 (721)"
06049,"""Modoc, (CA)""",4.6,"5 - 8 (621)"
06053,"""Monterey, (CA)""",3,"2 - 3 (721)"
06055,"""Napa, (CA)""",2.9,"2 - 3 (721)"
06057,"""Nevada, (CA)""",3.5,"3 - 4 (624)"
06061,"""Placer, (CA)""",2.8,"2 - 3 (721)"
06063,"""Plumas, (CA)""",4,"4 - 4 (638)"
06067,"""Sacramento, (CA)""",3,"2 - 3 (721)"
06069,"""San Benito, (CA)""",2.7,"2 - 3 (721)"
06075,"""San Francisco, (CA)""",2.2,"2 - 3 (721)"
06077,"""San Joaquin, (CA)""",3.1,"2 - 3 (721)"
06079,"""San Luis Obispo, (CA)""",2.9,"2 - 3 (721)"
06081,"""San Mateo, (CA)""",2.3,"2 - 3 (721)"
06083,"""Santa Barbara, (CA)""",2.8,"2 - 3 (721)"
06085,"""Santa Clara, (CA)""",2.2,"2 - 3 (721)"
06087,"""Santa Cruz, (CA)""",2.7,"2 - 3 (721)"
06089,"""Shasta, (CA)""",3.7,"4 - 4 (638)"
06091,"""Sierra, (CA)""",4.1,"4 - 5 (537)"
06093,"""Siskiyou, (CA)""",4.4,"4 - 5 (537)"
06095,"""Solano, (CA)""",3,"2 - 3 (721)"
06097,"""Sonoma, (CA)""",3,"2 - 3 (721)"
06099,"""Stanislaus, (CA)""",3.1,"2 - 3 (721)"
06101,"""Sutter, (CA)""",3.3,"3 - 4 (624)"
06103,"""Tehama, (CA)""",4.1,"4 - 5 (537)"
06105,"""Trinity, (CA)""",5,"5 - 8 (621)"
06109,"""Tuolumne, (CA)""",3.8,"4 - 4 (638)"
06113,"""Yolo, (CA)""",2.5,"2 - 3 (721)"
06115,"""Yuba, (CA)""",3.1,"2 - 3 (721)"
15001,"""Hawaii, (HI)""",3.8,"4 - 4 (638)"
15003,"""Honolulu, (HI)""",3,"2 - 3 (721)"
15005,"""Kalawao, (HI)""",4.9,"5 - 8 (621)"
15007,"""Kauai, (HI)""",3.4,"3 - 4 (624)"
15009,"""Maui, (HI)""",3.3,"3 - 4 (624)"
41003,"""Benton, (OR)""",2.5,"2 - 3 (721)"
41005,"""Clackamas, (OR)""",2.8,"2 - 3 (721)"
41007,"""Clatsop, (OR)""",3.6,"3 - 4 (624)"
41009,"""Columbia, (OR)""",3.4,"3 - 4 (624)"
41011,"""Coos, (OR)""",4.4,"4 - 5 (537)"
41013,"""Crook, (OR)""",4,"4 - 4 (638)"
41015,"""Curry, (OR)""",4.6,"5 - 8 (621)"
41017,"""Deschutes, (OR)""",3,"2 - 3 (721)"
41019,"""Douglas, (OR)""",4.2,"4 - 5 (537)"
41021,"""Gilliam, (OR)""",4.7,"5 - 8 (621)"
41027,"""Hood River, (OR)""",2.9,"2 - 3 (721)"
41029,"""Jackson, (OR)""",3.7,"4 - 4 (638)"
41031,"""Jefferson, (OR)""",3.9,"4 - 4 (638)"
41033,"""Josephine, (OR)""",4.6,"5 - 8 (621)"
41035,"""Klamath, (OR)""",4.2,"4 - 5 (537)"
41037,"""Lake, (OR)""",4.5,"4 - 5 (537)"
41039,"""Lane, (OR)""",3.3,"3 - 4 (624)"
41041,"""Lincoln, (OR)""",4.3,"4 - 5 (537)"
41043,"""Linn, (OR)""",3.5,"3 - 4 (624)"
41047,"""Marion, (OR)""",3.3,"3 - 4 (624)"
41051,"""Multnomah, (OR)""",2.5,"2 - 3 (721)"
41053,"""Polk, (OR)""",3,"2 - 3 (721)"
41055,"""Sherman, (OR)""",4,"4 - 4 (638)"
41057,"""Tillamook, (OR)""",3.9,"4 - 4 (638)"
41065,"""Wasco, (OR)""",3.6,"3 - 4 (624)"
41067,"""Washington, (OR)""",2.4,"2 - 3 (721)"
41069,"""Wheeler, (OR)""",5.2,"5 - 8 (621)"
41071,"""Yamhill, (OR)""",3.1,"2 - 3 (721)"
53007,"""Chelan, (WA)""",3.4,"3 - 4 (624)"
53009,"""Clallam, (WA)""",4.2,"4 - 5 (537)"
53011,"""Clark, (WA)""",2.8,"2 - 3 (721)"
53015,"""Cowlitz, (WA)""",3.6,"3 - 4 (624)"
53027,"""Grays Harbor, (WA)""",4,"4 - 4 (638)"
53029,"""Island, (WA)""",3.2,"2 - 3 (721)"
53031,"""Jefferson, (WA)""",4.1,"4 - 5 (537)"
53033,"""King, (WA)""",2.2,"2 - 3 (721)"
53035,"""Kitsap, (WA)""",2.8,"2 - 3 (721)"
53037,"""Kittitas, (WA)""",2.9,"2 - 3 (721)"
53039,"""Klickitat, (WA)""",4.1,"4 - 5 (537)"
53041,"""Lewis, (WA)""",3.8,"4 - 4 (638)"
53045,"""Mason, (WA)""",3.9,"4 - 4 (638)"
53047,"""Okanogan, (WA)""",4.6,"5 - 8 (621)"
53049,"""Pacific, (WA)""",4.5,"4 - 5 (537)"
53053,"""Pierce, (WA)""",2.8,"2 - 3 (721)"
53055,"""San Juan, (WA)""",3.6,"3 - 4 (624)"
53057,"""Skagit, (WA)""",3.3,"3 - 4 (624)"
53059,"""Skamania, (WA)""",3.7,"4 - 4 (638)"
