"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",6.4,"6 - 7 (622)"
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",13.9,"9 - 16 (568)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",6.5,"6 - 7 (622)"
02122,"""Kenai Peninsula, (AK)""",-1,
02130,"""Ketchikan Gateway, (AK)""",-1,
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",5.7,"2 - 6 (645)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",8.7,"9 - 9 (603)"
06005,"""Amador, (CA)""",9,"9 - 9 (603)"
06007,"""Butte, (CA)""",7.6,"8 - 8 (678)"
06009,"""Calaveras, (CA)""",8,"8 - 8 (678)"
06011,"""Colusa, (CA)""",6.6,"6 - 7 (622)"
06013,"""Contra Costa, (CA)""",8.1,"8 - 8 (678)"
06015,"""Del Norte, (CA)""",5.8,"2 - 6 (645)"
06017,"""El Dorado, (CA)""",8.3,"8 - 8 (678)"
06021,"""Glenn, (CA)""",7.6,"8 - 8 (678)"
06023,"""Humboldt, (CA)""",6.1,"2 - 6 (645)"
06031,"""Kings, (CA)""",15.6,"9 - 16 (568)"
06033,"""Lake, (CA)""",3,"2 - 6 (645)"
06035,"""Lassen, (CA)""",7,"6 - 7 (622)"
06041,"""Marin, (CA)""",6.4,"6 - 7 (622)"
06043,"""Mariposa, (CA)""",9.1,"9 - 16 (568)"
06045,"""Mendocino, (CA)""",6.4,"6 - 7 (622)"
06047,"""Merced, (CA)""",12,"9 - 16 (568)"
06049,"""Modoc, (CA)""",5.6,"2 - 6 (645)"
06053,"""Monterey, (CA)""",6.7,"6 - 7 (622)"
06055,"""Napa, (CA)""",8.6,"9 - 9 (603)"
06057,"""Nevada, (CA)""",6.3,"6 - 7 (622)"
06061,"""Placer, (CA)""",7.2,"6 - 7 (622)"
06063,"""Plumas, (CA)""",14,"9 - 16 (568)"
06067,"""Sacramento, (CA)""",8.7,"9 - 9 (603)"
06069,"""San Benito, (CA)""",4.3,"2 - 6 (645)"
06075,"""San Francisco, (CA)""",7.6,"8 - 8 (678)"
06077,"""San Joaquin, (CA)""",14.1,"9 - 16 (568)"
06079,"""San Luis Obispo, (CA)""",8.2,"8 - 8 (678)"
06081,"""San Mateo, (CA)""",8.3,"8 - 8 (678)"
06083,"""Santa Barbara, (CA)""",7.1,"6 - 7 (622)"
06085,"""Santa Clara, (CA)""",9.1,"9 - 16 (568)"
06087,"""Santa Cruz, (CA)""",5.3,"2 - 6 (645)"
06089,"""Shasta, (CA)""",5,"2 - 6 (645)"
06091,"""Sierra, (CA)""",6.5,"6 - 7 (622)"
06093,"""Siskiyou, (CA)""",4.9,"2 - 6 (645)"
06095,"""Solano, (CA)""",9,"9 - 9 (603)"
06097,"""Sonoma, (CA)""",4.6,"2 - 6 (645)"
06099,"""Stanislaus, (CA)""",12.6,"9 - 16 (568)"
06101,"""Sutter, (CA)""",8.1,"8 - 8 (678)"
06103,"""Tehama, (CA)""",4.7,"2 - 6 (645)"
06105,"""Trinity, (CA)""",5.4,"2 - 6 (645)"
06109,"""Tuolumne, (CA)""",9,"9 - 9 (603)"
06113,"""Yolo, (CA)""",6.3,"6 - 7 (622)"
06115,"""Yuba, (CA)""",8.6,"9 - 9 (603)"
15001,"""Hawaii, (HI)""",15.8,"9 - 16 (568)"
15003,"""Honolulu, (HI)""",4.2,"2 - 6 (645)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",3.5,"2 - 6 (645)"
15009,"""Maui, (HI)""",4.4,"2 - 6 (645)"
41003,"""Benton, (OR)""",7,"6 - 7 (622)"
41005,"""Clackamas, (OR)""",8.2,"8 - 8 (678)"
41007,"""Clatsop, (OR)""",5.1,"2 - 6 (645)"
41009,"""Columbia, (OR)""",6.4,"6 - 7 (622)"
41011,"""Coos, (OR)""",6,"2 - 6 (645)"
41013,"""Crook, (OR)""",6.8,"6 - 7 (622)"
41015,"""Curry, (OR)""",5.7,"2 - 6 (645)"
41017,"""Deschutes, (OR)""",7,"6 - 7 (622)"
41019,"""Douglas, (OR)""",6.7,"6 - 7 (622)"
41021,"""Gilliam, (OR)""",5.9,"2 - 6 (645)"
41027,"""Hood River, (OR)""",5.4,"2 - 6 (645)"
41029,"""Jackson, (OR)""",7.2,"6 - 7 (622)"
41031,"""Jefferson, (OR)""",6.2,"6 - 7 (622)"
41033,"""Josephine, (OR)""",5.9,"2 - 6 (645)"
41035,"""Klamath, (OR)""",6.9,"6 - 7 (622)"
41037,"""Lake, (OR)""",6.4,"6 - 7 (622)"
41039,"""Lane, (OR)""",6.7,"6 - 7 (622)"
41041,"""Lincoln, (OR)""",5.4,"2 - 6 (645)"
41043,"""Linn, (OR)""",7.4,"6 - 7 (622)"
41047,"""Marion, (OR)""",7.9,"8 - 8 (678)"
41051,"""Multnomah, (OR)""",5.6,"2 - 6 (645)"
41053,"""Polk, (OR)""",7.3,"6 - 7 (622)"
41055,"""Sherman, (OR)""",5.7,"2 - 6 (645)"
41057,"""Tillamook, (OR)""",5,"2 - 6 (645)"
41065,"""Wasco, (OR)""",5.9,"2 - 6 (645)"
41067,"""Washington, (OR)""",6.2,"6 - 7 (622)"
41069,"""Wheeler, (OR)""",4.8,"2 - 6 (645)"
41071,"""Yamhill, (OR)""",7.5,"8 - 8 (678)"
53007,"""Chelan, (WA)""",5.1,"2 - 6 (645)"
53009,"""Clallam, (WA)""",4.6,"2 - 6 (645)"
53011,"""Clark, (WA)""",6.6,"6 - 7 (622)"
53015,"""Cowlitz, (WA)""",5.9,"2 - 6 (645)"
53027,"""Grays Harbor, (WA)""",5.2,"2 - 6 (645)"
53029,"""Island, (WA)""",6.1,"2 - 6 (645)"
53031,"""Jefferson, (WA)""",5.1,"2 - 6 (645)"
53033,"""King, (WA)""",7.7,"8 - 8 (678)"
53035,"""Kitsap, (WA)""",4.2,"2 - 6 (645)"
53037,"""Kittitas, (WA)""",6,"2 - 6 (645)"
53039,"""Klickitat, (WA)""",6,"2 - 6 (645)"
53041,"""Lewis, (WA)""",5.7,"2 - 6 (645)"
53045,"""Mason, (WA)""",5.4,"2 - 6 (645)"
53047,"""Okanogan, (WA)""",6,"2 - 6 (645)"
53049,"""Pacific, (WA)""",5,"2 - 6 (645)"
53053,"""Pierce, (WA)""",7,"6 - 7 (622)"
53055,"""San Juan, (WA)""",5.7,"2 - 6 (645)"
53057,"""Skagit, (WA)""",5.3,"2 - 6 (645)"
53059,"""Skamania, (WA)""",5.4,"2 - 6 (645)"
53061,"""Snohomish, (WA)""",6.5,"6 - 7 (622)"
53067,"""Thurston, (WA)""",6.4,"6 - 7 (622)"
53069,"""Wahkiakum, (WA)""",4.9,"2 - 6 (645)"
53073,"""Whatcom, (WA)""",4.9,"2 - 6 (645)"
53077,"""Yakima, (WA)""",10.2,"9 - 16 (568)"
04001,"""Apache, (AZ)""",6,"2 - 6 (645)"
04003,"""Cochise, (AZ)""",3.9,"2 - 6 (645)"
04005,"""Coconino, (AZ)""",6.3,"6 - 7 (622)"
04007,"""Gila, (AZ)""",6.3,"6 - 7 (622)"
04009,"""Graham, (AZ)""",5.7,"2 - 6 (645)"
04011,"""Greenlee, (AZ)""",6,"2 - 6 (645)"
04012,"""La Paz, (AZ)""",2.4,"2 - 6 (645)"
04013,"""Maricopa, (AZ)""",9.5,"9 - 16 (568)"
04015,"""Mohave, (AZ)""",6.6,"6 - 7 (622)"
04017,"""Navajo, (AZ)""",6.7,"6 - 7 (622)"
04019,"""Pima, (AZ)""",6.4,"6 - 7 (622)"
04021,"""Pinal, (AZ)""",12.4,"9 - 16 (568)"
04023,"""Santa Cruz, (AZ)""",9.9,"9 - 16 (568)"
04025,"""Yavapai, (AZ)""",6.1,"2 - 6 (645)"
04027,"""Yuma, (AZ)""",8.3,"8 - 8 (678)"
06003,"""Alpine, (CA)""",5.4,"2 - 6 (645)"
06019,"""Fresno, (CA)""",14.4,"9 - 16 (568)"
06025,"""Imperial, (CA)""",12.5,"9 - 16 (568)"
06027,"""Inyo, (CA)""",6.6,"6 - 7 (622)"
06029,"""Kern, (CA)""",16,"9 - 16 (568)"
06037,"""Los Angeles, (CA)""",12,"9 - 16 (568)"
06039,"""Madera, (CA)""",12.1,"9 - 16 (568)"
06051,"""Mono, (CA)""",5.5,"2 - 6 (645)"
06059,"""Orange, (CA)""",9.4,"9 - 16 (568)"
06065,"""Riverside, (CA)""",14.1,"9 - 16 (568)"
06071,"""San Bernardino, (CA)""",14.8,"9 - 16 (568)"
