"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",66,"45 - 100 (621)"
02016,"""Aleutians West, (AK)""",86,"45 - 100 (621)"
02020,"""Anchorage, (AK)""",83,"45 - 100 (621)"
02050,"""Bethel, (AK)""",76,"45 - 100 (621)"
02060,"""Bristol Bay, (AK)""",30,"24 - 45 (627)"
02068,"""Denali, (AK)""",59,"45 - 100 (621)"
02070,"""Dillingham, (AK)""",37,"24 - 45 (627)"
02090,"""Fairbanks North Star, (AK)""",36,"24 - 45 (627)"
02100,"""Haines, (AK)""",90,"45 - 100 (621)"
02105,"""Hoonah-Angoon, (AK)""",97,"45 - 100 (621)"
02110,"""Juneau, (AK)""",94,"45 - 100 (621)"
02122,"""Kenai Peninsula, (AK)""",52,"45 - 100 (621)"
02130,"""Ketchikan Gateway, (AK)""",65,"45 - 100 (621)"
02150,"""Kodiak Island, (AK)""",34,"24 - 45 (627)"
02164,"""Lake and Peninsula, (AK)""",58,"45 - 100 (621)"
02170,"""Matanuska-Susitna, (AK)""",26,"24 - 45 (627)"
02180,"""Nome, (AK)""",34,"24 - 45 (627)"
02185,"""North Slope, (AK)""",22,"14 - 24 (590)"
02188,"""Northwest Arctic, (AK)""",66,"45 - 100 (621)"
02195,"""Petersburg, (AK)""",98,"45 - 100 (621)"
02198,"""Prince of Wales-Hyder, (AK)""",50,"45 - 100 (621)"
02220,"""Sitka, (AK)""",80,"45 - 100 (621)"
02230,"""Skagway, (AK)""",79,"45 - 100 (621)"
02240,"""Southeast Fairbanks, (AK)""",35,"24 - 45 (627)"
02261,"""Valdez-Cordova, (AK)""",80,"45 - 100 (621)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",100,"45 - 100 (621)"
02282,"""Yakutat, (AK)""",93,"45 - 100 (621)"
02290,"""Yukon-Koyukuk, (AK)""",68,"45 - 100 (621)"
06001,"""Alameda, (CA)""",84,"45 - 100 (621)"
06005,"""Amador, (CA)""",23,"14 - 24 (590)"
06007,"""Butte, (CA)""",44,"24 - 45 (627)"
06009,"""Calaveras, (CA)""",42,"24 - 45 (627)"
06011,"""Colusa, (CA)""",19,"14 - 24 (590)"
06013,"""Contra Costa, (CA)""",75,"45 - 100 (621)"
06015,"""Del Norte, (CA)""",75,"45 - 100 (621)"
06017,"""El Dorado, (CA)""",58,"45 - 100 (621)"
06021,"""Glenn, (CA)""",32,"24 - 45 (627)"
06023,"""Humboldt, (CA)""",51,"45 - 100 (621)"
06031,"""Kings, (CA)""",27,"24 - 45 (627)"
06033,"""Lake, (CA)""",45,"24 - 45 (627)"
