"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",2.3,"1 - 3 (703)"
02016,"""Aleutians West, (AK)""",3.6,"3 - 4 (616)"
02020,"""Anchorage, (AK)""",5.8,"5 - 6 (636)"
02050,"""Bethel, (AK)""",13.1,"6 - 20 (632)"
02060,"""Bristol Bay, (AK)""",5.6,"5 - 6 (636)"
02068,"""Denali, (AK)""",10.1,"6 - 20 (632)"
02070,"""Dillingham, (AK)""",8.2,"6 - 20 (632)"
02090,"""Fairbanks North Star, (AK)""",5,"5 - 6 (636)"
02100,"""Haines, (AK)""",11.3,"6 - 20 (632)"
02105,"""Hoonah-Angoon, (AK)""",9.3,"6 - 20 (632)"
02110,"""Juneau, (AK)""",4.7,"4 - 5 (631)"
02122,"""Kenai Peninsula, (AK)""",7.3,"6 - 20 (632)"
02130,"""Ketchikan Gateway, (AK)""",7.4,"6 - 20 (632)"
02150,"""Kodiak Island, (AK)""",6.4,"6 - 20 (632)"
02164,"""Lake and Peninsula, (AK)""",8.9,"6 - 20 (632)"
02170,"""Matanuska-Susitna, (AK)""",6.8,"6 - 20 (632)"
02180,"""Nome, (AK)""",9.7,"6 - 20 (632)"
02185,"""North Slope, (AK)""",6.3,"6 - 20 (632)"
02188,"""Northwest Arctic, (AK)""",11.5,"6 - 20 (632)"
02195,"""Petersburg, (AK)""",7,"6 - 20 (632)"
02198,"""Prince of Wales-Hyder, (AK)""",8,"6 - 20 (632)"
02220,"""Sitka, (AK)""",4.5,"4 - 5 (631)"
02230,"""Skagway, (AK)""",14.2,"6 - 20 (632)"
02240,"""Southeast Fairbanks, (AK)""",6.6,"6 - 20 (632)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",19.9,"6 - 20 (632)"
02275,"""Wrangell, (AK)""",7.5,"6 - 20 (632)"
02282,"""Yakutat, (AK)""",7.1,"6 - 20 (632)"
02290,"""Yukon-Koyukuk, (AK)""",12.4,"6 - 20 (632)"
06001,"""Alameda, (CA)""",6.1,"6 - 20 (632)"
06005,"""Amador, (CA)""",7,"6 - 20 (632)"
06007,"""Butte, (CA)""",6.9,"6 - 20 (632)"
06009,"""Calaveras, (CA)""",5.7,"5 - 6 (636)"
06011,"""Colusa, (CA)""",12.5,"6 - 20 (632)"
06013,"""Contra Costa, (CA)""",6.4,"6 - 20 (632)"
06015,"""Del Norte, (CA)""",7.6,"6 - 20 (632)"
06017,"""El Dorado, (CA)""",5.7,"5 - 6 (636)"
06021,"""Glenn, (CA)""",6.9,"6 - 20 (632)"
06023,"""Humboldt, (CA)""",6.2,"6 - 20 (632)"
06031,"""Kings, (CA)""",9.6,"6 - 20 (632)"
06033,"""Lake, (CA)""",7.6,"6 - 20 (632)"
06035,"""Lassen, (CA)""",5.9,"5 - 6 (636)"
06041,"""Marin, (CA)""",4.5,"4 - 5 (631)"
06043,"""Mariposa, (CA)""",8,"6 - 20 (632)"
06045,"""Mendocino, (CA)""",6.2,"6 - 20 (632)"
06047,"""Merced, (CA)""",10.4,"6 - 20 (632)"
06049,"""Modoc, (CA)""",7.1,"6 - 20 (632)"
06053,"""Monterey, (CA)""",8.3,"6 - 20 (632)"
06055,"""Napa, (CA)""",6,"5 - 6 (636)"
06057,"""Nevada, (CA)""",5.6,"5 - 6 (636)"
06061,"""Placer, (CA)""",5,"5 - 6 (636)"
06063,"""Plumas, (CA)""",9.5,"6 - 20 (632)"
06067,"""Sacramento, (CA)""",7,"6 - 20 (632)"
06069,"""San Benito, (CA)""",7.2,"6 - 20 (632)"
06075,"""San Francisco, (CA)""",5,"5 - 6 (636)"
06077,"""San Joaquin, (CA)""",8.7,"6 - 20 (632)"
06079,"""San Luis Obispo, (CA)""",5.2,"5 - 6 (636)"
06081,"""San Mateo, (CA)""",4.6,"4 - 5 (631)"
06083,"""Santa Barbara, (CA)""",5.8,"5 - 6 (636)"
06085,"""Santa Clara, (CA)""",4.7,"4 - 5 (631)"
06087,"""Santa Cruz, (CA)""",6.9,"6 - 20 (632)"
06089,"""Shasta, (CA)""",6.8,"6 - 20 (632)"
06091,"""Sierra, (CA)""",6,"5 - 6 (636)"
06093,"""Siskiyou, (CA)""",8.1,"6 - 20 (632)"
06095,"""Solano, (CA)""",7.5,"6 - 20 (632)"
06097,"""Sonoma, (CA)""",5.5,"5 - 6 (636)"
06099,"""Stanislaus, (CA)""",8.4,"6 - 20 (632)"
06101,"""Sutter, (CA)""",9,"6 - 20 (632)"
06103,"""Tehama, (CA)""",7.2,"6 - 20 (632)"
06105,"""Trinity, (CA)""",6.3,"6 - 20 (632)"
06109,"""Tuolumne, (CA)""",7.3,"6 - 20 (632)"
06113,"""Yolo, (CA)""",5.8,"5 - 6 (636)"
06115,"""Yuba, (CA)""",8.5,"6 - 20 (632)"
15001,"""Hawaii, (HI)""",5.5,"5 - 6 (636)"
15003,"""Honolulu, (HI)""",5.3,"5 - 6 (636)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",7.8,"6 - 20 (632)"
15009,"""Maui, (HI)""",7.3,"6 - 20 (632)"
41003,"""Benton, (OR)""",3.9,"3 - 4 (616)"
41005,"""Clackamas, (OR)""",4.8,"4 - 5 (631)"
41007,"""Clatsop, (OR)""",6,"5 - 6 (636)"
41009,"""Columbia, (OR)""",5.8,"5 - 6 (636)"
41011,"""Coos, (OR)""",6.3,"6 - 20 (632)"
41013,"""Crook, (OR)""",6.7,"6 - 20 (632)"
41015,"""Curry, (OR)""",6.7,"6 - 20 (632)"
41017,"""Deschutes, (OR)""",5.3,"5 - 6 (636)"
41019,"""Douglas, (OR)""",5.8,"5 - 6 (636)"
41021,"""Gilliam, (OR)""",4.8,"4 - 5 (631)"
41027,"""Hood River, (OR)""",4.5,"4 - 5 (631)"
41029,"""Jackson, (OR)""",5.4,"5 - 6 (636)"
41031,"""Jefferson, (OR)""",6.5,"6 - 20 (632)"
41033,"""Josephine, (OR)""",6.2,"6 - 20 (632)"
41035,"""Klamath, (OR)""",6.7,"6 - 20 (632)"
41037,"""Lake, (OR)""",5.5,"5 - 6 (636)"
41039,"""Lane, (OR)""",5.5,"5 - 6 (636)"
41041,"""Lincoln, (OR)""",6.8,"6 - 20 (632)"
41043,"""Linn, (OR)""",5.6,"5 - 6 (636)"
41047,"""Marion, (OR)""",5.1,"5 - 6 (636)"
41051,"""Multnomah, (OR)""",5.6,"5 - 6 (636)"
41053,"""Polk, (OR)""",4.8,"4 - 5 (631)"
41055,"""Sherman, (OR)""",4.3,"4 - 5 (631)"
41057,"""Tillamook, (OR)""",5.5,"5 - 6 (636)"
41065,"""Wasco, (OR)""",5.2,"5 - 6 (636)"
41067,"""Washington, (OR)""",4.4,"4 - 5 (631)"
41069,"""Wheeler, (OR)""",3.3,"1 - 3 (703)"
41071,"""Yamhill, (OR)""",4.7,"4 - 5 (631)"
53007,"""Chelan, (WA)""",5.3,"5 - 6 (636)"
53009,"""Clallam, (WA)""",6.5,"6 - 20 (632)"
53011,"""Clark, (WA)""",5.5,"5 - 6 (636)"
53015,"""Cowlitz, (WA)""",6.4,"6 - 20 (632)"
53027,"""Grays Harbor, (WA)""",7.8,"6 - 20 (632)"
53029,"""Island, (WA)""",5.6,"5 - 6 (636)"
53031,"""Jefferson, (WA)""",6.2,"6 - 20 (632)"
53033,"""King, (WA)""",4.3,"4 - 5 (631)"
53035,"""Kitsap, (WA)""",5,"5 - 6 (636)"
53037,"""Kittitas, (WA)""",6.3,"6 - 20 (632)"
53039,"""Klickitat, (WA)""",6,"5 - 6 (636)"
53041,"""Lewis, (WA)""",6.3,"6 - 20 (632)"
53045,"""Mason, (WA)""",7,"6 - 20 (632)"
53047,"""Okanogan, (WA)""",6.6,"6 - 20 (632)"
53049,"""Pacific, (WA)""",7.9,"6 - 20 (632)"
53053,"""Pierce, (WA)""",6.1,"6 - 20 (632)"
53055,"""San Juan, (WA)""",5,"5 - 6 (636)"
53057,"""Skagit, (WA)""",6.3,"6 - 20 (632)"
53059,"""Skamania, (WA)""",6.4,"6 - 20 (632)"
53061,"""Snohomish, (WA)""",5,"5 - 6 (636)"
53067,"""Thurston, (WA)""",5.2,"5 - 6 (636)"
53069,"""Wahkiakum, (WA)""",6.6,"6 - 20 (632)"
53073,"""Whatcom, (WA)""",6,"5 - 6 (636)"
53077,"""Yakima, (WA)""",7,"6 - 20 (632)"
04001,"""Apache, (AZ)""",9.1,"6 - 20 (632)"
04003,"""Cochise, (AZ)""",4.8,"4 - 5 (631)"
04005,"""Coconino, (AZ)""",6,"5 - 6 (636)"
04007,"""Gila, (AZ)""",5,"5 - 6 (636)"
04009,"""Graham, (AZ)""",4.1,"3 - 4 (616)"
04011,"""Greenlee, (AZ)""",4,"3 - 4 (616)"
04012,"""La Paz, (AZ)""",5.1,"5 - 6 (636)"
04013,"""Maricopa, (AZ)""",4.5,"4 - 5 (631)"
04015,"""Mohave, (AZ)""",5.5,"5 - 6 (636)"
04017,"""Navajo, (AZ)""",6.5,"6 - 20 (632)"
04019,"""Pima, (AZ)""",5,"5 - 6 (636)"
04021,"""Pinal, (AZ)""",4.7,"4 - 5 (631)"
04023,"""Santa Cruz, (AZ)""",8.7,"6 - 20 (632)"
04025,"""Yavapai, (AZ)""",4.1,"3 - 4 (616)"
04027,"""Yuma, (AZ)""",12.9,"6 - 20 (632)"
06003,"""Alpine, (CA)""",8.1,"6 - 20 (632)"
06019,"""Fresno, (CA)""",9.2,"6 - 20 (632)"
06025,"""Imperial, (CA)""",17.3,"6 - 20 (632)"
06027,"""Inyo, (CA)""",5.9,"5 - 6 (636)"
06029,"""Kern, (CA)""",10,"6 - 20 (632)"
06037,"""Los Angeles, (CA)""",8.9,"6 - 20 (632)"
06039,"""Madera, (CA)""",8.8,"6 - 20 (632)"
06051,"""Mono, (CA)""",6.8,"6 - 20 (632)"
06059,"""Orange, (CA)""",6,"5 - 6 (636)"
06065,"""Riverside, (CA)""",7.3,"6 - 20 (632)"
06071,"""San Bernardino, (CA)""",7.4,"6 - 20 (632)"
06073,"""San Diego, (CA)""",6.5,"6 - 20 (632)"
06107,"""Tulare, (CA)""",10.7,"6 - 20 (632)"
06111,"""Ventura, (CA)""",6.2,"6 - 20 (632)"
08007,"""Archuleta, (CO)""",4.9,"5 - 6 (636)"
08029,"""Delta, (CO)""",5.3,"5 - 6 (636)"
08033,"""Dolores, (CO)""",4.7,"4 - 5 (631)"
08045,"""Garfield, (CO)""",4.7,"4 - 5 (631)"
08051,"""Gunnison, (CO)""",3.7,"3 - 4 (616)"
08053,"""Hinsdale, (CO)""",3.6,"3 - 4 (616)"
08067,"""La Plata, (CO)""",5.2,"5 - 6 (636)"
08077,"""Mesa, (CO)""",5.7,"5 - 6 (636)"
08079,"""Mineral, (CO)""",5,"5 - 6 (636)"
08081,"""Moffat, (CO)""",4.8,"4 - 5 (631)"
08083,"""Montezuma, (CO)""",5.6,"5 - 6 (636)"
08085,"""Montrose, (CO)""",5,"5 - 6 (636)"
08091,"""Ouray, (CO)""",4.5,"4 - 5 (631)"
08097,"""Pitkin, (CO)""",5.5,"5 - 6 (636)"
08103,"""Rio Blanco, (CO)""",5.5,"5 - 6 (636)"
08107,"""Routt, (CO)""",4.2,"4 - 5 (631)"
08111,"""San Juan, (CO)""",3.5,"3 - 4 (616)"
08113,"""San Miguel, (CO)""",5,"5 - 6 (636)"
16001,"""Ada, (ID)""",3.3,"1 - 3 (703)"
16005,"""Bannock, (ID)""",3.6,"3 - 4 (616)"
16007,"""Bear Lake, (ID)""",3,"1 - 3 (703)"
16011,"""Bingham, (ID)""",3.2,"1 - 3 (703)"
16013,"""Blaine, (ID)""",3.6,"3 - 4 (616)"
16015,"""Boise, (ID)""",5.4,"5 - 6 (636)"
16019,"""Bonneville, (ID)""",2.9,"1 - 3 (703)"
16023,"""Butte, (ID)""",3.8,"3 - 4 (616)"
16025,"""Camas, (ID)""",3.4,"3 - 4 (616)"
16027,"""Canyon, (ID)""",4,"3 - 4 (616)"
16029,"""Caribou, (ID)""",3.1,"1 - 3 (703)"
16031,"""Cassia, (ID)""",2.9,"1 - 3 (703)"
16033,"""Clark, (ID)""",3.2,"1 - 3 (703)"
16037,"""Custer, (ID)""",4.7,"4 - 5 (631)"
16039,"""Elmore, (ID)""",3.7,"3 - 4 (616)"
16041,"""Franklin, (ID)""",2.5,"1 - 3 (703)"
16043,"""Fremont, (ID)""",2.9,"1 - 3 (703)"
16045,"""Gem, (ID)""",4.1,"3 - 4 (616)"
16047,"""Gooding, (ID)""",3.1,"1 - 3 (703)"
16051,"""Jefferson, (ID)""",2.7,"1 - 3 (703)"
16053,"""Jerome, (ID)""",3.3,"1 - 3 (703)"
16063,"""Lincoln, (ID)""",4.4,"4 - 5 (631)"
16065,"""Madison, (ID)""",2.2,"1 - 3 (703)"
16067,"""Minidoka, (ID)""",3.1,"1 - 3 (703)"
16071,"""Oneida, (ID)""",2.5,"1 - 3 (703)"
16073,"""Owyhee, (ID)""",4.3,"4 - 5 (631)"
16075,"""Payette, (ID)""",4,"3 - 4 (616)"
16077,"""Power, (ID)""",3.8,"3 - 4 (616)"
16081,"""Teton, (ID)""",2.9,"1 - 3 (703)"
16083,"""Twin Falls, (ID)""",3.6,"3 - 4 (616)"
16087,"""Washington, (ID)""",4.4,"4 - 5 (631)"
32001,"""Churchill, (NV)""",3.5,"3 - 4 (616)"
32003,"""Clark, (NV)""",8.3,"6 - 20 (632)"
32005,"""Douglas, (NV)""",4.5,"4 - 5 (631)"
32007,"""Elko, (NV)""",3.3,"1 - 3 (703)"
32009,"""Esmeralda, (NV)""",3.8,"3 - 4 (616)"
32011,"""Eureka, (NV)""",2.6,"1 - 3 (703)"
32013,"""Humboldt, (NV)""",3.4,"3 - 4 (616)"
32015,"""Lander, (NV)""",3.6,"3 - 4 (616)"
32017,"""Lincoln, (NV)""",3.4,"3 - 4 (616)"
32019,"""Lyon, (NV)""",5.2,"5 - 6 (636)"
32021,"""Mineral, (NV)""",3.8,"3 - 4 (616)"
32023,"""Nye, (NV)""",6.1,"6 - 20 (632)"
