"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",180,"94 - 261 (648)"
02016,"""Aleutians West, (AK)""",308,"261 - 790 (639)"
02020,"""Anchorage, (AK)""",9175,"""2,989 - 1,747,526 (643)"""
02050,"""Bethel, (AK)""",81,"0 - 94 (645)"
02060,"""Bristol Bay, (AK)""",26,"0 - 94 (645)"
02068,"""Denali, (AK)""",37,"0 - 94 (645)"
02070,"""Dillingham, (AK)""",61,"0 - 94 (645)"
02090,"""Fairbanks North Star, (AK)""",3109,"""2,989 - 1,747,526 (643)"""
02100,"""Haines, (AK)""",66,"0 - 94 (645)"
02105,"""Hoonah-Angoon, (AK)""",109,"94 - 261 (648)"
02110,"""Juneau, (AK)""",647,"261 - 790 (639)"
02122,"""Kenai Peninsula, (AK)""",871,"""790 - 2,989 (644)"""
02130,"""Ketchikan Gateway, (AK)""",278,"261 - 790 (639)"
02150,"""Kodiak Island, (AK)""",516,"261 - 790 (639)"
02164,"""Lake and Peninsula, (AK)""",0,"0 - 94 (645)"
02170,"""Matanuska-Susitna, (AK)""",1730,"""790 - 2,989 (644)"""
02180,"""Nome, (AK)""",57,"0 - 94 (645)"
02185,"""North Slope, (AK)""",206,"94 - 261 (648)"
02188,"""Northwest Arctic, (AK)""",86,"0 - 94 (645)"
02195,"""Petersburg, (AK)""",63,"0 - 94 (645)"
02198,"""Prince of Wales-Hyder, (AK)""",100,"94 - 261 (648)"
02220,"""Sitka, (AK)""",232,"94 - 261 (648)"
02230,"""Skagway, (AK)""",36,"0 - 94 (645)"
02240,"""Southeast Fairbanks, (AK)""",148,"94 - 261 (648)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",37,"0 - 94 (645)"
02275,"""Wrangell, (AK)""",40,"0 - 94 (645)"
02282,"""Yakutat, (AK)""",36,"0 - 94 (645)"
02290,"""Yukon-Koyukuk, (AK)""",30,"0 - 94 (645)"
06001,"""Alameda, (CA)""",132871,"""2,989 - 1,747,526 (643)"""
06005,"""Amador, (CA)""",2806,"""790 - 2,989 (644)"""
06007,"""Butte, (CA)""",13395,"""2,989 - 1,747,526 (643)"""
06009,"""Calaveras, (CA)""",2121,"""790 - 2,989 (644)"""
06011,"""Colusa, (CA)""",4457,"""2,989 - 1,747,526 (643)"""
06013,"""Contra Costa, (CA)""",101535,"""2,989 - 1,747,526 (643)"""
06015,"""Del Norte, (CA)""",2782,"""790 - 2,989 (644)"""
06017,"""El Dorado, (CA)""",8504,"""2,989 - 1,747,526 (643)"""
06021,"""Glenn, (CA)""",4040,"""2,989 - 1,747,526 (643)"""
06023,"""Humboldt, (CA)""",5523,"""2,989 - 1,747,526 (643)"""
06031,"""Kings, (CA)""",30966,"""2,989 - 1,747,526 (643)"""
06033,"""Lake, (CA)""",4581,"""2,989 - 1,747,526 (643)"""
06035,"""Lassen, (CA)""",4652,"""2,989 - 1,747,526 (643)"""
06041,"""Marin, (CA)""",14876,"""2,989 - 1,747,526 (643)"""
06043,"""Mariposa, (CA)""",764,"261 - 790 (639)"
06045,"""Mendocino, (CA)""",7517,"""2,989 - 1,747,526 (643)"""
06047,"""Merced, (CA)""",54530,"""2,989 - 1,747,526 (643)"""
06049,"""Modoc, (CA)""",528,"261 - 790 (639)"
06053,"""Monterey, (CA)""",87638,"""2,989 - 1,747,526 (643)"""
06055,"""Napa, (CA)""",16834,"""2,989 - 1,747,526 (643)"""
06057,"""Nevada, (CA)""",3425,"""2,989 - 1,747,526 (643)"""
06061,"""Placer, (CA)""",18927,"""2,989 - 1,747,526 (643)"""
06063,"""Plumas, (CA)""",612,"261 - 790 (639)"
06067,"""Sacramento, (CA)""",120870,"""2,989 - 1,747,526 (643)"""
06069,"""San Benito, (CA)""",12987,"""2,989 - 1,747,526 (643)"""
06075,"""San Francisco, (CA)""",55772,"""2,989 - 1,747,526 (643)"""
06077,"""San Joaquin, (CA)""",104478,"""2,989 - 1,747,526 (643)"""
06079,"""San Luis Obispo, (CA)""",23732,"""2,989 - 1,747,526 (643)"""
06081,"""San Mateo, (CA)""",67068,"""2,989 - 1,747,526 (643)"""
06083,"""Santa Barbara, (CA)""",70133,"""2,989 - 1,747,526 (643)"""
06085,"""Santa Clara, (CA)""",171738,"""2,989 - 1,747,526 (643)"""
06087,"""Santa Cruz, (CA)""",31986,"""2,989 - 1,747,526 (643)"""
06089,"""Shasta, (CA)""",6225,"""2,989 - 1,747,526 (643)"""
06091,"""Sierra, (CA)""",126,"94 - 261 (648)"
