"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",1090,"""444 - 61,831 (642)"""
02016,"""Aleutians West, (AK)""",465,"""444 - 61,831 (642)"""
02020,"""Anchorage, (AK)""",15672,"""444 - 61,831 (642)"""
02050,"""Bethel, (AK)""",9390,"""444 - 61,831 (642)"""
02060,"""Bristol Bay, (AK)""",187,"139 - 444 (644)"
02068,"""Denali, (AK)""",35,"15 - 56 (637)"
02070,"""Dillingham, (AK)""",2441,"""444 - 61,831 (642)"""
02090,"""Fairbanks North Star, (AK)""",5131,"""444 - 61,831 (642)"""
02100,"""Haines, (AK)""",96,"56 - 139 (634)"
02105,"""Hoonah-Angoon, (AK)""",586,"""444 - 61,831 (642)"""
02110,"""Juneau, (AK)""",2475,"""444 - 61,831 (642)"""
02122,"""Kenai Peninsula, (AK)""",3552,"""444 - 61,831 (642)"""
02130,"""Ketchikan Gateway, (AK)""",1470,"""444 - 61,831 (642)"""
02150,"""Kodiak Island, (AK)""",1155,"""444 - 61,831 (642)"""
02164,"""Lake and Peninsula, (AK)""",476,"""444 - 61,831 (642)"""
02170,"""Matanuska-Susitna, (AK)""",4657,"""444 - 61,831 (642)"""
02180,"""Nome, (AK)""",4670,"""444 - 61,831 (642)"""
02185,"""North Slope, (AK)""",3182,"""444 - 61,831 (642)"""
02188,"""Northwest Arctic, (AK)""",3871,"""444 - 61,831 (642)"""
02195,"""Petersburg, (AK)""",163,"139 - 444 (644)"
02198,"""Prince of Wales-Hyder, (AK)""",1856,"""444 - 61,831 (642)"""
02220,"""Sitka, (AK)""",767,"""444 - 61,831 (642)"""
02230,"""Skagway, (AK)""",55,"15 - 56 (637)"
02240,"""Southeast Fairbanks, (AK)""",674,"""444 - 61,831 (642)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",4431,"""444 - 61,831 (642)"""
02275,"""Wrangell, (AK)""",385,"139 - 444 (644)"
02282,"""Yakutat, (AK)""",122,"56 - 139 (634)"
02290,"""Yukon-Koyukuk, (AK)""",2604,"""444 - 61,831 (642)"""
06001,"""Alameda, (CA)""",8635,"""444 - 61,831 (642)"""
06005,"""Amador, (CA)""",254,"139 - 444 (644)"
06007,"""Butte, (CA)""",2129,"""444 - 61,831 (642)"""
06009,"""Calaveras, (CA)""",451,"""444 - 61,831 (642)"""
06011,"""Colusa, (CA)""",200,"139 - 444 (644)"
06013,"""Contra Costa, (CA)""",4187,"""444 - 61,831 (642)"""
06015,"""Del Norte, (CA)""",1180,"""444 - 61,831 (642)"""
06017,"""El Dorado, (CA)""",1015,"""444 - 61,831 (642)"""
06021,"""Glenn, (CA)""",440,"139 - 444 (644)"
06023,"""Humboldt, (CA)""",4670,"""444 - 61,831 (642)"""
06031,"""Kings, (CA)""",1539,"""444 - 61,831 (642)"""
06033,"""Lake, (CA)""",1776,"""444 - 61,831 (642)"""
06035,"""Lassen, (CA)""",677,"""444 - 61,831 (642)"""
06041,"""Marin, (CA)""",490,"""444 - 61,831 (642)"""
06043,"""Mariposa, (CA)""",307,"139 - 444 (644)"
06045,"""Mendocino, (CA)""",2812,"""444 - 61,831 (642)"""
06047,"""Merced, (CA)""",2081,"""444 - 61,831 (642)"""
06049,"""Modoc, (CA)""",182,"139 - 444 (644)"
06053,"""Monterey, (CA)""",2262,"""444 - 61,831 (642)"""
06055,"""Napa, (CA)""",765,"""444 - 61,831 (642)"""
06057,"""Nevada, (CA)""",404,"139 - 444 (644)"
06061,"""Placer, (CA)""",1629,"""444 - 61,831 (642)"""
06063,"""Plumas, (CA)""",265,"139 - 444 (644)"
06067,"""Sacramento, (CA)""",7851,"""444 - 61,831 (642)"""
06069,"""San Benito, (CA)""",426,"139 - 444 (644)"
06075,"""San Francisco, (CA)""",2973,"""444 - 61,831 (642)"""
06077,"""San Joaquin, (CA)""",3449,"""444 - 61,831 (642)"""
06079,"""San Luis Obispo, (CA)""",2034,"""444 - 61,831 (642)"""
06081,"""San Mateo, (CA)""",3287,"""444 - 61,831 (642)"""
06083,"""Santa Barbara, (CA)""",3748,"""444 - 61,831 (642)"""
06085,"""Santa Clara, (CA)""",7368,"""444 - 61,831 (642)"""
06087,"""Santa Cruz, (CA)""",1410,"""444 - 61,831 (642)"""
06089,"""Shasta, (CA)""",3292,"""444 - 61,831 (642)"""
06091,"""Sierra, (CA)""",69,"56 - 139 (634)"
06093,"""Siskiyou, (CA)""",1217,"""444 - 61,831 (642)"""
06095,"""Solano, (CA)""",1949,"""444 - 61,831 (642)"""
06097,"""Sonoma, (CA)""",3605,"""444 - 61,831 (642)"""
06099,"""Stanislaus, (CA)""",3673,"""444 - 61,831 (642)"""
06101,"""Sutter, (CA)""",817,"""444 - 61,831 (642)"""
06103,"""Tehama, (CA)""",736,"""444 - 61,831 (642)"""
06105,"""Trinity, (CA)""",642,"""444 - 61,831 (642)"""
06109,"""Tuolumne, (CA)""",776,"""444 - 61,831 (642)"""
06113,"""Yolo, (CA)""",1174,"""444 - 61,831 (642)"""
06115,"""Yuba, (CA)""",886,"""444 - 61,831 (642)"""
15001,"""Hawaii, (HI)""",620,"""444 - 61,831 (642)"""
15003,"""Honolulu, (HI)""",1594,"""444 - 61,831 (642)"""
15005,"""Kalawao, (HI)""",77,"56 - 139 (634)"
15007,"""Kauai, (HI)""",262,"139 - 444 (644)"
15009,"""Maui, (HI)""",380,"139 - 444 (644)"
41003,"""Benton, (OR)""",488,"""444 - 61,831 (642)"""
41005,"""Clackamas, (OR)""",1895,"""444 - 61,831 (642)"""
41007,"""Clatsop, (OR)""",219,"139 - 444 (644)"
41009,"""Columbia, (OR)""",383,"139 - 444 (644)"
41011,"""Coos, (OR)""",968,"""444 - 61,831 (642)"""
41013,"""Crook, (OR)""",214,"139 - 444 (644)"
41015,"""Curry, (OR)""",390,"139 - 444 (644)"
41017,"""Deschutes, (OR)""",1208,"""444 - 61,831 (642)"""
41019,"""Douglas, (OR)""",1262,"""444 - 61,831 (642)"""
41021,"""Gilliam, (OR)""",33,"15 - 56 (637)"
41027,"""Hood River, (OR)""",149,"139 - 444 (644)"
41029,"""Jackson, (OR)""",1659,"""444 - 61,831 (642)"""
41031,"""Jefferson, (OR)""",2360,"""444 - 61,831 (642)"""
41033,"""Josephine, (OR)""",739,"""444 - 61,831 (642)"""
41035,"""Klamath, (OR)""",1988,"""444 - 61,831 (642)"""
41037,"""Lake, (OR)""",199,"139 - 444 (644)"
41039,"""Lane, (OR)""",2851,"""444 - 61,831 (642)"""
41041,"""Lincoln, (OR)""",910,"""444 - 61,831 (642)"""
41043,"""Linn, (OR)""",654,"""444 - 61,831 (642)"""
41047,"""Marion, (OR)""",2255,"""444 - 61,831 (642)"""
41051,"""Multnomah, (OR)""",5570,"""444 - 61,831 (642)"""
