"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",607,"""233 - 31,146 (642)"""
02016,"""Aleutians West, (AK)""",249,"""233 - 31,146 (642)"""
02020,"""Anchorage, (AK)""",6555,"""233 - 31,146 (642)"""
02050,"""Bethel, (AK)""",4848,"""233 - 31,146 (642)"""
02060,"""Bristol Bay, (AK)""",101,"75 - 233 (633)"
02068,"""Denali, (AK)""",10,"4 - 25 (620)"
02070,"""Dillingham, (AK)""",1267,"""233 - 31,146 (642)"""
02090,"""Fairbanks North Star, (AK)""",2411,"""233 - 31,146 (642)"""
02100,"""Haines, (AK)""",46,"25 - 75 (656)"
02105,"""Hoonah-Angoon, (AK)""",344,"""233 - 31,146 (642)"""
02110,"""Juneau, (AK)""",1258,"""233 - 31,146 (642)"""
02122,"""Kenai Peninsula, (AK)""",1804,"""233 - 31,146 (642)"""
02130,"""Ketchikan Gateway, (AK)""",677,"""233 - 31,146 (642)"""
02150,"""Kodiak Island, (AK)""",554,"""233 - 31,146 (642)"""
02164,"""Lake and Peninsula, (AK)""",207,"75 - 233 (633)"
02170,"""Matanuska-Susitna, (AK)""",2315,"""233 - 31,146 (642)"""
02180,"""Nome, (AK)""",2432,"""233 - 31,146 (642)"""
02185,"""North Slope, (AK)""",1734,"""233 - 31,146 (642)"""
02188,"""Northwest Arctic, (AK)""",2078,"""233 - 31,146 (642)"""
02195,"""Petersburg, (AK)""",71,"25 - 75 (656)"
02198,"""Prince of Wales-Hyder, (AK)""",981,"""233 - 31,146 (642)"""
02220,"""Sitka, (AK)""",381,"""233 - 31,146 (642)"""
02230,"""Skagway, (AK)""",2,"0 - 4 (668)"
02240,"""Southeast Fairbanks, (AK)""",377,"""233 - 31,146 (642)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",2361,"""233 - 31,146 (642)"""
02275,"""Wrangell, (AK)""",133,"75 - 233 (633)"
02282,"""Yakutat, (AK)""",70,"25 - 75 (656)"
02290,"""Yukon-Koyukuk, (AK)""",1369,"""233 - 31,146 (642)"""
06001,"""Alameda, (CA)""",4130,"""233 - 31,146 (642)"""
06005,"""Amador, (CA)""",195,"75 - 233 (633)"
06007,"""Butte, (CA)""",1124,"""233 - 31,146 (642)"""
06009,"""Calaveras, (CA)""",184,"75 - 233 (633)"
06011,"""Colusa, (CA)""",128,"75 - 233 (633)"
06013,"""Contra Costa, (CA)""",2187,"""233 - 31,146 (642)"""
06015,"""Del Norte, (CA)""",549,"""233 - 31,146 (642)"""
06017,"""El Dorado, (CA)""",522,"""233 - 31,146 (642)"""
06021,"""Glenn, (CA)""",205,"75 - 233 (633)"
06023,"""Humboldt, (CA)""",2001,"""233 - 31,146 (642)"""
06031,"""Kings, (CA)""",861,"""233 - 31,146 (642)"""
06033,"""Lake, (CA)""",882,"""233 - 31,146 (642)"""
06035,"""Lassen, (CA)""",392,"""233 - 31,146 (642)"""
06041,"""Marin, (CA)""",257,"""233 - 31,146 (642)"""
06043,"""Mariposa, (CA)""",102,"75 - 233 (633)"
06045,"""Mendocino, (CA)""",1312,"""233 - 31,146 (642)"""
06047,"""Merced, (CA)""",978,"""233 - 31,146 (642)"""
06049,"""Modoc, (CA)""",66,"25 - 75 (656)"
06053,"""Monterey, (CA)""",1177,"""233 - 31,146 (642)"""
06055,"""Napa, (CA)""",412,"""233 - 31,146 (642)"""
06057,"""Nevada, (CA)""",213,"75 - 233 (633)"
06061,"""Placer, (CA)""",669,"""233 - 31,146 (642)"""
06063,"""Plumas, (CA)""",189,"75 - 233 (633)"
06067,"""Sacramento, (CA)""",3640,"""233 - 31,146 (642)"""
06069,"""San Benito, (CA)""",196,"75 - 233 (633)"
06075,"""San Francisco, (CA)""",1748,"""233 - 31,146 (642)"""
06077,"""San Joaquin, (CA)""",1936,"""233 - 31,146 (642)"""
06079,"""San Luis Obispo, (CA)""",1012,"""233 - 31,146 (642)"""
06081,"""San Mateo, (CA)""",1579,"""233 - 31,146 (642)"""
06083,"""Santa Barbara, (CA)""",1980,"""233 - 31,146 (642)"""
06085,"""Santa Clara, (CA)""",3656,"""233 - 31,146 (642)"""
06087,"""Santa Cruz, (CA)""",683,"""233 - 31,146 (642)"""
06089,"""Shasta, (CA)""",1571,"""233 - 31,146 (642)"""
06091,"""Sierra, (CA)""",59,"25 - 75 (656)"
06093,"""Siskiyou, (CA)""",528,"""233 - 31,146 (642)"""
06095,"""Solano, (CA)""",1043,"""233 - 31,146 (642)"""
06097,"""Sonoma, (CA)""",1776,"""233 - 31,146 (642)"""
06099,"""Stanislaus, (CA)""",1732,"""233 - 31,146 (642)"""
06101,"""Sutter, (CA)""",437,"""233 - 31,146 (642)"""
06103,"""Tehama, (CA)""",340,"""233 - 31,146 (642)"""
06105,"""Trinity, (CA)""",302,"""233 - 31,146 (642)"""
06109,"""Tuolumne, (CA)""",377,"""233 - 31,146 (642)"""
06113,"""Yolo, (CA)""",593,"""233 - 31,146 (642)"""
06115,"""Yuba, (CA)""",434,"""233 - 31,146 (642)"""
15001,"""Hawaii, (HI)""",358,"""233 - 31,146 (642)"""
15003,"""Honolulu, (HI)""",843,"""233 - 31,146 (642)"""
15005,"""Kalawao, (HI)""",77,"75 - 233 (633)"
15007,"""Kauai, (HI)""",94,"75 - 233 (633)"
15009,"""Maui, (HI)""",209,"75 - 233 (633)"
41003,"""Benton, (OR)""",288,"""233 - 31,146 (642)"""
41005,"""Clackamas, (OR)""",922,"""233 - 31,146 (642)"""
41007,"""Clatsop, (OR)""",120,"75 - 233 (633)"
41009,"""Columbia, (OR)""",218,"75 - 233 (633)"
41011,"""Coos, (OR)""",594,"""233 - 31,146 (642)"""
41013,"""Crook, (OR)""",73,"25 - 75 (656)"
41015,"""Curry, (OR)""",262,"""233 - 31,146 (642)"""
41017,"""Deschutes, (OR)""",515,"""233 - 31,146 (642)"""
41019,"""Douglas, (OR)""",608,"""233 - 31,146 (642)"""
41021,"""Gilliam, (OR)""",24,"4 - 25 (620)"
41027,"""Hood River, (OR)""",84,"75 - 233 (633)"
41029,"""Jackson, (OR)""",826,"""233 - 31,146 (642)"""
41031,"""Jefferson, (OR)""",1161,"""233 - 31,146 (642)"""
41033,"""Josephine, (OR)""",356,"""233 - 31,146 (642)"""
41035,"""Klamath, (OR)""",1106,"""233 - 31,146 (642)"""
41037,"""Lake, (OR)""",97,"75 - 233 (633)"
41039,"""Lane, (OR)""",1548,"""233 - 31,146 (642)"""
41041,"""Lincoln, (OR)""",524,"""233 - 31,146 (642)"""
41043,"""Linn, (OR)""",252,"""233 - 31,146 (642)"""
41047,"""Marion, (OR)""",1152,"""233 - 31,146 (642)"""
41051,"""Multnomah, (OR)""",2973,"""233 - 31,146 (642)"""
41053,"""Polk, (OR)""",620,"""233 - 31,146 (642)"""
41055,"""Sherman, (OR)""",3,"0 - 4 (668)"
41057,"""Tillamook, (OR)""",73,"25 - 75 (656)"
41065,"""Wasco, (OR)""",316,"""233 - 31,146 (642)"""
41067,"""Washington, (OR)""",1163,"""233 - 31,146 (642)"""
41069,"""Wheeler, (OR)""",4,"0 - 4 (668)"
41071,"""Yamhill, (OR)""",446,"""233 - 31,146 (642)"""
53007,"""Chelan, (WA)""",185,"75 - 233 (633)"
53009,"""Clallam, (WA)""",1361,"""233 - 31,146 (642)"""
53011,"""Clark, (WA)""",924,"""233 - 31,146 (642)"""
53015,"""Cowlitz, (WA)""",496,"""233 - 31,146 (642)"""
53027,"""Grays Harbor, (WA)""",1313,"""233 - 31,146 (642)"""
53029,"""Island, (WA)""",418,"""233 - 31,146 (642)"""
53031,"""Jefferson, (WA)""",107,"75 - 233 (633)"
53033,"""King, (WA)""",4769,"""233 - 31,146 (642)"""
53035,"""Kitsap, (WA)""",1091,"""233 - 31,146 (642)"""
53037,"""Kittitas, (WA)""",100,"75 - 233 (633)"
53039,"""Klickitat, (WA)""",240,"""233 - 31,146 (642)"""
53041,"""Lewis, (WA)""",179,"75 - 233 (633)"
53045,"""Mason, (WA)""",623,"""233 - 31,146 (642)"""
53047,"""Okanogan, (WA)""",1555,"""233 - 31,146 (642)"""
