"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",483,"""232 - 32,642 (643)"""
02016,"""Aleutians West, (AK)""",216,"68 - 232 (637)"
02020,"""Anchorage, (AK)""",9117,"""232 - 32,642 (643)"""
02050,"""Bethel, (AK)""",4542,"""232 - 32,642 (643)"""
02060,"""Bristol Bay, (AK)""",86,"68 - 232 (637)"
02068,"""Denali, (AK)""",25,"23 - 68 (631)"
02070,"""Dillingham, (AK)""",1174,"""232 - 32,642 (643)"""
02090,"""Fairbanks North Star, (AK)""",2720,"""232 - 32,642 (643)"""
02100,"""Haines, (AK)""",50,"23 - 68 (631)"
02105,"""Hoonah-Angoon, (AK)""",242,"""232 - 32,642 (643)"""
02110,"""Juneau, (AK)""",1217,"""232 - 32,642 (643)"""
02122,"""Kenai Peninsula, (AK)""",1748,"""232 - 32,642 (643)"""
02130,"""Ketchikan Gateway, (AK)""",793,"""232 - 32,642 (643)"""
02150,"""Kodiak Island, (AK)""",601,"""232 - 32,642 (643)"""
02164,"""Lake and Peninsula, (AK)""",269,"""232 - 32,642 (643)"""
02170,"""Matanuska-Susitna, (AK)""",2342,"""232 - 32,642 (643)"""
02180,"""Nome, (AK)""",2238,"""232 - 32,642 (643)"""
02185,"""North Slope, (AK)""",1448,"""232 - 32,642 (643)"""
02188,"""Northwest Arctic, (AK)""",1793,"""232 - 32,642 (643)"""
02195,"""Petersburg, (AK)""",92,"68 - 232 (637)"
02198,"""Prince of Wales-Hyder, (AK)""",875,"""232 - 32,642 (643)"""
02220,"""Sitka, (AK)""",386,"""232 - 32,642 (643)"""
02230,"""Skagway, (AK)""",53,"23 - 68 (631)"
02240,"""Southeast Fairbanks, (AK)""",297,"""232 - 32,642 (643)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",2070,"""232 - 32,642 (643)"""
02275,"""Wrangell, (AK)""",252,"""232 - 32,642 (643)"""
02282,"""Yakutat, (AK)""",52,"23 - 68 (631)"
02290,"""Yukon-Koyukuk, (AK)""",1235,"""232 - 32,642 (643)"""
06001,"""Alameda, (CA)""",4505,"""232 - 32,642 (643)"""
06005,"""Amador, (CA)""",59,"23 - 68 (631)"
06007,"""Butte, (CA)""",1005,"""232 - 32,642 (643)"""
06009,"""Calaveras, (CA)""",267,"""232 - 32,642 (643)"""
06011,"""Colusa, (CA)""",72,"68 - 232 (637)"
