"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",798,"""221 - 1,009 (641)"""
02016,"""Aleutians West, (AK)""",2169,"""1,009 - 1,263,567 (643)"""
02020,"""Anchorage, (AK)""",26122,"""1,009 - 1,263,567 (643)"""
02050,"""Bethel, (AK)""",221,"76 - 221 (640)"
02060,"""Bristol Bay, (AK)""",26,"19 - 76 (643)"
02068,"""Denali, (AK)""",51,"19 - 76 (643)"
02070,"""Dillingham, (AK)""",19,"0 - 19 (652)"
02090,"""Fairbanks North Star, (AK)""",3059,"""1,009 - 1,263,567 (643)"""
02100,"""Haines, (AK)""",43,"19 - 76 (643)"
02105,"""Hoonah-Angoon, (AK)""",49,"19 - 76 (643)"
02110,"""Juneau, (AK)""",2118,"""1,009 - 1,263,567 (643)"""
02122,"""Kenai Peninsula, (AK)""",953,"""221 - 1,009 (641)"""
02130,"""Ketchikan Gateway, (AK)""",950,"""221 - 1,009 (641)"""
02150,"""Kodiak Island, (AK)""",2391,"""1,009 - 1,263,567 (643)"""
02164,"""Lake and Peninsula, (AK)""",29,"19 - 76 (643)"
02170,"""Matanuska-Susitna, (AK)""",1448,"""1,009 - 1,263,567 (643)"""
02180,"""Nome, (AK)""",265,"""221 - 1,009 (641)"""
02185,"""North Slope, (AK)""",590,"""221 - 1,009 (641)"""
02188,"""Northwest Arctic, (AK)""",93,"76 - 221 (640)"
02195,"""Petersburg, (AK)""",444,"""221 - 1,009 (641)"""
02198,"""Prince of Wales-Hyder, (AK)""",86,"76 - 221 (640)"
02220,"""Sitka, (AK)""",539,"""221 - 1,009 (641)"""
02230,"""Skagway, (AK)""",25,"19 - 76 (643)"
02240,"""Southeast Fairbanks, (AK)""",83,"76 - 221 (640)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",17,"0 - 19 (652)"
02275,"""Wrangell, (AK)""",48,"19 - 76 (643)"
02282,"""Yakutat, (AK)""",48,"19 - 76 (643)"
02290,"""Yukon-Koyukuk, (AK)""",34,"19 - 76 (643)"
06001,"""Alameda, (CA)""",429747,"""1,009 - 1,263,567 (643)"""
06005,"""Amador, (CA)""",397,"""221 - 1,009 (641)"""
06007,"""Butte, (CA)""",8369,"""1,009 - 1,263,567 (643)"""
06009,"""Calaveras, (CA)""",732,"""221 - 1,009 (641)"""
06011,"""Colusa, (CA)""",192,"76 - 221 (640)"
06013,"""Contra Costa, (CA)""",163431,"""1,009 - 1,263,567 (643)"""
06015,"""Del Norte, (CA)""",678,"""221 - 1,009 (641)"""
06017,"""El Dorado, (CA)""",7799,"""1,009 - 1,263,567 (643)"""
06021,"""Glenn, (CA)""",605,"""221 - 1,009 (641)"""
06023,"""Humboldt, (CA)""",3404,"""1,009 - 1,263,567 (643)"""
06031,"""Kings, (CA)""",4632,"""1,009 - 1,263,567 (643)"""
06033,"""Lake, (CA)""",782,"""221 - 1,009 (641)"""
06035,"""Lassen, (CA)""",609,"""221 - 1,009 (641)"""
06041,"""Marin, (CA)""",13608,"""1,009 - 1,263,567 (643)"""
06043,"""Mariposa, (CA)""",226,"""221 - 1,009 (641)"""
06045,"""Mendocino, (CA)""",1680,"""1,009 - 1,263,567 (643)"""
06047,"""Merced, (CA)""",15791,"""1,009 - 1,263,567 (643)"""
06049,"""Modoc, (CA)""",176,"76 - 221 (640)"
06053,"""Monterey, (CA)""",22961,"""1,009 - 1,263,567 (643)"""
06055,"""Napa, (CA)""",8809,"""1,009 - 1,263,567 (643)"""
06057,"""Nevada, (CA)""",1177,"""1,009 - 1,263,567 (643)"""
06061,"""Placer, (CA)""",25287,"""1,009 - 1,263,567 (643)"""
06063,"""Plumas, (CA)""",236,"""221 - 1,009 (641)"""
06067,"""Sacramento, (CA)""",209617,"""1,009 - 1,263,567 (643)"""
06069,"""San Benito, (CA)""",1441,"""1,009 - 1,263,567 (643)"""
06075,"""San Francisco, (CA)""",269869,"""1,009 - 1,263,567 (643)"""
06077,"""San Joaquin, (CA)""",92527,"""1,009 - 1,263,567 (643)"""
06079,"""San Luis Obispo, (CA)""",9686,"""1,009 - 1,263,567 (643)"""
06081,"""San Mateo, (CA)""",193908,"""1,009 - 1,263,567 (643)"""
06083,"""Santa Barbara, (CA)""",22046,"""1,009 - 1,263,567 (643)"""
06085,"""Santa Clara, (CA)""",583307,"""1,009 - 1,263,567 (643)"""
06087,"""Santa Cruz, (CA)""",12822,"""1,009 - 1,263,567 (643)"""
06089,"""Shasta, (CA)""",4802,"""1,009 - 1,263,567 (643)"""
06091,"""Sierra, (CA)""",0,"0 - 19 (652)"
06093,"""Siskiyou, (CA)""",649,"""221 - 1,009 (641)"""
06095,"""Solano, (CA)""",60500,"""1,009 - 1,263,567 (643)"""
06097,"""Sonoma, (CA)""",19171,"""1,009 - 1,263,567 (643)"""
06099,"""Stanislaus, (CA)""",27030,"""1,009 - 1,263,567 (643)"""
06101,"""Sutter, (CA)""",12672,"""1,009 - 1,263,567 (643)"""
06103,"""Tehama, (CA)""",778,"""221 - 1,009 (641)"""
06105,"""Trinity, (CA)""",182,"76 - 221 (640)"
06109,"""Tuolumne, (CA)""",730,"""221 - 1,009 (641)"""
06113,"""Yolo, (CA)""",28158,"""1,009 - 1,263,567 (643)"""
06115,"""Yuba, (CA)""",4002,"""1,009 - 1,263,567 (643)"""
15001,"""Hawaii, (HI)""",58441,"""1,009 - 1,263,567 (643)"""
15003,"""Honolulu, (HI)""",429969,"""1,009 - 1,263,567 (643)"""
