"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",373,"95 - 449 (636)"
02016,"""Aleutians West, (AK)""",1351,"""449 - 577,195 (643)"""
02020,"""Anchorage, (AK)""",11599,"""449 - 577,195 (643)"""
02050,"""Bethel, (AK)""",95,"28 - 95 (641)"
02060,"""Bristol Bay, (AK)""",0,"0 - 3 (669)"
02068,"""Denali, (AK)""",18,"3 - 28 (630)"
02070,"""Dillingham, (AK)""",9,"3 - 28 (630)"
02090,"""Fairbanks North Star, (AK)""",1544,"""449 - 577,195 (643)"""
02100,"""Haines, (AK)""",26,"3 - 28 (630)"
02105,"""Hoonah-Angoon, (AK)""",19,"3 - 28 (630)"
02110,"""Juneau, (AK)""",1061,"""449 - 577,195 (643)"""
02122,"""Kenai Peninsula, (AK)""",401,"95 - 449 (636)"
02130,"""Ketchikan Gateway, (AK)""",428,"95 - 449 (636)"
02150,"""Kodiak Island, (AK)""",1254,"""449 - 577,195 (643)"""
02164,"""Lake and Peninsula, (AK)""",25,"3 - 28 (630)"
02170,"""Matanuska-Susitna, (AK)""",421,"95 - 449 (636)"
02180,"""Nome, (AK)""",160,"95 - 449 (636)"
02185,"""North Slope, (AK)""",328,"95 - 449 (636)"
02188,"""Northwest Arctic, (AK)""",56,"28 - 95 (641)"
02195,"""Petersburg, (AK)""",202,"95 - 449 (636)"
02198,"""Prince of Wales-Hyder, (AK)""",45,"28 - 95 (641)"
02220,"""Sitka, (AK)""",259,"95 - 449 (636)"
02230,"""Skagway, (AK)""",8,"3 - 28 (630)"
02240,"""Southeast Fairbanks, (AK)""",18,"3 - 28 (630)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",13,"3 - 28 (630)"
02275,"""Wrangell, (AK)""",17,"3 - 28 (630)"
02282,"""Yakutat, (AK)""",34,"28 - 95 (641)"
02290,"""Yukon-Koyukuk, (AK)""",23,"3 - 28 (630)"
06001,"""Alameda, (CA)""",202350,"""449 - 577,195 (643)"""
06005,"""Amador, (CA)""",243,"95 - 449 (636)"
06007,"""Butte, (CA)""",3947,"""449 - 577,195 (643)"""
06009,"""Calaveras, (CA)""",337,"95 - 449 (636)"
06011,"""Colusa, (CA)""",97,"95 - 449 (636)"
06013,"""Contra Costa, (CA)""",75923,"""449 - 577,195 (643)"""
06015,"""Del Norte, (CA)""",320,"95 - 449 (636)"
06017,"""El Dorado, (CA)""",3318,"""449 - 577,195 (643)"""
06021,"""Glenn, (CA)""",276,"95 - 449 (636)"
