"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",425,"127 - 554 (639)"
02016,"""Aleutians West, (AK)""",818,"""554 - 686,372 (642)"""
02020,"""Anchorage, (AK)""",14523,"""554 - 686,372 (642)"""
02050,"""Bethel, (AK)""",126,"44 - 127 (643)"
02060,"""Bristol Bay, (AK)""",26,"10 - 44 (632)"
02068,"""Denali, (AK)""",33,"10 - 44 (632)"
02070,"""Dillingham, (AK)""",10,"0 - 10 (663)"
02090,"""Fairbanks North Star, (AK)""",1515,"""554 - 686,372 (642)"""
02100,"""Haines, (AK)""",17,"10 - 44 (632)"
02105,"""Hoonah-Angoon, (AK)""",30,"10 - 44 (632)"
02110,"""Juneau, (AK)""",1057,"""554 - 686,372 (642)"""
02122,"""Kenai Peninsula, (AK)""",552,"127 - 554 (639)"
02130,"""Ketchikan Gateway, (AK)""",522,"127 - 554 (639)"
02150,"""Kodiak Island, (AK)""",1137,"""554 - 686,372 (642)"""
02164,"""Lake and Peninsula, (AK)""",4,"0 - 10 (663)"
02170,"""Matanuska-Susitna, (AK)""",1027,"""554 - 686,372 (642)"""
02180,"""Nome, (AK)""",105,"44 - 127 (643)"
02185,"""North Slope, (AK)""",262,"127 - 554 (639)"
02188,"""Northwest Arctic, (AK)""",37,"10 - 44 (632)"
02195,"""Petersburg, (AK)""",242,"127 - 554 (639)"
02198,"""Prince of Wales-Hyder, (AK)""",41,"10 - 44 (632)"
02220,"""Sitka, (AK)""",280,"127 - 554 (639)"
02230,"""Skagway, (AK)""",17,"10 - 44 (632)"
02240,"""Southeast Fairbanks, (AK)""",65,"44 - 127 (643)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",4,"0 - 10 (663)"
02275,"""Wrangell, (AK)""",31,"10 - 44 (632)"
02282,"""Yakutat, (AK)""",14,"10 - 44 (632)"
02290,"""Yukon-Koyukuk, (AK)""",11,"10 - 44 (632)"
06001,"""Alameda, (CA)""",227397,"""554 - 686,372 (642)"""
06005,"""Amador, (CA)""",154,"127 - 554 (639)"
06007,"""Butte, (CA)""",4422,"""554 - 686,372 (642)"""
06009,"""Calaveras, (CA)""",395,"127 - 554 (639)"
06011,"""Colusa, (CA)""",95,"44 - 127 (643)"
06013,"""Contra Costa, (CA)""",87508,"""554 - 686,372 (642)"""
06015,"""Del Norte, (CA)""",358,"127 - 554 (639)"
06017,"""El Dorado, (CA)""",4481,"""554 - 686,372 (642)"""
06021,"""Glenn, (CA)""",329,"127 - 554 (639)"
06023,"""Humboldt, (CA)""",1824,"""554 - 686,372 (642)"""
06031,"""Kings, (CA)""",2417,"""554 - 686,372 (642)"""
06033,"""Lake, (CA)""",477,"127 - 554 (639)"
06035,"""Lassen, (CA)""",202,"127 - 554 (639)"
