"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",11.2,"2 - 16 (663)"
02016,"""Aleutians West, (AK)""",7.5,"2 - 16 (663)"
02020,"""Anchorage, (AK)""",11.1,"2 - 16 (663)"
02050,"""Bethel, (AK)""",7.4,"2 - 16 (663)"
02060,"""Bristol Bay, (AK)""",11.6,"2 - 16 (663)"
02068,"""Denali, (AK)""",10.5,"2 - 16 (663)"
02070,"""Dillingham, (AK)""",11.3,"2 - 16 (663)"
02090,"""Fairbanks North Star, (AK)""",10.4,"2 - 16 (663)"
02100,"""Haines, (AK)""",23,"23 - 58 (636)"
02105,"""Hoonah-Angoon, (AK)""",22.6,"23 - 58 (636)"
02110,"""Juneau, (AK)""",13.6,"2 - 16 (663)"
02122,"""Kenai Peninsula, (AK)""",17.4,"16 - 18 (636)"
02130,"""Ketchikan Gateway, (AK)""",15.4,"2 - 16 (663)"
02150,"""Kodiak Island, (AK)""",10.5,"2 - 16 (663)"
02164,"""Lake and Peninsula, (AK)""",10.6,"2 - 16 (663)"
02170,"""Matanuska-Susitna, (AK)""",12,"2 - 16 (663)"
02180,"""Nome, (AK)""",7.8,"2 - 16 (663)"
02185,"""North Slope, (AK)""",7.2,"2 - 16 (663)"
02188,"""Northwest Arctic, (AK)""",7.7,"2 - 16 (663)"
02195,"""Petersburg, (AK)""",27,"23 - 58 (636)"
02198,"""Prince of Wales-Hyder, (AK)""",17.4,"16 - 18 (636)"
02220,"""Sitka, (AK)""",16.2,"16 - 18 (636)"
02230,"""Skagway, (AK)""",12.9,"2 - 16 (663)"
02240,"""Southeast Fairbanks, (AK)""",14.2,"2 - 16 (663)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",5.8,"2 - 16 (663)"
02275,"""Wrangell, (AK)""",23,"23 - 58 (636)"
02282,"""Yakutat, (AK)""",14.1,"2 - 16 (663)"
02290,"""Yukon-Koyukuk, (AK)""",14.9,"2 - 16 (663)"
06001,"""Alameda, (CA)""",13.9,"2 - 16 (663)"
06005,"""Amador, (CA)""",27,"23 - 58 (636)"
06007,"""Butte, (CA)""",18.2,"18 - 20 (653)"
06009,"""Calaveras, (CA)""",28,"23 - 58 (636)"
06011,"""Colusa, (CA)""",14.6,"2 - 16 (663)"
06013,"""Contra Costa, (CA)""",15.8,"16 - 18 (636)"
06015,"""Del Norte, (CA)""",17.8,"16 - 18 (636)"
06017,"""El Dorado, (CA)""",21.2,"20 - 23 (631)"
06021,"""Glenn, (CA)""",16.4,"16 - 18 (636)"
06023,"""Humboldt, (CA)""",17.8,"16 - 18 (636)"
06031,"""Kings, (CA)""",10.3,"2 - 16 (663)"
06033,"""Lake, (CA)""",22.8,"23 - 58 (636)"
06035,"""Lassen, (CA)""",14.4,"2 - 16 (663)"
06041,"""Marin, (CA)""",22.3,"20 - 23 (631)"
06043,"""Mariposa, (CA)""",28.2,"23 - 58 (636)"
06045,"""Mendocino, (CA)""",22.1,"20 - 23 (631)"
06047,"""Merced, (CA)""",11.2,"2 - 16 (663)"
06049,"""Modoc, (CA)""",27.4,"23 - 58 (636)"
06053,"""Monterey, (CA)""",13.6,"2 - 16 (663)"
06055,"""Napa, (CA)""",19.2,"18 - 20 (653)"
06057,"""Nevada, (CA)""",27.4,"23 - 58 (636)"
06061,"""Placer, (CA)""",19.6,"18 - 20 (653)"
06063,"""Plumas, (CA)""",27.7,"23 - 58 (636)"
06067,"""Sacramento, (CA)""",14.1,"2 - 16 (663)"
06069,"""San Benito, (CA)""",12.7,"2 - 16 (663)"
06075,"""San Francisco, (CA)""",15.8,"16 - 18 (636)"
06077,"""San Joaquin, (CA)""",12.8,"2 - 16 (663)"
06079,"""San Luis Obispo, (CA)""",20.1,"20 - 23 (631)"
06081,"""San Mateo, (CA)""",16.2,"16 - 18 (636)"
