"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",129,"54 - 308 (643)"
02016,"""Aleutians West, (AK)""",167,"54 - 308 (643)"
02020,"""Anchorage, (AK)""",11790,"""6,381 - 923,051 (643)"""
02050,"""Bethel, (AK)""",139,"54 - 308 (643)"
02060,"""Bristol Bay, (AK)""",4,"0 - 54 (645)"
02068,"""Denali, (AK)""",54,"0 - 54 (645)"
02070,"""Dillingham, (AK)""",74,"54 - 308 (643)"
02090,"""Fairbanks North Star, (AK)""",3786,"""1,454 - 6,381 (644)"""
02100,"""Haines, (AK)""",0,"0 - 54 (645)"
02105,"""Hoonah-Angoon, (AK)""",68,"54 - 308 (643)"
02110,"""Juneau, (AK)""",273,"54 - 308 (643)"
02122,"""Kenai Peninsula, (AK)""",330,"""308 - 1,454 (644)"""
02130,"""Ketchikan Gateway, (AK)""",87,"54 - 308 (643)"
02150,"""Kodiak Island, (AK)""",67,"54 - 308 (643)"
02164,"""Lake and Peninsula, (AK)""",74,"54 - 308 (643)"
02170,"""Matanuska-Susitna, (AK)""",985,"""308 - 1,454 (644)"""
02180,"""Nome, (AK)""",67,"54 - 308 (643)"
02185,"""North Slope, (AK)""",147,"54 - 308 (643)"
02188,"""Northwest Arctic, (AK)""",58,"54 - 308 (643)"
02195,"""Petersburg, (AK)""",66,"54 - 308 (643)"
02198,"""Prince of Wales-Hyder, (AK)""",35,"0 - 54 (645)"
02220,"""Sitka, (AK)""",53,"0 - 54 (645)"
02230,"""Skagway, (AK)""",58,"54 - 308 (643)"
02240,"""Southeast Fairbanks, (AK)""",65,"54 - 308 (643)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",39,"0 - 54 (645)"
02275,"""Wrangell, (AK)""",8,"0 - 54 (645)"
02282,"""Yakutat, (AK)""",34,"0 - 54 (645)"
02290,"""Yukon-Koyukuk, (AK)""",5,"0 - 54 (645)"
06001,"""Alameda, (CA)""",139915,"""6,381 - 923,051 (643)"""
06005,"""Amador, (CA)""",893,"""308 - 1,454 (644)"""
06007,"""Butte, (CA)""",3182,"""1,454 - 6,381 (644)"""
06009,"""Calaveras, (CA)""",430,"""308 - 1,454 (644)"""
06011,"""Colusa, (CA)""",314,"""308 - 1,454 (644)"""
06013,"""Contra Costa, (CA)""",77374,"""6,381 - 923,051 (643)"""
06015,"""Del Norte, (CA)""",651,"""308 - 1,454 (644)"""
06017,"""El Dorado, (CA)""",1366,"""308 - 1,454 (644)"""
06021,"""Glenn, (CA)""",216,"54 - 308 (643)"
06023,"""Humboldt, (CA)""",1454,"""308 - 1,454 (644)"""
06031,"""Kings, (CA)""",8023,"""6,381 - 923,051 (643)"""
