"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",119,"30 - 187 (647)"
02016,"""Aleutians West, (AK)""",147,"30 - 187 (647)"
02020,"""Anchorage, (AK)""",6228,"""3,130 - 406,340 (643)"""
02050,"""Bethel, (AK)""",103,"30 - 187 (647)"
02060,"""Bristol Bay, (AK)""",4,"0 - 30 (644)"
02068,"""Denali, (AK)""",40,"30 - 187 (647)"
02070,"""Dillingham, (AK)""",11,"0 - 30 (644)"
02090,"""Fairbanks North Star, (AK)""",2296,"""848 - 3,130 (643)"""
02100,"""Haines, (AK)""",0,"0 - 30 (644)"
02105,"""Hoonah-Angoon, (AK)""",68,"30 - 187 (647)"
02110,"""Juneau, (AK)""",210,"187 - 848 (642)"
02122,"""Kenai Peninsula, (AK)""",238,"187 - 848 (642)"
02130,"""Ketchikan Gateway, (AK)""",67,"30 - 187 (647)"
02150,"""Kodiak Island, (AK)""",25,"0 - 30 (644)"
02164,"""Lake and Peninsula, (AK)""",13,"0 - 30 (644)"
02170,"""Matanuska-Susitna, (AK)""",613,"187 - 848 (642)"
02180,"""Nome, (AK)""",18,"0 - 30 (644)"
02185,"""North Slope, (AK)""",122,"30 - 187 (647)"
02188,"""Northwest Arctic, (AK)""",30,"0 - 30 (644)"
02195,"""Petersburg, (AK)""",44,"30 - 187 (647)"
02198,"""Prince of Wales-Hyder, (AK)""",27,"0 - 30 (644)"
02220,"""Sitka, (AK)""",18,"0 - 30 (644)"
02230,"""Skagway, (AK)""",49,"30 - 187 (647)"
02240,"""Southeast Fairbanks, (AK)""",24,"0 - 30 (644)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",39,"30 - 187 (647)"
02275,"""Wrangell, (AK)""",8,"0 - 30 (644)"
02282,"""Yakutat, (AK)""",34,"30 - 187 (647)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 - 30 (644)"
06001,"""Alameda, (CA)""",65253,"""3,130 - 406,340 (643)"""
06005,"""Amador, (CA)""",828,"187 - 848 (642)"
06007,"""Butte, (CA)""",1756,"""848 - 3,130 (643)"""
06009,"""Calaveras, (CA)""",240,"187 - 848 (642)"
06011,"""Colusa, (CA)""",219,"187 - 848 (642)"
06013,"""Contra Costa, (CA)""",35572,"""3,130 - 406,340 (643)"""
06015,"""Del Norte, (CA)""",527,"187 - 848 (642)"
06017,"""El Dorado, (CA)""",820,"187 - 848 (642)"
06021,"""Glenn, (CA)""",156,"30 - 187 (647)"
06023,"""Humboldt, (CA)""",833,"187 - 848 (642)"
06031,"""Kings, (CA)""",5931,"""3,130 - 406,340 (643)"""
06033,"""Lake, (CA)""",703,"187 - 848 (642)"
06035,"""Lassen, (CA)""",2421,"""848 - 3,130 (643)"""
06041,"""Marin, (CA)""",3044,"""848 - 3,130 (643)"""
06043,"""Mariposa, (CA)""",158,"30 - 187 (647)"
06045,"""Mendocino, (CA)""",279,"187 - 848 (642)"
06047,"""Merced, (CA)""",3458,"""3,130 - 406,340 (643)"""
06049,"""Modoc, (CA)""",59,"30 - 187 (647)"
