"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",10,"0 - 13 (650)"
02016,"""Aleutians West, (AK)""",20,"13 - 97 (640)"
02020,"""Anchorage, (AK)""",5562,"""3,091 - 516,711 (643)"""
02050,"""Bethel, (AK)""",36,"13 - 97 (640)"
02060,"""Bristol Bay, (AK)""",0,"0 - 13 (650)"
02068,"""Denali, (AK)""",14,"13 - 97 (640)"
02070,"""Dillingham, (AK)""",63,"13 - 97 (640)"
02090,"""Fairbanks North Star, (AK)""",1490,"""565 - 3,091 (644)"""
02100,"""Haines, (AK)""",0,"0 - 13 (650)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 - 13 (650)"
02110,"""Juneau, (AK)""",63,"13 - 97 (640)"
02122,"""Kenai Peninsula, (AK)""",92,"13 - 97 (640)"
02130,"""Ketchikan Gateway, (AK)""",20,"13 - 97 (640)"
02150,"""Kodiak Island, (AK)""",42,"13 - 97 (640)"
02164,"""Lake and Peninsula, (AK)""",61,"13 - 97 (640)"
02170,"""Matanuska-Susitna, (AK)""",372,"97 - 565 (642)"
02180,"""Nome, (AK)""",49,"13 - 97 (640)"
02185,"""North Slope, (AK)""",25,"13 - 97 (640)"
02188,"""Northwest Arctic, (AK)""",28,"13 - 97 (640)"
02195,"""Petersburg, (AK)""",22,"13 - 97 (640)"
02198,"""Prince of Wales-Hyder, (AK)""",8,"0 - 13 (650)"
02220,"""Sitka, (AK)""",35,"13 - 97 (640)"
02230,"""Skagway, (AK)""",9,"0 - 13 (650)"
02240,"""Southeast Fairbanks, (AK)""",41,"13 - 97 (640)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",0,"0 - 13 (650)"
02275,"""Wrangell, (AK)""",0,"0 - 13 (650)"
02282,"""Yakutat, (AK)""",0,"0 - 13 (650)"
02290,"""Yukon-Koyukuk, (AK)""",5,"0 - 13 (650)"
06001,"""Alameda, (CA)""",74662,"""3,091 - 516,711 (643)"""
06005,"""Amador, (CA)""",65,"13 - 97 (640)"
06007,"""Butte, (CA)""",1426,"""565 - 3,091 (644)"""
06009,"""Calaveras, (CA)""",190,"97 - 565 (642)"
06011,"""Colusa, (CA)""",95,"13 - 97 (640)"
06013,"""Contra Costa, (CA)""",41802,"""3,091 - 516,711 (643)"""
06015,"""Del Norte, (CA)""",124,"97 - 565 (642)"
06017,"""El Dorado, (CA)""",546,"97 - 565 (642)"
06021,"""Glenn, (CA)""",60,"13 - 97 (640)"
06023,"""Humboldt, (CA)""",621,"""565 - 3,091 (644)"""
06031,"""Kings, (CA)""",2092,"""565 - 3,091 (644)"""
06033,"""Lake, (CA)""",458,"97 - 565 (642)"
06035,"""Lassen, (CA)""",172,"97 - 565 (642)"
06041,"""Marin, (CA)""",1822,"""565 - 3,091 (644)"""
06043,"""Mariposa, (CA)""",77,"13 - 97 (640)"
06045,"""Mendocino, (CA)""",104,"97 - 565 (642)"
06047,"""Merced, (CA)""",3073,"""565 - 3,091 (644)"""
06049,"""Modoc, (CA)""",45,"13 - 97 (640)"
06053,"""Monterey, (CA)""",3201,"""3,091 - 516,711 (643)"""
06055,"""Napa, (CA)""",1001,"""565 - 3,091 (644)"""
06057,"""Nevada, (CA)""",67,"13 - 97 (640)"
06061,"""Placer, (CA)""",2265,"""565 - 3,091 (644)"""
06063,"""Plumas, (CA)""",84,"13 - 97 (640)"
06067,"""Sacramento, (CA)""",57969,"""3,091 - 516,711 (643)"""
06069,"""San Benito, (CA)""",247,"97 - 565 (642)"
06075,"""San Francisco, (CA)""",17714,"""3,091 - 516,711 (643)"""
06077,"""San Joaquin, (CA)""",20089,"""3,091 - 516,711 (643)"""
06079,"""San Luis Obispo, (CA)""",1178,"""565 - 3,091 (644)"""
06081,"""San Mateo, (CA)""",7338,"""3,091 - 516,711 (643)"""
06083,"""Santa Barbara, (CA)""",3274,"""3,091 - 516,711 (643)"""
06085,"""Santa Clara, (CA)""",17645,"""3,091 - 516,711 (643)"""
06087,"""Santa Cruz, (CA)""",1316,"""565 - 3,091 (644)"""
06089,"""Shasta, (CA)""",518,"97 - 565 (642)"
06091,"""Sierra, (CA)""",1,"0 - 13 (650)"
06093,"""Siskiyou, (CA)""",187,"97 - 565 (642)"
06095,"""Solano, (CA)""",24192,"""3,091 - 516,711 (643)"""
06097,"""Sonoma, (CA)""",3053,"""565 - 3,091 (644)"""
06099,"""Stanislaus, (CA)""",6065,"""3,091 - 516,711 (643)"""
06101,"""Sutter, (CA)""",685,"""565 - 3,091 (644)"""
06103,"""Tehama, (CA)""",115,"97 - 565 (642)"
06105,"""Trinity, (CA)""",0,"0 - 13 (650)"
06109,"""Tuolumne, (CA)""",164,"97 - 565 (642)"
06113,"""Yolo, (CA)""",2235,"""565 - 3,091 (644)"""
06115,"""Yuba, (CA)""",871,"""565 - 3,091 (644)"""
