"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",284,"183 - 475 (642)"
02016,"""Aleutians West, (AK)""",447,"183 - 475 (642)"
02020,"""Anchorage, (AK)""",17819,"""5,601 - 3,535,227 (643)"""
02050,"""Bethel, (AK)""",184,"183 - 475 (642)"
02060,"""Bristol Bay, (AK)""",41,"0 - 183 (646)"
02068,"""Denali, (AK)""",37,"0 - 183 (646)"
02070,"""Dillingham, (AK)""",80,"0 - 183 (646)"
02090,"""Fairbanks North Star, (AK)""",5528,"""1,414 - 5,601 (644)"""
02100,"""Haines, (AK)""",69,"0 - 183 (646)"
02105,"""Hoonah-Angoon, (AK)""",147,"0 - 183 (646)"
02110,"""Juneau, (AK)""",1446,"""1,414 - 5,601 (644)"""
02122,"""Kenai Peninsula, (AK)""",1667,"""1,414 - 5,601 (644)"""
02130,"""Ketchikan Gateway, (AK)""",503,"""475 - 1,414 (644)"""
02150,"""Kodiak Island, (AK)""",788,"""475 - 1,414 (644)"""
02164,"""Lake and Peninsula, (AK)""",0,"0 - 183 (646)"
02170,"""Matanuska-Susitna, (AK)""",3443,"""1,414 - 5,601 (644)"""
02180,"""Nome, (AK)""",111,"0 - 183 (646)"
02185,"""North Slope, (AK)""",297,"183 - 475 (642)"
02188,"""Northwest Arctic, (AK)""",109,"0 - 183 (646)"
02195,"""Petersburg, (AK)""",234,"183 - 475 (642)"
02198,"""Prince of Wales-Hyder, (AK)""",136,"0 - 183 (646)"
02220,"""Sitka, (AK)""",400,"183 - 475 (642)"
02230,"""Skagway, (AK)""",47,"0 - 183 (646)"
02240,"""Southeast Fairbanks, (AK)""",268,"183 - 475 (642)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",94,"0 - 183 (646)"
02275,"""Wrangell, (AK)""",69,"0 - 183 (646)"
02282,"""Yakutat, (AK)""",42,"0 - 183 (646)"
02290,"""Yukon-Koyukuk, (AK)""",68,"0 - 183 (646)"
06001,"""Alameda, (CA)""",263775,"""5,601 - 3,535,227 (643)"""
06005,"""Amador, (CA)""",4292,"""1,414 - 5,601 (644)"""
06007,"""Butte, (CA)""",26376,"""5,601 - 3,535,227 (643)"""
06009,"""Calaveras, (CA)""",4202,"""1,414 - 5,601 (644)"""
06011,"""Colusa, (CA)""",8527,"""5,601 - 3,535,227 (643)"""
06013,"""Contra Costa, (CA)""",204426,"""5,601 - 3,535,227 (643)"""
06015,"""Del Norte, (CA)""",4023,"""1,414 - 5,601 (644)"""
06017,"""El Dorado, (CA)""",16967,"""5,601 - 3,535,227 (643)"""
06021,"""Glenn, (CA)""",7685,"""5,601 - 3,535,227 (643)"""
06023,"""Humboldt, (CA)""",11122,"""5,601 - 3,535,227 (643)"""
06031,"""Kings, (CA)""",55531,"""5,601 - 3,535,227 (643)"""
06033,"""Lake, (CA)""",8784,"""5,601 - 3,535,227 (643)"""
06035,"""Lassen, (CA)""",4890,"""1,414 - 5,601 (644)"""
06041,"""Marin, (CA)""",28359,"""5,601 - 3,535,227 (643)"""
06043,"""Mariposa, (CA)""",1469,"""1,414 - 5,601 (644)"""
06045,"""Mendocino, (CA)""",14242,"""5,601 - 3,535,227 (643)"""
06047,"""Merced, (CA)""",107283,"""5,601 - 3,535,227 (643)"""
06049,"""Modoc, (CA)""",902,"""475 - 1,414 (644)"""
06053,"""Monterey, (CA)""",168953,"""5,601 - 3,535,227 (643)"""
06055,"""Napa, (CA)""",32716,"""5,601 - 3,535,227 (643)"""
06057,"""Nevada, (CA)""",6628,"""5,601 - 3,535,227 (643)"""
06061,"""Placer, (CA)""",38211,"""5,601 - 3,535,227 (643)"""
06063,"""Plumas, (CA)""",1227,"""475 - 1,414 (644)"""
06067,"""Sacramento, (CA)""",242702,"""5,601 - 3,535,227 (643)"""
06069,"""San Benito, (CA)""",25621,"""5,601 - 3,535,227 (643)"""
06075,"""San Francisco, (CA)""",105819,"""5,601 - 3,535,227 (643)"""
06077,"""San Joaquin, (CA)""",205956,"""5,601 - 3,535,227 (643)"""
06079,"""San Luis Obispo, (CA)""",45279,"""5,601 - 3,535,227 (643)"""
06081,"""San Mateo, (CA)""",134002,"""5,601 - 3,535,227 (643)"""
06083,"""Santa Barbara, (CA)""",137744,"""5,601 - 3,535,227 (643)"""
06085,"""Santa Clara, (CA)""",340318,"""5,601 - 3,535,227 (643)"""
06087,"""Santa Cruz, (CA)""",64217,"""5,601 - 3,535,227 (643)"""
06089,"""Shasta, (CA)""",12472,"""5,601 - 3,535,227 (643)"""
06091,"""Sierra, (CA)""",222,"183 - 475 (642)"
06093,"""Siskiyou, (CA)""",3703,"""1,414 - 5,601 (644)"""
06095,"""Solano, (CA)""",81103,"""5,601 - 3,535,227 (643)"""
06097,"""Sonoma, (CA)""",91378,"""5,601 - 3,535,227 (643)"""
06099,"""Stanislaus, (CA)""",167904,"""5,601 - 3,535,227 (643)"""
06101,"""Sutter, (CA)""",19376,"""5,601 - 3,535,227 (643)"""
06103,"""Tehama, (CA)""",10339,"""5,601 - 3,535,227 (643)"""
06105,"""Trinity, (CA)""",684,"""475 - 1,414 (644)"""
06109,"""Tuolumne, (CA)""",5057,"""1,414 - 5,601 (644)"""
06113,"""Yolo, (CA)""",48745,"""5,601 - 3,535,227 (643)"""
06115,"""Yuba, (CA)""",14089,"""5,601 - 3,535,227 (643)"""
15001,"""Hawaii, (HI)""",15687,"""5,601 - 3,535,227 (643)"""
