"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",104,"78 - 216 (636)"
02016,"""Aleutians West, (AK)""",139,"78 - 216 (636)"
02020,"""Anchorage, (AK)""",8644,"""2,688 - 1,787,701 (642)"""
02050,"""Bethel, (AK)""",103,"78 - 216 (636)"
02060,"""Bristol Bay, (AK)""",15,"0 - 78 (652)"
02068,"""Denali, (AK)""",0,"0 - 78 (652)"
02070,"""Dillingham, (AK)""",19,"0 - 78 (652)"
02090,"""Fairbanks North Star, (AK)""",2419,"""645 - 2,688 (644)"""
02100,"""Haines, (AK)""",3,"0 - 78 (652)"
02105,"""Hoonah-Angoon, (AK)""",38,"0 - 78 (652)"
02110,"""Juneau, (AK)""",799,"""645 - 2,688 (644)"""
02122,"""Kenai Peninsula, (AK)""",796,"""645 - 2,688 (644)"""
02130,"""Ketchikan Gateway, (AK)""",225,"216 - 645 (645)"
02150,"""Kodiak Island, (AK)""",272,"216 - 645 (645)"
02164,"""Lake and Peninsula, (AK)""",0,"0 - 78 (652)"
02170,"""Matanuska-Susitna, (AK)""",1713,"""645 - 2,688 (644)"""
02180,"""Nome, (AK)""",54,"0 - 78 (652)"
02185,"""North Slope, (AK)""",91,"78 - 216 (636)"
02188,"""Northwest Arctic, (AK)""",23,"0 - 78 (652)"
02195,"""Petersburg, (AK)""",171,"78 - 216 (636)"
02198,"""Prince of Wales-Hyder, (AK)""",36,"0 - 78 (652)"
02220,"""Sitka, (AK)""",168,"78 - 216 (636)"
02230,"""Skagway, (AK)""",11,"0 - 78 (652)"
02240,"""Southeast Fairbanks, (AK)""",120,"78 - 216 (636)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",57,"0 - 78 (652)"
02275,"""Wrangell, (AK)""",29,"0 - 78 (652)"
02282,"""Yakutat, (AK)""",6,"0 - 78 (652)"
02290,"""Yukon-Koyukuk, (AK)""",38,"0 - 78 (652)"
06001,"""Alameda, (CA)""",130904,"""2,688 - 1,787,701 (642)"""
06005,"""Amador, (CA)""",1486,"""645 - 2,688 (644)"""
06007,"""Butte, (CA)""",12981,"""2,688 - 1,787,701 (642)"""
06009,"""Calaveras, (CA)""",2081,"""645 - 2,688 (644)"""
06011,"""Colusa, (CA)""",4070,"""2,688 - 1,787,701 (642)"""
06013,"""Contra Costa, (CA)""",102891,"""2,688 - 1,787,701 (642)"""
06015,"""Del Norte, (CA)""",1241,"""645 - 2,688 (644)"""
06017,"""El Dorado, (CA)""",8463,"""2,688 - 1,787,701 (642)"""
06021,"""Glenn, (CA)""",3645,"""2,688 - 1,787,701 (642)"""
06023,"""Humboldt, (CA)""",5599,"""2,688 - 1,787,701 (642)"""
06031,"""Kings, (CA)""",24565,"""2,688 - 1,787,701 (642)"""
06033,"""Lake, (CA)""",4203,"""2,688 - 1,787,701 (642)"""
06035,"""Lassen, (CA)""",238,"216 - 645 (645)"
06041,"""Marin, (CA)""",13483,"""2,688 - 1,787,701 (642)"""
06043,"""Mariposa, (CA)""",705,"""645 - 2,688 (644)"""
06045,"""Mendocino, (CA)""",6725,"""2,688 - 1,787,701 (642)"""
06047,"""Merced, (CA)""",52753,"""2,688 - 1,787,701 (642)"""
06049,"""Modoc, (CA)""",374,"216 - 645 (645)"
06053,"""Monterey, (CA)""",81315,"""2,688 - 1,787,701 (642)"""
06055,"""Napa, (CA)""",15882,"""2,688 - 1,787,701 (642)"""
06057,"""Nevada, (CA)""",3203,"""2,688 - 1,787,701 (642)"""
06061,"""Placer, (CA)""",19284,"""2,688 - 1,787,701 (642)"""
06063,"""Plumas, (CA)""",615,"216 - 645 (645)"
06067,"""Sacramento, (CA)""",121832,"""2,688 - 1,787,701 (642)"""
06069,"""San Benito, (CA)""",12634,"""2,688 - 1,787,701 (642)"""
06075,"""San Francisco, (CA)""",50047,"""2,688 - 1,787,701 (642)"""
06077,"""San Joaquin, (CA)""",101478,"""2,688 - 1,787,701 (642)"""
06079,"""San Luis Obispo, (CA)""",21547,"""2,688 - 1,787,701 (642)"""
06081,"""San Mateo, (CA)""",66934,"""2,688 - 1,787,701 (642)"""
06083,"""Santa Barbara, (CA)""",67611,"""2,688 - 1,787,701 (642)"""
06085,"""Santa Clara, (CA)""",168580,"""2,688 - 1,787,701 (642)"""
06087,"""Santa Cruz, (CA)""",32231,"""2,688 - 1,787,701 (642)"""
06089,"""Shasta, (CA)""",6247,"""2,688 - 1,787,701 (642)"""
06091,"""Sierra, (CA)""",96,"78 - 216 (636)"
06093,"""Siskiyou, (CA)""",1821,"""645 - 2,688 (644)"""
06095,"""Solano, (CA)""",39686,"""2,688 - 1,787,701 (642)"""
06097,"""Sonoma, (CA)""",44293,"""2,688 - 1,787,701 (642)"""
06099,"""Stanislaus, (CA)""",83352,"""2,688 - 1,787,701 (642)"""
06101,"""Sutter, (CA)""",9442,"""2,688 - 1,787,701 (642)"""
06103,"""Tehama, (CA)""",4965,"""2,688 - 1,787,701 (642)"""
06105,"""Trinity, (CA)""",313,"216 - 645 (645)"
06109,"""Tuolumne, (CA)""",1978,"""645 - 2,688 (644)"""
06113,"""Yolo, (CA)""",24730,"""2,688 - 1,787,701 (642)"""
06115,"""Yuba, (CA)""",6891,"""2,688 - 1,787,701 (642)"""
15001,"""Hawaii, (HI)""",7851,"""2,688 - 1,787,701 (642)"""
15003,"""Honolulu, (HI)""",29512,"""2,688 - 1,787,701 (642)"""
15005,"""Kalawao, (HI)""",0,"0 - 78 (652)"
15007,"""Kauai, (HI)""",2474,"""645 - 2,688 (644)"""
15009,"""Maui, (HI)""",6110,"""2,688 - 1,787,701 (642)"""
41003,"""Benton, (OR)""",2474,"""645 - 2,688 (644)"""
41005,"""Clackamas, (OR)""",11728,"""2,688 - 1,787,701 (642)"""
41007,"""Clatsop, (OR)""",1040,"""645 - 2,688 (644)"""
41009,"""Columbia, (OR)""",884,"""645 - 2,688 (644)"""
41011,"""Coos, (OR)""",1425,"""645 - 2,688 (644)"""
41013,"""Crook, (OR)""",473,"216 - 645 (645)"
41015,"""Curry, (OR)""",504,"216 - 645 (645)"
41017,"""Deschutes, (OR)""",5130,"""2,688 - 1,787,701 (642)"""
41019,"""Douglas, (OR)""",2209,"""645 - 2,688 (644)"""
