"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",175,"116 - 364 (641)"
02016,"""Aleutians West, (AK)""",281,"116 - 364 (641)"
02020,"""Anchorage, (AK)""",5111,"""1,343 - 1,558,111 (643)"""
02050,"""Bethel, (AK)""",44,"30 - 116 (643)"
02060,"""Bristol Bay, (AK)""",15,"0 - 30 (648)"
02068,"""Denali, (AK)""",10,"0 - 30 (648)"
02070,"""Dillingham, (AK)""",27,"0 - 30 (648)"
02090,"""Fairbanks North Star, (AK)""",1089,"""364 - 1,343 (644)"""
02100,"""Haines, (AK)""",1,"0 - 30 (648)"
02105,"""Hoonah-Angoon, (AK)""",21,"0 - 30 (648)"
02110,"""Juneau, (AK)""",308,"116 - 364 (641)"
02122,"""Kenai Peninsula, (AK)""",729,"""364 - 1,343 (644)"""
02130,"""Ketchikan Gateway, (AK)""",163,"116 - 364 (641)"
02150,"""Kodiak Island, (AK)""",120,"116 - 364 (641)"
02164,"""Lake and Peninsula, (AK)""",1,"0 - 30 (648)"
02170,"""Matanuska-Susitna, (AK)""",500,"""364 - 1,343 (644)"""
02180,"""Nome, (AK)""",15,"0 - 30 (648)"
02185,"""North Slope, (AK)""",128,"116 - 364 (641)"
02188,"""Northwest Arctic, (AK)""",17,"0 - 30 (648)"
02195,"""Petersburg, (AK)""",6,"0 - 30 (648)"
02198,"""Prince of Wales-Hyder, (AK)""",17,"0 - 30 (648)"
02220,"""Sitka, (AK)""",38,"30 - 116 (643)"
02230,"""Skagway, (AK)""",3,"0 - 30 (648)"
02240,"""Southeast Fairbanks, (AK)""",107,"30 - 116 (643)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",58,"30 - 116 (643)"
02275,"""Wrangell, (AK)""",12,"0 - 30 (648)"
02282,"""Yakutat, (AK)""",10,"0 - 30 (648)"
02290,"""Yukon-Koyukuk, (AK)""",10,"0 - 30 (648)"
06001,"""Alameda, (CA)""",134682,"""1,343 - 1,558,111 (643)"""
06005,"""Amador, (CA)""",1413,"""1,343 - 1,558,111 (643)"""
06007,"""Butte, (CA)""",8865,"""1,343 - 1,558,111 (643)"""
06009,"""Calaveras, (CA)""",761,"""364 - 1,343 (644)"""
06011,"""Colusa, (CA)""",978,"""364 - 1,343 (644)"""
06013,"""Contra Costa, (CA)""",86902,"""1,343 - 1,558,111 (643)"""
06015,"""Del Norte, (CA)""",1432,"""1,343 - 1,558,111 (643)"""
06017,"""El Dorado, (CA)""",3527,"""1,343 - 1,558,111 (643)"""
06021,"""Glenn, (CA)""",2194,"""1,343 - 1,558,111 (643)"""
06023,"""Humboldt, (CA)""",4584,"""1,343 - 1,558,111 (643)"""
06031,"""Kings, (CA)""",17570,"""1,343 - 1,558,111 (643)"""
06033,"""Lake, (CA)""",4695,"""1,343 - 1,558,111 (643)"""
06035,"""Lassen, (CA)""",597,"""364 - 1,343 (644)"""
