"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",91,"66 - 204 (636)"
02016,"""Aleutians West, (AK)""",189,"66 - 204 (636)"
02020,"""Anchorage, (AK)""",2733,"""735 - 776,394 (643)"""
02050,"""Bethel, (AK)""",0,"0 - 15 (656)"
02060,"""Bristol Bay, (AK)""",13,"0 - 15 (656)"
02068,"""Denali, (AK)""",10,"0 - 15 (656)"
02070,"""Dillingham, (AK)""",15,"0 - 15 (656)"
02090,"""Fairbanks North Star, (AK)""",591,"204 - 735 (644)"
02100,"""Haines, (AK)""",0,"0 - 15 (656)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 - 15 (656)"
02110,"""Juneau, (AK)""",151,"66 - 204 (636)"
02122,"""Kenai Peninsula, (AK)""",338,"204 - 735 (644)"
02130,"""Ketchikan Gateway, (AK)""",69,"66 - 204 (636)"
02150,"""Kodiak Island, (AK)""",76,"66 - 204 (636)"
02164,"""Lake and Peninsula, (AK)""",1,"0 - 15 (656)"
02170,"""Matanuska-Susitna, (AK)""",257,"204 - 735 (644)"
02180,"""Nome, (AK)""",8,"0 - 15 (656)"
02185,"""North Slope, (AK)""",126,"66 - 204 (636)"
02188,"""Northwest Arctic, (AK)""",17,"15 - 66 (640)"
02195,"""Petersburg, (AK)""",6,"0 - 15 (656)"
02198,"""Prince of Wales-Hyder, (AK)""",9,"0 - 15 (656)"
02220,"""Sitka, (AK)""",25,"15 - 66 (640)"
02230,"""Skagway, (AK)""",2,"0 - 15 (656)"
02240,"""Southeast Fairbanks, (AK)""",40,"15 - 66 (640)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",4,"0 - 15 (656)"
02275,"""Wrangell, (AK)""",12,"0 - 15 (656)"
02282,"""Yakutat, (AK)""",6,"0 - 15 (656)"
02290,"""Yukon-Koyukuk, (AK)""",4,"0 - 15 (656)"
06001,"""Alameda, (CA)""",69367,"""735 - 776,394 (643)"""
06005,"""Amador, (CA)""",1080,"""735 - 776,394 (643)"""
06007,"""Butte, (CA)""",4649,"""735 - 776,394 (643)"""
06009,"""Calaveras, (CA)""",319,"204 - 735 (644)"
06011,"""Colusa, (CA)""",607,"204 - 735 (644)"
06013,"""Contra Costa, (CA)""",44240,"""735 - 776,394 (643)"""
06015,"""Del Norte, (CA)""",687,"204 - 735 (644)"
06017,"""El Dorado, (CA)""",1935,"""735 - 776,394 (643)"""
06021,"""Glenn, (CA)""",1046,"""735 - 776,394 (643)"""
06023,"""Humboldt, (CA)""",2445,"""735 - 776,394 (643)"""
06031,"""Kings, (CA)""",10996,"""735 - 776,394 (643)"""
06033,"""Lake, (CA)""",2392,"""735 - 776,394 (643)"""
06035,"""Lassen, (CA)""",476,"204 - 735 (644)"
06041,"""Marin, (CA)""",7986,"""735 - 776,394 (643)"""
06043,"""Mariposa, (CA)""",335,"204 - 735 (644)"
06045,"""Mendocino, (CA)""",2037,"""735 - 776,394 (643)"""
06047,"""Merced, (CA)""",29712,"""735 - 776,394 (643)"""
06049,"""Modoc, (CA)""",65,"15 - 66 (640)"
06053,"""Monterey, (CA)""",51848,"""735 - 776,394 (643)"""
06055,"""Napa, (CA)""",5959,"""735 - 776,394 (643)"""
06057,"""Nevada, (CA)""",485,"204 - 735 (644)"
06061,"""Placer, (CA)""",4043,"""735 - 776,394 (643)"""
06063,"""Plumas, (CA)""",116,"66 - 204 (636)"
06067,"""Sacramento, (CA)""",46130,"""735 - 776,394 (643)"""
06069,"""San Benito, (CA)""",2895,"""735 - 776,394 (643)"""
06075,"""San Francisco, (CA)""",28789,"""735 - 776,394 (643)"""
06077,"""San Joaquin, (CA)""",26837,"""735 - 776,394 (643)"""
06079,"""San Luis Obispo, (CA)""",5090,"""735 - 776,394 (643)"""
06081,"""San Mateo, (CA)""",32208,"""735 - 776,394 (643)"""
06083,"""Santa Barbara, (CA)""",17457,"""735 - 776,394 (643)"""
06085,"""Santa Clara, (CA)""",71528,"""735 - 776,394 (643)"""
06087,"""Santa Cruz, (CA)""",13905,"""735 - 776,394 (643)"""
06089,"""Shasta, (CA)""",1483,"""735 - 776,394 (643)"""
06091,"""Sierra, (CA)""",19,"15 - 66 (640)"
06093,"""Siskiyou, (CA)""",302,"204 - 735 (644)"
06095,"""Solano, (CA)""",15742,"""735 - 776,394 (643)"""
06097,"""Sonoma, (CA)""",24095,"""735 - 776,394 (643)"""
06099,"""Stanislaus, (CA)""",20283,"""735 - 776,394 (643)"""
06101,"""Sutter, (CA)""",2307,"""735 - 776,394 (643)"""
06103,"""Tehama, (CA)""",1309,"""735 - 776,394 (643)"""
06105,"""Trinity, (CA)""",314,"204 - 735 (644)"
06109,"""Tuolumne, (CA)""",774,"""735 - 776,394 (643)"""
06113,"""Yolo, (CA)""",4700,"""735 - 776,394 (643)"""
06115,"""Yuba, (CA)""",1498,"""735 - 776,394 (643)"""
15001,"""Hawaii, (HI)""",1457,"""735 - 776,394 (643)"""
15003,"""Honolulu, (HI)""",6214,"""735 - 776,394 (643)"""
15005,"""Kalawao, (HI)""",0,"0 - 15 (656)"
15007,"""Kauai, (HI)""",245,"204 - 735 (644)"
15009,"""Maui, (HI)""",1118,"""735 - 776,394 (643)"""
41003,"""Benton, (OR)""",780,"""735 - 776,394 (643)"""
41005,"""Clackamas, (OR)""",3690,"""735 - 776,394 (643)"""
41007,"""Clatsop, (OR)""",150,"66 - 204 (636)"
41009,"""Columbia, (OR)""",160,"66 - 204 (636)"
41011,"""Coos, (OR)""",353,"204 - 735 (644)"
41013,"""Crook, (OR)""",120,"66 - 204 (636)"
41015,"""Curry, (OR)""",108,"66 - 204 (636)"
41017,"""Deschutes, (OR)""",1347,"""735 - 776,394 (643)"""
41019,"""Douglas, (OR)""",350,"204 - 735 (644)"
41021,"""Gilliam, (OR)""",11,"0 - 15 (656)"
41027,"""Hood River, (OR)""",374,"204 - 735 (644)"
41029,"""Jackson, (OR)""",1279,"""735 - 776,394 (643)"""
41031,"""Jefferson, (OR)""",576,"204 - 735 (644)"
41033,"""Josephine, (OR)""",615,"204 - 735 (644)"
41035,"""Klamath, (OR)""",585,"204 - 735 (644)"
41037,"""Lake, (OR)""",23,"15 - 66 (640)"
41039,"""Lane, (OR)""",4349,"""735 - 776,394 (643)"""
41041,"""Lincoln, (OR)""",475,"204 - 735 (644)"
41043,"""Linn, (OR)""",1526,"""735 - 776,394 (643)"""
41047,"""Marion, (OR)""",9238,"""735 - 776,394 (643)"""
41051,"""Multnomah, (OR)""",8380,"""735 - 776,394 (643)"""
41053,"""Polk, (OR)""",1364,"""735 - 776,394 (643)"""
41055,"""Sherman, (OR)""",6,"0 - 15 (656)"
41057,"""Tillamook, (OR)""",119,"66 - 204 (636)"
