"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",84,"47 - 156 (641)"
02016,"""Aleutians West, (AK)""",92,"47 - 156 (641)"
02020,"""Anchorage, (AK)""",2378,"""635 - 781,717 (640)"""
02050,"""Bethel, (AK)""",44,"8 - 47 (644)"
02060,"""Bristol Bay, (AK)""",2,"0 - 8 (648)"
02068,"""Denali, (AK)""",0,"0 - 8 (648)"
02070,"""Dillingham, (AK)""",12,"8 - 47 (644)"
02090,"""Fairbanks North Star, (AK)""",498,"156 - 635 (646)"
02100,"""Haines, (AK)""",1,"0 - 8 (648)"
02105,"""Hoonah-Angoon, (AK)""",21,"8 - 47 (644)"
02110,"""Juneau, (AK)""",157,"156 - 635 (646)"
02122,"""Kenai Peninsula, (AK)""",391,"156 - 635 (646)"
02130,"""Ketchikan Gateway, (AK)""",94,"47 - 156 (641)"
02150,"""Kodiak Island, (AK)""",44,"8 - 47 (644)"
02164,"""Lake and Peninsula, (AK)""",0,"0 - 8 (648)"
02170,"""Matanuska-Susitna, (AK)""",243,"156 - 635 (646)"
02180,"""Nome, (AK)""",7,"0 - 8 (648)"
02185,"""North Slope, (AK)""",2,"0 - 8 (648)"
02188,"""Northwest Arctic, (AK)""",0,"0 - 8 (648)"
02195,"""Petersburg, (AK)""",0,"0 - 8 (648)"
02198,"""Prince of Wales-Hyder, (AK)""",8,"0 - 8 (648)"
02220,"""Sitka, (AK)""",13,"8 - 47 (644)"
02230,"""Skagway, (AK)""",1,"0 - 8 (648)"
02240,"""Southeast Fairbanks, (AK)""",67,"47 - 156 (641)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",54,"47 - 156 (641)"
02275,"""Wrangell, (AK)""",0,"0 - 8 (648)"
02282,"""Yakutat, (AK)""",4,"0 - 8 (648)"
02290,"""Yukon-Koyukuk, (AK)""",6,"0 - 8 (648)"
06001,"""Alameda, (CA)""",65315,"""635 - 781,717 (640)"""
06005,"""Amador, (CA)""",333,"156 - 635 (646)"
06007,"""Butte, (CA)""",4216,"""635 - 781,717 (640)"""
06009,"""Calaveras, (CA)""",442,"156 - 635 (646)"
06011,"""Colusa, (CA)""",371,"156 - 635 (646)"
06013,"""Contra Costa, (CA)""",42662,"""635 - 781,717 (640)"""
06015,"""Del Norte, (CA)""",745,"""635 - 781,717 (640)"""
06017,"""El Dorado, (CA)""",1592,"""635 - 781,717 (640)"""
06021,"""Glenn, (CA)""",1148,"""635 - 781,717 (640)"""
06023,"""Humboldt, (CA)""",2139,"""635 - 781,717 (640)"""
06031,"""Kings, (CA)""",6574,"""635 - 781,717 (640)"""
06033,"""Lake, (CA)""",2303,"""635 - 781,717 (640)"""
06035,"""Lassen, (CA)""",121,"47 - 156 (641)"
06041,"""Marin, (CA)""",6102,"""635 - 781,717 (640)"""
06043,"""Mariposa, (CA)""",165,"156 - 635 (646)"
06045,"""Mendocino, (CA)""",1438,"""635 - 781,717 (640)"""
06047,"""Merced, (CA)""",26442,"""635 - 781,717 (640)"""
06049,"""Modoc, (CA)""",158,"156 - 635 (646)"
06053,"""Monterey, (CA)""",48113,"""635 - 781,717 (640)"""
06055,"""Napa, (CA)""",5326,"""635 - 781,717 (640)"""
06057,"""Nevada, (CA)""",454,"156 - 635 (646)"
06061,"""Placer, (CA)""",3865,"""635 - 781,717 (640)"""
06063,"""Plumas, (CA)""",155,"47 - 156 (641)"
06067,"""Sacramento, (CA)""",43913,"""635 - 781,717 (640)"""
06069,"""San Benito, (CA)""",2074,"""635 - 781,717 (640)"""
06075,"""San Francisco, (CA)""",25432,"""635 - 781,717 (640)"""
06077,"""San Joaquin, (CA)""",25940,"""635 - 781,717 (640)"""
06079,"""San Luis Obispo, (CA)""",3965,"""635 - 781,717 (640)"""
06081,"""San Mateo, (CA)""",29225,"""635 - 781,717 (640)"""
06083,"""Santa Barbara, (CA)""",15838,"""635 - 781,717 (640)"""
06085,"""Santa Clara, (CA)""",66334,"""635 - 781,717 (640)"""
06087,"""Santa Cruz, (CA)""",13276,"""635 - 781,717 (640)"""
06089,"""Shasta, (CA)""",1476,"""635 - 781,717 (640)"""
06091,"""Sierra, (CA)""",62,"47 - 156 (641)"
06093,"""Siskiyou, (CA)""",328,"156 - 635 (646)"
06095,"""Solano, (CA)""",13723,"""635 - 781,717 (640)"""
06097,"""Sonoma, (CA)""",21291,"""635 - 781,717 (640)"""
06099,"""Stanislaus, (CA)""",20548,"""635 - 781,717 (640)"""
06101,"""Sutter, (CA)""",1921,"""635 - 781,717 (640)"""
06103,"""Tehama, (CA)""",1155,"""635 - 781,717 (640)"""
06105,"""Trinity, (CA)""",123,"47 - 156 (641)"
06109,"""Tuolumne, (CA)""",499,"156 - 635 (646)"
06113,"""Yolo, (CA)""",4846,"""635 - 781,717 (640)"""
06115,"""Yuba, (CA)""",1290,"""635 - 781,717 (640)"""
15001,"""Hawaii, (HI)""",1361,"""635 - 781,717 (640)"""
15003,"""Honolulu, (HI)""",3884,"""635 - 781,717 (640)"""
15005,"""Kalawao, (HI)""",0,"0 - 8 (648)"
15007,"""Kauai, (HI)""",212,"156 - 635 (646)"
15009,"""Maui, (HI)""",948,"""635 - 781,717 (640)"""
41003,"""Benton, (OR)""",675,"""635 - 781,717 (640)"""
41005,"""Clackamas, (OR)""",3677,"""635 - 781,717 (640)"""
41007,"""Clatsop, (OR)""",271,"156 - 635 (646)"
41009,"""Columbia, (OR)""",136,"47 - 156 (641)"
41011,"""Coos, (OR)""",335,"156 - 635 (646)"
41013,"""Crook, (OR)""",83,"47 - 156 (641)"
41015,"""Curry, (OR)""",43,"8 - 47 (644)"
41017,"""Deschutes, (OR)""",986,"""635 - 781,717 (640)"""
41019,"""Douglas, (OR)""",307,"156 - 635 (646)"
41021,"""Gilliam, (OR)""",39,"8 - 47 (644)"
41027,"""Hood River, (OR)""",271,"156 - 635 (646)"
41029,"""Jackson, (OR)""",1613,"""635 - 781,717 (640)"""
41031,"""Jefferson, (OR)""",515,"156 - 635 (646)"
41033,"""Josephine, (OR)""",103,"47 - 156 (641)"
41035,"""Klamath, (OR)""",658,"""635 - 781,717 (640)"""
41037,"""Lake, (OR)""",12,"8 - 47 (644)"
41039,"""Lane, (OR)""",4067,"""635 - 781,717 (640)"""
41041,"""Lincoln, (OR)""",635,"156 - 635 (646)"
41043,"""Linn, (OR)""",972,"""635 - 781,717 (640)"""
41047,"""Marion, (OR)""",8308,"""635 - 781,717 (640)"""
41051,"""Multnomah, (OR)""",7105,"""635 - 781,717 (640)"""
41053,"""Polk, (OR)""",894,"""635 - 781,717 (640)"""
41055,"""Sherman, (OR)""",0,"0 - 8 (648)"
41057,"""Tillamook, (OR)""",124,"47 - 156 (641)"
41065,"""Wasco, (OR)""",270,"156 - 635 (646)"
41067,"""Washington, (OR)""",10685,"""635 - 781,717 (640)"""
41069,"""Wheeler, (OR)""",16,"8 - 47 (644)"
41071,"""Yamhill, (OR)""",1532,"""635 - 781,717 (640)"""
53007,"""Chelan, (WA)""",3438,"""635 - 781,717 (640)"""
53009,"""Clallam, (WA)""",300,"156 - 635 (646)"
53011,"""Clark, (WA)""",3836,"""635 - 781,717 (640)"""
53015,"""Cowlitz, (WA)""",690,"""635 - 781,717 (640)"""
53027,"""Grays Harbor, (WA)""",349,"156 - 635 (646)"
53029,"""Island, (WA)""",555,"156 - 635 (646)"
53031,"""Jefferson, (WA)""",206,"156 - 635 (646)"
53033,"""King, (WA)""",31050,"""635 - 781,717 (640)"""
53035,"""Kitsap, (WA)""",2059,"""635 - 781,717 (640)"""
53037,"""Kittitas, (WA)""",881,"""635 - 781,717 (640)"""
53039,"""Klickitat, (WA)""",143,"47 - 156 (641)"
53041,"""Lewis, (WA)""",487,"156 - 635 (646)"
53045,"""Mason, (WA)""",937,"""635 - 781,717 (640)"""
53047,"""Okanogan, (WA)""",1375,"""635 - 781,717 (640)"""
53049,"""Pacific, (WA)""",352,"156 - 635 (646)"
53053,"""Pierce, (WA)""",8747,"""635 - 781,717 (640)"""
53055,"""San Juan, (WA)""",129,"47 - 156 (641)"
53057,"""Skagit, (WA)""",3869,"""635 - 781,717 (640)"""
53059,"""Skamania, (WA)""",47,"8 - 47 (644)"
53061,"""Snohomish, (WA)""",9070,"""635 - 781,717 (640)"""
53067,"""Thurston, (WA)""",2077,"""635 - 781,717 (640)"""
53069,"""Wahkiakum, (WA)""",54,"47 - 156 (641)"
53073,"""Whatcom, (WA)""",2732,"""635 - 781,717 (640)"""
53077,"""Yakima, (WA)""",11376,"""635 - 781,717 (640)"""
04001,"""Apache, (AZ)""",182,"156 - 635 (646)"
04003,"""Cochise, (AZ)""",1315,"""635 - 781,717 (640)"""
04005,"""Coconino, (AZ)""",1836,"""635 - 781,717 (640)"""
04007,"""Gila, (AZ)""",721,"""635 - 781,717 (640)"""
04009,"""Graham, (AZ)""",247,"156 - 635 (646)"
04011,"""Greenlee, (AZ)""",31,"8 - 47 (644)"
04012,"""La Paz, (AZ)""",342,"156 - 635 (646)"
04013,"""Maricopa, (AZ)""",116344,"""635 - 781,717 (640)"""
04015,"""Mohave, (AZ)""",2705,"""635 - 781,717 (640)"""
04017,"""Navajo, (AZ)""",1077,"""635 - 781,717 (640)"""
04019,"""Pima, (AZ)""",35412,"""635 - 781,717 (640)"""
04021,"""Pinal, (AZ)""",8274,"""635 - 781,717 (640)"""
04023,"""Santa Cruz, (AZ)""",1987,"""635 - 781,717 (640)"""
04025,"""Yavapai, (AZ)""",2403,"""635 - 781,717 (640)"""
04027,"""Yuma, (AZ)""",10889,"""635 - 781,717 (640)"""
06003,"""Alpine, (CA)""",0,"0 - 8 (648)"
06019,"""Fresno, (CA)""",48697,"""635 - 781,717 (640)"""
06025,"""Imperial, (CA)""",16497,"""635 - 781,717 (640)"""
06027,"""Inyo, (CA)""",172,"156 - 635 (646)"
06029,"""Kern, (CA)""",37090,"""635 - 781,717 (640)"""
06037,"""Los Angeles, (CA)""",781717,"""635 - 781,717 (640)"""
06039,"""Madera, (CA)""",12459,"""635 - 781,717 (640)"""
06051,"""Mono, (CA)""",203,"156 - 635 (646)"
06059,"""Orange, (CA)""",136416,"""635 - 781,717 (640)"""
06065,"""Riverside, (CA)""",193778,"""635 - 781,717 (640)"""
06071,"""San Bernardino, (CA)""",137963,"""635 - 781,717 (640)"""
06073,"""San Diego, (CA)""",85708,"""635 - 781,717 (640)"""
06107,"""Tulare, (CA)""",28147,"""635 - 781,717 (640)"""
06111,"""Ventura, (CA)""",18191,"""635 - 781,717 (640)"""
08007,"""Archuleta, (CO)""",545,"156 - 635 (646)"
08029,"""Delta, (CO)""",172,"156 - 635 (646)"
08033,"""Dolores, (CO)""",69,"47 - 156 (641)"
08045,"""Garfield, (CO)""",1573,"""635 - 781,717 (640)"""
08051,"""Gunnison, (CO)""",30,"8 - 47 (644)"
08053,"""Hinsdale, (CO)""",7,"0 - 8 (648)"
08067,"""La Plata, (CO)""",532,"156 - 635 (646)"
08077,"""Mesa, (CO)""",1028,"""635 - 781,717 (640)"""
08079,"""Mineral, (CO)""",8,"0 - 8 (648)"
08081,"""Moffat, (CO)""",51,"47 - 156 (641)"
08083,"""Montezuma, (CO)""",242,"156 - 635 (646)"
08085,"""Montrose, (CO)""",241,"156 - 635 (646)"
