"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",2946,"""91 - 6,979 (644)"""
02016,"""Aleutians West, (AK)""",4691,"""91 - 6,979 (644)"""
02020,"""Anchorage, (AK)""",221182,"""71,553 - 7,862,123 (643)"""
02050,"""Bethel, (AK)""",11755,"""6,979 - 14,694 (644)"""
02060,"""Bristol Bay, (AK)""",596,"""91 - 6,979 (644)"""
02068,"""Denali, (AK)""",2242,"""91 - 6,979 (644)"""
02070,"""Dillingham, (AK)""",3392,"""91 - 6,979 (644)"""
02090,"""Fairbanks North Star, (AK)""",74747,"""71,553 - 7,862,123 (643)"""
02100,"""Haines, (AK)""",1688,"""91 - 6,979 (644)"""
02105,"""Hoonah-Angoon, (AK)""",1858,"""91 - 6,979 (644)"""
02110,"""Juneau, (AK)""",25244,"""14,694 - 28,639 (644)"""
02122,"""Kenai Peninsula, (AK)""",45585,"""28,639 - 71,553 (644)"""
02130,"""Ketchikan Gateway, (AK)""",10833,"""6,979 - 14,694 (644)"""
02150,"""Kodiak Island, (AK)""",10009,"""6,979 - 14,694 (644)"""
02164,"""Lake and Peninsula, (AK)""",860,"""91 - 6,979 (644)"""
02170,"""Matanuska-Susitna, (AK)""",78654,"""71,553 - 7,862,123 (643)"""
02180,"""Nome, (AK)""",6547,"""91 - 6,979 (644)"""
02185,"""North Slope, (AK)""",6891,"""91 - 6,979 (644)"""
02188,"""Northwest Arctic, (AK)""",4964,"""91 - 6,979 (644)"""
02195,"""Petersburg, (AK)""",2719,"""91 - 6,979 (644)"""
02198,"""Prince of Wales-Hyder, (AK)""",4884,"""91 - 6,979 (644)"""
02220,"""Sitka, (AK)""",6744,"""91 - 6,979 (644)"""
02230,"""Skagway, (AK)""",1120,"""91 - 6,979 (644)"""
02240,"""Southeast Fairbanks, (AK)""",5074,"""91 - 6,979 (644)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",4936,"""91 - 6,979 (644)"""
02275,"""Wrangell, (AK)""",1985,"""91 - 6,979 (644)"""
02282,"""Yakutat, (AK)""",461,"""91 - 6,979 (644)"""
02290,"""Yukon-Koyukuk, (AK)""",3827,"""91 - 6,979 (644)"""
06001,"""Alameda, (CA)""",1319993,"""71,553 - 7,862,123 (643)"""
06005,"""Amador, (CA)""",33061,"""28,639 - 71,553 (644)"""
06007,"""Butte, (CA)""",178479,"""71,553 - 7,862,123 (643)"""
06009,"""Calaveras, (CA)""",38210,"""28,639 - 71,553 (644)"""
06011,"""Colusa, (CA)""",15628,"""14,694 - 28,639 (644)"""
06013,"""Contra Costa, (CA)""",887597,"""71,553 - 7,862,123 (643)"""
06015,"""Del Norte, (CA)""",21689,"""14,694 - 28,639 (644)"""
06017,"""El Dorado, (CA)""",152434,"""71,553 - 7,862,123 (643)"""
