"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",1717,"""73 - 3,584 (644)"""
02016,"""Aleutians West, (AK)""",3119,"""73 - 3,584 (644)"""
02020,"""Anchorage, (AK)""",112576,"""35,029 - 3,834,913 (643)"""
02050,"""Bethel, (AK)""",6116,"""3,584 - 7,389 (644)"""
02060,"""Bristol Bay, (AK)""",342,"""73 - 3,584 (644)"""
02068,"""Denali, (AK)""",1238,"""73 - 3,584 (644)"""
02070,"""Dillingham, (AK)""",1775,"""73 - 3,584 (644)"""
02090,"""Fairbanks North Star, (AK)""",41005,"""35,029 - 3,834,913 (643)"""
02100,"""Haines, (AK)""",949,"""73 - 3,584 (644)"""
02105,"""Hoonah-Angoon, (AK)""",1033,"""73 - 3,584 (644)"""
02110,"""Juneau, (AK)""",12797,"""7,389 - 14,075 (644)"""
02122,"""Kenai Peninsula, (AK)""",23850,"""14,075 - 35,029 (644)"""
02130,"""Ketchikan Gateway, (AK)""",5570,"""3,584 - 7,389 (644)"""
02150,"""Kodiak Island, (AK)""",5402,"""3,584 - 7,389 (644)"""
02164,"""Lake and Peninsula, (AK)""",392,"""73 - 3,584 (644)"""
02170,"""Matanuska-Susitna, (AK)""",40959,"""35,029 - 3,834,913 (643)"""
02180,"""Nome, (AK)""",3490,"""73 - 3,584 (644)"""
02185,"""North Slope, (AK)""",4372,"""3,584 - 7,389 (644)"""
02188,"""Northwest Arctic, (AK)""",2767,"""73 - 3,584 (644)"""
02195,"""Petersburg, (AK)""",1352,"""73 - 3,584 (644)"""
02198,"""Prince of Wales-Hyder, (AK)""",2706,"""73 - 3,584 (644)"""
02220,"""Sitka, (AK)""",3445,"""73 - 3,584 (644)"""
02230,"""Skagway, (AK)""",590,"""73 - 3,584 (644)"""
02240,"""Southeast Fairbanks, (AK)""",2860,"""73 - 3,584 (644)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",2713,"""73 - 3,584 (644)"""
02275,"""Wrangell, (AK)""",1061,"""73 - 3,584 (644)"""
02282,"""Yakutat, (AK)""",284,"""73 - 3,584 (644)"""
02290,"""Yukon-Koyukuk, (AK)""",2056,"""73 - 3,584 (644)"""
06001,"""Alameda, (CA)""",642540,"""35,029 - 3,834,913 (643)"""
06005,"""Amador, (CA)""",18022,"""14,075 - 35,029 (644)"""
06007,"""Butte, (CA)""",87376,"""35,029 - 3,834,913 (643)"""
06009,"""Calaveras, (CA)""",19021,"""14,075 - 35,029 (644)"""
06011,"""Colusa, (CA)""",7981,"""7,389 - 14,075 (644)"""
06013,"""Contra Costa, (CA)""",428530,"""35,029 - 3,834,913 (643)"""
06015,"""Del Norte, (CA)""",11732,"""7,389 - 14,075 (644)"""
06017,"""El Dorado, (CA)""",75340,"""35,029 - 3,834,913 (643)"""
06021,"""Glenn, (CA)""",10370,"""7,389 - 14,075 (644)"""
06023,"""Humboldt, (CA)""",54393,"""35,029 - 3,834,913 (643)"""
06031,"""Kings, (CA)""",62347,"""35,029 - 3,834,913 (643)"""
06033,"""Lake, (CA)""",25143,"""14,075 - 35,029 (644)"""
06035,"""Lassen, (CA)""",17545,"""14,075 - 35,029 (644)"""
06041,"""Marin, (CA)""",100410,"""35,029 - 3,834,913 (643)"""
06043,"""Mariposa, (CA)""",7423,"""7,389 - 14,075 (644)"""
06045,"""Mendocino, (CA)""",33700,"""14,075 - 35,029 (644)"""
06047,"""Merced, (CA)""",96722,"""35,029 - 3,834,913 (643)"""
06049,"""Modoc, (CA)""",3647,"""3,584 - 7,389 (644)"""
06053,"""Monterey, (CA)""",162621,"""35,029 - 3,834,913 (643)"""
06055,"""Napa, (CA)""",54359,"""35,029 - 3,834,913 (643)"""
06057,"""Nevada, (CA)""",40185,"""35,029 - 3,834,913 (643)"""
06061,"""Placer, (CA)""",146824,"""35,029 - 3,834,913 (643)"""
06063,"""Plumas, (CA)""",7818,"""7,389 - 14,075 (644)"""
06067,"""Sacramento, (CA)""",566297,"""35,029 - 3,834,913 (643)"""
06069,"""San Benito, (CA)""",22868,"""14,075 - 35,029 (644)"""
06075,"""San Francisco, (CA)""",386351,"""35,029 - 3,834,913 (643)"""
06077,"""San Joaquin, (CA)""",270138,"""35,029 - 3,834,913 (643)"""
06079,"""San Luis Obispo, (CA)""",117557,"""35,029 - 3,834,913 (643)"""
06081,"""San Mateo, (CA)""",298640,"""35,029 - 3,834,913 (643)"""
06083,"""Santa Barbara, (CA)""",172202,"""35,029 - 3,834,913 (643)"""
06085,"""Santa Clara, (CA)""",758018,"""35,029 - 3,834,913 (643)"""
06087,"""Santa Cruz, (CA)""",108577,"""35,029 - 3,834,913 (643)"""
06089,"""Shasta, (CA)""",68305,"""35,029 - 3,834,913 (643)"""
06091,"""Sierra, (CA)""",1221,"""73 - 3,584 (644)"""
06093,"""Siskiyou, (CA)""",17130,"""14,075 - 35,029 (644)"""
06095,"""Solano, (CA)""",170756,"""35,029 - 3,834,913 (643)"""
06097,"""Sonoma, (CA)""",192818,"""35,029 - 3,834,913 (643)"""
06099,"""Stanislaus, (CA)""",194996,"""35,029 - 3,834,913 (643)"""
06101,"""Sutter, (CA)""",35052,"""35,029 - 3,834,913 (643)"""
06103,"""Tehama, (CA)""",23966,"""14,075 - 35,029 (644)"""
06105,"""Trinity, (CA)""",5264,"""3,584 - 7,389 (644)"""
06109,"""Tuolumne, (CA)""",23504,"""14,075 - 35,029 (644)"""
06113,"""Yolo, (CA)""",82702,"""35,029 - 3,834,913 (643)"""
06115,"""Yuba, (CA)""",28303,"""14,075 - 35,029 (644)"""
15001,"""Hawaii, (HI)""",77688,"""35,029 - 3,834,913 (643)"""
15003,"""Honolulu, (HI)""",386991,"""35,029 - 3,834,913 (643)"""
15005,"""Kalawao, (HI)""",253,"""73 - 3,584 (644)"""
15007,"""Kauai, (HI)""",27566,"""14,075 - 35,029 (644)"""
15009,"""Maui, (HI)""",64098,"""35,029 - 3,834,913 (643)"""
41003,"""Benton, (OR)""",38717,"""35,029 - 3,834,913 (643)"""
41005,"""Clackamas, (OR)""",159058,"""35,029 - 3,834,913 (643)"""
41007,"""Clatsop, (OR)""",15723,"""14,075 - 35,029 (644)"""
41009,"""Columbia, (OR)""",20488,"""14,075 - 35,029 (644)"""
41011,"""Coos, (OR)""",25598,"""14,075 - 35,029 (644)"""
41013,"""Crook, (OR)""",9438,"""7,389 - 14,075 (644)"""
41015,"""Curry, (OR)""",9697,"""7,389 - 14,075 (644)"""
41017,"""Deschutes, (OR)""",75077,"""35,029 - 3,834,913 (643)"""
41019,"""Douglas, (OR)""",43332,"""35,029 - 3,834,913 (643)"""
41021,"""Gilliam, (OR)""",758,"""73 - 3,584 (644)"""
41027,"""Hood River, (OR)""",8886,"""7,389 - 14,075 (644)"""
41029,"""Jackson, (OR)""",83807,"""35,029 - 3,834,913 (643)"""
41031,"""Jefferson, (OR)""",9556,"""7,389 - 14,075 (644)"""
41033,"""Josephine, (OR)""",33745,"""14,075 - 35,029 (644)"""
41035,"""Klamath, (OR)""",26250,"""14,075 - 35,029 (644)"""
41037,"""Lake, (OR)""",3466,"""73 - 3,584 (644)"""
41039,"""Lane, (OR)""",150151,"""35,029 - 3,834,913 (643)"""
41041,"""Lincoln, (OR)""",19483,"""14,075 - 35,029 (644)"""
41043,"""Linn, (OR)""",48292,"""35,029 - 3,834,913 (643)"""
41047,"""Marion, (OR)""",127956,"""35,029 - 3,834,913 (643)"""
41051,"""Multnomah, (OR)""",323571,"""35,029 - 3,834,913 (643)"""
41053,"""Polk, (OR)""",31734,"""14,075 - 35,029 (644)"""
41055,"""Sherman, (OR)""",736,"""73 - 3,584 (644)"""
41057,"""Tillamook, (OR)""",10793,"""7,389 - 14,075 (644)"""
41065,"""Wasco, (OR)""",10074,"""7,389 - 14,075 (644)"""
41067,"""Washington, (OR)""",225297,"""35,029 - 3,834,913 (643)"""
41069,"""Wheeler, (OR)""",559,"""73 - 3,584 (644)"""
41071,"""Yamhill, (OR)""",41003,"""35,029 - 3,834,913 (643)"""
53007,"""Chelan, (WA)""",29090,"""14,075 - 35,029 (644)"""
53009,"""Clallam, (WA)""",31010,"""14,075 - 35,029 (644)"""
53011,"""Clark, (WA)""",179300,"""35,029 - 3,834,913 (643)"""
53015,"""Cowlitz, (WA)""",41201,"""35,029 - 3,834,913 (643)"""
53027,"""Grays Harbor, (WA)""",30275,"""14,075 - 35,029 (644)"""
53029,"""Island, (WA)""",34330,"""14,075 - 35,029 (644)"""
53031,"""Jefferson, (WA)""",13679,"""7,389 - 14,075 (644)"""
53033,"""King, (WA)""",888480,"""35,029 - 3,834,913 (643)"""
53035,"""Kitsap, (WA)""",109484,"""35,029 - 3,834,913 (643)"""
53037,"""Kittitas, (WA)""",19366,"""14,075 - 35,029 (644)"""
53039,"""Klickitat, (WA)""",8999,"""7,389 - 14,075 (644)"""
53041,"""Lewis, (WA)""",30934,"""14,075 - 35,029 (644)"""
53045,"""Mason, (WA)""",27374,"""14,075 - 35,029 (644)"""
