"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",1229,"""18 - 3,433 (645)"""
02016,"""Aleutians West, (AK)""",1572,"""18 - 3,433 (645)"""
02020,"""Anchorage, (AK)""",108606,"""36,740 - 4,027,210 (643)"""
02050,"""Bethel, (AK)""",5639,"""3,433 - 7,412 (643)"""
02060,"""Bristol Bay, (AK)""",254,"""18 - 3,433 (645)"""
02068,"""Denali, (AK)""",1004,"""18 - 3,433 (645)"""
02070,"""Dillingham, (AK)""",1617,"""18 - 3,433 (645)"""
02090,"""Fairbanks North Star, (AK)""",33742,"""14,488 - 36,740 (644)"""
02100,"""Haines, (AK)""",739,"""18 - 3,433 (645)"""
02105,"""Hoonah-Angoon, (AK)""",825,"""18 - 3,433 (645)"""
02110,"""Juneau, (AK)""",12447,"""7,412 - 14,488 (644)"""
02122,"""Kenai Peninsula, (AK)""",21735,"""14,488 - 36,740 (644)"""
02130,"""Ketchikan Gateway, (AK)""",5263,"""3,433 - 7,412 (643)"""
02150,"""Kodiak Island, (AK)""",4607,"""3,433 - 7,412 (643)"""
02164,"""Lake and Peninsula, (AK)""",468,"""18 - 3,433 (645)"""
02170,"""Matanuska-Susitna, (AK)""",37695,"""36,740 - 4,027,210 (643)"""
02180,"""Nome, (AK)""",3057,"""18 - 3,433 (645)"""
02185,"""North Slope, (AK)""",2519,"""18 - 3,433 (645)"""
02188,"""Northwest Arctic, (AK)""",2197,"""18 - 3,433 (645)"""
02195,"""Petersburg, (AK)""",1367,"""18 - 3,433 (645)"""
02198,"""Prince of Wales-Hyder, (AK)""",2178,"""18 - 3,433 (645)"""
02220,"""Sitka, (AK)""",3299,"""18 - 3,433 (645)"""
02230,"""Skagway, (AK)""",530,"""18 - 3,433 (645)"""
02240,"""Southeast Fairbanks, (AK)""",2214,"""18 - 3,433 (645)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",2223,"""18 - 3,433 (645)"""
02275,"""Wrangell, (AK)""",924,"""18 - 3,433 (645)"""
02282,"""Yakutat, (AK)""",177,"""18 - 3,433 (645)"""
02290,"""Yukon-Koyukuk, (AK)""",1771,"""18 - 3,433 (645)"""
06001,"""Alameda, (CA)""",677453,"""36,740 - 4,027,210 (643)"""
06005,"""Amador, (CA)""",15039,"""14,488 - 36,740 (644)"""
06007,"""Butte, (CA)""",91103,"""36,740 - 4,027,210 (643)"""
06009,"""Calaveras, (CA)""",19189,"""14,488 - 36,740 (644)"""
06011,"""Colusa, (CA)""",7647,"""7,412 - 14,488 (644)"""
06013,"""Contra Costa, (CA)""",459067,"""36,740 - 4,027,210 (643)"""
06015,"""Del Norte, (CA)""",9957,"""7,412 - 14,488 (644)"""
06017,"""El Dorado, (CA)""",77094,"""36,740 - 4,027,210 (643)"""
06021,"""Glenn, (CA)""",10199,"""7,412 - 14,488 (644)"""
06023,"""Humboldt, (CA)""",55763,"""36,740 - 4,027,210 (643)"""
06031,"""Kings, (CA)""",47820,"""36,740 - 4,027,210 (643)"""
