"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",3389,"""117 - 8,951 (644)"""
02016,"""Aleutians West, (AK)""",5708,"""117 - 8,951 (644)"""
02020,"""Anchorage, (AK)""",292090,"""92,168 - 10,040,682 (643)"""
02050,"""Bethel, (AK)""",18263,"""8,951 - 18,976 (644)"""
02060,"""Bristol Bay, (AK)""",739,"""117 - 8,951 (644)"""
02068,"""Denali, (AK)""",2502,"""117 - 8,951 (644)"""
02070,"""Dillingham, (AK)""",4934,"""117 - 8,951 (644)"""
02090,"""Fairbanks North Star, (AK)""",98455,"""92,168 - 10,040,682 (643)"""
02100,"""Haines, (AK)""",2547,"""117 - 8,951 (644)"""
02105,"""Hoonah-Angoon, (AK)""",2135,"""117 - 8,951 (644)"""
02110,"""Juneau, (AK)""",32099,"""18,976 - 36,698 (644)"""
02122,"""Kenai Peninsula, (AK)""",58809,"""36,698 - 92,168 (644)"""
02130,"""Ketchikan Gateway, (AK)""",13833,"""8,951 - 18,976 (644)"""
02150,"""Kodiak Island, (AK)""",13383,"""8,951 - 18,976 (644)"""
02164,"""Lake and Peninsula, (AK)""",1156,"""117 - 8,951 (644)"""
02170,"""Matanuska-Susitna, (AK)""",107360,"""92,168 - 10,040,682 (643)"""
02180,"""Nome, (AK)""",10009,"""8,951 - 18,976 (644)"""
02185,"""North Slope, (AK)""",9375,"""8,951 - 18,976 (644)"""
02188,"""Northwest Arctic, (AK)""",7709,"""117 - 8,951 (644)"""
02195,"""Petersburg, (AK)""",3278,"""117 - 8,951 (644)"""
02198,"""Prince of Wales-Hyder, (AK)""",6338,"""117 - 8,951 (644)"""
02220,"""Sitka, (AK)""",8569,"""117 - 8,951 (644)"""
02230,"""Skagway, (AK)""",1300,"""117 - 8,951 (644)"""
02240,"""Southeast Fairbanks, (AK)""",6911,"""117 - 8,951 (644)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",8298,"""117 - 8,951 (644)"""
02275,"""Wrangell, (AK)""",2510,"""117 - 8,951 (644)"""
02282,"""Yakutat, (AK)""",597,"""117 - 8,951 (644)"""
02290,"""Yukon-Koyukuk, (AK)""",5305,"""117 - 8,951 (644)"""
06001,"""Alameda, (CA)""",1661584,"""92,168 - 10,040,682 (643)"""
06005,"""Amador, (CA)""",39023,"""36,698 - 92,168 (644)"""
06007,"""Butte, (CA)""",223344,"""92,168 - 10,040,682 (643)"""
06009,"""Calaveras, (CA)""",45828,"""36,698 - 92,168 (644)"""
06011,"""Colusa, (CA)""",21491,"""18,976 - 36,698 (644)"""
06013,"""Contra Costa, (CA)""",1147788,"""92,168 - 10,040,682 (643)"""
06015,"""Del Norte, (CA)""",27692,"""18,976 - 36,698 (644)"""
06017,"""El Dorado, (CA)""",190345,"""92,168 - 10,040,682 (643)"""
06021,"""Glenn, (CA)""",28060,"""18,976 - 36,698 (644)"""
06023,"""Humboldt, (CA)""",136101,"""92,168 - 10,040,682 (643)"""
06031,"""Kings, (CA)""",151090,"""92,168 - 10,040,682 (643)"""
06033,"""Lake, (CA)""",64276,"""36,698 - 92,168 (644)"""
06035,"""Lassen, (CA)""",30600,"""18,976 - 36,698 (644)"""
06041,"""Marin, (CA)""",259441,"""92,168 - 10,040,682 (643)"""
06043,"""Mariposa, (CA)""",17319,"""8,951 - 18,976 (644)"""
06045,"""Mendocino, (CA)""",87110,"""36,698 - 92,168 (644)"""
06047,"""Merced, (CA)""",273661,"""92,168 - 10,040,682 (643)"""
06049,"""Modoc, (CA)""",8853,"""117 - 8,951 (644)"""
06053,"""Monterey, (CA)""",432977,"""92,168 - 10,040,682 (643)"""
06055,"""Napa, (CA)""",138572,"""92,168 - 10,040,682 (643)"""
06057,"""Nevada, (CA)""",99417,"""92,168 - 10,040,682 (643)"""
06061,"""Placer, (CA)""",391799,"""92,168 - 10,040,682 (643)"""
06063,"""Plumas, (CA)""",18844,"""8,951 - 18,976 (644)"""
06067,"""Sacramento, (CA)""",1537948,"""92,168 - 10,040,682 (643)"""
06069,"""San Benito, (CA)""",61547,"""36,698 - 92,168 (644)"""
06075,"""San Francisco, (CA)""",874784,"""92,168 - 10,040,682 (643)"""
06077,"""San Joaquin, (CA)""",751615,"""92,168 - 10,040,682 (643)"""
06079,"""San Luis Obispo, (CA)""",282517,"""92,168 - 10,040,682 (643)"""
06081,"""San Mateo, (CA)""",765623,"""92,168 - 10,040,682 (643)"""
06083,"""Santa Barbara, (CA)""",444895,"""92,168 - 10,040,682 (643)"""
06085,"""Santa Clara, (CA)""",1924379,"""92,168 - 10,040,682 (643)"""
06087,"""Santa Cruz, (CA)""",273170,"""92,168 - 10,040,682 (643)"""
06089,"""Shasta, (CA)""",179267,"""92,168 - 10,040,682 (643)"""
06091,"""Sierra, (CA)""",2898,"""117 - 8,951 (644)"""
06093,"""Siskiyou, (CA)""",43516,"""36,698 - 92,168 (644)"""
