"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",277,"114 - 278 (643)"
02016,"""Aleutians West, (AK)""",293,"278 - 684 (644)"
02020,"""Anchorage, (AK)""",17178,"""2,104 - 487,679 (643)"""
02050,"""Bethel, (AK)""",472,"278 - 684 (644)"
02060,"""Bristol Bay, (AK)""",28,"0 - 114 (645)"
02068,"""Denali, (AK)""",269,"114 - 278 (643)"
02070,"""Dillingham, (AK)""",169,"114 - 278 (643)"
02090,"""Fairbanks North Star, (AK)""",4585,"""2,104 - 487,679 (643)"""
02100,"""Haines, (AK)""",155,"114 - 278 (643)"
02105,"""Hoonah-Angoon, (AK)""",170,"114 - 278 (643)"
02110,"""Juneau, (AK)""",2353,"""2,104 - 487,679 (643)"""
02122,"""Kenai Peninsula, (AK)""",2032,"""684 - 2,104 (644)"""
02130,"""Ketchikan Gateway, (AK)""",831,"""684 - 2,104 (644)"""
02150,"""Kodiak Island, (AK)""",764,"""684 - 2,104 (644)"""
02164,"""Lake and Peninsula, (AK)""",57,"0 - 114 (645)"
02170,"""Matanuska-Susitna, (AK)""",4994,"""2,104 - 487,679 (643)"""
02180,"""Nome, (AK)""",277,"114 - 278 (643)"
02185,"""North Slope, (AK)""",317,"278 - 684 (644)"
02188,"""Northwest Arctic, (AK)""",175,"114 - 278 (643)"
02195,"""Petersburg, (AK)""",184,"114 - 278 (643)"
02198,"""Prince of Wales-Hyder, (AK)""",410,"278 - 684 (644)"
02220,"""Sitka, (AK)""",778,"""684 - 2,104 (644)"""
02230,"""Skagway, (AK)""",95,"0 - 114 (645)"
02240,"""Southeast Fairbanks, (AK)""",150,"114 - 278 (643)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",119,"114 - 278 (643)"
02275,"""Wrangell, (AK)""",122,"114 - 278 (643)"
02282,"""Yakutat, (AK)""",67,"0 - 114 (645)"
02290,"""Yukon-Koyukuk, (AK)""",220,"114 - 278 (643)"
06001,"""Alameda, (CA)""",79191,"""2,104 - 487,679 (643)"""
06005,"""Amador, (CA)""",1878,"""684 - 2,104 (644)"""
06007,"""Butte, (CA)""",10093,"""2,104 - 487,679 (643)"""
06009,"""Calaveras, (CA)""",2182,"""2,104 - 487,679 (643)"""
06011,"""Colusa, (CA)""",1584,"""684 - 2,104 (644)"""
06013,"""Contra Costa, (CA)""",61983,"""2,104 - 487,679 (643)"""
06015,"""Del Norte, (CA)""",1220,"""684 - 2,104 (644)"""
06017,"""El Dorado, (CA)""",5101,"""2,104 - 487,679 (643)"""
06021,"""Glenn, (CA)""",620,"278 - 684 (644)"
06023,"""Humboldt, (CA)""",6530,"""2,104 - 487,679 (643)"""
06031,"""Kings, (CA)""",8307,"""2,104 - 487,679 (643)"""
06033,"""Lake, (CA)""",1989,"""684 - 2,104 (644)"""
06035,"""Lassen, (CA)""",975,"""684 - 2,104 (644)"""
06041,"""Marin, (CA)""",10329,"""2,104 - 487,679 (643)"""
06043,"""Mariposa, (CA)""",559,"278 - 684 (644)"
06045,"""Mendocino, (CA)""",3576,"""2,104 - 487,679 (643)"""
06047,"""Merced, (CA)""",10291,"""2,104 - 487,679 (643)"""
06049,"""Modoc, (CA)""",150,"114 - 278 (643)"
06053,"""Monterey, (CA)""",18625,"""2,104 - 487,679 (643)"""
06055,"""Napa, (CA)""",6348,"""2,104 - 487,679 (643)"""
