"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",182,"140 - 338 (647)"
02016,"""Aleutians West, (AK)""",206,"140 - 338 (647)"
02020,"""Anchorage, (AK)""",9064,"""1,044 - 241,287 (643)"""
02050,"""Bethel, (AK)""",259,"140 - 338 (647)"
02060,"""Bristol Bay, (AK)""",16,"0 - 52 (645)"
02068,"""Denali, (AK)""",228,"140 - 338 (647)"
02070,"""Dillingham, (AK)""",90,"52 - 140 (643)"
02090,"""Fairbanks North Star, (AK)""",2410,"""1,044 - 241,287 (643)"""
02100,"""Haines, (AK)""",155,"140 - 338 (647)"
02105,"""Hoonah-Angoon, (AK)""",88,"52 - 140 (643)"
02110,"""Juneau, (AK)""",990,"""338 - 1,044 (641)"""
02122,"""Kenai Peninsula, (AK)""",958,"""338 - 1,044 (641)"""
02130,"""Ketchikan Gateway, (AK)""",490,"""338 - 1,044 (641)"""
02150,"""Kodiak Island, (AK)""",449,"""338 - 1,044 (641)"""
02164,"""Lake and Peninsula, (AK)""",32,"0 - 52 (645)"
02170,"""Matanuska-Susitna, (AK)""",2804,"""1,044 - 241,287 (643)"""
02180,"""Nome, (AK)""",162,"140 - 338 (647)"
02185,"""North Slope, (AK)""",140,"52 - 140 (643)"
02188,"""Northwest Arctic, (AK)""",109,"52 - 140 (643)"
02195,"""Petersburg, (AK)""",96,"52 - 140 (643)"
02198,"""Prince of Wales-Hyder, (AK)""",219,"140 - 338 (647)"
02220,"""Sitka, (AK)""",403,"""338 - 1,044 (641)"""
02230,"""Skagway, (AK)""",32,"0 - 52 (645)"
02240,"""Southeast Fairbanks, (AK)""",122,"52 - 140 (643)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",53,"52 - 140 (643)"
02275,"""Wrangell, (AK)""",100,"52 - 140 (643)"
02282,"""Yakutat, (AK)""",25,"0 - 52 (645)"
02290,"""Yukon-Koyukuk, (AK)""",117,"52 - 140 (643)"
06001,"""Alameda, (CA)""",39762,"""1,044 - 241,287 (643)"""
06005,"""Amador, (CA)""",663,"""338 - 1,044 (641)"""
06007,"""Butte, (CA)""",5430,"""1,044 - 241,287 (643)"""
06009,"""Calaveras, (CA)""",1124,"""1,044 - 241,287 (643)"""
06011,"""Colusa, (CA)""",865,"""338 - 1,044 (641)"""
06013,"""Contra Costa, (CA)""",29312,"""1,044 - 241,287 (643)"""
06015,"""Del Norte, (CA)""",612,"""338 - 1,044 (641)"""
06017,"""El Dorado, (CA)""",2359,"""1,044 - 241,287 (643)"""
06021,"""Glenn, (CA)""",300,"140 - 338 (647)"
06023,"""Humboldt, (CA)""",3347,"""1,044 - 241,287 (643)"""
06031,"""Kings, (CA)""",4727,"""1,044 - 241,287 (643)"""
06033,"""Lake, (CA)""",798,"""338 - 1,044 (641)"""
06035,"""Lassen, (CA)""",686,"""338 - 1,044 (641)"""
06041,"""Marin, (CA)""",4923,"""1,044 - 241,287 (643)"""
06043,"""Mariposa, (CA)""",288,"140 - 338 (647)"
06045,"""Mendocino, (CA)""",1802,"""1,044 - 241,287 (643)"""
06047,"""Merced, (CA)""",5140,"""1,044 - 241,287 (643)"""
