"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",95,"49 - 134 (643)"
02016,"""Aleutians West, (AK)""",87,"49 - 134 (643)"
02020,"""Anchorage, (AK)""",8114,"""1,086 - 246,392 (643)"""
02050,"""Bethel, (AK)""",213,"134 - 330 (644)"
02060,"""Bristol Bay, (AK)""",12,"0 - 49 (646)"
02068,"""Denali, (AK)""",41,"0 - 49 (646)"
02070,"""Dillingham, (AK)""",79,"49 - 134 (643)"
02090,"""Fairbanks North Star, (AK)""",2175,"""1,086 - 246,392 (643)"""
02100,"""Haines, (AK)""",0,"0 - 49 (646)"
02105,"""Hoonah-Angoon, (AK)""",82,"49 - 134 (643)"
02110,"""Juneau, (AK)""",1363,"""1,086 - 246,392 (643)"""
02122,"""Kenai Peninsula, (AK)""",1074,"""330 - 1,086 (643)"""
02130,"""Ketchikan Gateway, (AK)""",341,"""330 - 1,086 (643)"""
02150,"""Kodiak Island, (AK)""",315,"134 - 330 (644)"
02164,"""Lake and Peninsula, (AK)""",25,"0 - 49 (646)"
02170,"""Matanuska-Susitna, (AK)""",2190,"""1,086 - 246,392 (643)"""
02180,"""Nome, (AK)""",115,"49 - 134 (643)"
02185,"""North Slope, (AK)""",177,"134 - 330 (644)"
02188,"""Northwest Arctic, (AK)""",66,"49 - 134 (643)"
02195,"""Petersburg, (AK)""",88,"49 - 134 (643)"
02198,"""Prince of Wales-Hyder, (AK)""",191,"134 - 330 (644)"
02220,"""Sitka, (AK)""",375,"""330 - 1,086 (643)"""
02230,"""Skagway, (AK)""",63,"49 - 134 (643)"
02240,"""Southeast Fairbanks, (AK)""",28,"0 - 49 (646)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",66,"49 - 134 (643)"
02275,"""Wrangell, (AK)""",22,"0 - 49 (646)"
02282,"""Yakutat, (AK)""",42,"0 - 49 (646)"
02290,"""Yukon-Koyukuk, (AK)""",103,"49 - 134 (643)"
06001,"""Alameda, (CA)""",39429,"""1,086 - 246,392 (643)"""
06005,"""Amador, (CA)""",1215,"""1,086 - 246,392 (643)"""
06007,"""Butte, (CA)""",4663,"""1,086 - 246,392 (643)"""
06009,"""Calaveras, (CA)""",1058,"""330 - 1,086 (643)"""
06011,"""Colusa, (CA)""",719,"""330 - 1,086 (643)"""
06013,"""Contra Costa, (CA)""",32671,"""1,086 - 246,392 (643)"""
06015,"""Del Norte, (CA)""",608,"""330 - 1,086 (643)"""
06017,"""El Dorado, (CA)""",2742,"""1,086 - 246,392 (643)"""
06021,"""Glenn, (CA)""",320,"134 - 330 (644)"
06023,"""Humboldt, (CA)""",3183,"""1,086 - 246,392 (643)"""
06031,"""Kings, (CA)""",3580,"""1,086 - 246,392 (643)"""
06033,"""Lake, (CA)""",1191,"""1,086 - 246,392 (643)"""
06035,"""Lassen, (CA)""",289,"134 - 330 (644)"
06041,"""Marin, (CA)""",5406,"""1,086 - 246,392 (643)"""
06043,"""Mariposa, (CA)""",271,"134 - 330 (644)"
06045,"""Mendocino, (CA)""",1774,"""1,086 - 246,392 (643)"""
06047,"""Merced, (CA)""",5151,"""1,086 - 246,392 (643)"""
06049,"""Modoc, (CA)""",48,"0 - 49 (646)"
06053,"""Monterey, (CA)""",9299,"""1,086 - 246,392 (643)"""
06055,"""Napa, (CA)""",3082,"""1,086 - 246,392 (643)"""
06057,"""Nevada, (CA)""",1491,"""1,086 - 246,392 (643)"""
06061,"""Placer, (CA)""",7219,"""1,086 - 246,392 (643)"""
06063,"""Plumas, (CA)""",336,"""330 - 1,086 (643)"""
06067,"""Sacramento, (CA)""",43037,"""1,086 - 246,392 (643)"""
06069,"""San Benito, (CA)""",2299,"""1,086 - 246,392 (643)"""
06075,"""San Francisco, (CA)""",19999,"""1,086 - 246,392 (643)"""
06077,"""San Joaquin, (CA)""",32719,"""1,086 - 246,392 (643)"""
06079,"""San Luis Obispo, (CA)""",5240,"""1,086 - 246,392 (643)"""
06081,"""San Mateo, (CA)""",16859,"""1,086 - 246,392 (643)"""
06083,"""Santa Barbara, (CA)""",14058,"""1,086 - 246,392 (643)"""
06085,"""Santa Clara, (CA)""",41939,"""1,086 - 246,392 (643)"""
06087,"""Santa Cruz, (CA)""",7016,"""1,086 - 246,392 (643)"""
06089,"""Shasta, (CA)""",2948,"""1,086 - 246,392 (643)"""
06091,"""Sierra, (CA)""",7,"0 - 49 (646)"
06093,"""Siskiyou, (CA)""",1016,"""330 - 1,086 (643)"""
06095,"""Solano, (CA)""",11365,"""1,086 - 246,392 (643)"""
06097,"""Sonoma, (CA)""",10982,"""1,086 - 246,392 (643)"""
06099,"""Stanislaus, (CA)""",13355,"""1,086 - 246,392 (643)"""
06101,"""Sutter, (CA)""",2888,"""1,086 - 246,392 (643)"""
06103,"""Tehama, (CA)""",1396,"""1,086 - 246,392 (643)"""
06105,"""Trinity, (CA)""",103,"49 - 134 (643)"
06109,"""Tuolumne, (CA)""",769,"""330 - 1,086 (643)"""
06113,"""Yolo, (CA)""",7368,"""1,086 - 246,392 (643)"""
06115,"""Yuba, (CA)""",2360,"""1,086 - 246,392 (643)"""
15001,"""Hawaii, (HI)""",18379,"""1,086 - 246,392 (643)"""
15003,"""Honolulu, (HI)""",72563,"""1,086 - 246,392 (643)"""
15005,"""Kalawao, (HI)""",5,"0 - 49 (646)"
15007,"""Kauai, (HI)""",5172,"""1,086 - 246,392 (643)"""
15009,"""Maui, (HI)""",12355,"""1,086 - 246,392 (643)"""
41003,"""Benton, (OR)""",1676,"""1,086 - 246,392 (643)"""
41005,"""Clackamas, (OR)""",7135,"""1,086 - 246,392 (643)"""
41007,"""Clatsop, (OR)""",838,"""330 - 1,086 (643)"""
41009,"""Columbia, (OR)""",847,"""330 - 1,086 (643)"""
41011,"""Coos, (OR)""",1548,"""1,086 - 246,392 (643)"""
41013,"""Crook, (OR)""",200,"134 - 330 (644)"
41015,"""Curry, (OR)""",517,"""330 - 1,086 (643)"""
41017,"""Deschutes, (OR)""",2506,"""1,086 - 246,392 (643)"""
41019,"""Douglas, (OR)""",1947,"""1,086 - 246,392 (643)"""
41021,"""Gilliam, (OR)""",23,"0 - 49 (646)"
41027,"""Hood River, (OR)""",576,"""330 - 1,086 (643)"""
41029,"""Jackson, (OR)""",3635,"""1,086 - 246,392 (643)"""
41031,"""Jefferson, (OR)""",535,"""330 - 1,086 (643)"""
41033,"""Josephine, (OR)""",1386,"""1,086 - 246,392 (643)"""
41035,"""Klamath, (OR)""",1517,"""1,086 - 246,392 (643)"""
41037,"""Lake, (OR)""",53,"49 - 134 (643)"
41039,"""Lane, (OR)""",7850,"""1,086 - 246,392 (643)"""
41041,"""Lincoln, (OR)""",1251,"""1,086 - 246,392 (643)"""
41043,"""Linn, (OR)""",2370,"""1,086 - 246,392 (643)"""
41047,"""Marion, (OR)""",8395,"""1,086 - 246,392 (643)"""
41051,"""Multnomah, (OR)""",17310,"""1,086 - 246,392 (643)"""
41053,"""Polk, (OR)""",1300,"""1,086 - 246,392 (643)"""
