"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",434,"""0 - 4,653 (644)"""
02016,"""Aleutians West, (AK)""",1200,"""0 - 4,653 (644)"""
02020,"""Anchorage, (AK)""",135989,"""54,518 - 2,242,018 (643)"""
02050,"""Bethel, (AK)""",1441,"""0 - 4,653 (644)"""
02060,"""Bristol Bay, (AK)""",312,"""0 - 4,653 (644)"""
02068,"""Denali, (AK)""",1817,"""0 - 4,653 (644)"""
02070,"""Dillingham, (AK)""",622,"""0 - 4,653 (644)"""
02090,"""Fairbanks North Star, (AK)""",53770,"""22,068 - 54,518 (644)"""
02100,"""Haines, (AK)""",1329,"""0 - 4,653 (644)"""
02105,"""Hoonah-Angoon, (AK)""",899,"""0 - 4,653 (644)"""
02110,"""Juneau, (AK)""",17051,"""10,760 - 22,068 (644)"""
02122,"""Kenai Peninsula, (AK)""",37186,"""22,068 - 54,518 (644)"""
02130,"""Ketchikan Gateway, (AK)""",7156,"""4,653 - 10,760 (644)"""
02150,"""Kodiak Island, (AK)""",5048,"""4,653 - 10,760 (644)"""
02164,"""Lake and Peninsula, (AK)""",223,"""0 - 4,653 (644)"""
02170,"""Matanuska-Susitna, (AK)""",63816,"""54,518 - 2,242,018 (643)"""
02180,"""Nome, (AK)""",1212,"""0 - 4,653 (644)"""
02185,"""North Slope, (AK)""",2471,"""0 - 4,653 (644)"""
02188,"""Northwest Arctic, (AK)""",704,"""0 - 4,653 (644)"""
02195,"""Petersburg, (AK)""",1642,"""0 - 4,653 (644)"""
02198,"""Prince of Wales-Hyder, (AK)""",2407,"""0 - 4,653 (644)"""
02220,"""Sitka, (AK)""",4356,"""0 - 4,653 (644)"""
02230,"""Skagway, (AK)""",856,"""0 - 4,653 (644)"""
02240,"""Southeast Fairbanks, (AK)""",3892,"""0 - 4,653 (644)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",269,"""0 - 4,653 (644)"""
02275,"""Wrangell, (AK)""",1394,"""0 - 4,653 (644)"""
02282,"""Yakutat, (AK)""",150,"""0 - 4,653 (644)"""
02290,"""Yukon-Koyukuk, (AK)""",908,"""0 - 4,653 (644)"""
06001,"""Alameda, (CA)""",437974,"""54,518 - 2,242,018 (643)"""
06005,"""Amador, (CA)""",25946,"""22,068 - 54,518 (644)"""
06007,"""Butte, (CA)""",132608,"""54,518 - 2,242,018 (643)"""
06009,"""Calaveras, (CA)""",31340,"""22,068 - 54,518 (644)"""
06011,"""Colusa, (CA)""",6208,"""4,653 - 10,760 (644)"""
06013,"""Contra Costa, (CA)""",408369,"""54,518 - 2,242,018 (643)"""
06015,"""Del Norte, (CA)""",14019,"""10,760 - 22,068 (644)"""
06017,"""El Dorado, (CA)""",121742,"""54,518 - 2,242,018 (643)"""
