"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",315,"""0 - 2,356 (644)"""
02016,"""Aleutians West, (AK)""",877,"""0 - 2,356 (644)"""
02020,"""Anchorage, (AK)""",71495,"""26,612 - 1,125,722 (643)"""
02050,"""Bethel, (AK)""",787,"""0 - 2,356 (644)"""
02060,"""Bristol Bay, (AK)""",193,"""0 - 2,356 (644)"""
02068,"""Denali, (AK)""",926,"""0 - 2,356 (644)"""
02070,"""Dillingham, (AK)""",348,"""0 - 2,356 (644)"""
02090,"""Fairbanks North Star, (AK)""",29934,"""26,612 - 1,125,722 (643)"""
02100,"""Haines, (AK)""",660,"""0 - 2,356 (644)"""
02105,"""Hoonah-Angoon, (AK)""",450,"""0 - 2,356 (644)"""
02110,"""Juneau, (AK)""",8743,"""5,313 - 10,870 (644)"""
02122,"""Kenai Peninsula, (AK)""",19662,"""10,870 - 26,612 (644)"""
02130,"""Ketchikan Gateway, (AK)""",3728,"""2,356 - 5,313 (644)"""
02150,"""Kodiak Island, (AK)""",2773,"""2,356 - 5,313 (644)"""
02164,"""Lake and Peninsula, (AK)""",114,"""0 - 2,356 (644)"""
02170,"""Matanuska-Susitna, (AK)""",33485,"""26,612 - 1,125,722 (643)"""
02180,"""Nome, (AK)""",686,"""0 - 2,356 (644)"""
02185,"""North Slope, (AK)""",1902,"""0 - 2,356 (644)"""
02188,"""Northwest Arctic, (AK)""",450,"""0 - 2,356 (644)"""
02195,"""Petersburg, (AK)""",889,"""0 - 2,356 (644)"""
02198,"""Prince of Wales-Hyder, (AK)""",1377,"""0 - 2,356 (644)"""
02220,"""Sitka, (AK)""",2223,"""0 - 2,356 (644)"""
02230,"""Skagway, (AK)""",473,"""0 - 2,356 (644)"""
02240,"""Southeast Fairbanks, (AK)""",2221,"""0 - 2,356 (644)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",243,"""0 - 2,356 (644)"""
02275,"""Wrangell, (AK)""",782,"""0 - 2,356 (644)"""
02282,"""Yakutat, (AK)""",87,"""0 - 2,356 (644)"""
02290,"""Yukon-Koyukuk, (AK)""",517,"""0 - 2,356 (644)"""
06001,"""Alameda, (CA)""",217797,"""26,612 - 1,125,722 (643)"""
06005,"""Amador, (CA)""",13451,"""10,870 - 26,612 (644)"""
06007,"""Butte, (CA)""",64396,"""26,612 - 1,125,722 (643)"""
06009,"""Calaveras, (CA)""",15492,"""10,870 - 26,612 (644)"""
06011,"""Colusa, (CA)""",3027,"""2,356 - 5,313 (644)"""
06013,"""Contra Costa, (CA)""",199791,"""26,612 - 1,125,722 (643)"""
06015,"""Del Norte, (CA)""",7029,"""5,313 - 10,870 (644)"""
06017,"""El Dorado, (CA)""",60520,"""26,612 - 1,125,722 (643)"""
06021,"""Glenn, (CA)""",5653,"""5,313 - 10,870 (644)"""
06023,"""Humboldt, (CA)""",42071,"""26,612 - 1,125,722 (643)"""
06031,"""Kings, (CA)""",21566,"""10,870 - 26,612 (644)"""
06033,"""Lake, (CA)""",18455,"""10,870 - 26,612 (644)"""
06035,"""Lassen, (CA)""",9401,"""5,313 - 10,870 (644)"""
06041,"""Marin, (CA)""",73355,"""26,612 - 1,125,722 (643)"""
06043,"""Mariposa, (CA)""",5899,"""5,313 - 10,870 (644)"""
06045,"""Mendocino, (CA)""",23051,"""10,870 - 26,612 (644)"""
06047,"""Merced, (CA)""",29261,"""26,612 - 1,125,722 (643)"""
06049,"""Modoc, (CA)""",2809,"""2,356 - 5,313 (644)"""
06053,"""Monterey, (CA)""",54459,"""26,612 - 1,125,722 (643)"""
06055,"""Napa, (CA)""",30187,"""26,612 - 1,125,722 (643)"""
06057,"""Nevada, (CA)""",34753,"""26,612 - 1,125,722 (643)"""
06061,"""Placer, (CA)""",109055,"""26,612 - 1,125,722 (643)"""
06063,"""Plumas, (CA)""",6541,"""5,313 - 10,870 (644)"""
06067,"""Sacramento, (CA)""",268032,"""26,612 - 1,125,722 (643)"""
06069,"""San Benito, (CA)""",8506,"""5,313 - 10,870 (644)"""
06075,"""San Francisco, (CA)""",172811,"""26,612 - 1,125,722 (643)"""
06077,"""San Joaquin, (CA)""",93282,"""26,612 - 1,125,722 (643)"""
06079,"""San Luis Obispo, (CA)""",81940,"""26,612 - 1,125,722 (643)"""
06081,"""San Mateo, (CA)""",124876,"""26,612 - 1,125,722 (643)"""
06083,"""Santa Barbara, (CA)""",83065,"""26,612 - 1,125,722 (643)"""
06085,"""Santa Clara, (CA)""",257953,"""26,612 - 1,125,722 (643)"""
06087,"""Santa Cruz, (CA)""",66171,"""26,612 - 1,125,722 (643)"""
06089,"""Shasta, (CA)""",55405,"""26,612 - 1,125,722 (643)"""
06091,"""Sierra, (CA)""",1069,"""0 - 2,356 (644)"""
06093,"""Siskiyou, (CA)""",13516,"""10,870 - 26,612 (644)"""
06095,"""Solano, (CA)""",69850,"""26,612 - 1,125,722 (643)"""
06097,"""Sonoma, (CA)""",127532,"""26,612 - 1,125,722 (643)"""
06099,"""Stanislaus, (CA)""",86867,"""26,612 - 1,125,722 (643)"""
06101,"""Sutter, (CA)""",16737,"""10,870 - 26,612 (644)"""
06103,"""Tehama, (CA)""",17091,"""10,870 - 26,612 (644)"""
06105,"""Trinity, (CA)""",4277,"""2,356 - 5,313 (644)"""
06109,"""Tuolumne, (CA)""",18372,"""10,870 - 26,612 (644)"""
06113,"""Yolo, (CA)""",40141,"""26,612 - 1,125,722 (643)"""
06115,"""Yuba, (CA)""",16327,"""10,870 - 26,612 (644)"""
15001,"""Hawaii, (HI)""",27709,"""26,612 - 1,125,722 (643)"""
15003,"""Honolulu, (HI)""",85588,"""26,612 - 1,125,722 (643)"""
15005,"""Kalawao, (HI)""",55,"""0 - 2,356 (644)"""
15007,"""Kauai, (HI)""",9203,"""5,313 - 10,870 (644)"""
15009,"""Maui, (HI)""",22444,"""10,870 - 26,612 (644)"""
41003,"""Benton, (OR)""",31148,"""26,612 - 1,125,722 (643)"""
41005,"""Clackamas, (OR)""",132343,"""26,612 - 1,125,722 (643)"""
41007,"""Clatsop, (OR)""",13483,"""10,870 - 26,612 (644)"""
41009,"""Columbia, (OR)""",18334,"""10,870 - 26,612 (644)"""
41011,"""Coos, (OR)""",22334,"""10,870 - 26,612 (644)"""
41013,"""Crook, (OR)""",8443,"""5,313 - 10,870 (644)"""
41015,"""Curry, (OR)""",8367,"""5,313 - 10,870 (644)"""
41017,"""Deschutes, (OR)""",66687,"""26,612 - 1,125,722 (643)"""
41019,"""Douglas, (OR)""",38779,"""26,612 - 1,125,722 (643)"""
41021,"""Gilliam, (OR)""",676,"""0 - 2,356 (644)"""
41027,"""Hood River, (OR)""",5810,"""5,313 - 10,870 (644)"""
41029,"""Jackson, (OR)""",69322,"""26,612 - 1,125,722 (643)"""
41031,"""Jefferson, (OR)""",6316,"""5,313 - 10,870 (644)"""
41033,"""Josephine, (OR)""",29278,"""26,612 - 1,125,722 (643)"""
41035,"""Klamath, (OR)""",20955,"""10,870 - 26,612 (644)"""
41037,"""Lake, (OR)""",2979,"""2,356 - 5,313 (644)"""
41039,"""Lane, (OR)""",125084,"""26,612 - 1,125,722 (643)"""
41041,"""Lincoln, (OR)""",16753,"""10,870 - 26,612 (644)"""
41043,"""Linn, (OR)""",41641,"""26,612 - 1,125,722 (643)"""
41047,"""Marion, (OR)""",87648,"""26,612 - 1,125,722 (643)"""
41051,"""Multnomah, (OR)""",233457,"""26,612 - 1,125,722 (643)"""
41053,"""Polk, (OR)""",25263,"""10,870 - 26,612 (644)"""
41055,"""Sherman, (OR)""",664,"""0 - 2,356 (644)"""
41057,"""Tillamook, (OR)""",9487,"""5,313 - 10,870 (644)"""
41065,"""Wasco, (OR)""",7754,"""5,313 - 10,870 (644)"""
41067,"""Washington, (OR)""",152208,"""26,612 - 1,125,722 (643)"""
41069,"""Wheeler, (OR)""",516,"""0 - 2,356 (644)"""
41071,"""Yamhill, (OR)""",31775,"""26,612 - 1,125,722 (643)"""
53007,"""Chelan, (WA)""",20867,"""10,870 - 26,612 (644)"""
53009,"""Clallam, (WA)""",26245,"""10,870 - 26,612 (644)"""
53011,"""Clark, (WA)""",144120,"""26,612 - 1,125,722 (643)"""
53015,"""Cowlitz, (WA)""",35290,"""26,612 - 1,125,722 (643)"""
53027,"""Grays Harbor, (WA)""",24634,"""10,870 - 26,612 (644)"""
53029,"""Island, (WA)""",27883,"""26,612 - 1,125,722 (643)"""
53031,"""Jefferson, (WA)""",12020,"""10,870 - 26,612 (644)"""
53033,"""King, (WA)""",547682,"""26,612 - 1,125,722 (643)"""
53035,"""Kitsap, (WA)""",86056,"""26,612 - 1,125,722 (643)"""
53037,"""Kittitas, (WA)""",16425,"""10,870 - 26,612 (644)"""
53039,"""Klickitat, (WA)""",7543,"""5,313 - 10,870 (644)"""
53041,"""Lewis, (WA)""",26357,"""10,870 - 26,612 (644)"""
53045,"""Mason, (WA)""",22354,"""10,870 - 26,612 (644)"""
53047,"""Okanogan, (WA)""",11259,"""10,870 - 26,612 (644)"""
53049,"""Pacific, (WA)""",7625,"""5,313 - 10,870 (644)"""
53053,"""Pierce, (WA)""",234039,"""26,612 - 1,125,722 (643)"""
53055,"""San Juan, (WA)""",6422,"""5,313 - 10,870 (644)"""
53057,"""Skagit, (WA)""",38034,"""26,612 - 1,125,722 (643)"""
53059,"""Skamania, (WA)""",4373,"""2,356 - 5,313 (644)"""
53061,"""Snohomish, (WA)""",223438,"""26,612 - 1,125,722 (643)"""
53067,"""Thurston, (WA)""",82921,"""26,612 - 1,125,722 (643)"""
53069,"""Wahkiakum, (WA)""",1520,"""0 - 2,356 (644)"""
53073,"""Whatcom, (WA)""",71111,"""26,612 - 1,125,722 (643)"""
53077,"""Yakima, (WA)""",42080,"""26,612 - 1,125,722 (643)"""
04001,"""Apache, (AZ)""",5407,"""5,313 - 10,870 (644)"""
04003,"""Cochise, (AZ)""",29921,"""26,612 - 1,125,722 (643)"""
04005,"""Coconino, (AZ)""",32522,"""26,612 - 1,125,722 (643)"""
04007,"""Gila, (AZ)""",14207,"""10,870 - 26,612 (644)"""
04009,"""Graham, (AZ)""",7576,"""5,313 - 10,870 (644)"""
04011,"""Greenlee, (AZ)""",1733,"""0 - 2,356 (644)"""
04012,"""La Paz, (AZ)""",5838,"""5,313 - 10,870 (644)"""
04013,"""Maricopa, (AZ)""",972486,"""26,612 - 1,125,722 (643)"""
04015,"""Mohave, (AZ)""",69409,"""26,612 - 1,125,722 (643)"""
04017,"""Navajo, (AZ)""",18390,"""10,870 - 26,612 (644)"""
04019,"""Pima, (AZ)""",224568,"""26,612 - 1,125,722 (643)"""
04021,"""Pinal, (AZ)""",104689,"""26,612 - 1,125,722 (643)"""
04023,"""Santa Cruz, (AZ)""",3158,"""2,356 - 5,313 (644)"""
04025,"""Yavapai, (AZ)""",77890,"""26,612 - 1,125,722 (643)"""
04027,"""Yuma, (AZ)""",29806,"""26,612 - 1,125,722 (643)"""
06003,"""Alpine, (CA)""",295,"""0 - 2,356 (644)"""
06019,"""Fresno, (CA)""",113628,"""26,612 - 1,125,722 (643)"""
06025,"""Imperial, (CA)""",8510,"""5,313 - 10,870 (644)"""
06027,"""Inyo, (CA)""",4767,"""2,356 - 5,313 (644)"""
06029,"""Kern, (CA)""",119315,"""26,612 - 1,125,722 (643)"""
06037,"""Los Angeles, (CA)""",1125722,"""26,612 - 1,125,722 (643)"""
06039,"""Madera, (CA)""",20251,"""10,870 - 26,612 (644)"""
06051,"""Mono, (CA)""",4380,"""2,356 - 5,313 (644)"""
06059,"""Orange, (CA)""",525582,"""26,612 - 1,125,722 (643)"""
06065,"""Riverside, (CA)""",346818,"""26,612 - 1,125,722 (643)"""
06071,"""San Bernardino, (CA)""",245458,"""26,612 - 1,125,722 (643)"""
06073,"""San Diego, (CA)""",647032,"""26,612 - 1,125,722 (643)"""
06107,"""Tulare, (CA)""",50152,"""26,612 - 1,125,722 (643)"""
06111,"""Ventura, (CA)""",156316,"""26,612 - 1,125,722 (643)"""
08007,"""Archuleta, (CO)""",4446,"""2,356 - 5,313 (644)"""
08029,"""Delta, (CO)""",10043,"""5,313 - 10,870 (644)"""
08033,"""Dolores, (CO)""",723,"""0 - 2,356 (644)"""
08045,"""Garfield, (CO)""",16362,"""10,870 - 26,612 (644)"""
08051,"""Gunnison, (CO)""",6815,"""5,313 - 10,870 (644)"""
08053,"""Hinsdale, (CO)""",247,"""0 - 2,356 (644)"""
08067,"""La Plata, (CO)""",18626,"""10,870 - 26,612 (644)"""
08077,"""Mesa, (CO)""",48682,"""26,612 - 1,125,722 (643)"""
08079,"""Mineral, (CO)""",321,"""0 - 2,356 (644)"""
08081,"""Moffat, (CO)""",4081,"""2,356 - 5,313 (644)"""
08083,"""Montezuma, (CO)""",7683,"""5,313 - 10,870 (644)"""
08085,"""Montrose, (CO)""",12663,"""10,870 - 26,612 (644)"""
08091,"""Ouray, (CO)""",1877,"""0 - 2,356 (644)"""
08097,"""Pitkin, (CO)""",6879,"""5,313 - 10,870 (644)"""
08103,"""Rio Blanco, (CO)""",2077,"""0 - 2,356 (644)"""
08107,"""Routt, (CO)""",9882,"""5,313 - 10,870 (644)"""
08111,"""San Juan, (CO)""",217,"""0 - 2,356 (644)"""
08113,"""San Miguel, (CO)""",3139,"""2,356 - 5,313 (644)"""
16001,"""Ada, (ID)""",153126,"""26,612 - 1,125,722 (643)"""
16005,"""Bannock, (ID)""",26661,"""26,612 - 1,125,722 (643)"""
16007,"""Bear Lake, (ID)""",2042,"""0 - 2,356 (644)"""
16011,"""Bingham, (ID)""",12051,"""10,870 - 26,612 (644)"""
16013,"""Blaine, (ID)""",6937,"""5,313 - 10,870 (644)"""
16015,"""Boise, (ID)""",3020,"""2,356 - 5,313 (644)"""
16019,"""Bonneville, (ID)""",33704,"""26,612 - 1,125,722 (643)"""
16023,"""Butte, (ID)""",1037,"""0 - 2,356 (644)"""
16025,"""Camas, (ID)""",348,"""0 - 2,356 (644)"""
16027,"""Canyon, (ID)""",57316,"""26,612 - 1,125,722 (643)"""
16029,"""Caribou, (ID)""",2301,"""0 - 2,356 (644)"""
16031,"""Cassia, (ID)""",5731,"""5,313 - 10,870 (644)"""
16033,"""Clark, (ID)""",179,"""0 - 2,356 (644)"""
16037,"""Custer, (ID)""",1616,"""0 - 2,356 (644)"""
16039,"""Elmore, (ID)""",7788,"""5,313 - 10,870 (644)"""
16041,"""Franklin, (ID)""",4306,"""2,356 - 5,313 (644)"""
16043,"""Fremont, (ID)""",4392,"""2,356 - 5,313 (644)"""
16045,"""Gem, (ID)""",6039,"""5,313 - 10,870 (644)"""
16047,"""Gooding, (ID)""",3982,"""2,356 - 5,313 (644)"""
16051,"""Jefferson, (ID)""",8538,"""5,313 - 10,870 (644)"""
16053,"""Jerome, (ID)""",5448,"""5,313 - 10,870 (644)"""
16063,"""Lincoln, (ID)""",1331,"""0 - 2,356 (644)"""
16065,"""Madison, (ID)""",13018,"""10,870 - 26,612 (644)"""
16067,"""Minidoka, (ID)""",4749,"""2,356 - 5,313 (644)"""
16071,"""Oneida, (ID)""",1450,"""0 - 2,356 (644)"""
16073,"""Owyhee, (ID)""",3154,"""2,356 - 5,313 (644)"""
16075,"""Payette, (ID)""",6844,"""5,313 - 10,870 (644)"""
16077,"""Power, (ID)""",1779,"""0 - 2,356 (644)"""
16081,"""Teton, (ID)""",3936,"""2,356 - 5,313 (644)"""
16083,"""Twin Falls, (ID)""",24284,"""10,870 - 26,612 (644)"""
16087,"""Washington, (ID)""",3113,"""2,356 - 5,313 (644)"""
