"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",119,"""0 - 2,299 (644)"""
02016,"""Aleutians West, (AK)""",323,"""0 - 2,299 (644)"""
02020,"""Anchorage, (AK)""",64494,"""28,084 - 1,116,296 (643)"""
02050,"""Bethel, (AK)""",654,"""0 - 2,299 (644)"""
02060,"""Bristol Bay, (AK)""",119,"""0 - 2,299 (644)"""
02068,"""Denali, (AK)""",891,"""0 - 2,299 (644)"""
02070,"""Dillingham, (AK)""",274,"""0 - 2,299 (644)"""
02090,"""Fairbanks North Star, (AK)""",23836,"""11,242 - 28,084 (644)"""
02100,"""Haines, (AK)""",669,"""0 - 2,299 (644)"""
02105,"""Hoonah-Angoon, (AK)""",449,"""0 - 2,299 (644)"""
02110,"""Juneau, (AK)""",8308,"""5,443 - 11,242 (644)"""
02122,"""Kenai Peninsula, (AK)""",17524,"""11,242 - 28,084 (644)"""
02130,"""Ketchikan Gateway, (AK)""",3428,"""2,299 - 5,443 (644)"""
02150,"""Kodiak Island, (AK)""",2275,"""0 - 2,299 (644)"""
02164,"""Lake and Peninsula, (AK)""",109,"""0 - 2,299 (644)"""
02170,"""Matanuska-Susitna, (AK)""",30331,"""28,084 - 1,116,296 (643)"""
02180,"""Nome, (AK)""",526,"""0 - 2,299 (644)"""
02185,"""North Slope, (AK)""",569,"""0 - 2,299 (644)"""
02188,"""Northwest Arctic, (AK)""",254,"""0 - 2,299 (644)"""
02195,"""Petersburg, (AK)""",753,"""0 - 2,299 (644)"""
02198,"""Prince of Wales-Hyder, (AK)""",1030,"""0 - 2,299 (644)"""
02220,"""Sitka, (AK)""",2133,"""0 - 2,299 (644)"""
02230,"""Skagway, (AK)""",383,"""0 - 2,299 (644)"""
02240,"""Southeast Fairbanks, (AK)""",1671,"""0 - 2,299 (644)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",26,"""0 - 2,299 (644)"""
02275,"""Wrangell, (AK)""",612,"""0 - 2,299 (644)"""
02282,"""Yakutat, (AK)""",63,"""0 - 2,299 (644)"""
02290,"""Yukon-Koyukuk, (AK)""",391,"""0 - 2,299 (644)"""
06001,"""Alameda, (CA)""",220177,"""28,084 - 1,116,296 (643)"""
06005,"""Amador, (CA)""",12495,"""11,242 - 28,084 (644)"""
06007,"""Butte, (CA)""",68212,"""28,084 - 1,116,296 (643)"""
06009,"""Calaveras, (CA)""",15848,"""11,242 - 28,084 (644)"""
06011,"""Colusa, (CA)""",3181,"""2,299 - 5,443 (644)"""
06013,"""Contra Costa, (CA)""",208578,"""28,084 - 1,116,296 (643)"""
