"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",26.1,"21 - 29 (478)"
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",46.9,"38 - 48 (482)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",-1,
02122,"""Kenai Peninsula, (AK)""",29.7,"29 - 38 (483)"
02130,"""Ketchikan Gateway, (AK)""",-1,
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",32.5,"29 - 38 (483)"
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",22.6,"21 - 29 (478)"
06005,"""Amador, (CA)""",9.8,"2 - 21 (484)"
06007,"""Butte, (CA)""",29,"21 - 29 (478)"
06009,"""Calaveras, (CA)""",24.6,"21 - 29 (478)"
06011,"""Colusa, (CA)""",15.2,"2 - 21 (484)"
06013,"""Contra Costa, (CA)""",25.3,"21 - 29 (478)"
06015,"""Del Norte, (CA)""",-1,
06017,"""El Dorado, (CA)""",33.4,"29 - 38 (483)"
06021,"""Glenn, (CA)""",22.2,"21 - 29 (478)"
06023,"""Humboldt, (CA)""",18.5,"2 - 21 (484)"
06031,"""Kings, (CA)""",6.2,"2 - 21 (484)"
06033,"""Lake, (CA)""",2.2,"2 - 21 (484)"
06035,"""Lassen, (CA)""",-1,
06041,"""Marin, (CA)""",33.2,"29 - 38 (483)"
06043,"""Mariposa, (CA)""",-1,
06045,"""Mendocino, (CA)""",-1,
06047,"""Merced, (CA)""",11.2,"2 - 21 (484)"
06049,"""Modoc, (CA)""",-1,
06053,"""Monterey, (CA)""",39.8,"38 - 48 (482)"
06055,"""Napa, (CA)""",29.9,"29 - 38 (483)"
06057,"""Nevada, (CA)""",40.7,"38 - 48 (482)"
06061,"""Placer, (CA)""",30.9,"29 - 38 (483)"
06063,"""Plumas, (CA)""",-1,
06067,"""Sacramento, (CA)""",25.2,"21 - 29 (478)"
06069,"""San Benito, (CA)""",18.6,"2 - 21 (484)"
06075,"""San Francisco, (CA)""",13,"2 - 21 (484)"
06077,"""San Joaquin, (CA)""",16.6,"2 - 21 (484)"
06079,"""San Luis Obispo, (CA)""",41.8,"38 - 48 (482)"
06081,"""San Mateo, (CA)""",17.9,"2 - 21 (484)"
06083,"""Santa Barbara, (CA)""",39,"38 - 48 (482)"
06085,"""Santa Clara, (CA)""",25.9,"21 - 29 (478)"
06087,"""Santa Cruz, (CA)""",29.9,"29 - 38 (483)"
06089,"""Shasta, (CA)""",17.9,"2 - 21 (484)"
06091,"""Sierra, (CA)""",-1,
06093,"""Siskiyou, (CA)""",9.6,"2 - 21 (484)"
06095,"""Solano, (CA)""",28.8,"21 - 29 (478)"
06097,"""Sonoma, (CA)""",18.7,"2 - 21 (484)"
06099,"""Stanislaus, (CA)""",12,"2 - 21 (484)"
06101,"""Sutter, (CA)""",19.9,"2 - 21 (484)"
06103,"""Tehama, (CA)""",9.6,"2 - 21 (484)"
06105,"""Trinity, (CA)""",-1,
06109,"""Tuolumne, (CA)""",28.1,"21 - 29 (478)"
06113,"""Yolo, (CA)""",31.7,"29 - 38 (483)"
06115,"""Yuba, (CA)""",15.7,"2 - 21 (484)"
15001,"""Hawaii, (HI)""",7.9,"2 - 21 (484)"
15003,"""Honolulu, (HI)""",9.4,"2 - 21 (484)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",-1,
15009,"""Maui, (HI)""",15.1,"2 - 21 (484)"
41003,"""Benton, (OR)""",63.9,"49 - 88 (475)"
41005,"""Clackamas, (OR)""",38.1,"38 - 48 (482)"
41007,"""Clatsop, (OR)""",54.5,"49 - 88 (475)"
41009,"""Columbia, (OR)""",18.6,"2 - 21 (484)"
41011,"""Coos, (OR)""",37.8,"38 - 48 (482)"
41013,"""Crook, (OR)""",47.5,"38 - 48 (482)"
41015,"""Curry, (OR)""",29.2,"21 - 29 (478)"
41017,"""Deschutes, (OR)""",53.4,"49 - 88 (475)"
41019,"""Douglas, (OR)""",33.9,"29 - 38 (483)"
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",51.1,"49 - 88 (475)"
41029,"""Jackson, (OR)""",31.8,"29 - 38 (483)"
41031,"""Jefferson, (OR)""",29.9,"29 - 38 (483)"
41033,"""Josephine, (OR)""",29.4,"29 - 38 (483)"
41035,"""Klamath, (OR)""",-1,
41037,"""Lake, (OR)""",18.6,"2 - 21 (484)"
41039,"""Lane, (OR)""",51.7,"49 - 88 (475)"
41041,"""Lincoln, (OR)""",44.7,"38 - 48 (482)"
41043,"""Linn, (OR)""",54.8,"49 - 88 (475)"
41047,"""Marion, (OR)""",46.7,"38 - 48 (482)"
41051,"""Multnomah, (OR)""",34.2,"29 - 38 (483)"
41053,"""Polk, (OR)""",45,"38 - 48 (482)"
41055,"""Sherman, (OR)""",-1,
41057,"""Tillamook, (OR)""",14.9,"2 - 21 (484)"
41065,"""Wasco, (OR)""",43,"38 - 48 (482)"
41067,"""Washington, (OR)""",34.1,"29 - 38 (483)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",43.9,"38 - 48 (482)"
53007,"""Chelan, (WA)""",35.5,"29 - 38 (483)"
53009,"""Clallam, (WA)""",29.7,"29 - 38 (483)"
53011,"""Clark, (WA)""",30.2,"29 - 38 (483)"
53015,"""Cowlitz, (WA)""",42,"38 - 48 (482)"
53027,"""Grays Harbor, (WA)""",14.2,"2 - 21 (484)"
53029,"""Island, (WA)""",35.6,"29 - 38 (483)"
53031,"""Jefferson, (WA)""",13.7,"2 - 21 (484)"
53033,"""King, (WA)""",29,"21 - 29 (478)"
53035,"""Kitsap, (WA)""",32.1,"29 - 38 (483)"
53037,"""Kittitas, (WA)""",13.9,"2 - 21 (484)"
53039,"""Klickitat, (WA)""",31.6,"29 - 38 (483)"
53041,"""Lewis, (WA)""",13.7,"2 - 21 (484)"
53045,"""Mason, (WA)""",15.8,"2 - 21 (484)"
53047,"""Okanogan, (WA)""",-1,
53049,"""Pacific, (WA)""",36.8,"29 - 38 (483)"
53053,"""Pierce, (WA)""",36.7,"29 - 38 (483)"
53055,"""San Juan, (WA)""",25.1,"21 - 29 (478)"
53057,"""Skagit, (WA)""",39.1,"38 - 48 (482)"
53059,"""Skamania, (WA)""",25.2,"21 - 29 (478)"
53061,"""Snohomish, (WA)""",22.5,"21 - 29 (478)"
53067,"""Thurston, (WA)""",25.3,"21 - 29 (478)"
53069,"""Wahkiakum, (WA)""",31.5,"29 - 38 (483)"
53073,"""Whatcom, (WA)""",41.2,"38 - 48 (482)"
53077,"""Yakima, (WA)""",27.3,"21 - 29 (478)"
04001,"""Apache, (AZ)""",13.9,"2 - 21 (484)"
04003,"""Cochise, (AZ)""",16,"2 - 21 (484)"
04005,"""Coconino, (AZ)""",7,"2 - 21 (484)"
04007,"""Gila, (AZ)""",2.8,"2 - 21 (484)"
04009,"""Graham, (AZ)""",-1,
04011,"""Greenlee, (AZ)""",-1,
04012,"""La Paz, (AZ)""",12.9,"2 - 21 (484)"
04013,"""Maricopa, (AZ)""",31.7,"29 - 38 (483)"
04015,"""Mohave, (AZ)""",25.4,"21 - 29 (478)"
04017,"""Navajo, (AZ)""",29.4,"29 - 38 (483)"
04019,"""Pima, (AZ)""",34.2,"29 - 38 (483)"
04021,"""Pinal, (AZ)""",16.4,"2 - 21 (484)"
04023,"""Santa Cruz, (AZ)""",15.1,"2 - 21 (484)"
04025,"""Yavapai, (AZ)""",36.5,"29 - 38 (483)"
04027,"""Yuma, (AZ)""",22.4,"21 - 29 (478)"
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",16.6,"2 - 21 (484)"
06025,"""Imperial, (CA)""",2.4,"2 - 21 (484)"
06027,"""Inyo, (CA)""",-1,
06029,"""Kern, (CA)""",17.4,"2 - 21 (484)"
06037,"""Los Angeles, (CA)""",14.6,"2 - 21 (484)"
06039,"""Madera, (CA)""",14.4,"2 - 21 (484)"
06051,"""Mono, (CA)""",-1,
06059,"""Orange, (CA)""",29.9,"29 - 38 (483)"
06065,"""Riverside, (CA)""",19.3,"2 - 21 (484)"
06071,"""San Bernardino, (CA)""",11.1,"2 - 21 (484)"
06073,"""San Diego, (CA)""",16.8,"2 - 21 (484)"
06107,"""Tulare, (CA)""",13.1,"2 - 21 (484)"
06111,"""Ventura, (CA)""",18.8,"2 - 21 (484)"
08007,"""Archuleta, (CO)""",26.4,"21 - 29 (478)"
08029,"""Delta, (CO)""",67.2,"49 - 88 (475)"
08033,"""Dolores, (CO)""",-1,
