"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",79.4,"70 - 84 (630)"
02016,"""Aleutians West, (AK)""",80.2,"70 - 84 (630)"
02020,"""Anchorage, (AK)""",80.4,"70 - 84 (630)"
02050,"""Bethel, (AK)""",74.2,"70 - 84 (630)"
02060,"""Bristol Bay, (AK)""",82.1,"70 - 84 (630)"
02068,"""Denali, (AK)""",81.2,"70 - 84 (630)"
02070,"""Dillingham, (AK)""",78,"70 - 84 (630)"
02090,"""Fairbanks North Star, (AK)""",78.8,"70 - 84 (630)"
02100,"""Haines, (AK)""",85.3,"85 - 86 (601)"
02105,"""Hoonah-Angoon, (AK)""",85,"84 - 85 (646)"
02110,"""Juneau, (AK)""",81.8,"70 - 84 (630)"
02122,"""Kenai Peninsula, (AK)""",81.6,"70 - 84 (630)"
02130,"""Ketchikan Gateway, (AK)""",82.2,"70 - 84 (630)"
02150,"""Kodiak Island, (AK)""",79.8,"70 - 84 (630)"
02164,"""Lake and Peninsula, (AK)""",78.6,"70 - 84 (630)"
02170,"""Matanuska-Susitna, (AK)""",80.3,"70 - 84 (630)"
02180,"""Nome, (AK)""",76.6,"70 - 84 (630)"
02185,"""North Slope, (AK)""",79.4,"70 - 84 (630)"
02188,"""Northwest Arctic, (AK)""",74.7,"70 - 84 (630)"
02195,"""Petersburg, (AK)""",83.4,"70 - 84 (630)"
02198,"""Prince of Wales-Hyder, (AK)""",81.9,"70 - 84 (630)"
02220,"""Sitka, (AK)""",82.5,"70 - 84 (630)"
02230,"""Skagway, (AK)""",82.3,"70 - 84 (630)"
02240,"""Southeast Fairbanks, (AK)""",81.1,"70 - 84 (630)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",70.1,"70 - 84 (630)"
02275,"""Wrangell, (AK)""",84.4,"84 - 85 (646)"
02282,"""Yakutat, (AK)""",83.3,"70 - 84 (630)"
02290,"""Yukon-Koyukuk, (AK)""",79.3,"70 - 84 (630)"
06001,"""Alameda, (CA)""",87.8,"88 - 93 (589)"
06005,"""Amador, (CA)""",88.3,"88 - 93 (589)"
06007,"""Butte, (CA)""",83.9,"84 - 85 (646)"
06009,"""Calaveras, (CA)""",88.9,"88 - 93 (589)"
06011,"""Colusa, (CA)""",84.2,"84 - 85 (646)"
06013,"""Contra Costa, (CA)""",87.6,"86 - 88 (654)"
06015,"""Del Norte, (CA)""",84.3,"84 - 85 (646)"
06017,"""El Dorado, (CA)""",88.8,"88 - 93 (589)"
06021,"""Glenn, (CA)""",83.8,"84 - 85 (646)"
06023,"""Humboldt, (CA)""",84.6,"84 - 85 (646)"
06031,"""Kings, (CA)""",81.9,"70 - 84 (630)"
06033,"""Lake, (CA)""",86.6,"86 - 88 (654)"
06035,"""Lassen, (CA)""",82.7,"70 - 84 (630)"
06041,"""Marin, (CA)""",90.2,"88 - 93 (589)"
06043,"""Mariposa, (CA)""",88.6,"88 - 93 (589)"
06045,"""Mendocino, (CA)""",86.4,"86 - 88 (654)"
06047,"""Merced, (CA)""",82,"70 - 84 (630)"
06049,"""Modoc, (CA)""",87.2,"86 - 88 (654)"
06053,"""Monterey, (CA)""",83.1,"70 - 84 (630)"
06055,"""Napa, (CA)""",87.3,"86 - 88 (654)"
06057,"""Nevada, (CA)""",89.4,"88 - 93 (589)"
06061,"""Placer, (CA)""",88.2,"88 - 93 (589)"
06063,"""Plumas, (CA)""",89.4,"88 - 93 (589)"
06067,"""Sacramento, (CA)""",85.7,"85 - 86 (601)"
06069,"""San Benito, (CA)""",85.2,"85 - 86 (601)"
06075,"""San Francisco, (CA)""",86.8,"86 - 88 (654)"
06077,"""San Joaquin, (CA)""",84.1,"84 - 85 (646)"
06079,"""San Luis Obispo, (CA)""",86.3,"86 - 88 (654)"
06081,"""San Mateo, (CA)""",88,"88 - 93 (589)"
06083,"""Santa Barbara, (CA)""",84.6,"84 - 85 (646)"
06085,"""Santa Clara, (CA)""",86.6,"86 - 88 (654)"
06087,"""Santa Cruz, (CA)""",85.1,"84 - 85 (646)"
06089,"""Shasta, (CA)""",86.3,"86 - 88 (654)"
06091,"""Sierra, (CA)""",89.5,"88 - 93 (589)"
06093,"""Siskiyou, (CA)""",87.5,"86 - 88 (654)"
06095,"""Solano, (CA)""",87.1,"86 - 88 (654)"
06097,"""Sonoma, (CA)""",87.6,"86 - 88 (654)"
06099,"""Stanislaus, (CA)""",83.7,"84 - 85 (646)"
06101,"""Sutter, (CA)""",84.4,"84 - 85 (646)"
06103,"""Tehama, (CA)""",85,"84 - 85 (646)"
06105,"""Trinity, (CA)""",88.4,"88 - 93 (589)"
06109,"""Tuolumne, (CA)""",87.8,"88 - 93 (589)"
06113,"""Yolo, (CA)""",83.1,"70 - 84 (630)"
06115,"""Yuba, (CA)""",83.8,"84 - 85 (646)"
15001,"""Hawaii, (HI)""",82.7,"70 - 84 (630)"
15003,"""Honolulu, (HI)""",83.9,"84 - 85 (646)"
15005,"""Kalawao, (HI)""",90,"88 - 93 (589)"
15007,"""Kauai, (HI)""",83.8,"84 - 85 (646)"
15009,"""Maui, (HI)""",82.9,"70 - 84 (630)"
41003,"""Benton, (OR)""",84.1,"84 - 85 (646)"
41005,"""Clackamas, (OR)""",87.6,"86 - 88 (654)"
41007,"""Clatsop, (OR)""",87.2,"86 - 88 (654)"
41009,"""Columbia, (OR)""",86.7,"86 - 88 (654)"
41011,"""Coos, (OR)""",87.4,"86 - 88 (654)"
41013,"""Crook, (OR)""",87.3,"86 - 88 (654)"
41015,"""Curry, (OR)""",90,"88 - 93 (589)"
41017,"""Deschutes, (OR)""",87.4,"86 - 88 (654)"
41019,"""Douglas, (OR)""",87.2,"86 - 88 (654)"
41021,"""Gilliam, (OR)""",88.2,"88 - 93 (589)"
41027,"""Hood River, (OR)""",85.6,"85 - 86 (601)"
41029,"""Jackson, (OR)""",87,"86 - 88 (654)"
41031,"""Jefferson, (OR)""",85.7,"85 - 86 (601)"
41033,"""Josephine, (OR)""",87.1,"86 - 88 (654)"
41035,"""Klamath, (OR)""",85.3,"85 - 86 (601)"
41037,"""Lake, (OR)""",86.7,"86 - 88 (654)"
41039,"""Lane, (OR)""",85.4,"85 - 86 (601)"
41041,"""Lincoln, (OR)""",88.4,"88 - 93 (589)"
41043,"""Linn, (OR)""",85.9,"85 - 86 (601)"
41047,"""Marion, (OR)""",85.2,"85 - 86 (601)"
41051,"""Multnomah, (OR)""",86.4,"86 - 88 (654)"
41053,"""Polk, (OR)""",85.5,"85 - 86 (601)"
41055,"""Sherman, (OR)""",87.8,"88 - 93 (589)"
41057,"""Tillamook, (OR)""",87.9,"88 - 93 (589)"
41065,"""Wasco, (OR)""",85.8,"85 - 86 (601)"
41067,"""Washington, (OR)""",87.7,"86 - 88 (654)"
41069,"""Wheeler, (OR)""",89.2,"88 - 93 (589)"
41071,"""Yamhill, (OR)""",85.4,"85 - 86 (601)"
53007,"""Chelan, (WA)""",82.3,"70 - 84 (630)"
53009,"""Clallam, (WA)""",85.9,"85 - 86 (601)"
53011,"""Clark, (WA)""",82.8,"70 - 84 (630)"
53015,"""Cowlitz, (WA)""",82.9,"70 - 84 (630)"
53027,"""Grays Harbor, (WA)""",83.3,"70 - 84 (630)"
53029,"""Island, (WA)""",84.8,"84 - 85 (646)"
53031,"""Jefferson, (WA)""",88.6,"88 - 93 (589)"
53033,"""King, (WA)""",84.8,"84 - 85 (646)"
53035,"""Kitsap, (WA)""",83.5,"70 - 84 (630)"
53037,"""Kittitas, (WA)""",78.8,"70 - 84 (630)"
53039,"""Klickitat, (WA)""",84,"84 - 85 (646)"
53041,"""Lewis, (WA)""",82.7,"70 - 84 (630)"
53045,"""Mason, (WA)""",83.1,"70 - 84 (630)"
53047,"""Okanogan, (WA)""",81.6,"70 - 84 (630)"
53049,"""Pacific, (WA)""",85.8,"85 - 86 (601)"
53053,"""Pierce, (WA)""",81.8,"70 - 84 (630)"
53055,"""San Juan, (WA)""",88.6,"88 - 93 (589)"
53057,"""Skagit, (WA)""",83.3,"70 - 84 (630)"
53059,"""Skamania, (WA)""",85,"84 - 85 (646)"
53061,"""Snohomish, (WA)""",83.4,"70 - 84 (630)"
53067,"""Thurston, (WA)""",83.4,"70 - 84 (630)"
53069,"""Wahkiakum, (WA)""",87.1,"86 - 88 (654)"
53073,"""Whatcom, (WA)""",80.9,"70 - 84 (630)"
53077,"""Yakima, (WA)""",79.6,"70 - 84 (630)"
04001,"""Apache, (AZ)""",81.4,"70 - 84 (630)"
04003,"""Cochise, (AZ)""",84.7,"84 - 85 (646)"
04005,"""Coconino, (AZ)""",80.5,"70 - 84 (630)"
04007,"""Gila, (AZ)""",87,"86 - 88 (654)"
04009,"""Graham, (AZ)""",81.5,"70 - 84 (630)"
04011,"""Greenlee, (AZ)""",83.1,"70 - 84 (630)"
04012,"""La Paz, (AZ)""",86.2,"85 - 86 (601)"
04013,"""Maricopa, (AZ)""",84.9,"84 - 85 (646)"
04015,"""Mohave, (AZ)""",85.9,"85 - 86 (601)"
04017,"""Navajo, (AZ)""",81.7,"70 - 84 (630)"
04019,"""Pima, (AZ)""",85.2,"85 - 86 (601)"
04021,"""Pinal, (AZ)""",83.9,"84 - 85 (646)"
04023,"""Santa Cruz, (AZ)""",83.6,"84 - 85 (646)"
04025,"""Yavapai, (AZ)""",87.4,"86 - 88 (654)"
04027,"""Yuma, (AZ)""",82.5,"70 - 84 (630)"
06003,"""Alpine, (CA)""",87.5,"86 - 88 (654)"
06019,"""Fresno, (CA)""",82.9,"70 - 84 (630)"
06025,"""Imperial, (CA)""",83.1,"70 - 84 (630)"
06027,"""Inyo, (CA)""",88.1,"88 - 93 (589)"
06029,"""Kern, (CA)""",82.5,"70 - 84 (630)"
06037,"""Los Angeles, (CA)""",86.8,"86 - 88 (654)"
06039,"""Madera, (CA)""",83,"70 - 84 (630)"
06051,"""Mono, (CA)""",86,"85 - 86 (601)"
06059,"""Orange, (CA)""",86.8,"86 - 88 (654)"
06065,"""Riverside, (CA)""",85.6,"85 - 86 (601)"
06071,"""San Bernardino, (CA)""",84.9,"84 - 85 (646)"
06073,"""San Diego, (CA)""",86.4,"86 - 88 (654)"
06107,"""Tulare, (CA)""",81.8,"70 - 84 (630)"
06111,"""Ventura, (CA)""",86.3,"86 - 88 (654)"
08007,"""Archuleta, (CO)""",88.6,"88 - 93 (589)"
08029,"""Delta, (CO)""",85.8,"85 - 86 (601)"
08033,"""Dolores, (CO)""",87.9,"88 - 93 (589)"
08045,"""Garfield, (CO)""",84.4,"84 - 85 (646)"
08051,"""Gunnison, (CO)""",83.1,"70 - 84 (630)"
08053,"""Hinsdale, (CO)""",89,"88 - 93 (589)"
08067,"""La Plata, (CO)""",86.5,"86 - 88 (654)"
08077,"""Mesa, (CO)""",84.6,"84 - 85 (646)"
08079,"""Mineral, (CO)""",89.8,"88 - 93 (589)"
08081,"""Moffat, (CO)""",83.9,"84 - 85 (646)"
08083,"""Montezuma, (CO)""",86.4,"86 - 88 (654)"
08085,"""Montrose, (CO)""",85.9,"85 - 86 (601)"
08091,"""Ouray, (CO)""",90.2,"88 - 93 (589)"
08097,"""Pitkin, (CO)""",88.1,"88 - 93 (589)"
08103,"""Rio Blanco, (CO)""",84.7,"84 - 85 (646)"
08107,"""Routt, (CO)""",86.6,"86 - 88 (654)"
08111,"""San Juan, (CO)""",88.3,"88 - 93 (589)"
08113,"""San Miguel, (CO)""",86.9,"86 - 88 (654)"
16001,"""Ada, (ID)""",82.5,"70 - 84 (630)"
16005,"""Bannock, (ID)""",80.2,"70 - 84 (630)"
16007,"""Bear Lake, (ID)""",82.6,"70 - 84 (630)"
16011,"""Bingham, (ID)""",80.5,"70 - 84 (630)"
16013,"""Blaine, (ID)""",84.2,"84 - 85 (646)"
16015,"""Boise, (ID)""",86.6,"86 - 88 (654)"
16019,"""Bonneville, (ID)""",80.6,"70 - 84 (630)"
16023,"""Butte, (ID)""",83.3,"70 - 84 (630)"
16025,"""Camas, (ID)""",84.2,"84 - 85 (646)"
16027,"""Canyon, (ID)""",78.4,"70 - 84 (630)"
16029,"""Caribou, (ID)""",82,"70 - 84 (630)"
16031,"""Cassia, (ID)""",79.6,"70 - 84 (630)"
16033,"""Clark, (ID)""",78.7,"70 - 84 (630)"
16037,"""Custer, (ID)""",85.6,"85 - 86 (601)"
16039,"""Elmore, (ID)""",77.5,"70 - 84 (630)"
16041,"""Franklin, (ID)""",80.4,"70 - 84 (630)"
16043,"""Fremont, (ID)""",80.9,"70 - 84 (630)"
16045,"""Gem, (ID)""",82.8,"70 - 84 (630)"
16047,"""Gooding, (ID)""",79.9,"70 - 84 (630)"
16051,"""Jefferson, (ID)""",80.6,"70 - 84 (630)"
16053,"""Jerome, (ID)""",77.4,"70 - 84 (630)"
16063,"""Lincoln, (ID)""",78.6,"70 - 84 (630)"
16065,"""Madison, (ID)""",71,"70 - 84 (630)"
16067,"""Minidoka, (ID)""",79.6,"70 - 84 (630)"
16071,"""Oneida, (ID)""",83.4,"70 - 84 (630)"
16073,"""Owyhee, (ID)""",79.8,"70 - 84 (630)"
16075,"""Payette, (ID)""",81.2,"70 - 84 (630)"
16077,"""Power, (ID)""",79.7,"70 - 84 (630)"
16081,"""Teton, (ID)""",82.4,"70 - 84 (630)"
16083,"""Twin Falls, (ID)""",80.7,"70 - 84 (630)"
16087,"""Washington, (ID)""",83,"70 - 84 (630)"
32001,"""Churchill, (NV)""",84,"84 - 85 (646)"
32003,"""Clark, (NV)""",83.9,"84 - 85 (646)"
32005,"""Douglas, (NV)""",88.6,"88 - 93 (589)"
32007,"""Elko, (NV)""",82.6,"70 - 84 (630)"
32009,"""Esmeralda, (NV)""",87.2,"86 - 88 (654)"
32011,"""Eureka, (NV)""",85.4,"85 - 86 (601)"
32013,"""Humboldt, (NV)""",83.2,"70 - 84 (630)"
