"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0 (1773)"
02016,"""Aleutians West, (AK)""",0,"0 (1773)"
02020,"""Anchorage, (AK)""",1,"1 (1068)"
02050,"""Bethel, (AK)""",0,"0 (1773)"
02060,"""Bristol Bay, (AK)""",0,"0 (1773)"
02068,"""Denali, (AK)""",0,"0 (1773)"
02070,"""Dillingham, (AK)""",0,"0 (1773)"
02090,"""Fairbanks North Star, (AK)""",1,"1 (1068)"
02100,"""Haines, (AK)""",0,"0 (1773)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 (1773)"
02110,"""Juneau, (AK)""",1,"1 (1068)"
02122,"""Kenai Peninsula, (AK)""",1,"1 (1068)"
02130,"""Ketchikan Gateway, (AK)""",0,"0 (1773)"
02150,"""Kodiak Island, (AK)""",0,"0 (1773)"
02164,"""Lake and Peninsula, (AK)""",0,"0 (1773)"
02170,"""Matanuska-Susitna, (AK)""",0,"0 (1773)"
02180,"""Nome, (AK)""",0,"0 (1773)"
02185,"""North Slope, (AK)""",0,"0 (1773)"
02188,"""Northwest Arctic, (AK)""",0,"0 (1773)"
02195,"""Petersburg, (AK)""",0,"0 (1773)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0 (1773)"
02220,"""Sitka, (AK)""",0,"0 (1773)"
02230,"""Skagway, (AK)""",0,"0 (1773)"
02240,"""Southeast Fairbanks, (AK)""",0,"0 (1773)"
02261,"""Valdez-Cordova, (AK)""",0,"0 (1773)"
02158,"""Kusilvak, (AK)""",0,"0 (1773)"
02275,"""Wrangell, (AK)""",0,"0 (1773)"
02282,"""Yakutat, (AK)""",0,"0 (1773)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 (1773)"
06001,"""Alameda, (CA)""",4,"4+ (78)"
06005,"""Amador, (CA)""",0,"0 (1773)"
06007,"""Butte, (CA)""",2,"2 - 3 (305)"
06009,"""Calaveras, (CA)""",0,"0 (1773)"
06011,"""Colusa, (CA)""",0,"0 (1773)"
06013,"""Contra Costa, (CA)""",3,"2 - 3 (305)"
06015,"""Del Norte, (CA)""",0,"0 (1773)"
06017,"""El Dorado, (CA)""",1,"1 (1068)"
06021,"""Glenn, (CA)""",0,"0 (1773)"
06023,"""Humboldt, (CA)""",1,"1 (1068)"
06031,"""Kings, (CA)""",0,"0 (1773)"
06033,"""Lake, (CA)""",0,"0 (1773)"
06035,"""Lassen, (CA)""",0,"0 (1773)"
06041,"""Marin, (CA)""",0,"0 (1773)"
06043,"""Mariposa, (CA)""",0,"0 (1773)"
06045,"""Mendocino, (CA)""",0,"0 (1773)"
06047,"""Merced, (CA)""",1,"1 (1068)"
06049,"""Modoc, (CA)""",0,"0 (1773)"
06053,"""Monterey, (CA)""",2,"2 - 3 (305)"
06055,"""Napa, (CA)""",1,"1 (1068)"
06057,"""Nevada, (CA)""",1,"1 (1068)"
06061,"""Placer, (CA)""",1,"1 (1068)"
06063,"""Plumas, (CA)""",0,"0 (1773)"
06067,"""Sacramento, (CA)""",3,"2 - 3 (305)"
06069,"""San Benito, (CA)""",0,"0 (1773)"
06075,"""San Francisco, (CA)""",2,"2 - 3 (305)"
06077,"""San Joaquin, (CA)""",2,"2 - 3 (305)"
06079,"""San Luis Obispo, (CA)""",0,"0 (1773)"
06081,"""San Mateo, (CA)""",3,"2 - 3 (305)"
06083,"""Santa Barbara, (CA)""",2,"2 - 3 (305)"
06085,"""Santa Clara, (CA)""",3,"2 - 3 (305)"
06087,"""Santa Cruz, (CA)""",0,"0 (1773)"
06089,"""Shasta, (CA)""",2,"2 - 3 (305)"
06091,"""Sierra, (CA)""",0,"0 (1773)"
06093,"""Siskiyou, (CA)""",0,"0 (1773)"
06095,"""Solano, (CA)""",1,"1 (1068)"
06097,"""Sonoma, (CA)""",0,"0 (1773)"
06099,"""Stanislaus, (CA)""",1,"1 (1068)"
06101,"""Sutter, (CA)""",0,"0 (1773)"
06103,"""Tehama, (CA)""",0,"0 (1773)"
06105,"""Trinity, (CA)""",0,"0 (1773)"
06109,"""Tuolumne, (CA)""",1,"1 (1068)"
06113,"""Yolo, (CA)""",1,"1 (1068)"
06115,"""Yuba, (CA)""",0,"0 (1773)"
15001,"""Hawaii, (HI)""",0,"0 (1773)"
15003,"""Honolulu, (HI)""",4,"4+ (78)"
15005,"""Kalawao, (HI)""",0,"0 (1773)"
15007,"""Kauai, (HI)""",1,"1 (1068)"
15009,"""Maui, (HI)""",1,"1 (1068)"
41003,"""Benton, (OR)""",1,"1 (1068)"
41005,"""Clackamas, (OR)""",0,"0 (1773)"
41007,"""Clatsop, (OR)""",1,"1 (1068)"
41009,"""Columbia, (OR)""",0,"0 (1773)"
41011,"""Coos, (OR)""",1,"1 (1068)"
41013,"""Crook, (OR)""",0,"0 (1773)"
41015,"""Curry, (OR)""",1,"1 (1068)"
41017,"""Deschutes, (OR)""",2,"2 - 3 (305)"
41019,"""Douglas, (OR)""",1,"1 (1068)"
41021,"""Gilliam, (OR)""",0,"0 (1773)"
41027,"""Hood River, (OR)""",1,"1 (1068)"
41029,"""Jackson, (OR)""",2,"2 - 3 (305)"
41031,"""Jefferson, (OR)""",0,"0 (1773)"
41033,"""Josephine, (OR)""",1,"1 (1068)"
41035,"""Klamath, (OR)""",0,"0 (1773)"
41037,"""Lake, (OR)""",0,"0 (1773)"
41039,"""Lane, (OR)""",3,"2 - 3 (305)"
41041,"""Lincoln, (OR)""",1,"1 (1068)"
41043,"""Linn, (OR)""",2,"2 - 3 (305)"
41047,"""Marion, (OR)""",2,"2 - 3 (305)"
41051,"""Multnomah, (OR)""",4,"4+ (78)"
41053,"""Polk, (OR)""",0,"0 (1773)"
41055,"""Sherman, (OR)""",0,"0 (1773)"
41057,"""Tillamook, (OR)""",0,"0 (1773)"
41065,"""Wasco, (OR)""",1,"1 (1068)"
41067,"""Washington, (OR)""",3,"2 - 3 (305)"
41069,"""Wheeler, (OR)""",0,"0 (1773)"
41071,"""Yamhill, (OR)""",1,"1 (1068)"
53007,"""Chelan, (WA)""",1,"1 (1068)"
53009,"""Clallam, (WA)""",1,"1 (1068)"
53011,"""Clark, (WA)""",2,"2 - 3 (305)"
53015,"""Cowlitz, (WA)""",0,"0 (1773)"
53027,"""Grays Harbor, (WA)""",0,"0 (1773)"
53029,"""Island, (WA)""",1,"1 (1068)"
53031,"""Jefferson, (WA)""",1,"1 (1068)"
53033,"""King, (WA)""",10,"4+ (78)"
53035,"""Kitsap, (WA)""",1,"1 (1068)"
53037,"""Kittitas, (WA)""",0,"0 (1773)"
53039,"""Klickitat, (WA)""",0,"0 (1773)"
53041,"""Lewis, (WA)""",0,"0 (1773)"
53045,"""Mason, (WA)""",0,"0 (1773)"
53047,"""Okanogan, (WA)""",0,"0 (1773)"
53049,"""Pacific, (WA)""",2,"2 - 3 (305)"
53053,"""Pierce, (WA)""",3,"2 - 3 (305)"
53055,"""San Juan, (WA)""",0,"0 (1773)"
53057,"""Skagit, (WA)""",1,"1 (1068)"
53059,"""Skamania, (WA)""",0,"0 (1773)"
53061,"""Snohomish, (WA)""",2,"2 - 3 (305)"
53067,"""Thurston, (WA)""",2,"2 - 3 (305)"
53069,"""Wahkiakum, (WA)""",0,"0 (1773)"
53073,"""Whatcom, (WA)""",1,"1 (1068)"
53077,"""Yakima, (WA)""",1,"1 (1068)"
04001,"""Apache, (AZ)""",0,"0 (1773)"
04003,"""Cochise, (AZ)""",1,"1 (1068)"
04005,"""Coconino, (AZ)""",0,"0 (1773)"
04007,"""Gila, (AZ)""",1,"1 (1068)"
04009,"""Graham, (AZ)""",0,"0 (1773)"
04011,"""Greenlee, (AZ)""",0,"0 (1773)"
04012,"""La Paz, (AZ)""",0,"0 (1773)"
04013,"""Maricopa, (AZ)""",14,"4+ (78)"
