"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0,"0 (1273)"
02016,"""Aleutians West, (AK)""",0,"0 (1273)"
02020,"""Anchorage, (AK)""",1,"1 (1390)"
02050,"""Bethel, (AK)""",0,"0 (1273)"
02060,"""Bristol Bay, (AK)""",0,"0 (1273)"
02068,"""Denali, (AK)""",0,"0 (1273)"
02070,"""Dillingham, (AK)""",0,"0 (1273)"
02090,"""Fairbanks North Star, (AK)""",1,"1 (1390)"
02100,"""Haines, (AK)""",0,"0 (1273)"
02105,"""Hoonah-Angoon, (AK)""",0,"0 (1273)"
02110,"""Juneau, (AK)""",1,"1 (1390)"
02122,"""Kenai Peninsula, (AK)""",3,"2 - 3 (420)"
02130,"""Ketchikan Gateway, (AK)""",1,"1 (1390)"
02150,"""Kodiak Island, (AK)""",0,"0 (1273)"
02164,"""Lake and Peninsula, (AK)""",0,"0 (1273)"
02170,"""Matanuska-Susitna, (AK)""",0,"0 (1273)"
02180,"""Nome, (AK)""",0,"0 (1273)"
02185,"""North Slope, (AK)""",0,"0 (1273)"
02188,"""Northwest Arctic, (AK)""",0,"0 (1273)"
02195,"""Petersburg, (AK)""",0,"0 (1273)"
02198,"""Prince of Wales-Hyder, (AK)""",0,"0 (1273)"
02220,"""Sitka, (AK)""",0,"0 (1273)"
02230,"""Skagway, (AK)""",0,"0 (1273)"
02240,"""Southeast Fairbanks, (AK)""",0,"0 (1273)"
02261,"""Valdez-Cordova, (AK)""",0,"0 (1273)"
02158,"""Kusilvak, (AK)""",0,"0 (1273)"
02275,"""Wrangell, (AK)""",0,"0 (1273)"
02282,"""Yakutat, (AK)""",0,"0 (1273)"
02290,"""Yukon-Koyukuk, (AK)""",0,"0 (1273)"
06001,"""Alameda, (CA)""",10,"4+ (141)"
06005,"""Amador, (CA)""",0,"0 (1273)"
06007,"""Butte, (CA)""",2,"2 - 3 (420)"
06009,"""Calaveras, (CA)""",1,"1 (1390)"
06011,"""Colusa, (CA)""",0,"0 (1273)"
06013,"""Contra Costa, (CA)""",6,"4+ (141)"
06015,"""Del Norte, (CA)""",0,"0 (1273)"
06017,"""El Dorado, (CA)""",2,"2 - 3 (420)"
06021,"""Glenn, (CA)""",0,"0 (1273)"
06023,"""Humboldt, (CA)""",3,"2 - 3 (420)"
06031,"""Kings, (CA)""",0,"0 (1273)"
06033,"""Lake, (CA)""",1,"1 (1390)"
06035,"""Lassen, (CA)""",1,"1 (1390)"
06041,"""Marin, (CA)""",2,"2 - 3 (420)"
06043,"""Mariposa, (CA)""",0,"0 (1273)"
06045,"""Mendocino, (CA)""",2,"2 - 3 (420)"
06047,"""Merced, (CA)""",2,"2 - 3 (420)"
06049,"""Modoc, (CA)""",0,"0 (1273)"
06053,"""Monterey, (CA)""",4,"4+ (141)"
06055,"""Napa, (CA)""",1,"1 (1390)"
06057,"""Nevada, (CA)""",1,"1 (1390)"
06061,"""Placer, (CA)""",1,"1 (1390)"
06063,"""Plumas, (CA)""",1,"1 (1390)"
06067,"""Sacramento, (CA)""",7,"4+ (141)"
06069,"""San Benito, (CA)""",1,"1 (1390)"
06075,"""San Francisco, (CA)""",4,"4+ (141)"
06077,"""San Joaquin, (CA)""",4,"4+ (141)"
06079,"""San Luis Obispo, (CA)""",2,"2 - 3 (420)"
06081,"""San Mateo, (CA)""",5,"4+ (141)"
06083,"""Santa Barbara, (CA)""",4,"4+ (141)"
06085,"""Santa Clara, (CA)""",5,"4+ (141)"
06087,"""Santa Cruz, (CA)""",1,"1 (1390)"
06089,"""Shasta, (CA)""",2,"2 - 3 (420)"
06091,"""Sierra, (CA)""",0,"0 (1273)"
06093,"""Siskiyou, (CA)""",1,"1 (1390)"
06095,"""Solano, (CA)""",3,"2 - 3 (420)"
06097,"""Sonoma, (CA)""",4,"4+ (141)"
06099,"""Stanislaus, (CA)""",2,"2 - 3 (420)"
06101,"""Sutter, (CA)""",0,"0 (1273)"
06103,"""Tehama, (CA)""",1,"1 (1390)"
06105,"""Trinity, (CA)""",0,"0 (1273)"
06109,"""Tuolumne, (CA)""",1,"1 (1390)"
06113,"""Yolo, (CA)""",1,"1 (1390)"
06115,"""Yuba, (CA)""",0,"0 (1273)"
15001,"""Hawaii, (HI)""",2,"2 - 3 (420)"
15003,"""Honolulu, (HI)""",7,"4+ (141)"
15005,"""Kalawao, (HI)""",0,"0 (1273)"
15007,"""Kauai, (HI)""",1,"1 (1390)"
15009,"""Maui, (HI)""",1,"1 (1390)"
41003,"""Benton, (OR)""",1,"1 (1390)"
41005,"""Clackamas, (OR)""",3,"2 - 3 (420)"
41007,"""Clatsop, (OR)""",2,"2 - 3 (420)"
41009,"""Columbia, (OR)""",0,"0 (1273)"
41011,"""Coos, (OR)""",3,"2 - 3 (420)"
41013,"""Crook, (OR)""",1,"1 (1390)"
41015,"""Curry, (OR)""",1,"1 (1390)"
41017,"""Deschutes, (OR)""",2,"2 - 3 (420)"
41019,"""Douglas, (OR)""",2,"2 - 3 (420)"
41021,"""Gilliam, (OR)""",0,"0 (1273)"
41027,"""Hood River, (OR)""",1,"1 (1390)"
41029,"""Jackson, (OR)""",3,"2 - 3 (420)"
41031,"""Jefferson, (OR)""",1,"1 (1390)"
41033,"""Josephine, (OR)""",1,"1 (1390)"
41035,"""Klamath, (OR)""",1,"1 (1390)"
41037,"""Lake, (OR)""",1,"1 (1390)"
41039,"""Lane, (OR)""",5,"4+ (141)"
41041,"""Lincoln, (OR)""",2,"2 - 3 (420)"
