"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",23.3,"16 - 36 (628)"
02016,"""Aleutians West, (AK)""",17.7,"16 - 36 (628)"
02020,"""Anchorage, (AK)""",11.1,"10 - 12 (625)"
02050,"""Bethel, (AK)""",16.8,"16 - 36 (628)"
02060,"""Bristol Bay, (AK)""",15.1,"13 - 16 (616)"
02068,"""Denali, (AK)""",11.5,"10 - 12 (625)"
02070,"""Dillingham, (AK)""",15.5,"13 - 16 (616)"
02090,"""Fairbanks North Star, (AK)""",11.3,"10 - 12 (625)"
02100,"""Haines, (AK)""",12.6,"13 - 16 (616)"
02105,"""Hoonah-Angoon, (AK)""",20,"16 - 36 (628)"
02110,"""Juneau, (AK)""",11.4,"10 - 12 (625)"
02122,"""Kenai Peninsula, (AK)""",13.8,"13 - 16 (616)"
02130,"""Ketchikan Gateway, (AK)""",13.5,"13 - 16 (616)"
02150,"""Kodiak Island, (AK)""",18.2,"16 - 36 (628)"
02164,"""Lake and Peninsula, (AK)""",19.1,"16 - 36 (628)"
02170,"""Matanuska-Susitna, (AK)""",12.8,"13 - 16 (616)"
02180,"""Nome, (AK)""",17.2,"16 - 36 (628)"
02185,"""North Slope, (AK)""",13.2,"13 - 16 (616)"
02188,"""Northwest Arctic, (AK)""",17.5,"16 - 36 (628)"
02195,"""Petersburg, (AK)""",16.7,"16 - 36 (628)"
02198,"""Prince of Wales-Hyder, (AK)""",18.9,"16 - 36 (628)"
02220,"""Sitka, (AK)""",13.4,"13 - 16 (616)"
02230,"""Skagway, (AK)""",11.1,"10 - 12 (625)"
02240,"""Southeast Fairbanks, (AK)""",18.3,"16 - 36 (628)"
02261,"""Valdez-Cordova, (AK)""",14.7,"13 - 16 (616)"
02158,"""Kusilvak, (AK)""",15.6,"13 - 16 (616)"
02275,"""Wrangell, (AK)""",18.4,"16 - 36 (628)"
02282,"""Yakutat, (AK)""",18.2,"16 - 36 (628)"
02290,"""Yukon-Koyukuk, (AK)""",20,"16 - 36 (628)"
06001,"""Alameda, (CA)""",5.1,"2 - 7 (635)"
06005,"""Amador, (CA)""",7.5,"8 - 10 (637)"
06007,"""Butte, (CA)""",7.8,"8 - 10 (637)"
06009,"""Calaveras, (CA)""",7.9,"8 - 10 (637)"
06011,"""Colusa, (CA)""",12.2,"10 - 12 (625)"
06013,"""Contra Costa, (CA)""",6.5,"2 - 7 (635)"
06015,"""Del Norte, (CA)""",8.4,"8 - 10 (637)"
06017,"""El Dorado, (CA)""",6.2,"2 - 7 (635)"
06021,"""Glenn, (CA)""",12.4,"10 - 12 (625)"
06023,"""Humboldt, (CA)""",9.5,"8 - 10 (637)"
06031,"""Kings, (CA)""",9.4,"8 - 10 (637)"
06033,"""Lake, (CA)""",9.4,"8 - 10 (637)"
06035,"""Lassen, (CA)""",5,"2 - 7 (635)"
