"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",24,"1 - 26 (135)"
02050,"""Bethel, (AK)""",-1,
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",-1,
02090,"""Fairbanks North Star, (AK)""",96.8,"62 - 104 (134)"
02100,"""Haines, (AK)""",-1,
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",-1,
02122,"""Kenai Peninsula, (AK)""",-1,
02130,"""Ketchikan Gateway, (AK)""",-1,
02150,"""Kodiak Island, (AK)""",-1,
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",-1,
02180,"""Nome, (AK)""",-1,
02185,"""North Slope, (AK)""",-1,
02188,"""Northwest Arctic, (AK)""",-1,
02195,"""Petersburg, (AK)""",-1,
02198,"""Prince of Wales-Hyder, (AK)""",-1,
02220,"""Sitka, (AK)""",-1,
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",-1,
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",-1,
06001,"""Alameda, (CA)""",66.9,"62 - 104 (134)"
06005,"""Amador, (CA)""",-1,
06007,"""Butte, (CA)""",73.1,"62 - 104 (134)"
06009,"""Calaveras, (CA)""",-1,
06011,"""Colusa, (CA)""",-1,
06013,"""Contra Costa, (CA)""",115.4,"104 - 762 (132)"
06015,"""Del Norte, (CA)""",-1,
06017,"""El Dorado, (CA)""",-1,
06021,"""Glenn, (CA)""",-1,
06023,"""Humboldt, (CA)""",45.2,"41 - 62 (131)"
06031,"""Kings, (CA)""",-1,
06033,"""Lake, (CA)""",-1,
06035,"""Lassen, (CA)""",-1,
06041,"""Marin, (CA)""",51.8,"41 - 62 (131)"
06043,"""Mariposa, (CA)""",-1,
06045,"""Mendocino, (CA)""",-1,
06047,"""Merced, (CA)""",-1,
06049,"""Modoc, (CA)""",-1,
06053,"""Monterey, (CA)""",86.8,"62 - 104 (134)"
06055,"""Napa, (CA)""",45.9,"41 - 62 (131)"
06057,"""Nevada, (CA)""",-1,
06061,"""Placer, (CA)""",56.9,"41 - 62 (131)"
06063,"""Plumas, (CA)""",-1,
06067,"""Sacramento, (CA)""",48.5,"41 - 62 (131)"
06069,"""San Benito, (CA)""",-1,
06075,"""San Francisco, (CA)""",16.3,"1 - 26 (135)"
06077,"""San Joaquin, (CA)""",762.1,"104 - 762 (132)"
06079,"""San Luis Obispo, (CA)""",70.8,"62 - 104 (134)"
06081,"""San Mateo, (CA)""",34.8,"26 - 40 (133)"
06083,"""Santa Barbara, (CA)""",111.6,"104 - 762 (132)"
06085,"""Santa Clara, (CA)""",33.2,"26 - 40 (133)"
06087,"""Santa Cruz, (CA)""",68.3,"62 - 104 (134)"
06089,"""Shasta, (CA)""",30,"26 - 40 (133)"
06091,"""Sierra, (CA)""",-1,
06093,"""Siskiyou, (CA)""",-1,
06095,"""Solano, (CA)""",223.8,"104 - 762 (132)"
06097,"""Sonoma, (CA)""",164.8,"104 - 762 (132)"
06099,"""Stanislaus, (CA)""",110.1,"104 - 762 (132)"
06101,"""Sutter, (CA)""",97,"62 - 104 (134)"
06103,"""Tehama, (CA)""",-1,
06105,"""Trinity, (CA)""",-1,
06109,"""Tuolumne, (CA)""",-1,
06113,"""Yolo, (CA)""",110.3,"104 - 762 (132)"
06115,"""Yuba, (CA)""",-1,
15001,"""Hawaii, (HI)""",-1,
15003,"""Honolulu, (HI)""",69.6,"62 - 104 (134)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",-1,
15009,"""Maui, (HI)""",55.8,"41 - 62 (131)"
41003,"""Benton, (OR)""",23.3,"1 - 26 (135)"
41005,"""Clackamas, (OR)""",32.2,"26 - 40 (133)"
41007,"""Clatsop, (OR)""",-1,
41009,"""Columbia, (OR)""",-1,
41011,"""Coos, (OR)""",-1,
41013,"""Crook, (OR)""",-1,
41015,"""Curry, (OR)""",-1,
41017,"""Deschutes, (OR)""",49.4,"41 - 62 (131)"
41019,"""Douglas, (OR)""",-1,
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",-1,
41029,"""Jackson, (OR)""",36.8,"26 - 40 (133)"
41031,"""Jefferson, (OR)""",-1,
41033,"""Josephine, (OR)""",-1,
41035,"""Klamath, (OR)""",68.2,"62 - 104 (134)"
41037,"""Lake, (OR)""",-1,
41039,"""Lane, (OR)""",38.2,"26 - 40 (133)"
41041,"""Lincoln, (OR)""",-1,
41043,"""Linn, (OR)""",-1,
41047,"""Marion, (OR)""",173.9,"104 - 762 (132)"
41051,"""Multnomah, (OR)""",16.9,"1 - 26 (135)"
41053,"""Polk, (OR)""",86.1,"62 - 104 (134)"
41055,"""Sherman, (OR)""",-1,
41057,"""Tillamook, (OR)""",-1,
41065,"""Wasco, (OR)""",-1,
41067,"""Washington, (OR)""",46.3,"41 - 62 (131)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",107.1,"104 - 762 (132)"
53007,"""Chelan, (WA)""",25.7,"1 - 26 (135)"
53009,"""Clallam, (WA)""",-1,
53011,"""Clark, (WA)""",244.1,"104 - 762 (132)"
53015,"""Cowlitz, (WA)""",-1,
53027,"""Grays Harbor, (WA)""",-1,
53029,"""Island, (WA)""",-1,
53031,"""Jefferson, (WA)""",-1,
53033,"""King, (WA)""",24.2,"1 - 26 (135)"
53035,"""Kitsap, (WA)""",-1,
53037,"""Kittitas, (WA)""",-1,
53039,"""Klickitat, (WA)""",-1,
53041,"""Lewis, (WA)""",-1,
53045,"""Mason, (WA)""",-1,
53047,"""Okanogan, (WA)""",-1,
53049,"""Pacific, (WA)""",-1,
53053,"""Pierce, (WA)""",75.4,"62 - 104 (134)"
53055,"""San Juan, (WA)""",-1,
53057,"""Skagit, (WA)""",-1,
53059,"""Skamania, (WA)""",-1,
53061,"""Snohomish, (WA)""",274,"104 - 762 (132)"
53067,"""Thurston, (WA)""",48.4,"41 - 62 (131)"
53069,"""Wahkiakum, (WA)""",-1,
53073,"""Whatcom, (WA)""",76.4,"62 - 104 (134)"
53077,"""Yakima, (WA)""",125.4,"104 - 762 (132)"
04001,"""Apache, (AZ)""",-1,
04003,"""Cochise, (AZ)""",-1,
04005,"""Coconino, (AZ)""",47.8,"41 - 62 (131)"
04007,"""Gila, (AZ)""",-1,
04009,"""Graham, (AZ)""",-1,
04011,"""Greenlee, (AZ)""",-1,
04012,"""La Paz, (AZ)""",-1,
04013,"""Maricopa, (AZ)""",40.4,"26 - 40 (133)"
04015,"""Mohave, (AZ)""",106.1,"104 - 762 (132)"
04017,"""Navajo, (AZ)""",-1,
04019,"""Pima, (AZ)""",38.8,"26 - 40 (133)"
04021,"""Pinal, (AZ)""",231.4,"104 - 762 (132)"
04023,"""Santa Cruz, (AZ)""",-1,
04025,"""Yavapai, (AZ)""",235.1,"104 - 762 (132)"
04027,"""Yuma, (AZ)""",-1,
06003,"""Alpine, (CA)""",-1,
06019,"""Fresno, (CA)""",83.3,"62 - 104 (134)"
06025,"""Imperial, (CA)""",90.6,"62 - 104 (134)"
06027,"""Inyo, (CA)""",-1,
06029,"""Kern, (CA)""",180,"104 - 762 (132)"
06037,"""Los Angeles, (CA)""",42.2,"41 - 62 (131)"
06039,"""Madera, (CA)""",78.7,"62 - 104 (134)"
06051,"""Mono, (CA)""",-1,
06059,"""Orange, (CA)""",51.2,"41 - 62 (131)"
06065,"""Riverside, (CA)""",154.4,"104 - 762 (132)"
06071,"""San Bernardino, (CA)""",87.2,"62 - 104 (134)"
06073,"""San Diego, (CA)""",48.4,"41 - 62 (131)"
06107,"""Tulare, (CA)""",116.5,"104 - 762 (132)"
06111,"""Ventura, (CA)""",70.5,"62 - 104 (134)"
08007,"""Archuleta, (CO)""",-1,
08029,"""Delta, (CO)""",-1,
08033,"""Dolores, (CO)""",-1,
08045,"""Garfield, (CO)""",15,"1 - 26 (135)"
08051,"""Gunnison, (CO)""",-1,
08053,"""Hinsdale, (CO)""",-1,
08067,"""La Plata, (CO)""",-1,
08077,"""Mesa, (CO)""",30.8,"26 - 40 (133)"
08079,"""Mineral, (CO)""",-1,
08081,"""Moffat, (CO)""",-1,
08083,"""Montezuma, (CO)""",-1,
08085,"""Montrose, (CO)""",-1,
08091,"""Ouray, (CO)""",-1,
08097,"""Pitkin, (CO)""",-1,
08103,"""Rio Blanco, (CO)""",-1,
08107,"""Routt, (CO)""",-1,
08111,"""San Juan, (CO)""",-1,
08113,"""San Miguel, (CO)""",-1,
16001,"""Ada, (ID)""",32.1,"26 - 40 (133)"
16005,"""Bannock, (ID)""",43.9,"41 - 62 (131)"
16007,"""Bear Lake, (ID)""",-1,
16011,"""Bingham, (ID)""",-1,
16013,"""Blaine, (ID)""",-1,
16015,"""Boise, (ID)""",-1,
16019,"""Bonneville, (ID)""",29.8,"26 - 40 (133)"
16023,"""Butte, (ID)""",-1,
16025,"""Camas, (ID)""",-1,
16027,"""Canyon, (ID)""",-1,
16029,"""Caribou, (ID)""",-1,
16031,"""Cassia, (ID)""",-1,
16033,"""Clark, (ID)""",-1,
16037,"""Custer, (ID)""",-1,
16039,"""Elmore, (ID)""",-1,
