"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",5.9,"4 - 7 (668)"
02016,"""Aleutians West, (AK)""",4.6,"4 - 7 (668)"
02020,"""Anchorage, (AK)""",4.9,"4 - 7 (668)"
02050,"""Bethel, (AK)""",8.1,"8 - 9 (576)"
02060,"""Bristol Bay, (AK)""",7.5,"7 - 8 (652)"
02068,"""Denali, (AK)""",5.7,"4 - 7 (668)"
02070,"""Dillingham, (AK)""",7.7,"7 - 8 (652)"
02090,"""Fairbanks North Star, (AK)""",4.7,"4 - 7 (668)"
02100,"""Haines, (AK)""",8.2,"8 - 9 (576)"
02105,"""Hoonah-Angoon, (AK)""",9.7,"10 - 14 (592)"
02110,"""Juneau, (AK)""",5.5,"4 - 7 (668)"
02122,"""Kenai Peninsula, (AK)""",7.4,"7 - 8 (652)"
02130,"""Ketchikan Gateway, (AK)""",6.5,"4 - 7 (668)"
02150,"""Kodiak Island, (AK)""",5.1,"4 - 7 (668)"
02164,"""Lake and Peninsula, (AK)""",7.7,"7 - 8 (652)"
02170,"""Matanuska-Susitna, (AK)""",5.9,"4 - 7 (668)"
02180,"""Nome, (AK)""",7.4,"7 - 8 (652)"
02185,"""North Slope, (AK)""",6.1,"4 - 7 (668)"
02188,"""Northwest Arctic, (AK)""",7.7,"7 - 8 (652)"
02195,"""Petersburg, (AK)""",7.1,"7 - 8 (652)"
02198,"""Prince of Wales-Hyder, (AK)""",9.3,"9 - 10 (653)"
02220,"""Sitka, (AK)""",6.2,"4 - 7 (668)"
02230,"""Skagway, (AK)""",5.7,"4 - 7 (668)"
02240,"""Southeast Fairbanks, (AK)""",6.9,"4 - 7 (668)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",9.1,"9 - 10 (653)"
02275,"""Wrangell, (AK)""",9.2,"9 - 10 (653)"
02282,"""Yakutat, (AK)""",8.6,"8 - 9 (576)"
02290,"""Yukon-Koyukuk, (AK)""",9.8,"10 - 14 (592)"
06001,"""Alameda, (CA)""",4.8,"4 - 7 (668)"
06005,"""Amador, (CA)""",8.6,"8 - 9 (576)"
06007,"""Butte, (CA)""",7,"7 - 8 (652)"
06009,"""Calaveras, (CA)""",9.2,"9 - 10 (653)"
06011,"""Colusa, (CA)""",7,"7 - 8 (652)"
06013,"""Contra Costa, (CA)""",5.5,"4 - 7 (668)"
06015,"""Del Norte, (CA)""",8.2,"8 - 9 (576)"
06017,"""El Dorado, (CA)""",7.2,"7 - 8 (652)"
06021,"""Glenn, (CA)""",7.6,"7 - 8 (652)"
06023,"""Humboldt, (CA)""",7.4,"7 - 8 (652)"
06031,"""Kings, (CA)""",5.8,"4 - 7 (668)"
06033,"""Lake, (CA)""",9.2,"9 - 10 (653)"
06035,"""Lassen, (CA)""",6.9,"4 - 7 (668)"
06041,"""Marin, (CA)""",6.4,"4 - 7 (668)"
06043,"""Mariposa, (CA)""",9.3,"9 - 10 (653)"
06045,"""Mendocino, (CA)""",8.6,"8 - 9 (576)"
06047,"""Merced, (CA)""",6.3,"4 - 7 (668)"
06049,"""Modoc, (CA)""",10.1,"10 - 14 (592)"
06053,"""Monterey, (CA)""",6.3,"4 - 7 (668)"
