"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",9.9,"9 - 10 (621)"
02016,"""Aleutians West, (AK)""",9.3,"9 - 10 (621)"
02020,"""Anchorage, (AK)""",8.3,"8 - 9 (578)"
02050,"""Bethel, (AK)""",8.8,"8 - 9 (578)"
02060,"""Bristol Bay, (AK)""",9.2,"9 - 10 (621)"
02068,"""Denali, (AK)""",6.7,"4 - 7 (697)"
02070,"""Dillingham, (AK)""",8.6,"8 - 9 (578)"
02090,"""Fairbanks North Star, (AK)""",8,"8 - 8 (631)"
02100,"""Haines, (AK)""",7.8,"8 - 8 (631)"
02105,"""Hoonah-Angoon, (AK)""",8.6,"8 - 9 (578)"
02110,"""Juneau, (AK)""",6.7,"4 - 7 (697)"
02122,"""Kenai Peninsula, (AK)""",8.3,"8 - 9 (578)"
02130,"""Ketchikan Gateway, (AK)""",8.4,"8 - 9 (578)"
02150,"""Kodiak Island, (AK)""",8.7,"8 - 9 (578)"
02164,"""Lake and Peninsula, (AK)""",9.1,"9 - 10 (621)"
02170,"""Matanuska-Susitna, (AK)""",7.6,"8 - 8 (631)"
02180,"""Nome, (AK)""",9.2,"9 - 10 (621)"
02185,"""North Slope, (AK)""",9.1,"9 - 10 (621)"
02188,"""Northwest Arctic, (AK)""",10,"9 - 10 (621)"
02195,"""Petersburg, (AK)""",8.2,"8 - 9 (578)"
02198,"""Prince of Wales-Hyder, (AK)""",10,"9 - 10 (621)"
02220,"""Sitka, (AK)""",7.6,"8 - 8 (631)"
02230,"""Skagway, (AK)""",7.1,"4 - 7 (697)"
02240,"""Southeast Fairbanks, (AK)""",7.7,"8 - 8 (631)"
02261,"""Valdez-Cordova, (AK)""",6.7,"4 - 7 (697)"
02158,"""Kusilvak, (AK)""",8.2,"8 - 9 (578)"
02275,"""Wrangell, (AK)""",8.1,"8 - 8 (631)"
02282,"""Yakutat, (AK)""",8.9,"9 - 10 (621)"
02290,"""Yukon-Koyukuk, (AK)""",9.4,"9 - 10 (621)"
06001,"""Alameda, (CA)""",7.1,"4 - 7 (697)"
06005,"""Amador, (CA)""",8.2,"8 - 9 (578)"
06007,"""Butte, (CA)""",7.4,"4 - 7 (697)"
06009,"""Calaveras, (CA)""",7,"4 - 7 (697)"
06011,"""Colusa, (CA)""",7.2,"4 - 7 (697)"
06013,"""Contra Costa, (CA)""",8.7,"8 - 9 (578)"
06015,"""Del Norte, (CA)""",7.7,"8 - 8 (631)"
06017,"""El Dorado, (CA)""",7.3,"4 - 7 (697)"
06021,"""Glenn, (CA)""",7.6,"8 - 8 (631)"
06023,"""Humboldt, (CA)""",7.2,"4 - 7 (697)"
06031,"""Kings, (CA)""",10,"9 - 10 (621)"
06033,"""Lake, (CA)""",8.4,"8 - 9 (578)"
06035,"""Lassen, (CA)""",7.9,"8 - 8 (631)"
06041,"""Marin, (CA)""",6.1,"4 - 7 (697)"
06043,"""Mariposa, (CA)""",7,"4 - 7 (697)"
06045,"""Mendocino, (CA)""",7.5,"8 - 8 (631)"
06047,"""Merced, (CA)""",8.9,"9 - 10 (621)"
06049,"""Modoc, (CA)""",7.4,"4 - 7 (697)"
06053,"""Monterey, (CA)""",8.4,"8 - 9 (578)"
06055,"""Napa, (CA)""",8.5,"8 - 9 (578)"
06057,"""Nevada, (CA)""",6,"4 - 7 (697)"
06061,"""Placer, (CA)""",6.1,"4 - 7 (697)"
06063,"""Plumas, (CA)""",7.8,"8 - 8 (631)"
06067,"""Sacramento, (CA)""",9,"9 - 10 (621)"
06069,"""San Benito, (CA)""",7.8,"8 - 8 (631)"
06075,"""San Francisco, (CA)""",8.8,"8 - 9 (578)"
06077,"""San Joaquin, (CA)""",9.3,"9 - 10 (621)"
06079,"""San Luis Obispo, (CA)""",7.3,"4 - 7 (697)"
06081,"""San Mateo, (CA)""",8.5,"8 - 9 (578)"
06083,"""Santa Barbara, (CA)""",7.5,"8 - 8 (631)"
06085,"""Santa Clara, (CA)""",8.6,"8 - 9 (578)"
06087,"""Santa Cruz, (CA)""",7.3,"4 - 7 (697)"
06089,"""Shasta, (CA)""",7,"4 - 7 (697)"
06091,"""Sierra, (CA)""",7.3,"4 - 7 (697)"
06093,"""Siskiyou, (CA)""",7.6,"8 - 8 (631)"
06095,"""Solano, (CA)""",7.9,"8 - 8 (631)"
06097,"""Sonoma, (CA)""",6.5,"4 - 7 (697)"
06099,"""Stanislaus, (CA)""",10.2,"10 - 18 (594)"
06101,"""Sutter, (CA)""",9,"9 - 10 (621)"
06103,"""Tehama, (CA)""",8.4,"8 - 9 (578)"
06105,"""Trinity, (CA)""",7.1,"4 - 7 (697)"
06109,"""Tuolumne, (CA)""",7.9,"8 - 8 (631)"
06113,"""Yolo, (CA)""",9.2,"9 - 10 (621)"
06115,"""Yuba, (CA)""",7.5,"8 - 8 (631)"
15001,"""Hawaii, (HI)""",8.9,"9 - 10 (621)"
15003,"""Honolulu, (HI)""",10,"9 - 10 (621)"
15005,"""Kalawao, (HI)""",9,"9 - 10 (621)"
15007,"""Kauai, (HI)""",8.8,"8 - 9 (578)"
15009,"""Maui, (HI)""",8.2,"8 - 9 (578)"
41003,"""Benton, (OR)""",5.7,"4 - 7 (697)"
41005,"""Clackamas, (OR)""",7.6,"8 - 8 (631)"
41007,"""Clatsop, (OR)""",8,"8 - 8 (631)"
41009,"""Columbia, (OR)""",9.7,"9 - 10 (621)"
41011,"""Coos, (OR)""",9.7,"9 - 10 (621)"
41013,"""Crook, (OR)""",8.4,"8 - 9 (578)"
41015,"""Curry, (OR)""",8.8,"8 - 9 (578)"
41017,"""Deschutes, (OR)""",7.4,"4 - 7 (697)"
41019,"""Douglas, (OR)""",8.7,"8 - 9 (578)"
41021,"""Gilliam, (OR)""",7.1,"4 - 7 (697)"
41027,"""Hood River, (OR)""",6.3,"4 - 7 (697)"
41029,"""Jackson, (OR)""",8.7,"8 - 9 (578)"
41031,"""Jefferson, (OR)""",8.5,"8 - 9 (578)"
41033,"""Josephine, (OR)""",8.7,"8 - 9 (578)"
41035,"""Klamath, (OR)""",6.8,"4 - 7 (697)"
41037,"""Lake, (OR)""",8.2,"8 - 9 (578)"
41039,"""Lane, (OR)""",7.6,"8 - 8 (631)"
41041,"""Lincoln, (OR)""",7.6,"8 - 8 (631)"
41043,"""Linn, (OR)""",9.7,"9 - 10 (621)"
41047,"""Marion, (OR)""",10.3,"10 - 18 (594)"
41051,"""Multnomah, (OR)""",7.1,"4 - 7 (697)"
41053,"""Polk, (OR)""",8.3,"8 - 9 (578)"
41055,"""Sherman, (OR)""",8,"8 - 8 (631)"
41057,"""Tillamook, (OR)""",6.5,"4 - 7 (697)"
41065,"""Wasco, (OR)""",7.4,"4 - 7 (697)"
41067,"""Washington, (OR)""",8,"8 - 8 (631)"
41069,"""Wheeler, (OR)""",7,"4 - 7 (697)"
41071,"""Yamhill, (OR)""",8,"8 - 8 (631)"
53007,"""Chelan, (WA)""",7.5,"8 - 8 (631)"
53009,"""Clallam, (WA)""",7.8,"8 - 8 (631)"
53011,"""Clark, (WA)""",8.9,"9 - 10 (621)"
53015,"""Cowlitz, (WA)""",9.7,"9 - 10 (621)"
53027,"""Grays Harbor, (WA)""",10.5,"10 - 18 (594)"
53029,"""Island, (WA)""",7.6,"8 - 8 (631)"
53031,"""Jefferson, (WA)""",5.7,"4 - 7 (697)"
53033,"""King, (WA)""",7.3,"4 - 7 (697)"
53035,"""Kitsap, (WA)""",7.6,"8 - 8 (631)"
53037,"""Kittitas, (WA)""",7.3,"4 - 7 (697)"
53039,"""Klickitat, (WA)""",8.6,"8 - 9 (578)"
53041,"""Lewis, (WA)""",10.1,"10 - 18 (594)"
53045,"""Mason, (WA)""",8,"8 - 8 (631)"
53047,"""Okanogan, (WA)""",7.7,"8 - 8 (631)"
53049,"""Pacific, (WA)""",8.4,"8 - 9 (578)"
53053,"""Pierce, (WA)""",10.5,"10 - 18 (594)"
53055,"""San Juan, (WA)""",4.5,"4 - 7 (697)"
53057,"""Skagit, (WA)""",7.5,"8 - 8 (631)"
53059,"""Skamania, (WA)""",8.1,"8 - 8 (631)"
53061,"""Snohomish, (WA)""",8.7,"8 - 9 (578)"
53067,"""Thurston, (WA)""",7.8,"8 - 8 (631)"
53069,"""Wahkiakum, (WA)""",9,"9 - 10 (621)"
53073,"""Whatcom, (WA)""",7.1,"4 - 7 (697)"
53077,"""Yakima, (WA)""",10.7,"10 - 18 (594)"
04001,"""Apache, (AZ)""",13.1,"10 - 18 (594)"
04003,"""Cochise, (AZ)""",9.1,"9 - 10 (621)"
04005,"""Coconino, (AZ)""",6.7,"4 - 7 (697)"
04007,"""Gila, (AZ)""",9.3,"9 - 10 (621)"
04009,"""Graham, (AZ)""",9.8,"9 - 10 (621)"
04011,"""Greenlee, (AZ)""",8.8,"8 - 9 (578)"
04012,"""La Paz, (AZ)""",9.2,"9 - 10 (621)"
04013,"""Maricopa, (AZ)""",8.3,"8 - 9 (578)"
04015,"""Mohave, (AZ)""",9.2,"9 - 10 (621)"
04017,"""Navajo, (AZ)""",11.9,"10 - 18 (594)"
04019,"""Pima, (AZ)""",7.1,"4 - 7 (697)"
04021,"""Pinal, (AZ)""",11,"10 - 18 (594)"
04023,"""Santa Cruz, (AZ)""",9.8,"9 - 10 (621)"
04025,"""Yavapai, (AZ)""",6.7,"4 - 7 (697)"
04027,"""Yuma, (AZ)""",9.7,"9 - 10 (621)"
06003,"""Alpine, (CA)""",7.4,"4 - 7 (697)"
06019,"""Fresno, (CA)""",11,"10 - 18 (594)"
06025,"""Imperial, (CA)""",9.3,"9 - 10 (621)"
06027,"""Inyo, (CA)""",7.7,"8 - 8 (631)"
06029,"""Kern, (CA)""",10.5,"10 - 18 (594)"
06037,"""Los Angeles, (CA)""",9,"9 - 10 (621)"
06039,"""Madera, (CA)""",9.1,"9 - 10 (621)"
06051,"""Mono, (CA)""",7.2,"4 - 7 (697)"
06059,"""Orange, (CA)""",9.1,"9 - 10 (621)"
06065,"""Riverside, (CA)""",9.4,"9 - 10 (621)"
06071,"""San Bernardino, (CA)""",10,"9 - 10 (621)"
06073,"""San Diego, (CA)""",7.6,"8 - 8 (631)"
06107,"""Tulare, (CA)""",9.9,"9 - 10 (621)"
06111,"""Ventura, (CA)""",7.8,"8 - 8 (631)"
08007,"""Archuleta, (CO)""",6.5,"4 - 7 (697)"
08029,"""Delta, (CO)""",7.8,"8 - 8 (631)"
08033,"""Dolores, (CO)""",7.9,"8 - 8 (631)"
08045,"""Garfield, (CO)""",6.1,"4 - 7 (697)"
08051,"""Gunnison, (CO)""",7.2,"4 - 7 (697)"
08053,"""Hinsdale, (CO)""",7.2,"4 - 7 (697)"
08067,"""La Plata, (CO)""",5.6,"4 - 7 (697)"
08077,"""Mesa, (CO)""",7.7,"8 - 8 (631)"
08079,"""Mineral, (CO)""",7.2,"4 - 7 (697)"
08081,"""Moffat, (CO)""",8.8,"8 - 9 (578)"
08083,"""Montezuma, (CO)""",7.7,"8 - 8 (631)"
08085,"""Montrose, (CO)""",7.5,"8 - 8 (631)"
08091,"""Ouray, (CO)""",6.6,"4 - 7 (697)"
08097,"""Pitkin, (CO)""",6.5,"4 - 7 (697)"
08103,"""Rio Blanco, (CO)""",6.7,"4 - 7 (697)"
08107,"""Routt, (CO)""",6.5,"4 - 7 (697)"
08111,"""San Juan, (CO)""",7.4,"4 - 7 (697)"
08113,"""San Miguel, (CO)""",7.6,"8 - 8 (631)"
16001,"""Ada, (ID)""",7.8,"8 - 8 (631)"
16005,"""Bannock, (ID)""",9.6,"9 - 10 (621)"
