"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",31.2,"21 - 32 (635)"
02016,"""Aleutians West, (AK)""",30.3,"21 - 32 (635)"
02020,"""Anchorage, (AK)""",29.4,"21 - 32 (635)"
02050,"""Bethel, (AK)""",28.7,"21 - 32 (635)"
02060,"""Bristol Bay, (AK)""",32.3,"21 - 32 (635)"
02068,"""Denali, (AK)""",30.9,"21 - 32 (635)"
02070,"""Dillingham, (AK)""",29.3,"21 - 32 (635)"
02090,"""Fairbanks North Star, (AK)""",27.5,"21 - 32 (635)"
02100,"""Haines, (AK)""",34.5,"32 - 35 (630)"
02105,"""Hoonah-Angoon, (AK)""",35.8,"35 - 36 (617)"
02110,"""Juneau, (AK)""",31.3,"21 - 32 (635)"
02122,"""Kenai Peninsula, (AK)""",34,"32 - 35 (630)"
02130,"""Ketchikan Gateway, (AK)""",31.4,"21 - 32 (635)"
02150,"""Kodiak Island, (AK)""",30,"21 - 32 (635)"
02164,"""Lake and Peninsula, (AK)""",31.7,"21 - 32 (635)"
02170,"""Matanuska-Susitna, (AK)""",31.9,"21 - 32 (635)"
02180,"""Nome, (AK)""",28.8,"21 - 32 (635)"
02185,"""North Slope, (AK)""",29.6,"21 - 32 (635)"
02188,"""Northwest Arctic, (AK)""",28.8,"21 - 32 (635)"
02195,"""Petersburg, (AK)""",34.8,"35 - 36 (617)"
02198,"""Prince of Wales-Hyder, (AK)""",35,"35 - 36 (617)"
02220,"""Sitka, (AK)""",31.1,"21 - 32 (635)"
02230,"""Skagway, (AK)""",30.8,"21 - 32 (635)"
02240,"""Southeast Fairbanks, (AK)""",33.5,"32 - 35 (630)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",28.4,"21 - 32 (635)"
02275,"""Wrangell, (AK)""",37.3,"36 - 38 (633)"
02282,"""Yakutat, (AK)""",34,"32 - 35 (630)"
02290,"""Yukon-Koyukuk, (AK)""",32.4,"32 - 35 (630)"
06001,"""Alameda, (CA)""",28.8,"21 - 32 (635)"
06005,"""Amador, (CA)""",35.2,"35 - 36 (617)"
06007,"""Butte, (CA)""",29.9,"21 - 32 (635)"
06009,"""Calaveras, (CA)""",36.1,"35 - 36 (617)"
06011,"""Colusa, (CA)""",29.8,"21 - 32 (635)"
06013,"""Contra Costa, (CA)""",29.2,"21 - 32 (635)"
06015,"""Del Norte, (CA)""",32.5,"32 - 35 (630)"
06017,"""El Dorado, (CA)""",32.9,"32 - 35 (630)"
06021,"""Glenn, (CA)""",30.9,"21 - 32 (635)"
06023,"""Humboldt, (CA)""",30.2,"21 - 32 (635)"
06031,"""Kings, (CA)""",27.7,"21 - 32 (635)"
06033,"""Lake, (CA)""",34.1,"32 - 35 (630)"
06035,"""Lassen, (CA)""",29.6,"21 - 32 (635)"
06041,"""Marin, (CA)""",31.8,"21 - 32 (635)"
06043,"""Mariposa, (CA)""",36.8,"36 - 38 (633)"
06045,"""Mendocino, (CA)""",31.9,"21 - 32 (635)"
06047,"""Merced, (CA)""",28.7,"21 - 32 (635)"
06049,"""Modoc, (CA)""",36.7,"36 - 38 (633)"
06053,"""Monterey, (CA)""",27.7,"21 - 32 (635)"
06055,"""Napa, (CA)""",30.9,"21 - 32 (635)"
06057,"""Nevada, (CA)""",36.9,"36 - 38 (633)"
06061,"""Placer, (CA)""",33.1,"32 - 35 (630)"
06063,"""Plumas, (CA)""",36.8,"36 - 38 (633)"
06067,"""Sacramento, (CA)""",28.5,"21 - 32 (635)"
06069,"""San Benito, (CA)""",29.1,"21 - 32 (635)"
06075,"""San Francisco, (CA)""",28,"21 - 32 (635)"
06077,"""San Joaquin, (CA)""",30.1,"21 - 32 (635)"
06079,"""San Luis Obispo, (CA)""",31,"21 - 32 (635)"
06081,"""San Mateo, (CA)""",31.3,"21 - 32 (635)"
06083,"""Santa Barbara, (CA)""",28.2,"21 - 32 (635)"
06085,"""Santa Clara, (CA)""",26.9,"21 - 32 (635)"
06087,"""Santa Cruz, (CA)""",29,"21 - 32 (635)"
06089,"""Shasta, (CA)""",32.9,"32 - 35 (630)"
06091,"""Sierra, (CA)""",39.2,"38 - 45 (605)"
06093,"""Siskiyou, (CA)""",35.9,"35 - 36 (617)"
06095,"""Solano, (CA)""",29.5,"21 - 32 (635)"
06097,"""Sonoma, (CA)""",29.8,"21 - 32 (635)"
06099,"""Stanislaus, (CA)""",30.5,"21 - 32 (635)"
06101,"""Sutter, (CA)""",31.1,"21 - 32 (635)"
06103,"""Tehama, (CA)""",32.8,"32 - 35 (630)"
06105,"""Trinity, (CA)""",38.1,"36 - 38 (633)"
06109,"""Tuolumne, (CA)""",35.5,"35 - 36 (617)"
06113,"""Yolo, (CA)""",25.5,"21 - 32 (635)"
06115,"""Yuba, (CA)""",29.5,"21 - 32 (635)"
15001,"""Hawaii, (HI)""",29.8,"21 - 32 (635)"
15003,"""Honolulu, (HI)""",30.7,"21 - 32 (635)"
15005,"""Kalawao, (HI)""",33.4,"32 - 35 (630)"
15007,"""Kauai, (HI)""",29.1,"21 - 32 (635)"
15009,"""Maui, (HI)""",27.3,"21 - 32 (635)"
41003,"""Benton, (OR)""",26.3,"21 - 32 (635)"
41005,"""Clackamas, (OR)""",31.2,"21 - 32 (635)"
41007,"""Clatsop, (OR)""",32.3,"21 - 32 (635)"
41009,"""Columbia, (OR)""",31.7,"21 - 32 (635)"
41011,"""Coos, (OR)""",36.4,"36 - 38 (633)"
41013,"""Crook, (OR)""",34.3,"32 - 35 (630)"
41015,"""Curry, (OR)""",36.8,"36 - 38 (633)"
41017,"""Deschutes, (OR)""",32.1,"21 - 32 (635)"
41019,"""Douglas, (OR)""",35.3,"35 - 36 (617)"
41021,"""Gilliam, (OR)""",35.6,"35 - 36 (617)"
41027,"""Hood River, (OR)""",28.2,"21 - 32 (635)"
41029,"""Jackson, (OR)""",34.2,"32 - 35 (630)"
41031,"""Jefferson, (OR)""",32,"21 - 32 (635)"
41033,"""Josephine, (OR)""",36,"35 - 36 (617)"
41035,"""Klamath, (OR)""",33.3,"32 - 35 (630)"
41037,"""Lake, (OR)""",35,"35 - 36 (617)"
41039,"""Lane, (OR)""",30.4,"21 - 32 (635)"
41041,"""Lincoln, (OR)""",34.2,"32 - 35 (630)"
41043,"""Linn, (OR)""",28.7,"21 - 32 (635)"
41047,"""Marion, (OR)""",27.2,"21 - 32 (635)"
41051,"""Multnomah, (OR)""",27,"21 - 32 (635)"
41053,"""Polk, (OR)""",28.7,"21 - 32 (635)"
41055,"""Sherman, (OR)""",34.4,"32 - 35 (630)"
41057,"""Tillamook, (OR)""",33.3,"32 - 35 (630)"
41065,"""Wasco, (OR)""",31.7,"21 - 32 (635)"
41067,"""Washington, (OR)""",26.9,"21 - 32 (635)"
41069,"""Wheeler, (OR)""",38.4,"38 - 45 (605)"
41071,"""Yamhill, (OR)""",29.9,"21 - 32 (635)"
53007,"""Chelan, (WA)""",31.7,"21 - 32 (635)"
53009,"""Clallam, (WA)""",36.7,"36 - 38 (633)"
53011,"""Clark, (WA)""",30.5,"21 - 32 (635)"
53015,"""Cowlitz, (WA)""",34,"32 - 35 (630)"
53027,"""Grays Harbor, (WA)""",37.5,"36 - 38 (633)"
53029,"""Island, (WA)""",33.1,"32 - 35 (630)"
53031,"""Jefferson, (WA)""",38.4,"38 - 45 (605)"
53033,"""King, (WA)""",29.1,"21 - 32 (635)"
53035,"""Kitsap, (WA)""",32.4,"32 - 35 (630)"
53037,"""Kittitas, (WA)""",27.1,"21 - 32 (635)"
53039,"""Klickitat, (WA)""",34.7,"35 - 36 (617)"
53041,"""Lewis, (WA)""",36.5,"36 - 38 (633)"
53045,"""Mason, (WA)""",36.1,"35 - 36 (617)"
53047,"""Okanogan, (WA)""",32.7,"32 - 35 (630)"
53049,"""Pacific, (WA)""",39.4,"38 - 45 (605)"
53053,"""Pierce, (WA)""",33.5,"32 - 35 (630)"
53055,"""San Juan, (WA)""",37.2,"36 - 38 (633)"
53057,"""Skagit, (WA)""",34.6,"32 - 35 (630)"
53059,"""Skamania, (WA)""",34.4,"32 - 35 (630)"
53061,"""Snohomish, (WA)""",29.5,"21 - 32 (635)"
53067,"""Thurston, (WA)""",32,"21 - 32 (635)"
53069,"""Wahkiakum, (WA)""",40.4,"38 - 45 (605)"
53073,"""Whatcom, (WA)""",30.8,"21 - 32 (635)"
53077,"""Yakima, (WA)""",30.4,"21 - 32 (635)"
04001,"""Apache, (AZ)""",31,"21 - 32 (635)"
04003,"""Cochise, (AZ)""",34.5,"32 - 35 (630)"
04005,"""Coconino, (AZ)""",26.8,"21 - 32 (635)"
04007,"""Gila, (AZ)""",37.5,"36 - 38 (633)"
