"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",27.2,"27 - 30 (628)"
02016,"""Aleutians West, (AK)""",25.4,"24 - 27 (610)"
02020,"""Anchorage, (AK)""",29.8,"30 - 33 (630)"
02050,"""Bethel, (AK)""",23.8,"14 - 24 (644)"
02060,"""Bristol Bay, (AK)""",24.6,"24 - 27 (610)"
02068,"""Denali, (AK)""",20.6,"14 - 24 (644)"
02070,"""Dillingham, (AK)""",23.5,"14 - 24 (644)"
02090,"""Fairbanks North Star, (AK)""",28.4,"27 - 30 (628)"
02100,"""Haines, (AK)""",25.5,"24 - 27 (610)"
02105,"""Hoonah-Angoon, (AK)""",22.2,"14 - 24 (644)"
02110,"""Juneau, (AK)""",26,"24 - 27 (610)"
02122,"""Kenai Peninsula, (AK)""",25.2,"24 - 27 (610)"
02130,"""Ketchikan Gateway, (AK)""",30.9,"30 - 33 (630)"
02150,"""Kodiak Island, (AK)""",31.2,"30 - 33 (630)"
02164,"""Lake and Peninsula, (AK)""",23.1,"14 - 24 (644)"
02170,"""Matanuska-Susitna, (AK)""",31.4,"30 - 33 (630)"
02180,"""Nome, (AK)""",37.1,"33 - 45 (609)"
02185,"""North Slope, (AK)""",30.4,"30 - 33 (630)"
02188,"""Northwest Arctic, (AK)""",25.5,"24 - 27 (610)"
02195,"""Petersburg, (AK)""",21.1,"14 - 24 (644)"
02198,"""Prince of Wales-Hyder, (AK)""",25.3,"24 - 27 (610)"
02220,"""Sitka, (AK)""",25.5,"24 - 27 (610)"
02230,"""Skagway, (AK)""",24.3,"24 - 27 (610)"
02240,"""Southeast Fairbanks, (AK)""",28.7,"27 - 30 (628)"
02261,"""Valdez-Cordova, (AK)""",24.6,"24 - 27 (610)"
02158,"""Kusilvak, (AK)""",22.5,"14 - 24 (644)"
02275,"""Wrangell, (AK)""",23.5,"14 - 24 (644)"
02282,"""Yakutat, (AK)""",21.1,"14 - 24 (644)"
02290,"""Yukon-Koyukuk, (AK)""",27.2,"27 - 30 (628)"
06001,"""Alameda, (CA)""",23.8,"14 - 24 (644)"
06005,"""Amador, (CA)""",25.7,"24 - 27 (610)"
06007,"""Butte, (CA)""",32.5,"30 - 33 (630)"
06009,"""Calaveras, (CA)""",26.8,"27 - 30 (628)"
06011,"""Colusa, (CA)""",23.9,"24 - 27 (610)"
06013,"""Contra Costa, (CA)""",22.6,"14 - 24 (644)"
06015,"""Del Norte, (CA)""",22.2,"14 - 24 (644)"
06017,"""El Dorado, (CA)""",24.9,"24 - 27 (610)"
06021,"""Glenn, (CA)""",24.4,"24 - 27 (610)"
06023,"""Humboldt, (CA)""",24,"24 - 27 (610)"
06031,"""Kings, (CA)""",33.3,"33 - 45 (609)"
06033,"""Lake, (CA)""",29.4,"27 - 30 (628)"
06035,"""Lassen, (CA)""",22.9,"14 - 24 (644)"
06041,"""Marin, (CA)""",17.8,"14 - 24 (644)"
06043,"""Mariposa, (CA)""",20.6,"14 - 24 (644)"
06045,"""Mendocino, (CA)""",26.4,"24 - 27 (610)"
06047,"""Merced, (CA)""",35,"33 - 45 (609)"
06049,"""Modoc, (CA)""",22.5,"14 - 24 (644)"
06053,"""Monterey, (CA)""",31.6,"30 - 33 (630)"
06055,"""Napa, (CA)""",27.9,"27 - 30 (628)"
