"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",21.5,"20 - 22 (650)"
02016,"""Aleutians West, (AK)""",20,"20 - 22 (650)"
02020,"""Anchorage, (AK)""",17.9,"10 - 20 (628)"
02050,"""Bethel, (AK)""",22,"22 - 24 (631)"
02060,"""Bristol Bay, (AK)""",20.9,"20 - 22 (650)"
02068,"""Denali, (AK)""",16.7,"10 - 20 (628)"
02070,"""Dillingham, (AK)""",22.6,"22 - 24 (631)"
02090,"""Fairbanks North Star, (AK)""",20.4,"20 - 22 (650)"
02100,"""Haines, (AK)""",16.8,"10 - 20 (628)"
02105,"""Hoonah-Angoon, (AK)""",19.8,"20 - 22 (650)"
02110,"""Juneau, (AK)""",14.1,"10 - 20 (628)"
02122,"""Kenai Peninsula, (AK)""",20.4,"20 - 22 (650)"
02130,"""Ketchikan Gateway, (AK)""",19.9,"20 - 22 (650)"
02150,"""Kodiak Island, (AK)""",23.7,"24 - 26 (591)"
02164,"""Lake and Peninsula, (AK)""",21.9,"22 - 24 (631)"
02170,"""Matanuska-Susitna, (AK)""",21.4,"20 - 22 (650)"
02180,"""Nome, (AK)""",21.3,"20 - 22 (650)"
02185,"""North Slope, (AK)""",22.6,"22 - 24 (631)"
02188,"""Northwest Arctic, (AK)""",25.7,"24 - 26 (591)"
02195,"""Petersburg, (AK)""",21,"20 - 22 (650)"
02198,"""Prince of Wales-Hyder, (AK)""",17.5,"10 - 20 (628)"
02220,"""Sitka, (AK)""",20.2,"20 - 22 (650)"
02230,"""Skagway, (AK)""",18.2,"10 - 20 (628)"
02240,"""Southeast Fairbanks, (AK)""",19.1,"10 - 20 (628)"
02261,"""Valdez-Cordova, (AK)""",19.6,"10 - 20 (628)"
02158,"""Kusilvak, (AK)""",22,"22 - 24 (631)"
02275,"""Wrangell, (AK)""",18.4,"10 - 20 (628)"
02282,"""Yakutat, (AK)""",21.2,"20 - 22 (650)"
02290,"""Yukon-Koyukuk, (AK)""",23.6,"22 - 24 (631)"
06001,"""Alameda, (CA)""",15.6,"10 - 20 (628)"
06005,"""Amador, (CA)""",21.4,"20 - 22 (650)"
06007,"""Butte, (CA)""",20.7,"20 - 22 (650)"
06009,"""Calaveras, (CA)""",15.5,"10 - 20 (628)"
06011,"""Colusa, (CA)""",19.2,"10 - 20 (628)"
06013,"""Contra Costa, (CA)""",18,"10 - 20 (628)"
06015,"""Del Norte, (CA)""",20.2,"20 - 22 (650)"
06017,"""El Dorado, (CA)""",16.1,"10 - 20 (628)"
06021,"""Glenn, (CA)""",18.7,"10 - 20 (628)"
06023,"""Humboldt, (CA)""",13.9,"10 - 20 (628)"
06031,"""Kings, (CA)""",27,"26 - 38 (621)"
06033,"""Lake, (CA)""",22.5,"22 - 24 (631)"
06035,"""Lassen, (CA)""",21.9,"22 - 24 (631)"
06041,"""Marin, (CA)""",15.9,"10 - 20 (628)"
06043,"""Mariposa, (CA)""",17.3,"10 - 20 (628)"
06045,"""Mendocino, (CA)""",18,"10 - 20 (628)"
06047,"""Merced, (CA)""",27.3,"26 - 38 (621)"
06049,"""Modoc, (CA)""",19,"10 - 20 (628)"
06053,"""Monterey, (CA)""",22.9,"22 - 24 (631)"
06055,"""Napa, (CA)""",16.6,"10 - 20 (628)"
06057,"""Nevada, (CA)""",15.1,"10 - 20 (628)"
06061,"""Placer, (CA)""",14,"10 - 20 (628)"
06063,"""Plumas, (CA)""",18.3,"10 - 20 (628)"
06067,"""Sacramento, (CA)""",19.8,"20 - 22 (650)"
06069,"""San Benito, (CA)""",19.9,"20 - 22 (650)"
06075,"""San Francisco, (CA)""",16,"10 - 20 (628)"
06077,"""San Joaquin, (CA)""",24.8,"24 - 26 (591)"
06079,"""San Luis Obispo, (CA)""",16.5,"10 - 20 (628)"
06081,"""San Mateo, (CA)""",13.9,"10 - 20 (628)"
06083,"""Santa Barbara, (CA)""",19.4,"10 - 20 (628)"
06085,"""Santa Clara, (CA)""",17.4,"10 - 20 (628)"
06087,"""Santa Cruz, (CA)""",15.5,"10 - 20 (628)"
06089,"""Shasta, (CA)""",15.7,"10 - 20 (628)"
06091,"""Sierra, (CA)""",19.2,"10 - 20 (628)"
06093,"""Siskiyou, (CA)""",19.7,"20 - 22 (650)"
06095,"""Solano, (CA)""",23.3,"22 - 24 (631)"
06097,"""Sonoma, (CA)""",14.9,"10 - 20 (628)"
06099,"""Stanislaus, (CA)""",25.4,"24 - 26 (591)"
06101,"""Sutter, (CA)""",27.5,"26 - 38 (621)"
06103,"""Tehama, (CA)""",23.9,"24 - 26 (591)"
06105,"""Trinity, (CA)""",19.3,"10 - 20 (628)"
06109,"""Tuolumne, (CA)""",19.8,"20 - 22 (650)"
06113,"""Yolo, (CA)""",19.4,"10 - 20 (628)"
06115,"""Yuba, (CA)""",20.5,"20 - 22 (650)"
15001,"""Hawaii, (HI)""",21.6,"20 - 22 (650)"
15003,"""Honolulu, (HI)""",21.2,"20 - 22 (650)"
15005,"""Kalawao, (HI)""",21.5,"20 - 22 (650)"
15007,"""Kauai, (HI)""",20.8,"20 - 22 (650)"
15009,"""Maui, (HI)""",19.3,"10 - 20 (628)"
41003,"""Benton, (OR)""",18,"10 - 20 (628)"
41005,"""Clackamas, (OR)""",18.7,"10 - 20 (628)"
41007,"""Clatsop, (OR)""",20.7,"20 - 22 (650)"
41009,"""Columbia, (OR)""",22.2,"22 - 24 (631)"
41011,"""Coos, (OR)""",22.3,"22 - 24 (631)"
41013,"""Crook, (OR)""",19,"10 - 20 (628)"
41015,"""Curry, (OR)""",20.8,"20 - 22 (650)"
41017,"""Deschutes, (OR)""",19.5,"10 - 20 (628)"
41019,"""Douglas, (OR)""",22.1,"22 - 24 (631)"
41021,"""Gilliam, (OR)""",19.8,"20 - 22 (650)"
41027,"""Hood River, (OR)""",19.3,"10 - 20 (628)"
41029,"""Jackson, (OR)""",18.9,"10 - 20 (628)"
41031,"""Jefferson, (OR)""",24,"24 - 26 (591)"
41033,"""Josephine, (OR)""",22,"22 - 24 (631)"
41035,"""Klamath, (OR)""",22,"22 - 24 (631)"
41037,"""Lake, (OR)""",20.3,"20 - 22 (650)"
41039,"""Lane, (OR)""",19,"10 - 20 (628)"
41041,"""Lincoln, (OR)""",22.9,"22 - 24 (631)"
41043,"""Linn, (OR)""",24.5,"24 - 26 (591)"
41047,"""Marion, (OR)""",22.1,"22 - 24 (631)"
41051,"""Multnomah, (OR)""",16.8,"10 - 20 (628)"
41053,"""Polk, (OR)""",21.8,"22 - 24 (631)"
41055,"""Sherman, (OR)""",19.2,"10 - 20 (628)"
41057,"""Tillamook, (OR)""",21.7,"22 - 24 (631)"
41065,"""Wasco, (OR)""",22,"22 - 24 (631)"
41067,"""Washington, (OR)""",16.4,"10 - 20 (628)"
41069,"""Wheeler, (OR)""",19.9,"20 - 22 (650)"
41071,"""Yamhill, (OR)""",20.4,"20 - 22 (650)"
53007,"""Chelan, (WA)""",18.4,"10 - 20 (628)"
53009,"""Clallam, (WA)""",18.9,"10 - 20 (628)"
53011,"""Clark, (WA)""",15.7,"10 - 20 (628)"
53015,"""Cowlitz, (WA)""",20.2,"20 - 22 (650)"
53027,"""Grays Harbor, (WA)""",21.3,"20 - 22 (650)"
53029,"""Island, (WA)""",17.2,"10 - 20 (628)"
53031,"""Jefferson, (WA)""",12.6,"10 - 20 (628)"
53033,"""King, (WA)""",13.9,"10 - 20 (628)"
53035,"""Kitsap, (WA)""",17.2,"10 - 20 (628)"
53037,"""Kittitas, (WA)""",16.8,"10 - 20 (628)"
53039,"""Klickitat, (WA)""",18.1,"10 - 20 (628)"
53041,"""Lewis, (WA)""",19.6,"10 - 20 (628)"
53045,"""Mason, (WA)""",21.3,"20 - 22 (650)"
53047,"""Okanogan, (WA)""",19.2,"10 - 20 (628)"
53049,"""Pacific, (WA)""",21.5,"20 - 22 (650)"
53053,"""Pierce, (WA)""",18.1,"10 - 20 (628)"
53055,"""San Juan, (WA)""",12.8,"10 - 20 (628)"
53057,"""Skagit, (WA)""",15.1,"10 - 20 (628)"
53059,"""Skamania, (WA)""",19.5,"10 - 20 (628)"
53061,"""Snohomish, (WA)""",17.7,"10 - 20 (628)"
53067,"""Thurston, (WA)""",14.9,"10 - 20 (628)"
53069,"""Wahkiakum, (WA)""",20.3,"20 - 22 (650)"
53073,"""Whatcom, (WA)""",14.8,"10 - 20 (628)"
53077,"""Yakima, (WA)""",22,"22 - 24 (631)"
04001,"""Apache, (AZ)""",23.7,"24 - 26 (591)"
04003,"""Cochise, (AZ)""",23.2,"22 - 24 (631)"
04005,"""Coconino, (AZ)""",15.7,"10 - 20 (628)"
04007,"""Gila, (AZ)""",23.2,"22 - 24 (631)"
04009,"""Graham, (AZ)""",25,"24 - 26 (591)"
04011,"""Greenlee, (AZ)""",17.5,"10 - 20 (628)"
04012,"""La Paz, (AZ)""",25,"24 - 26 (591)"
04013,"""Maricopa, (AZ)""",19.6,"10 - 20 (628)"
04015,"""Mohave, (AZ)""",28.3,"26 - 38 (621)"
04017,"""Navajo, (AZ)""",23.4,"22 - 24 (631)"
04019,"""Pima, (AZ)""",18.3,"10 - 20 (628)"
04021,"""Pinal, (AZ)""",28.1,"26 - 38 (621)"
04023,"""Santa Cruz, (AZ)""",20.9,"20 - 22 (650)"
04025,"""Yavapai, (AZ)""",20.6,"20 - 22 (650)"
04027,"""Yuma, (AZ)""",21.8,"22 - 24 (631)"
06003,"""Alpine, (CA)""",21.2,"20 - 22 (650)"
06019,"""Fresno, (CA)""",23.2,"22 - 24 (631)"
06025,"""Imperial, (CA)""",26.2,"24 - 26 (591)"
06027,"""Inyo, (CA)""",19.1,"10 - 20 (628)"
06029,"""Kern, (CA)""",28.6,"26 - 38 (621)"
06037,"""Los Angeles, (CA)""",19,"10 - 20 (628)"
06039,"""Madera, (CA)""",27.1,"26 - 38 (621)"
06051,"""Mono, (CA)""",19.3,"10 - 20 (628)"
06059,"""Orange, (CA)""",17.1,"10 - 20 (628)"
06065,"""Riverside, (CA)""",20.6,"20 - 22 (650)"
06071,"""San Bernardino, (CA)""",23.6,"22 - 24 (631)"
06073,"""San Diego, (CA)""",17.6,"10 - 20 (628)"
06107,"""Tulare, (CA)""",24.7,"24 - 26 (591)"
06111,"""Ventura, (CA)""",18.7,"10 - 20 (628)"
08007,"""Archuleta, (CO)""",17.3,"10 - 20 (628)"
08029,"""Delta, (CO)""",17.4,"10 - 20 (628)"
08033,"""Dolores, (CO)""",17.2,"10 - 20 (628)"
08045,"""Garfield, (CO)""",16.3,"10 - 20 (628)"
08051,"""Gunnison, (CO)""",16.4,"10 - 20 (628)"
08053,"""Hinsdale, (CO)""",19.8,"20 - 22 (650)"
08067,"""La Plata, (CO)""",14.4,"10 - 20 (628)"
08077,"""Mesa, (CO)""",17.3,"10 - 20 (628)"
08079,"""Mineral, (CO)""",18.8,"10 - 20 (628)"
08081,"""Moffat, (CO)""",20.9,"20 - 22 (650)"
08083,"""Montezuma, (CO)""",17.1,"10 - 20 (628)"
08085,"""Montrose, (CO)""",19.7,"20 - 22 (650)"
08091,"""Ouray, (CO)""",18,"10 - 20 (628)"
08097,"""Pitkin, (CO)""",14.8,"10 - 20 (628)"
08103,"""Rio Blanco, (CO)""",18.1,"10 - 20 (628)"
08107,"""Routt, (CO)""",16.8,"10 - 20 (628)"
08111,"""San Juan, (CO)""",18.6,"10 - 20 (628)"
08113,"""San Miguel, (CO)""",17.7,"10 - 20 (628)"
16001,"""Ada, (ID)""",17.1,"10 - 20 (628)"
16005,"""Bannock, (ID)""",23.2,"22 - 24 (631)"
16007,"""Bear Lake, (ID)""",22.2,"22 - 24 (631)"
16011,"""Bingham, (ID)""",20.3,"20 - 22 (650)"
16013,"""Blaine, (ID)""",16.5,"10 - 20 (628)"
16015,"""Boise, (ID)""",16.9,"10 - 20 (628)"
16019,"""Bonneville, (ID)""",21.1,"20 - 22 (650)"
16023,"""Butte, (ID)""",22.4,"22 - 24 (631)"
16025,"""Camas, (ID)""",20.9,"20 - 22 (650)"
16027,"""Canyon, (ID)""",24.5,"24 - 26 (591)"
16029,"""Caribou, (ID)""",20.1,"20 - 22 (650)"
16031,"""Cassia, (ID)""",24.4,"24 - 26 (591)"
16033,"""Clark, (ID)""",18.4,"10 - 20 (628)"
16037,"""Custer, (ID)""",21.8,"22 - 24 (631)"
16039,"""Elmore, (ID)""",20.5,"20 - 22 (650)"
16041,"""Franklin, (ID)""",24,"24 - 26 (591)"
16043,"""Fremont, (ID)""",22.2,"22 - 24 (631)"
16045,"""Gem, (ID)""",25.8,"24 - 26 (591)"
16047,"""Gooding, (ID)""",23.3,"22 - 24 (631)"
16051,"""Jefferson, (ID)""",19.3,"10 - 20 (628)"
16053,"""Jerome, (ID)""",23,"22 - 24 (631)"
16063,"""Lincoln, (ID)""",22.2,"22 - 24 (631)"
16065,"""Madison, (ID)""",17.7,"10 - 20 (628)"
16067,"""Minidoka, (ID)""",25.8,"24 - 26 (591)"
16071,"""Oneida, (ID)""",27.4,"26 - 38 (621)"
16073,"""Owyhee, (ID)""",23.4,"22 - 24 (631)"
16075,"""Payette, (ID)""",24.6,"24 - 26 (591)"
16077,"""Power, (ID)""",23,"22 - 24 (631)"
16081,"""Teton, (ID)""",14.8,"10 - 20 (628)"
16083,"""Twin Falls, (ID)""",25,"24 - 26 (591)"
16087,"""Washington, (ID)""",24.3,"24 - 26 (591)"
32001,"""Churchill, (NV)""",23.6,"22 - 24 (631)"
32003,"""Clark, (NV)""",23.8,"24 - 26 (591)"
32005,"""Douglas, (NV)""",17.2,"10 - 20 (628)"
32007,"""Elko, (NV)""",24.3,"24 - 26 (591)"
32009,"""Esmeralda, (NV)""",19.5,"10 - 20 (628)"
32011,"""Eureka, (NV)""",21.1,"20 - 22 (650)"
