"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",18.5,"18 - 20 (634)"
02016,"""Aleutians West, (AK)""",16.7,"16 - 18 (613)"
02020,"""Anchorage, (AK)""",15.7,"5 - 16 (652)"
02050,"""Bethel, (AK)""",34,"22 - 41 (627)"
02060,"""Bristol Bay, (AK)""",17.8,"18 - 20 (634)"
02068,"""Denali, (AK)""",17.4,"16 - 18 (613)"
02070,"""Dillingham, (AK)""",28.4,"22 - 41 (627)"
02090,"""Fairbanks North Star, (AK)""",15.7,"5 - 16 (652)"
02100,"""Haines, (AK)""",17.1,"16 - 18 (613)"
02105,"""Hoonah-Angoon, (AK)""",20.5,"20 - 22 (615)"
02110,"""Juneau, (AK)""",14.8,"5 - 16 (652)"
02122,"""Kenai Peninsula, (AK)""",18.5,"18 - 20 (634)"
02130,"""Ketchikan Gateway, (AK)""",16.8,"16 - 18 (613)"
02150,"""Kodiak Island, (AK)""",16.4,"16 - 18 (613)"
02164,"""Lake and Peninsula, (AK)""",25.1,"22 - 41 (627)"
02170,"""Matanuska-Susitna, (AK)""",18.8,"18 - 20 (634)"
02180,"""Nome, (AK)""",30.3,"22 - 41 (627)"
02185,"""North Slope, (AK)""",24.8,"22 - 41 (627)"
02188,"""Northwest Arctic, (AK)""",31.6,"22 - 41 (627)"
02195,"""Petersburg, (AK)""",17.1,"16 - 18 (613)"
02198,"""Prince of Wales-Hyder, (AK)""",23.7,"22 - 41 (627)"
02220,"""Sitka, (AK)""",15.4,"5 - 16 (652)"
02230,"""Skagway, (AK)""",18.3,"18 - 20 (634)"
02240,"""Southeast Fairbanks, (AK)""",18.7,"18 - 20 (634)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",40.7,"22 - 41 (627)"
02275,"""Wrangell, (AK)""",18.8,"18 - 20 (634)"
02282,"""Yakutat, (AK)""",21,"20 - 22 (615)"
02290,"""Yukon-Koyukuk, (AK)""",28.6,"22 - 41 (627)"
06001,"""Alameda, (CA)""",10,"5 - 16 (652)"
06005,"""Amador, (CA)""",13.4,"5 - 16 (652)"
06007,"""Butte, (CA)""",14,"5 - 16 (652)"
06009,"""Calaveras, (CA)""",13.3,"5 - 16 (652)"
06011,"""Colusa, (CA)""",13.8,"5 - 16 (652)"
06013,"""Contra Costa, (CA)""",9.9,"5 - 16 (652)"
