"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",42.1,"28 - 72 (642)"
02016,"""Aleutians West, (AK)""",21,"19 - 23 (644)"
02020,"""Anchorage, (AK)""",8,"3 - 15 (653)"
02050,"""Bethel, (AK)""",26.6,"23 - 28 (643)"
02060,"""Bristol Bay, (AK)""",19,"19 - 23 (644)"
02068,"""Denali, (AK)""",14.9,"15 - 19 (637)"
02070,"""Dillingham, (AK)""",27.1,"23 - 28 (643)"
02090,"""Fairbanks North Star, (AK)""",12.9,"3 - 15 (653)"
02100,"""Haines, (AK)""",13.6,"3 - 15 (653)"
02105,"""Hoonah-Angoon, (AK)""",39.1,"28 - 72 (642)"
02110,"""Juneau, (AK)""",8.7,"3 - 15 (653)"
02122,"""Kenai Peninsula, (AK)""",16.9,"15 - 19 (637)"
02130,"""Ketchikan Gateway, (AK)""",13,"3 - 15 (653)"
02150,"""Kodiak Island, (AK)""",14.2,"3 - 15 (653)"
02164,"""Lake and Peninsula, (AK)""",31.4,"28 - 72 (642)"
02170,"""Matanuska-Susitna, (AK)""",12,"3 - 15 (653)"
02180,"""Nome, (AK)""",21.7,"19 - 23 (644)"
02185,"""North Slope, (AK)""",28.4,"28 - 72 (642)"
02188,"""Northwest Arctic, (AK)""",21.6,"19 - 23 (644)"
02195,"""Petersburg, (AK)""",20.1,"19 - 23 (644)"
02198,"""Prince of Wales-Hyder, (AK)""",31.4,"28 - 72 (642)"
02220,"""Sitka, (AK)""",15.4,"15 - 19 (637)"
02230,"""Skagway, (AK)""",10.9,"3 - 15 (653)"
02240,"""Southeast Fairbanks, (AK)""",30.5,"28 - 72 (642)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",33.9,"28 - 72 (642)"
02275,"""Wrangell, (AK)""",19.4,"19 - 23 (644)"
02282,"""Yakutat, (AK)""",17.6,"15 - 19 (637)"
02290,"""Yukon-Koyukuk, (AK)""",54.1,"28 - 72 (642)"
06001,"""Alameda, (CA)""",8.9,"3 - 15 (653)"
06005,"""Amador, (CA)""",16.4,"15 - 19 (637)"
06007,"""Butte, (CA)""",12.3,"3 - 15 (653)"
06009,"""Calaveras, (CA)""",15.9,"15 - 19 (637)"
06011,"""Colusa, (CA)""",19.6,"19 - 23 (644)"
06013,"""Contra Costa, (CA)""",6.8,"3 - 15 (653)"
06015,"""Del Norte, (CA)""",16.5,"15 - 19 (637)"
06017,"""El Dorado, (CA)""",11.1,"3 - 15 (653)"
06021,"""Glenn, (CA)""",26.3,"23 - 28 (643)"
06023,"""Humboldt, (CA)""",14.3,"3 - 15 (653)"
06031,"""Kings, (CA)""",16.6,"15 - 19 (637)"
06033,"""Lake, (CA)""",19.2,"19 - 23 (644)"
06035,"""Lassen, (CA)""",17.9,"15 - 19 (637)"
06041,"""Marin, (CA)""",6.9,"3 - 15 (653)"
06043,"""Mariposa, (CA)""",21,"19 - 23 (644)"
06045,"""Mendocino, (CA)""",17.6,"15 - 19 (637)"
06047,"""Merced, (CA)""",12.6,"3 - 15 (653)"
06049,"""Modoc, (CA)""",24.7,"23 - 28 (643)"
06053,"""Monterey, (CA)""",12.3,"3 - 15 (653)"
06055,"""Napa, (CA)""",9.6,"3 - 15 (653)"
06057,"""Nevada, (CA)""",12,"3 - 15 (653)"
06061,"""Placer, (CA)""",9,"3 - 15 (653)"
06063,"""Plumas, (CA)""",18.7,"15 - 19 (637)"
06067,"""Sacramento, (CA)""",9.7,"3 - 15 (653)"
06069,"""San Benito, (CA)""",8.5,"3 - 15 (653)"
06075,"""San Francisco, (CA)""",10.5,"3 - 15 (653)"
06077,"""San Joaquin, (CA)""",13.9,"3 - 15 (653)"
06079,"""San Luis Obispo, (CA)""",10.8,"3 - 15 (653)"
06081,"""San Mateo, (CA)""",7.5,"3 - 15 (653)"
06083,"""Santa Barbara, (CA)""",10.3,"3 - 15 (653)"
06085,"""Santa Clara, (CA)""",7,"3 - 15 (653)"
06087,"""Santa Cruz, (CA)""",9.6,"3 - 15 (653)"
06089,"""Shasta, (CA)""",15.1,"15 - 19 (637)"
06091,"""Sierra, (CA)""",24.5,"23 - 28 (643)"
06093,"""Siskiyou, (CA)""",18.2,"15 - 19 (637)"
06095,"""Solano, (CA)""",8.1,"3 - 15 (653)"
06097,"""Sonoma, (CA)""",9,"3 - 15 (653)"
06099,"""Stanislaus, (CA)""",13.5,"3 - 15 (653)"
06101,"""Sutter, (CA)""",14.6,"3 - 15 (653)"
06103,"""Tehama, (CA)""",19.9,"19 - 23 (644)"
