"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",11.5,"11 - 13 (626)"
02016,"""Aleutians West, (AK)""",8.2,"8 - 11 (667)"
02020,"""Anchorage, (AK)""",3.3,"0 - 8 (647)"
02050,"""Bethel, (AK)""",10.2,"8 - 11 (667)"
02060,"""Bristol Bay, (AK)""",7,"0 - 8 (647)"
02068,"""Denali, (AK)""",4.4,"0 - 8 (647)"
02070,"""Dillingham, (AK)""",8.6,"8 - 11 (667)"
02090,"""Fairbanks North Star, (AK)""",3.4,"0 - 8 (647)"
02100,"""Haines, (AK)""",2.8,"0 - 8 (647)"
02105,"""Hoonah-Angoon, (AK)""",19.5,"17 - 61 (639)"
02110,"""Juneau, (AK)""",4.8,"0 - 8 (647)"
02122,"""Kenai Peninsula, (AK)""",6.9,"0 - 8 (647)"
02130,"""Ketchikan Gateway, (AK)""",6.7,"0 - 8 (647)"
02150,"""Kodiak Island, (AK)""",9.1,"8 - 11 (667)"
02164,"""Lake and Peninsula, (AK)""",11.7,"11 - 13 (626)"
02170,"""Matanuska-Susitna, (AK)""",4.7,"0 - 8 (647)"
02180,"""Nome, (AK)""",6.8,"0 - 8 (647)"
02185,"""North Slope, (AK)""",12.2,"11 - 13 (626)"
02188,"""Northwest Arctic, (AK)""",12,"11 - 13 (626)"
02195,"""Petersburg, (AK)""",6.1,"0 - 8 (647)"
02198,"""Prince of Wales-Hyder, (AK)""",12.7,"11 - 13 (626)"
02220,"""Sitka, (AK)""",6.4,"0 - 8 (647)"
02230,"""Skagway, (AK)""",2.7,"0 - 8 (647)"
02240,"""Southeast Fairbanks, (AK)""",10.3,"8 - 11 (667)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",18.7,"17 - 61 (639)"
02275,"""Wrangell, (AK)""",12,"11 - 13 (626)"
02282,"""Yakutat, (AK)""",8.6,"8 - 11 (667)"
02290,"""Yukon-Koyukuk, (AK)""",27.5,"17 - 61 (639)"
06001,"""Alameda, (CA)""",4.7,"0 - 8 (647)"
06005,"""Amador, (CA)""",9.6,"8 - 11 (667)"
06007,"""Butte, (CA)""",6,"0 - 8 (647)"
06009,"""Calaveras, (CA)""",8.6,"8 - 11 (667)"
06011,"""Colusa, (CA)""",12.5,"11 - 13 (626)"
06013,"""Contra Costa, (CA)""",3.8,"0 - 8 (647)"
06015,"""Del Norte, (CA)""",8.3,"8 - 11 (667)"
06017,"""El Dorado, (CA)""",6,"0 - 8 (647)"
06021,"""Glenn, (CA)""",14.6,"13 - 17 (640)"
06023,"""Humboldt, (CA)""",7.8,"0 - 8 (647)"
06031,"""Kings, (CA)""",7.7,"0 - 8 (647)"
06033,"""Lake, (CA)""",10.9,"11 - 13 (626)"
06035,"""Lassen, (CA)""",11.7,"11 - 13 (626)"
06041,"""Marin, (CA)""",3.9,"0 - 8 (647)"
06043,"""Mariposa, (CA)""",11.2,"11 - 13 (626)"
06045,"""Mendocino, (CA)""",11.1,"11 - 13 (626)"
06047,"""Merced, (CA)""",7.4,"0 - 8 (647)"
06049,"""Modoc, (CA)""",16,"13 - 17 (640)"
06053,"""Monterey, (CA)""",6.9,"0 - 8 (647)"
06055,"""Napa, (CA)""",4.9,"0 - 8 (647)"
06057,"""Nevada, (CA)""",6.2,"0 - 8 (647)"
06061,"""Placer, (CA)""",4.1,"0 - 8 (647)"
06063,"""Plumas, (CA)""",9,"8 - 11 (667)"
06067,"""Sacramento, (CA)""",4.8,"0 - 8 (647)"
06069,"""San Benito, (CA)""",4.3,"0 - 8 (647)"
06075,"""San Francisco, (CA)""",5.7,"0 - 8 (647)"
06077,"""San Joaquin, (CA)""",6.9,"0 - 8 (647)"
06079,"""San Luis Obispo, (CA)""",5.2,"0 - 8 (647)"
06081,"""San Mateo, (CA)""",3.9,"0 - 8 (647)"
06083,"""Santa Barbara, (CA)""",5.8,"0 - 8 (647)"
06085,"""Santa Clara, (CA)""",3.4,"0 - 8 (647)"
06087,"""Santa Cruz, (CA)""",5.7,"0 - 8 (647)"
06089,"""Shasta, (CA)""",7.8,"0 - 8 (647)"
06091,"""Sierra, (CA)""",16.2,"13 - 17 (640)"
06093,"""Siskiyou, (CA)""",10.1,"8 - 11 (667)"
06095,"""Solano, (CA)""",4.4,"0 - 8 (647)"
06097,"""Sonoma, (CA)""",5,"0 - 8 (647)"
06099,"""Stanislaus, (CA)""",7.6,"0 - 8 (647)"
06101,"""Sutter, (CA)""",9.3,"8 - 11 (667)"
06103,"""Tehama, (CA)""",10.8,"11 - 13 (626)"
06105,"""Trinity, (CA)""",16.2,"13 - 17 (640)"
06109,"""Tuolumne, (CA)""",9.1,"8 - 11 (667)"
06113,"""Yolo, (CA)""",5.5,"0 - 8 (647)"
