"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",83.4,"82 - 85 (652)"
02016,"""Aleutians West, (AK)""",83,"82 - 85 (652)"
02020,"""Anchorage, (AK)""",63.4,"21 - 71 (644)"
02050,"""Bethel, (AK)""",88.7,"85 - 100 (626)"
02060,"""Bristol Bay, (AK)""",74.2,"71 - 78 (645)"
02068,"""Denali, (AK)""",60.9,"21 - 71 (644)"
02070,"""Dillingham, (AK)""",80.6,"78 - 81 (652)"
02090,"""Fairbanks North Star, (AK)""",67.7,"21 - 71 (644)"
02100,"""Haines, (AK)""",72.3,"71 - 78 (645)"
02105,"""Hoonah-Angoon, (AK)""",80.4,"78 - 81 (652)"
02110,"""Juneau, (AK)""",61.2,"21 - 71 (644)"
02122,"""Kenai Peninsula, (AK)""",74.2,"71 - 78 (645)"
02130,"""Ketchikan Gateway, (AK)""",74.5,"71 - 78 (645)"
02150,"""Kodiak Island, (AK)""",70.2,"21 - 71 (644)"
02164,"""Lake and Peninsula, (AK)""",76.9,"71 - 78 (645)"
02170,"""Matanuska-Susitna, (AK)""",78.1,"78 - 81 (652)"
02180,"""Nome, (AK)""",83,"82 - 85 (652)"
02185,"""North Slope, (AK)""",84.9,"82 - 85 (652)"
02188,"""Northwest Arctic, (AK)""",85,"85 - 100 (626)"
02195,"""Petersburg, (AK)""",74.5,"71 - 78 (645)"
02198,"""Prince of Wales-Hyder, (AK)""",82.8,"82 - 85 (652)"
02220,"""Sitka, (AK)""",65.8,"21 - 71 (644)"
02230,"""Skagway, (AK)""",75.8,"71 - 78 (645)"
02240,"""Southeast Fairbanks, (AK)""",78.8,"78 - 81 (652)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",96.7,"85 - 100 (626)"
02275,"""Wrangell, (AK)""",83.1,"82 - 85 (652)"
02282,"""Yakutat, (AK)""",82,"82 - 85 (652)"
02290,"""Yukon-Koyukuk, (AK)""",86.8,"85 - 100 (626)"
06001,"""Alameda, (CA)""",51.3,"21 - 71 (644)"
06005,"""Amador, (CA)""",81.9,"82 - 85 (652)"
06007,"""Butte, (CA)""",71.7,"71 - 78 (645)"
06009,"""Calaveras, (CA)""",80.2,"78 - 81 (652)"
06011,"""Colusa, (CA)""",85.1,"85 - 100 (626)"
06013,"""Contra Costa, (CA)""",56.7,"21 - 71 (644)"
06015,"""Del Norte, (CA)""",84.6,"82 - 85 (652)"
06017,"""El Dorado, (CA)""",64.8,"21 - 71 (644)"
06021,"""Glenn, (CA)""",85.6,"85 - 100 (626)"
06023,"""Humboldt, (CA)""",69.1,"21 - 71 (644)"
06031,"""Kings, (CA)""",85,"85 - 100 (626)"
06033,"""Lake, (CA)""",83.3,"82 - 85 (652)"
06035,"""Lassen, (CA)""",87.3,"85 - 100 (626)"
06041,"""Marin, (CA)""",39.8,"21 - 71 (644)"
06043,"""Mariposa, (CA)""",73.1,"71 - 78 (645)"
06045,"""Mendocino, (CA)""",76,"71 - 78 (645)"
