"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",13.4,"13 - 18 (635)"
02016,"""Aleutians West, (AK)""",8.2,"8 - 10 (641)"
02020,"""Anchorage, (AK)""",6,"1 - 7 (655)"
02050,"""Bethel, (AK)""",16.5,"13 - 18 (635)"
02060,"""Bristol Bay, (AK)""",6.2,"1 - 7 (655)"
02068,"""Denali, (AK)""",2.3,"1 - 7 (655)"
02070,"""Dillingham, (AK)""",13.5,"13 - 18 (635)"
02090,"""Fairbanks North Star, (AK)""",5.5,"1 - 7 (655)"
02100,"""Haines, (AK)""",2,"1 - 7 (655)"
02105,"""Hoonah-Angoon, (AK)""",6,"1 - 7 (655)"
02110,"""Juneau, (AK)""",3.8,"1 - 7 (655)"
02122,"""Kenai Peninsula, (AK)""",7,"1 - 7 (655)"
02130,"""Ketchikan Gateway, (AK)""",6.1,"1 - 7 (655)"
02150,"""Kodiak Island, (AK)""",10.4,"10 - 13 (648)"
02164,"""Lake and Peninsula, (AK)""",11.8,"10 - 13 (648)"
02170,"""Matanuska-Susitna, (AK)""",6.4,"1 - 7 (655)"
02180,"""Nome, (AK)""",14,"13 - 18 (635)"
02185,"""North Slope, (AK)""",11.3,"10 - 13 (648)"
02188,"""Northwest Arctic, (AK)""",15.5,"13 - 18 (635)"
02195,"""Petersburg, (AK)""",10.8,"10 - 13 (648)"
02198,"""Prince of Wales-Hyder, (AK)""",8.7,"8 - 10 (641)"
02220,"""Sitka, (AK)""",4.8,"1 - 7 (655)"
02230,"""Skagway, (AK)""",11.5,"10 - 13 (648)"
02240,"""Southeast Fairbanks, (AK)""",8.9,"8 - 10 (641)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",21.4,"18 - 78 (640)"
02275,"""Wrangell, (AK)""",11.7,"10 - 13 (648)"
02282,"""Yakutat, (AK)""",5.6,"1 - 7 (655)"
02290,"""Yukon-Koyukuk, (AK)""",12,"10 - 13 (648)"
06001,"""Alameda, (CA)""",11.2,"10 - 13 (648)"
06005,"""Amador, (CA)""",8.8,"8 - 10 (641)"
06007,"""Butte, (CA)""",10.3,"10 - 13 (648)"
06009,"""Calaveras, (CA)""",10.3,"10 - 13 (648)"
06011,"""Colusa, (CA)""",27.2,"18 - 78 (640)"
06013,"""Contra Costa, (CA)""",10.1,"10 - 13 (648)"
06015,"""Del Norte, (CA)""",20.3,"18 - 78 (640)"
06017,"""El Dorado, (CA)""",6,"1 - 7 (655)"
06021,"""Glenn, (CA)""",25.5,"18 - 78 (640)"
06023,"""Humboldt, (CA)""",9.4,"8 - 10 (641)"
06031,"""Kings, (CA)""",26,"18 - 78 (640)"
06033,"""Lake, (CA)""",13.8,"13 - 18 (635)"
06035,"""Lassen, (CA)""",19.5,"18 - 78 (640)"
06041,"""Marin, (CA)""",6.4,"1 - 7 (655)"
06043,"""Mariposa, (CA)""",9.1,"8 - 10 (641)"
06045,"""Mendocino, (CA)""",13.3,"13 - 18 (635)"
06047,"""Merced, (CA)""",30.3,"18 - 78 (640)"
06049,"""Modoc, (CA)""",15.3,"13 - 18 (635)"
06053,"""Monterey, (CA)""",27,"18 - 78 (640)"
06055,"""Napa, (CA)""",14.5,"13 - 18 (635)"
06057,"""Nevada, (CA)""",5.4,"1 - 7 (655)"
06061,"""Placer, (CA)""",4.9,"1 - 7 (655)"
06063,"""Plumas, (CA)""",5.3,"1 - 7 (655)"
06067,"""Sacramento, (CA)""",12.1,"10 - 13 (648)"
06069,"""San Benito, (CA)""",18.1,"18 - 78 (640)"
06075,"""San Francisco, (CA)""",11.4,"10 - 13 (648)"
06077,"""San Joaquin, (CA)""",19.9,"18 - 78 (640)"
06079,"""San Luis Obispo, (CA)""",8.2,"8 - 10 (641)"
06081,"""San Mateo, (CA)""",9.6,"8 - 10 (641)"
06083,"""Santa Barbara, (CA)""",18.2,"18 - 78 (640)"
06085,"""Santa Clara, (CA)""",11.3,"10 - 13 (648)"
06087,"""Santa Cruz, (CA)""",11.7,"10 - 13 (648)"
06089,"""Shasta, (CA)""",8.9,"8 - 10 (641)"
06091,"""Sierra, (CA)""",7.5,"8 - 10 (641)"
06093,"""Siskiyou, (CA)""",10.1,"10 - 13 (648)"
06095,"""Solano, (CA)""",11.3,"10 - 13 (648)"
06097,"""Sonoma, (CA)""",10.9,"10 - 13 (648)"
06099,"""Stanislaus, (CA)""",20.2,"18 - 78 (640)"
06101,"""Sutter, (CA)""",20.2,"18 - 78 (640)"
06103,"""Tehama, (CA)""",14.1,"13 - 18 (635)"
06105,"""Trinity, (CA)""",7,"1 - 7 (655)"
06109,"""Tuolumne, (CA)""",9,"8 - 10 (641)"
06113,"""Yolo, (CA)""",12.5,"10 - 13 (648)"
06115,"""Yuba, (CA)""",17.8,"18 - 78 (640)"
15001,"""Hawaii, (HI)""",7.1,"1 - 7 (655)"
15003,"""Honolulu, (HI)""",7.6,"8 - 10 (641)"
15005,"""Kalawao, (HI)""",1.4,"1 - 7 (655)"
15007,"""Kauai, (HI)""",7.6,"8 - 10 (641)"
15009,"""Maui, (HI)""",7.7,"8 - 10 (641)"
41003,"""Benton, (OR)""",3.8,"1 - 7 (655)"
41005,"""Clackamas, (OR)""",6.3,"1 - 7 (655)"
41007,"""Clatsop, (OR)""",7.6,"8 - 10 (641)"
41009,"""Columbia, (OR)""",9.2,"8 - 10 (641)"
41011,"""Coos, (OR)""",10,"8 - 10 (641)"
41013,"""Crook, (OR)""",10.7,"10 - 13 (648)"
41015,"""Curry, (OR)""",7.9,"8 - 10 (641)"
41017,"""Deschutes, (OR)""",6.2,"1 - 7 (655)"
41019,"""Douglas, (OR)""",9.5,"8 - 10 (641)"
41021,"""Gilliam, (OR)""",6.5,"1 - 7 (655)"
41027,"""Hood River, (OR)""",17.5,"13 - 18 (635)"
