"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",0.383,"Lowest (669)"
02016,"""Aleutians West, (AK)""",0.329,"Lowest (669)"
02020,"""Anchorage, (AK)""",0.42,"Low (601)"
02050,"""Bethel, (AK)""",0.458,"High (585)"
02060,"""Bristol Bay, (AK)""",0.377,"Lowest (669)"
02068,"""Denali, (AK)""",0.388,"Lowest (669)"
02070,"""Dillingham, (AK)""",0.406,"Lowest (669)"
02090,"""Fairbanks North Star, (AK)""",0.412,"Lowest (669)"
02100,"""Haines, (AK)""",0.401,"Lowest (669)"
02105,"""Hoonah-Angoon, (AK)""",0.443,"Medium (629)"
02110,"""Juneau, (AK)""",0.383,"Lowest (669)"
02122,"""Kenai Peninsula, (AK)""",0.442,"Medium (629)"
02130,"""Ketchikan Gateway, (AK)""",0.428,"Low (601)"
02150,"""Kodiak Island, (AK)""",0.377,"Lowest (669)"
02164,"""Lake and Peninsula, (AK)""",0.405,"Lowest (669)"
02170,"""Matanuska-Susitna, (AK)""",0.428,"Low (601)"
02180,"""Nome, (AK)""",0.432,"Low (601)"
02185,"""North Slope, (AK)""",0.401,"Lowest (669)"
02188,"""Northwest Arctic, (AK)""",0.436,"Medium (629)"
02195,"""Petersburg, (AK)""",0.422,"Low (601)"
02198,"""Prince of Wales-Hyder, (AK)""",0.428,"Low (601)"
02220,"""Sitka, (AK)""",0.394,"Lowest (669)"
02230,"""Skagway, (AK)""",0.342,"Lowest (669)"
02240,"""Southeast Fairbanks, (AK)""",0.423,"Low (601)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",0.426,"Low (601)"
02275,"""Wrangell, (AK)""",0.392,"Lowest (669)"
02282,"""Yakutat, (AK)""",0.306,"Lowest (669)"
02290,"""Yukon-Koyukuk, (AK)""",0.475,"High (585)"
06001,"""Alameda, (CA)""",0.462,"High (585)"
06005,"""Amador, (CA)""",0.456,"High (585)"
06007,"""Butte, (CA)""",0.495,"Highest (615)"
06009,"""Calaveras, (CA)""",0.424,"Low (601)"
06011,"""Colusa, (CA)""",0.461,"High (585)"
06013,"""Contra Costa, (CA)""",0.466,"High (585)"
06015,"""Del Norte, (CA)""",0.454,"Medium (629)"
06017,"""El Dorado, (CA)""",0.467,"High (585)"
06021,"""Glenn, (CA)""",0.429,"Low (601)"
06023,"""Humboldt, (CA)""",0.486,"Highest (615)"
06031,"""Kings, (CA)""",0.414,"Lowest (669)"
06033,"""Lake, (CA)""",0.495,"Highest (615)"
06035,"""Lassen, (CA)""",0.402,"Lowest (669)"
06041,"""Marin, (CA)""",0.509,"Highest (615)"
06043,"""Mariposa, (CA)""",0.433,"Low (601)"
06045,"""Mendocino, (CA)""",0.471,"High (585)"
06047,"""Merced, (CA)""",0.461,"High (585)"
06049,"""Modoc, (CA)""",0.397,"Lowest (669)"
06053,"""Monterey, (CA)""",0.455,
06055,"""Napa, (CA)""",0.479,"Highest (615)"
06057,"""Nevada, (CA)""",0.47,"High (585)"
06061,"""Placer, (CA)""",0.447,"Medium (629)"
06063,"""Plumas, (CA)""",0.448,"Medium (629)"
06067,"""Sacramento, (CA)""",0.45,"Medium (629)"
06069,"""San Benito, (CA)""",0.411,"Lowest (669)"
06075,"""San Francisco, (CA)""",0.508,"Highest (615)"
06077,"""San Joaquin, (CA)""",0.451,"Medium (629)"
06079,"""San Luis Obispo, (CA)""",0.444,"Medium (629)"
06081,"""San Mateo, (CA)""",0.486,"Highest (615)"
06083,"""Santa Barbara, (CA)""",0.479,"Highest (615)"
06085,"""Santa Clara, (CA)""",0.465,"High (585)"
06087,"""Santa Cruz, (CA)""",0.473,"High (585)"
06089,"""Shasta, (CA)""",0.463,"High (585)"
06091,"""Sierra, (CA)""",0.462,"High (585)"
06093,"""Siskiyou, (CA)""",0.475,"High (585)"
06095,"""Solano, (CA)""",0.415,"Lowest (669)"
06097,"""Sonoma, (CA)""",0.451,"Medium (629)"
06099,"""Stanislaus, (CA)""",0.44,"Medium (629)"
06101,"""Sutter, (CA)""",0.456,"High (585)"
06103,"""Tehama, (CA)""",0.514,"Highest (615)"
06105,"""Trinity, (CA)""",0.485,"Highest (615)"
06109,"""Tuolumne, (CA)""",0.469,"High (585)"
06113,"""Yolo, (CA)""",0.493,"Highest (615)"
06115,"""Yuba, (CA)""",0.423,"Low (601)"
15001,"""Hawaii, (HI)""",0.468,"High (585)"
15003,"""Honolulu, (HI)""",0.433,"Low (601)"
15005,"""Kalawao, (HI)""",0.082,"Lowest (669)"
15007,"""Kauai, (HI)""",0.43,"Low (601)"
15009,"""Maui, (HI)""",0.441,"Medium (629)"
41003,"""Benton, (OR)""",0.475,"High (585)"
41005,"""Clackamas, (OR)""",0.445,"Medium (629)"
41007,"""Clatsop, (OR)""",0.426,"Low (601)"
41009,"""Columbia, (OR)""",0.416,
41011,"""Coos, (OR)""",0.474,"High (585)"
41013,"""Crook, (OR)""",0.39,"Lowest (669)"
41015,"""Curry, (OR)""",0.447,"Medium (629)"
41017,"""Deschutes, (OR)""",0.453,"Medium (629)"
41019,"""Douglas, (OR)""",0.431,"Low (601)"
41021,"""Gilliam, (OR)""",0.43,"Low (601)"
41027,"""Hood River, (OR)""",0.417,"Low (601)"
41029,"""Jackson, (OR)""",0.466,"High (585)"
41031,"""Jefferson, (OR)""",0.462,"High (585)"
41033,"""Josephine, (OR)""",0.466,"High (585)"
41035,"""Klamath, (OR)""",0.451,"Medium (629)"
41037,"""Lake, (OR)""",0.438,"Medium (629)"
41039,"""Lane, (OR)""",0.462,"High (585)"
41041,"""Lincoln, (OR)""",0.458,"High (585)"
41043,"""Linn, (OR)""",0.406,"Lowest (669)"
41047,"""Marion, (OR)""",0.429,"Low (601)"
41051,"""Multnomah, (OR)""",0.472,"High (585)"
41053,"""Polk, (OR)""",0.449,"Medium (629)"
41055,"""Sherman, (OR)""",0.464,"High (585)"
41057,"""Tillamook, (OR)""",0.435,
41065,"""Wasco, (OR)""",0.46,"High (585)"
41067,"""Washington, (OR)""",0.417,"Low (601)"
41069,"""Wheeler, (OR)""",0.39,"Lowest (669)"
41071,"""Yamhill, (OR)""",0.453,"Medium (629)"
53007,"""Chelan, (WA)""",0.446,"Medium (629)"
53009,"""Clallam, (WA)""",0.432,"Low (601)"
53011,"""Clark, (WA)""",0.421,"Low (601)"
53015,"""Cowlitz, (WA)""",0.445,"Medium (629)"
53027,"""Grays Harbor, (WA)""",0.435,
53029,"""Island, (WA)""",0.435,
53031,"""Jefferson, (WA)""",0.474,"High (585)"
53033,"""King, (WA)""",0.468,"High (585)"
53035,"""Kitsap, (WA)""",0.42,"Low (601)"
53037,"""Kittitas, (WA)""",0.453,"Medium (629)"
53039,"""Klickitat, (WA)""",0.451,"Medium (629)"
53041,"""Lewis, (WA)""",0.431,"Low (601)"
53045,"""Mason, (WA)""",0.41,"Lowest (669)"
53047,"""Okanogan, (WA)""",0.429,"Low (601)"
53049,"""Pacific, (WA)""",0.419,"Low (601)"
53053,"""Pierce, (WA)""",0.422,"Low (601)"
53055,"""San Juan, (WA)""",0.52,"Highest (615)"
53057,"""Skagit, (WA)""",0.429,"Low (601)"
53059,"""Skamania, (WA)""",0.421,"Low (601)"
53061,"""Snohomish, (WA)""",0.408,"Lowest (669)"
53067,"""Thurston, (WA)""",0.406,"Lowest (669)"
53069,"""Wahkiakum, (WA)""",0.408,"Lowest (669)"
53073,"""Whatcom, (WA)""",0.43,"Low (601)"
53077,"""Yakima, (WA)""",0.432,"Low (601)"
04001,"""Apache, (AZ)""",0.494,"Highest (615)"
