"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",137000,"""$119,000 - $151,000 (643)"""
02016,"""Aleutians West, (AK)""",317000,"""$203,000 - $1,163,000 (640)"""
02020,"""Anchorage, (AK)""",320000,"""$203,000 - $1,163,000 (640)"""
02050,"""Bethel, (AK)""",89000,"""$23,000 - $95,000 (657)"""
02060,"""Bristol Bay, (AK)""",222000,"""$203,000 - $1,163,000 (640)"""
02068,"""Denali, (AK)""",234000,"""$203,000 - $1,163,000 (640)"""
02070,"""Dillingham, (AK)""",156000,"""$151,000 - $203,000 (633)"""
02090,"""Fairbanks North Star, (AK)""",240000,"""$203,000 - $1,163,000 (640)"""
02100,"""Haines, (AK)""",264000,"""$203,000 - $1,163,000 (640)"""
02105,"""Hoonah-Angoon, (AK)""",222000,"""$203,000 - $1,163,000 (640)"""
02110,"""Juneau, (AK)""",355000,"""$203,000 - $1,163,000 (640)"""
02122,"""Kenai Peninsula, (AK)""",245000,"""$203,000 - $1,163,000 (640)"""
02130,"""Ketchikan Gateway, (AK)""",300000,"""$203,000 - $1,163,000 (640)"""
02150,"""Kodiak Island, (AK)""",295000,"""$203,000 - $1,163,000 (640)"""
02164,"""Lake and Peninsula, (AK)""",121000,"""$119,000 - $151,000 (643)"""
02170,"""Matanuska-Susitna, (AK)""",258000,"""$203,000 - $1,163,000 (640)"""
02180,"""Nome, (AK)""",160000,"""$151,000 - $203,000 (633)"""
02185,"""North Slope, (AK)""",163000,"""$151,000 - $203,000 (633)"""
02188,"""Northwest Arctic, (AK)""",126000,"""$119,000 - $151,000 (643)"""
02195,"""Petersburg, (AK)""",228000,"""$203,000 - $1,163,000 (640)"""
02198,"""Prince of Wales-Hyder, (AK)""",192000,"""$151,000 - $203,000 (633)"""
02220,"""Sitka, (AK)""",366000,"""$203,000 - $1,163,000 (640)"""
02230,"""Skagway, (AK)""",397000,"""$203,000 - $1,163,000 (640)"""
02240,"""Southeast Fairbanks, (AK)""",179000,"""$151,000 - $203,000 (633)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",73000,"""$23,000 - $95,000 (657)"""
02275,"""Wrangell, (AK)""",222000,"""$203,000 - $1,163,000 (640)"""
02282,"""Yakutat, (AK)""",171000,"""$151,000 - $203,000 (633)"""
02290,"""Yukon-Koyukuk, (AK)""",75000,"""$23,000 - $95,000 (657)"""
06001,"""Alameda, (CA)""",825000,"""$203,000 - $1,163,000 (640)"""
06005,"""Amador, (CA)""",329000,"""$203,000 - $1,163,000 (640)"""
06007,"""Butte, (CA)""",305000,"""$203,000 - $1,163,000 (640)"""
06009,"""Calaveras, (CA)""",340000,"""$203,000 - $1,163,000 (640)"""
06011,"""Colusa, (CA)""",274000,"""$203,000 - $1,163,000 (640)"""
06013,"""Contra Costa, (CA)""",656000,"""$203,000 - $1,163,000 (640)"""
06015,"""Del Norte, (CA)""",228000,"""$203,000 - $1,163,000 (640)"""
06017,"""El Dorado, (CA)""",480000,"""$203,000 - $1,163,000 (640)"""
06021,"""Glenn, (CA)""",242000,"""$203,000 - $1,163,000 (640)"""
06023,"""Humboldt, (CA)""",331000,"""$203,000 - $1,163,000 (640)"""
06031,"""Kings, (CA)""",227000,"""$203,000 - $1,163,000 (640)"""
06033,"""Lake, (CA)""",238000,"""$203,000 - $1,163,000 (640)"""
06035,"""Lassen, (CA)""",208000,"""$203,000 - $1,163,000 (640)"""
06041,"""Marin, (CA)""",1054000,"""$203,000 - $1,163,000 (640)"""
06043,"""Mariposa, (CA)""",290000,"""$203,000 - $1,163,000 (640)"""
06045,"""Mendocino, (CA)""",389000,"""$203,000 - $1,163,000 (640)"""
06047,"""Merced, (CA)""",269000,"""$203,000 - $1,163,000 (640)"""
06049,"""Modoc, (CA)""",154000,"""$151,000 - $203,000 (633)"""
06053,"""Monterey, (CA)""",559000,"""$203,000 - $1,163,000 (640)"""
06055,"""Napa, (CA)""",667000,"""$203,000 - $1,163,000 (640)"""
06057,"""Nevada, (CA)""",446000,"""$203,000 - $1,163,000 (640)"""
06061,"""Placer, (CA)""",496000,"""$203,000 - $1,163,000 (640)"""
06063,"""Plumas, (CA)""",259000,"""$203,000 - $1,163,000 (640)"""
06067,"""Sacramento, (CA)""",373000,"""$203,000 - $1,163,000 (640)"""
06069,"""San Benito, (CA)""",589000,"""$203,000 - $1,163,000 (640)"""
06075,"""San Francisco, (CA)""",1152000,"""$203,000 - $1,163,000 (640)"""
06077,"""San Joaquin, (CA)""",368000,"""$203,000 - $1,163,000 (640)"""
06079,"""San Luis Obispo, (CA)""",605000,"""$203,000 - $1,163,000 (640)"""
06081,"""San Mateo, (CA)""",1163000,"""$203,000 - $1,163,000 (640)"""
06083,"""Santa Barbara, (CA)""",610000,"""$203,000 - $1,163,000 (640)"""
06085,"""Santa Clara, (CA)""",1062000,"""$203,000 - $1,163,000 (640)"""
06087,"""Santa Cruz, (CA)""",787000,"""$203,000 - $1,163,000 (640)"""
06089,"""Shasta, (CA)""",261000,"""$203,000 - $1,163,000 (640)"""
06091,"""Sierra, (CA)""",229000,"""$203,000 - $1,163,000 (640)"""
06093,"""Siskiyou, (CA)""",214000,"""$203,000 - $1,163,000 (640)"""
06095,"""Solano, (CA)""",438000,"""$203,000 - $1,163,000 (640)"""
06097,"""Sonoma, (CA)""",640000,"""$203,000 - $1,163,000 (640)"""
06099,"""Stanislaus, (CA)""",314000,"""$203,000 - $1,163,000 (640)"""
06101,"""Sutter, (CA)""",306000,"""$203,000 - $1,163,000 (640)"""
06103,"""Tehama, (CA)""",232000,"""$203,000 - $1,163,000 (640)"""
06105,"""Trinity, (CA)""",286000,"""$203,000 - $1,163,000 (640)"""
06109,"""Tuolumne, (CA)""",314000,"""$203,000 - $1,163,000 (640)"""
06113,"""Yolo, (CA)""",457000,"""$203,000 - $1,163,000 (640)"""
06115,"""Yuba, (CA)""",274000,"""$203,000 - $1,163,000 (640)"""
15001,"""Hawaii, (HI)""",364000,"""$203,000 - $1,163,000 (640)"""
15003,"""Honolulu, (HI)""",702000,"""$203,000 - $1,163,000 (640)"""
15005,"""Kalawao, (HI)""",-6667000,
15007,"""Kauai, (HI)""",607000,"""$203,000 - $1,163,000 (640)"""
15009,"""Maui, (HI)""",657000,"""$203,000 - $1,163,000 (640)"""
41003,"""Benton, (OR)""",358000,"""$203,000 - $1,163,000 (640)"""
