"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",79000,"""$67,000 - $160,000 (576)"""
02016,"""Aleutians West, (AK)""",92000,"""$67,000 - $160,000 (576)"""
02020,"""Anchorage, (AK)""",85000,"""$67,000 - $160,000 (576)"""
02050,"""Bethel, (AK)""",52000,"""$46,000 - $52,000 (624)"""
02060,"""Bristol Bay, (AK)""",87000,"""$67,000 - $160,000 (576)"""
02068,"""Denali, (AK)""",80000,"""$67,000 - $160,000 (576)"""
02070,"""Dillingham, (AK)""",72000,"""$67,000 - $160,000 (576)"""
02090,"""Fairbanks North Star, (AK)""",77000,"""$67,000 - $160,000 (576)"""
02100,"""Haines, (AK)""",105000,"""$67,000 - $160,000 (576)"""
02105,"""Hoonah-Angoon, (AK)""",56000,"""$52,000 - $58,000 (635)"""
02110,"""Juneau, (AK)""",89000,"""$67,000 - $160,000 (576)"""
02122,"""Kenai Peninsula, (AK)""",68000,"""$67,000 - $160,000 (576)"""
02130,"""Ketchikan Gateway, (AK)""",77000,"""$67,000 - $160,000 (576)"""
02150,"""Kodiak Island, (AK)""",72000,"""$67,000 - $160,000 (576)"""
02164,"""Lake and Peninsula, (AK)""",54000,"""$52,000 - $58,000 (635)"""
02170,"""Matanuska-Susitna, (AK)""",90000,"""$67,000 - $160,000 (576)"""
02180,"""Nome, (AK)""",64000,"""$58,000 - $67,000 (646)"""
02185,"""North Slope, (AK)""",95000,"""$67,000 - $160,000 (576)"""
02188,"""Northwest Arctic, (AK)""",65000,"""$58,000 - $67,000 (646)"""
02195,"""Petersburg, (AK)""",66000,"""$58,000 - $67,000 (646)"""
02198,"""Prince of Wales-Hyder, (AK)""",54000,"""$52,000 - $58,000 (635)"""
02220,"""Sitka, (AK)""",79000,"""$67,000 - $160,000 (576)"""
02230,"""Skagway, (AK)""",78000,"""$67,000 - $160,000 (576)"""
02240,"""Southeast Fairbanks, (AK)""",65000,"""$58,000 - $67,000 (646)"""
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",38000,"""$23,000 - $46,000 (659)"""
02275,"""Wrangell, (AK)""",65000,"""$58,000 - $67,000 (646)"""
02282,"""Yakutat, (AK)""",68000,"""$67,000 - $160,000 (576)"""
02290,"""Yukon-Koyukuk, (AK)""",43000,"""$23,000 - $46,000 (659)"""
06001,"""Alameda, (CA)""",114000,"""$67,000 - $160,000 (576)"""
06005,"""Amador, (CA)""",68000,"""$67,000 - $160,000 (576)"""
06007,"""Butte, (CA)""",55000,"""$52,000 - $58,000 (635)"""
06009,"""Calaveras, (CA)""",66000,"""$58,000 - $67,000 (646)"""
06011,"""Colusa, (CA)""",59000,"""$58,000 - $67,000 (646)"""
06013,"""Contra Costa, (CA)""",106000,"""$67,000 - $160,000 (576)"""
06015,"""Del Norte, (CA)""",47000,"""$46,000 - $52,000 (624)"""
06017,"""El Dorado, (CA)""",88000,"""$67,000 - $160,000 (576)"""
06021,"""Glenn, (CA)""",58000,"""$52,000 - $58,000 (635)"""
06023,"""Humboldt, (CA)""",56000,"""$52,000 - $58,000 (635)"""
06031,"""Kings, (CA)""",60000,"""$58,000 - $67,000 (646)"""
06033,"""Lake, (CA)""",52000,"""$46,000 - $52,000 (624)"""
06035,"""Lassen, (CA)""",64000,"""$58,000 - $67,000 (646)"""
06041,"""Marin, (CA)""",128000,"""$67,000 - $160,000 (576)"""
06043,"""Mariposa, (CA)""",57000,"""$52,000 - $58,000 (635)"""
06045,"""Mendocino, (CA)""",53000,"""$52,000 - $58,000 (635)"""
06047,"""Merced, (CA)""",59000,"""$58,000 - $67,000 (646)"""
06049,"""Modoc, (CA)""",47000,"""$46,000 - $52,000 (624)"""
06053,"""Monterey, (CA)""",85000,"""$67,000 - $160,000 (576)"""
06055,"""Napa, (CA)""",92000,"""$67,000 - $160,000 (576)"""
06057,"""Nevada, (CA)""",74000,"""$67,000 - $160,000 (576)"""
06061,"""Placer, (CA)""",101000,"""$67,000 - $160,000 (576)"""
06063,"""Plumas, (CA)""",58000,"""$52,000 - $58,000 (635)"""
06067,"""Sacramento, (CA)""",73000,"""$67,000 - $160,000 (576)"""
06069,"""San Benito, (CA)""",91000,"""$67,000 - $160,000 (576)"""
06075,"""San Francisco, (CA)""",122000,"""$67,000 - $160,000 (576)"""
06077,"""San Joaquin, (CA)""",71000,"""$67,000 - $160,000 (576)"""
06079,"""San Luis Obispo, (CA)""",79000,"""$67,000 - $160,000 (576)"""
06081,"""San Mateo, (CA)""",132000,"""$67,000 - $160,000 (576)"""
06083,"""Santa Barbara, (CA)""",86000,"""$67,000 - $160,000 (576)"""
06085,"""Santa Clara, (CA)""",139000,"""$67,000 - $160,000 (576)"""
06087,"""Santa Cruz, (CA)""",93000,"""$67,000 - $160,000 (576)"""
06089,"""Shasta, (CA)""",59000,"""$58,000 - $67,000 (646)"""
06091,"""Sierra, (CA)""",59000,"""$58,000 - $67,000 (646)"""
06093,"""Siskiyou, (CA)""",49000,"""$46,000 - $52,000 (624)"""
06095,"""Solano, (CA)""",84000,"""$67,000 - $160,000 (576)"""
06097,"""Sonoma, (CA)""",87000,"""$67,000 - $160,000 (576)"""
06099,"""Stanislaus, (CA)""",65000,"""$58,000 - $67,000 (646)"""
06101,"""Sutter, (CA)""",66000,"""$58,000 - $67,000 (646)"""
06103,"""Tehama, (CA)""",62000,"""$58,000 - $67,000 (646)"""
06105,"""Trinity, (CA)""",45000,"""$23,000 - $46,000 (659)"""
06109,"""Tuolumne, (CA)""",63000,"""$58,000 - $67,000 (646)"""
06113,"""Yolo, (CA)""",81000,"""$67,000 - $160,000 (576)"""
06115,"""Yuba, (CA)""",56000,"""$52,000 - $58,000 (635)"""
15001,"""Hawaii, (HI)""",70000,"""$67,000 - $160,000 (576)"""
15003,"""Honolulu, (HI)""",90000,"""$67,000 - $160,000 (576)"""
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",81000,"""$67,000 - $160,000 (576)"""
15009,"""Maui, (HI)""",81000,"""$67,000 - $160,000 (576)"""
41003,"""Benton, (OR)""",66000,"""$58,000 - $67,000 (646)"""
41005,"""Clackamas, (OR)""",83000,"""$67,000 - $160,000 (576)"""
41007,"""Clatsop, (OR)""",63000,"""$58,000 - $67,000 (646)"""
41009,"""Columbia, (OR)""",73000,"""$67,000 - $160,000 (576)"""
41011,"""Coos, (OR)""",51000,"""$46,000 - $52,000 (624)"""
41013,"""Crook, (OR)""",69000,"""$67,000 - $160,000 (576)"""
41015,"""Curry, (OR)""",48000,"""$46,000 - $52,000 (624)"""
41017,"""Deschutes, (OR)""",66000,"""$58,000 - $67,000 (646)"""
41019,"""Douglas, (OR)""",52000,"""$46,000 - $52,000 (624)"""
41021,"""Gilliam, (OR)""",63000,"""$58,000 - $67,000 (646)"""
41027,"""Hood River, (OR)""",82000,"""$67,000 - $160,000 (576)"""
41029,"""Jackson, (OR)""",57000,"""$52,000 - $58,000 (635)"""
41031,"""Jefferson, (OR)""",64000,"""$58,000 - $67,000 (646)"""
