"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",15.1,"14 - 18 (622)"
02016,"""Aleutians West, (AK)""",8.1,"3 - 9 (643)"
02020,"""Anchorage, (AK)""",8.3,"3 - 9 (643)"
02050,"""Bethel, (AK)""",25.3,"18 - 44 (613)"
02060,"""Bristol Bay, (AK)""",10.7,"9 - 12 (624)"
02068,"""Denali, (AK)""",6.4,"3 - 9 (643)"
02070,"""Dillingham, (AK)""",18.7,"18 - 44 (613)"
02090,"""Fairbanks North Star, (AK)""",7.2,"3 - 9 (643)"
02100,"""Haines, (AK)""",9.6,"9 - 12 (624)"
02105,"""Hoonah-Angoon, (AK)""",12.7,"12 - 14 (638)"
02110,"""Juneau, (AK)""",8.1,"3 - 9 (643)"
02122,"""Kenai Peninsula, (AK)""",10.6,"9 - 12 (624)"
02130,"""Ketchikan Gateway, (AK)""",8.3,"3 - 9 (643)"
02150,"""Kodiak Island, (AK)""",7.5,"3 - 9 (643)"
02164,"""Lake and Peninsula, (AK)""",17.6,"14 - 18 (622)"
02170,"""Matanuska-Susitna, (AK)""",8.7,"3 - 9 (643)"
02180,"""Nome, (AK)""",18.8,"18 - 44 (613)"
02185,"""North Slope, (AK)""",11.1,"9 - 12 (624)"
02188,"""Northwest Arctic, (AK)""",18.5,"18 - 44 (613)"
02195,"""Petersburg, (AK)""",7.4,"3 - 9 (643)"
02198,"""Prince of Wales-Hyder, (AK)""",15.9,"14 - 18 (622)"
02220,"""Sitka, (AK)""",7.4,"3 - 9 (643)"
02230,"""Skagway, (AK)""",3.8,"3 - 9 (643)"
02240,"""Southeast Fairbanks, (AK)""",11.7,"12 - 14 (638)"
02261,"""Valdez-Cordova, (AK)""",-1,
02158,"""Kusilvak, (AK)""",27.9,"18 - 44 (613)"
02275,"""Wrangell, (AK)""",10.6,"9 - 12 (624)"
02282,"""Yakutat, (AK)""",12.4,"12 - 14 (638)"
02290,"""Yukon-Koyukuk, (AK)""",20.5,"18 - 44 (613)"
06001,"""Alameda, (CA)""",8.6,"3 - 9 (643)"
06005,"""Amador, (CA)""",10.3,"9 - 12 (624)"
06007,"""Butte, (CA)""",17.3,"14 - 18 (622)"
06009,"""Calaveras, (CA)""",11.6,"9 - 12 (624)"
06011,"""Colusa, (CA)""",10.3,"9 - 12 (624)"
06013,"""Contra Costa, (CA)""",7.2,"3 - 9 (643)"
06015,"""Del Norte, (CA)""",18.5,"18 - 44 (613)"
06017,"""El Dorado, (CA)""",8.4,"3 - 9 (643)"
06021,"""Glenn, (CA)""",12.4,"12 - 14 (638)"
06023,"""Humboldt, (CA)""",15.8,"14 - 18 (622)"
06031,"""Kings, (CA)""",14.5,"14 - 18 (622)"
06033,"""Lake, (CA)""",15.9,"14 - 18 (622)"
06035,"""Lassen, (CA)""",15.5,"14 - 18 (622)"
06041,"""Marin, (CA)""",6,"3 - 9 (643)"
06043,"""Mariposa, (CA)""",13.3,"12 - 14 (638)"
06045,"""Mendocino, (CA)""",14.3,"14 - 18 (622)"
06047,"""Merced, (CA)""",16.3,"14 - 18 (622)"
06049,"""Modoc, (CA)""",17.9,"18 - 44 (613)"
06053,"""Monterey, (CA)""",11.6,"9 - 12 (624)"
06055,"""Napa, (CA)""",7.9,"3 - 9 (643)"
06057,"""Nevada, (CA)""",9.2,"3 - 9 (643)"
06061,"""Placer, (CA)""",6.5,"3 - 9 (643)"
06063,"""Plumas, (CA)""",13.5,"12 - 14 (638)"
06067,"""Sacramento, (CA)""",12.5,"12 - 14 (638)"
06069,"""San Benito, (CA)""",7.9,"3 - 9 (643)"
06075,"""San Francisco, (CA)""",10,"9 - 12 (624)"
06077,"""San Joaquin, (CA)""",13.9,"12 - 14 (638)"
06079,"""San Luis Obispo, (CA)""",10.6,"9 - 12 (624)"
06081,"""San Mateo, (CA)""",5.5,"3 - 9 (643)"
06083,"""Santa Barbara, (CA)""",10.5,"9 - 12 (624)"
06085,"""Santa Clara, (CA)""",6.6,"3 - 9 (643)"
06087,"""Santa Cruz, (CA)""",10.7,"9 - 12 (624)"
06089,"""Shasta, (CA)""",13.9,"12 - 14 (638)"
06091,"""Sierra, (CA)""",11.5,"9 - 12 (624)"
06093,"""Siskiyou, (CA)""",14.3,"14 - 18 (622)"
06095,"""Solano, (CA)""",9.3,"3 - 9 (643)"
06097,"""Sonoma, (CA)""",7.8,"3 - 9 (643)"
06099,"""Stanislaus, (CA)""",13,"12 - 14 (638)"
06101,"""Sutter, (CA)""",11.5,"9 - 12 (624)"
06103,"""Tehama, (CA)""",13.3,"12 - 14 (638)"
06105,"""Trinity, (CA)""",18,"18 - 44 (613)"
06109,"""Tuolumne, (CA)""",12.1,"12 - 14 (638)"
06113,"""Yolo, (CA)""",14.8,"14 - 18 (622)"
06115,"""Yuba, (CA)""",16.3,"14 - 18 (622)"
15001,"""Hawaii, (HI)""",12.2,"12 - 14 (638)"
15003,"""Honolulu, (HI)""",8,"3 - 9 (643)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",9.9,"9 - 12 (624)"
15009,"""Maui, (HI)""",9.5,"9 - 12 (624)"
41003,"""Benton, (OR)""",15.7,"14 - 18 (622)"
41005,"""Clackamas, (OR)""",6.8,"3 - 9 (643)"
41007,"""Clatsop, (OR)""",10.5,"9 - 12 (624)"
41009,"""Columbia, (OR)""",9.2,"3 - 9 (643)"
41011,"""Coos, (OR)""",15.4,"14 - 18 (622)"
41013,"""Crook, (OR)""",10.3,"9 - 12 (624)"
41015,"""Curry, (OR)""",14.5,"14 - 18 (622)"
41017,"""Deschutes, (OR)""",8.1,"3 - 9 (643)"
41019,"""Douglas, (OR)""",13.3,"12 - 14 (638)"
41021,"""Gilliam, (OR)""",10.7,"9 - 12 (624)"
41027,"""Hood River, (OR)""",8.5,"3 - 9 (643)"
41029,"""Jackson, (OR)""",11.9,"12 - 14 (638)"
41031,"""Jefferson, (OR)""",12.5,"12 - 14 (638)"
41033,"""Josephine, (OR)""",15.8,"14 - 18 (622)"
41035,"""Klamath, (OR)""",19.7,"18 - 44 (613)"
41037,"""Lake, (OR)""",15.7,"14 - 18 (622)"
41039,"""Lane, (OR)""",14.5,"14 - 18 (622)"
41041,"""Lincoln, (OR)""",14.4,"14 - 18 (622)"
41043,"""Linn, (OR)""",11.3,"9 - 12 (624)"
41047,"""Marion, (OR)""",12.1,"12 - 14 (638)"
41051,"""Multnomah, (OR)""",11.2,"9 - 12 (624)"
41053,"""Polk, (OR)""",11.1,"9 - 12 (624)"
41055,"""Sherman, (OR)""",11.9,"12 - 14 (638)"
41057,"""Tillamook, (OR)""",10.8,"9 - 12 (624)"
41065,"""Wasco, (OR)""",12.4,"12 - 14 (638)"
41067,"""Washington, (OR)""",7.5,"3 - 9 (643)"
41069,"""Wheeler, (OR)""",14,"12 - 14 (638)"
41071,"""Yamhill, (OR)""",8.7,"3 - 9 (643)"
53007,"""Chelan, (WA)""",8.3,"3 - 9 (643)"
53009,"""Clallam, (WA)""",13.3,"12 - 14 (638)"
53011,"""Clark, (WA)""",8.7,"3 - 9 (643)"
53015,"""Cowlitz, (WA)""",11.9,"12 - 14 (638)"
53027,"""Grays Harbor, (WA)""",15.1,"14 - 18 (622)"
53029,"""Island, (WA)""",6.5,"3 - 9 (643)"
53031,"""Jefferson, (WA)""",10.6,"9 - 12 (624)"
53033,"""King, (WA)""",7.6,"3 - 9 (643)"
53035,"""Kitsap, (WA)""",8.3,"3 - 9 (643)"
53037,"""Kittitas, (WA)""",12.9,"12 - 14 (638)"
53039,"""Klickitat, (WA)""",14,"12 - 14 (638)"
53041,"""Lewis, (WA)""",13.3,"12 - 14 (638)"
53045,"""Mason, (WA)""",12.6,"12 - 14 (638)"
53047,"""Okanogan, (WA)""",19.8,"18 - 44 (613)"
53049,"""Pacific, (WA)""",13.6,"12 - 14 (638)"
53053,"""Pierce, (WA)""",8.7,"3 - 9 (643)"
53055,"""San Juan, (WA)""",9.6,"9 - 12 (624)"
53057,"""Skagit, (WA)""",9.5,"9 - 12 (624)"
53059,"""Skamania, (WA)""",10.6,"9 - 12 (624)"
53061,"""Snohomish, (WA)""",7.1,"3 - 9 (643)"
53067,"""Thurston, (WA)""",9.7,"9 - 12 (624)"
53069,"""Wahkiakum, (WA)""",10.7,"9 - 12 (624)"
53073,"""Whatcom, (WA)""",11.7,"12 - 14 (638)"
53077,"""Yakima, (WA)""",14.8,"14 - 18 (622)"
04001,"""Apache, (AZ)""",32.4,"18 - 44 (613)"
04003,"""Cochise, (AZ)""",14.6,"14 - 18 (622)"
04005,"""Coconino, (AZ)""",17.2,"14 - 18 (622)"
04007,"""Gila, (AZ)""",16.7,"14 - 18 (622)"
04009,"""Graham, (AZ)""",15.2,"14 - 18 (622)"
04011,"""Greenlee, (AZ)""",8.4,"3 - 9 (643)"
04012,"""La Paz, (AZ)""",20.8,"18 - 44 (613)"
04013,"""Maricopa, (AZ)""",11.6,"9 - 12 (624)"
04015,"""Mohave, (AZ)""",15.3,"14 - 18 (622)"
04017,"""Navajo, (AZ)""",23.3,"18 - 44 (613)"
04019,"""Pima, (AZ)""",14.9,"14 - 18 (622)"
04021,"""Pinal, (AZ)""",11.1,"9 - 12 (624)"
04023,"""Santa Cruz, (AZ)""",16.8,"14 - 18 (622)"
04025,"""Yavapai, (AZ)""",10.8,"9 - 12 (624)"
04027,"""Yuma, (AZ)""",15.2,"14 - 18 (622)"
06003,"""Alpine, (CA)""",14.3,"14 - 18 (622)"
06019,"""Fresno, (CA)""",17.1,"14 - 18 (622)"
06025,"""Imperial, (CA)""",18.1,"18 - 44 (613)"
06027,"""Inyo, (CA)""",10.9,"9 - 12 (624)"
06029,"""Kern, (CA)""",18.3,"18 - 44 (613)"
06037,"""Los Angeles, (CA)""",13.2,"12 - 14 (638)"
06039,"""Madera, (CA)""",14.1,"12 - 14 (638)"
06051,"""Mono, (CA)""",9,"3 - 9 (643)"
06059,"""Orange, (CA)""",9,"3 - 9 (643)"
06065,"""Riverside, (CA)""",11.2,"9 - 12 (624)"
06071,"""San Bernardino, (CA)""",14.3,"14 - 18 (622)"
06073,"""San Diego, (CA)""",9.5,"9 - 12 (624)"
06107,"""Tulare, (CA)""",17.1,"14 - 18 (622)"
06111,"""Ventura, (CA)""",9.1,"3 - 9 (643)"
08007,"""Archuleta, (CO)""",9.4,"9 - 12 (624)"
08029,"""Delta, (CO)""",12.1,"12 - 14 (638)"
08033,"""Dolores, (CO)""",12.5,"12 - 14 (638)"
08045,"""Garfield, (CO)""",6.7,"3 - 9 (643)"
08051,"""Gunnison, (CO)""",9.6,"9 - 12 (624)"
08053,"""Hinsdale, (CO)""",7.2,"3 - 9 (643)"
08067,"""La Plata, (CO)""",10,"9 - 12 (624)"
08077,"""Mesa, (CO)""",11.1,"9 - 12 (624)"
08079,"""Mineral, (CO)""",8.7,"3 - 9 (643)"
08081,"""Moffat, (CO)""",9.9,"9 - 12 (624)"
08083,"""Montezuma, (CO)""",12.9,"12 - 14 (638)"
08085,"""Montrose, (CO)""",10.4,"9 - 12 (624)"
08091,"""Ouray, (CO)""",6.7,"3 - 9 (643)"
08097,"""Pitkin, (CO)""",6.4,"3 - 9 (643)"
08103,"""Rio Blanco, (CO)""",9.8,"9 - 12 (624)"
08107,"""Routt, (CO)""",6.3,"3 - 9 (643)"
08111,"""San Juan, (CO)""",11.3,"9 - 12 (624)"
08113,"""San Miguel, (CO)""",7.6,"3 - 9 (643)"
16001,"""Ada, (ID)""",7.7,"3 - 9 (643)"
16005,"""Bannock, (ID)""",12.2,"12 - 14 (638)"
16007,"""Bear Lake, (ID)""",9.5,"9 - 12 (624)"
16011,"""Bingham, (ID)""",11.1,"9 - 12 (624)"
16013,"""Blaine, (ID)""",6.9,"3 - 9 (643)"
16015,"""Boise, (ID)""",11.5,"9 - 12 (624)"
16019,"""Bonneville, (ID)""",9.7,"9 - 12 (624)"
16023,"""Butte, (ID)""",14.2,"12 - 14 (638)"
16025,"""Camas, (ID)""",8.3,"3 - 9 (643)"
16027,"""Canyon, (ID)""",10.6,"9 - 12 (624)"
16029,"""Caribou, (ID)""",7.9,"3 - 9 (643)"
16031,"""Cassia, (ID)""",10.1,"9 - 12 (624)"
16033,"""Clark, (ID)""",11.6,"9 - 12 (624)"
16037,"""Custer, (ID)""",12.7,"12 - 14 (638)"
16039,"""Elmore, (ID)""",11.7,"12 - 14 (638)"
16041,"""Franklin, (ID)""",7.7,"3 - 9 (643)"
16043,"""Fremont, (ID)""",12.6,"12 - 14 (638)"
16045,"""Gem, (ID)""",11,"9 - 12 (624)"
16047,"""Gooding, (ID)""",11.2,"9 - 12 (624)"
16051,"""Jefferson, (ID)""",8.5,"3 - 9 (643)"
16053,"""Jerome, (ID)""",12.3,"12 - 14 (638)"
16063,"""Lincoln, (ID)""",11.4,"9 - 12 (624)"
16065,"""Madison, (ID)""",14.3,"14 - 18 (622)"
16067,"""Minidoka, (ID)""",14,"12 - 14 (638)"
16071,"""Oneida, (ID)""",9.7,"9 - 12 (624)"
16073,"""Owyhee, (ID)""",13.6,"12 - 14 (638)"
