"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",9.6,"10 - 11 (616)"
02016,"""Aleutians West, (AK)""",5.6,"1 - 8 (638)"
02020,"""Anchorage, (AK)""",12.8,"11 - 13 (631)"
02050,"""Bethel, (AK)""",11.4,"11 - 13 (631)"
02060,"""Bristol Bay, (AK)""",5.8,"1 - 8 (638)"
02068,"""Denali, (AK)""",7.2,"1 - 8 (638)"
02070,"""Dillingham, (AK)""",9.1,"8 - 10 (643)"
02090,"""Fairbanks North Star, (AK)""",11.7,"11 - 13 (631)"
02100,"""Haines, (AK)""",8.5,"8 - 10 (643)"
02105,"""Hoonah-Angoon, (AK)""",6.4,"1 - 8 (638)"
02110,"""Juneau, (AK)""",9.2,"8 - 10 (643)"
02122,"""Kenai Peninsula, (AK)""",11,"10 - 11 (616)"
02130,"""Ketchikan Gateway, (AK)""",13.6,"13 - 30 (610)"
02150,"""Kodiak Island, (AK)""",10.9,"10 - 11 (616)"
02164,"""Lake and Peninsula, (AK)""",6.4,"1 - 8 (638)"
02170,"""Matanuska-Susitna, (AK)""",13.1,"11 - 13 (631)"
02180,"""Nome, (AK)""",11.6,"11 - 13 (631)"
02185,"""North Slope, (AK)""",9.2,"8 - 10 (643)"
02188,"""Northwest Arctic, (AK)""",8,"8 - 10 (643)"
02195,"""Petersburg, (AK)""",10.1,"10 - 11 (616)"
02198,"""Prince of Wales-Hyder, (AK)""",8.1,"8 - 10 (643)"
02220,"""Sitka, (AK)""",10.1,"10 - 11 (616)"
02230,"""Skagway, (AK)""",1.6,"1 - 8 (638)"
02240,"""Southeast Fairbanks, (AK)""",6.6,"1 - 8 (638)"
02261,"""Valdez-Cordova, (AK)""",6.4,"1 - 8 (638)"
02158,"""Kusilvak, (AK)""",10.1,"10 - 11 (616)"
02275,"""Wrangell, (AK)""",5.6,"1 - 8 (638)"
02282,"""Yakutat, (AK)""",4.1,"1 - 8 (638)"
02290,"""Yukon-Koyukuk, (AK)""",8.8,"8 - 10 (643)"
06001,"""Alameda, (CA)""",17.1,"13 - 30 (610)"
06005,"""Amador, (CA)""",16.1,"13 - 30 (610)"
06007,"""Butte, (CA)""",18.4,"13 - 30 (610)"
06009,"""Calaveras, (CA)""",17.9,"13 - 30 (610)"
06011,"""Colusa, (CA)""",11.3,"11 - 13 (631)"
06013,"""Contra Costa, (CA)""",16.5,"13 - 30 (610)"
06015,"""Del Norte, (CA)""",15.9,"13 - 30 (610)"
06017,"""El Dorado, (CA)""",15.7,"13 - 30 (610)"
06021,"""Glenn, (CA)""",19.5,"13 - 30 (610)"
06023,"""Humboldt, (CA)""",21.6,"13 - 30 (610)"
06031,"""Kings, (CA)""",13.9,"13 - 30 (610)"
06033,"""Lake, (CA)""",17.2,"13 - 30 (610)"
06035,"""Lassen, (CA)""",13.1,"11 - 13 (631)"
06041,"""Marin, (CA)""",18.7,"13 - 30 (610)"
06043,"""Mariposa, (CA)""",19.2,"13 - 30 (610)"
06045,"""Mendocino, (CA)""",20.1,"13 - 30 (610)"
06047,"""Merced, (CA)""",15.4,"13 - 30 (610)"
06049,"""Modoc, (CA)""",11,"10 - 11 (616)"
06053,"""Monterey, (CA)""",18.4,"13 - 30 (610)"
06055,"""Napa, (CA)""",17.2,"13 - 30 (610)"
06057,"""Nevada, (CA)""",18.8,"13 - 30 (610)"
06061,"""Placer, (CA)""",14.6,"13 - 30 (610)"
06063,"""Plumas, (CA)""",14.2,"13 - 30 (610)"
06067,"""Sacramento, (CA)""",17.4,"13 - 30 (610)"
06069,"""San Benito, (CA)""",15.5,"13 - 30 (610)"
06075,"""San Francisco, (CA)""",16.3,"13 - 30 (610)"
06077,"""San Joaquin, (CA)""",17.8,"13 - 30 (610)"
06079,"""San Luis Obispo, (CA)""",18.4,"13 - 30 (610)"
06081,"""San Mateo, (CA)""",17.8,"13 - 30 (610)"
06083,"""Santa Barbara, (CA)""",19.6,"13 - 30 (610)"
06085,"""Santa Clara, (CA)""",15.8,"13 - 30 (610)"
06087,"""Santa Cruz, (CA)""",20.4,"13 - 30 (610)"
06089,"""Shasta, (CA)""",18.8,"13 - 30 (610)"
06091,"""Sierra, (CA)""",21.7,"13 - 30 (610)"
06093,"""Siskiyou, (CA)""",14.9,"13 - 30 (610)"
06095,"""Solano, (CA)""",15.9,"13 - 30 (610)"
06097,"""Sonoma, (CA)""",18.2,"13 - 30 (610)"
06099,"""Stanislaus, (CA)""",17.6,"13 - 30 (610)"
06101,"""Sutter, (CA)""",13.8,"13 - 30 (610)"
06103,"""Tehama, (CA)""",18.6,"13 - 30 (610)"
06105,"""Trinity, (CA)""",16.5,"13 - 30 (610)"
06109,"""Tuolumne, (CA)""",16.9,"13 - 30 (610)"
06113,"""Yolo, (CA)""",19.1,"13 - 30 (610)"
06115,"""Yuba, (CA)""",15.4,"13 - 30 (610)"
15001,"""Hawaii, (HI)""",16.1,"13 - 30 (610)"
15003,"""Honolulu, (HI)""",18.4,"13 - 30 (610)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",16.8,"13 - 30 (610)"
15009,"""Maui, (HI)""",18.5,"13 - 30 (610)"
41003,"""Benton, (OR)""",18.2,"13 - 30 (610)"
41005,"""Clackamas, (OR)""",14.2,"13 - 30 (610)"
41007,"""Clatsop, (OR)""",13.9,"13 - 30 (610)"
41009,"""Columbia, (OR)""",10.3,"10 - 11 (616)"
41011,"""Coos, (OR)""",12.3,"11 - 13 (631)"
41013,"""Crook, (OR)""",11.5,"11 - 13 (631)"
41015,"""Curry, (OR)""",12.6,"11 - 13 (631)"
41017,"""Deschutes, (OR)""",15.7,"13 - 30 (610)"
41019,"""Douglas, (OR)""",12.6,"11 - 13 (631)"
41021,"""Gilliam, (OR)""",16,"13 - 30 (610)"
41027,"""Hood River, (OR)""",9,"8 - 10 (643)"
41029,"""Jackson, (OR)""",16.2,"13 - 30 (610)"
41031,"""Jefferson, (OR)""",15.2,"13 - 30 (610)"
41033,"""Josephine, (OR)""",18.2,"13 - 30 (610)"
41035,"""Klamath, (OR)""",16.8,"13 - 30 (610)"
41037,"""Lake, (OR)""",14.1,"13 - 30 (610)"
41039,"""Lane, (OR)""",17.6,"13 - 30 (610)"
41041,"""Lincoln, (OR)""",14.7,"13 - 30 (610)"
